,author,title,journal/conference/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,keyword24,keyword25,keyword26
Row_185,"Gaspari, F (Gaspari, Francesco) [1] , [2] , [3] ; Di Guardo, GA (Di Guardo, Giuseppina Agata) [3] , [4] , [5]",Unmanned Aircraft Systems and Urban Air Mobility at the service of public administration for an acceleration of essential services in the smart cities of the future*,"2023 INTERNATIONAL CONFERENCE ON UNMANNED AIRCRAFT SYSTEMS, ICUAS",2023,0,"This paper aims to provide a glimpse into the dimension of Unmanned Aircraft Systems (UAS) use and the emerging Urban Air Mobility (UAM) ecosystem as regards territorial control for different purposes and the medical sector. Public authorities are increasingly employing UAS for activities in the public interest, by means of private individuals acting on their behalf. Hence, the aim is to demonstrate, with examples taken mainly from the Italian experience, how their smart, environmental, privacycompatible use can represent a new frontier for the tools that public administrations are already experimenting with and can in the future implement through the potential offered by UAM. Such deployment will require them to undertake appropriate strategic planning of urban mobility with the support of European and national regulators, through the deployment of multi-level policies and governance in order to enhance the services offered and the quality of life of citizens.",,,,,,,,,,,,,,,,,,,,,,,,,,
Row_186,"Rimoldi, SML (Rimoldi, Stefania M. L.) [1] , [5] ; Crisci, M (Crisci, Massimiliano) [2] ; Benassi, F (Benassi, Federico) [3] ; Raymer, J (Raymer, James) [4]",Intra-urban residential mobility and segregation of foreigners in Rome,POPULATION SPACE AND PLACE,AUG 2024,2,"This research studies the residential mobility of Italians and foreigners in Rome from 2002 to 2019. We examine the differences in residential mobility patterns for (1) Italians and foreigners, (2) foreign migrants by selected country of origin, and (3) the effect of intra-urban mobility on residential segregation. Log-linear models and segregation indexes are used to analyze unpublished microdata on residential mobility by neighbourhood from the population register of Rome. Results show that foreigners are more mobile than Italians and more prone to move outside the area where they live, but with an increasing process of remaining in their current locations over time. Also, similarities and differences emerge by country of origin. Finally, we find residential mobility has increased the spatial concentration and clustering of foreigners in Rome, whilst reducing the dissimilarity from Italians at the same time.",foreigners,loglinear models,residential mobility,residential segregation,Rome,Southern Europe,MINORITY ETHNIC-GROUPS,SOCIOECONOMIC SEGREGATION,SETTLEMENT-PATTERNS,MIGRATION,POPULATION,MIGRANTS,NEIGHBORHOOD,DYNAMICS,FAMILY,CITY,,,,,,,,,,
Row_187,"Xu, XJ (Xu, Xijie) [1] ; Wang, J (Wang, Jie) [2] ; Poslad, S (Poslad, Stefan) [1] ; Rui, XP (Rui, Xiaoping) [3] ; Zhang, GY (Zhang, Guangyuan) [4] ; Fan, YL (Fan, Yonglei) [1]","Exploring intra-urban human mobility and daily activity patterns from the lens of dockless bike-sharing: A case study of Beijing, China",INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION,AUG 2023,11,"In recent years, the emergence of dockless bike-sharing has brought new ways of transportation, while also providing support for observing urban dynamics at a finer granularity. This study uses dockless bike-sharing data, combined with point of interest (POI) data, to explore intra-urban human mobility and daily activity patterns, using Beijing as a case study. Here, we employ spatial statistics and graph network to quantify the characteristics of travel behavior. Firstly, spatiotemporal statistics analysis was conducted to investigate the travel patterns and spatiotemporal differences of bike-sharing in Beijing. It was found that bike trips have clear peak hours and highly overlap with the subway lines, indicating that the bike-sharing system effectively completes the 'last mile' of travel in Beijing. Secondly, graph networks were used to reveal the core patterns and community structures of human mobility in Beijing and their connections to daily activities. Our findings indicate that there are different core structures of human mobility in Beijing, some dominated by a single core node, while others are formed by the aggregation of multiple cores. Finally, POI data was used to analyze human daily activity patterns. We analyzed the temporal characteristics and the hotspot areas of each daily activity in Beijing and found that transferring to other transportation modes is the most popular activity for people riding bikes, followed by shopping, working, and eating out. These findings provide a reference for understanding urban human dynamics and urban structure from the perspective of dockless bike-sharing.",Dockless bike-sharing,Human mobility,Human daily activity,Graph network,USAGE PATTERNS,,,,,,,,,,,,,,,,,,,,,
Row_188,"Sveda, M (Sveda, Martin) [1] , [2] ; Madajová, MS (Madajova, Michala Sladekova) [1] , [2]","Estimating distance decay of intra-urban trips using mobile phone data: The case of Bratislava, Slovakia",JOURNAL OF TRANSPORT GEOGRAPHY,FEB 2023,13,"The distance decay function has been attracting attention in diverse disciplines including transportation studies, spatial planning and urban geography. In particular, much discussion has concentrated on the measurement of distance decay on the regional scale, since the emphasis of the model utilisation has been on explaining inter-regional mobility (mainly commuting). The intra-urban context makes the estimation more complicated and the fundamental questions, such as how far people travel within the city to reach a variety of urban destinations, and whether there are potentially significant differences between these types of destinations, are still not answered in a satisfactory way. In response to this challenge, the paper attempts to reveal the spatial variations of the distance decay effect on movements in urban space through the utilisation of mobile phone data. The signalling data from all major mobile network operators in Slovakia represent new opportunities with high accuracy of measurement and complexity of representation. The methodological procedure for deriving data about human daily move-ments from the mobile network at the level of 1 x 1 km statistical grid cells is presented. The objective is to estimate the appropriate distance decay functions for urban grids and demonstrate the variation of decay curves within the Bratislava city. The findings relativise the decay law of human mobility. For the approximation of daily mobility within the urban area, the polynomial-exponential function - the decreasing function with a small increase of interaction intensity at a greater distance - describes the impedance of travel distance more pref-erably. However, a significant proportion of urban grids have recorded weak or even no decay. A question worth investigating is whether the resulting friction of distance is a result of a specific functional structure of the study area, or it could reflect an advanced stage of urban evolution.",Distance decay variation,Mobile phone data,Daily mobility,Urban grid,SPATIAL INTERACTION,ACCESSIBILITY,MODELS,FORM,,,,,,,,,,,,,,,,,,
Row_189,"Kar, M (Kar, Manaswinee) [1] ; Sadhukhan, S (Sadhukhan, Shubhajit) [2] ; Parida, M (Parida, Manoranjan) [1]",Location Planning of Park-and-Ride Facilities Around Rapid Transit Systems in Cities: A Review,JOURNAL OF URBAN PLANNING AND DEVELOPMENT,MAR 1 2023,6,"Significant private motorization to meet increased mobility requirements has resulted in severe congestion and parking problems in urban areas. In such a scenario, Park-and-Ride (P&R) has been a potential and established travel demand management strategy that efficiently improves urban mobility by significantly reducing traffic congestion and parking burden in city centers. Thus, it is essential that urban planners and policy makers establish P&R facilities at appropriate locations. The current manuscript presents a state-of-the-art review of past and present practices in selecting appropriate locations for establishing P&R facilities. The present study provides useful insights into the critical factors influencing the identification of potential P&R locations, establishment of P&R facilities at optimal locations, and development of commuters' P&R location choice behavior models. The study findings could help researchers, planners, and policy makers collate basic ideas of P&R facility planning and develop context-specific guidelines to suitably locate P&R facilities as potential urban travel demand management solutions in the context of developing countries.",Park-and-Ride (P&R),Potential facility location,P&R location planning criteria,Optimal P&R location,P&R location choice,LIGHT RAIL STATIONS,CHOICE MODEL,DEMAND,CITY,MAXIMIZATION,INFORMATION,PROVISION,TRANSPORT,FRAMEWORK,IMPACTS,,,,,,,,,,,
Row_190,"Peng, NYZ (Peng, Ningyezi) [1] ; Liu, XT (Liu, Xintao) [1] , [2] , [3]",The Impact of Urban Scaling Structure on the Local-Scale Transmission of COVID-19: A Case Study of the Omicron Wave in Hong Kong Using Agent-Based Modeling,ANNALS OF THE AMERICAN ASSOCIATION OF GEOGRAPHERS,MAY 27 2024,0,"Superspreading events underscore the uneven distribution of COVID-19 transmission among individuals and locations. These heterogenous transmission patterns could stem from human mobility, yet the underlying mechanisms are still not fully understood. Here, we employ an agent-based model incorporating urban scaling structure to simulate fine-grained mobility and the human-to-human transmission process. Our results reveal that not only the quantity but also the scaling structure of mobility profoundly influences local transmission risk. Urban scaling structure is characterized by a widely found power-law scaling distribution of mobility volumes across different locations. By integrating this structure, our model fits reasonably well with empirical Omicron data at various spatial scales in Hong Kong. Further analyses show a positive association between the scaling index, representing the location's importance within the structure, and local transmission risks among urban areas as well as the likelihood of becoming superspreaders among local visitors. This implies that urban scaling structure could offer the first-mover advantage to a minority of places and individuals to infect earlier and thus infect more. This study brings important insights for the transmission dynamics of COVID-19 and similar diseases, highlighting the role of urban scaling structure in influencing local transmission risks and superspreading events.",complex system,COVID-19,scaling structure,superspreading event,transmission risk,SARS-COV-2,LAW,,,,,,,,,,,,,,,,,,,
Row_191,"Moyano, A (Moyano, Amparo) [1] ; Solís, E (Solis, Eloy) [1] ; Díaz-Burgos, E (Diaz-Burgos, Elena) [1] ; Rodrigo, A (Rodrigo, Alejandro) [1] ; Coronado, JM (Coronado, Jose M.) [1]",Typologies of stations' catchment areas in metropolitan urban peripheries: From car-oriented to sustainable urban strategies,LAND USE POLICY,NOV 2023,1,"After decades of sprawl and car-dependent urban developments, especially on the peripheries of metropolitan areas, new policies are being oriented towards more efficient and sustainable mobility. In the process of change towards more sustainable mobility patterns in peripheral areas, commuter railways must play a predominant role because of their capacity and speed. The main aim of this paper is to analyse commuter rail stations' catchment areas (SCAs) to identify typologies of these nodes in large metropolitan areas as a key step in proposing strategies for making mobility much more sustainable, both in the medium and proximity scales, by promoting soft mobility towards stations, a strategy that will facilitate commuters' use of daily rail transport. The method proposed is based on a twofold clustering analysis. The first is to consider urban-planning variables to detect consolidated stations; the second is to use both public space and land-use variables to characterise the quality of the urban environment for walking/cycling. These methods are applied in the metropolitan area of Madrid and offer some key insights. The results show that different typologies are found - from consolidated, dense and mixed-use SCAs, with large residential developments, to low-density SCAs in sprawl areas or low consolidated mixed-use SCAs with large parking spaces, following the park-and-ride model, among others. This identification of SCAs' typologies is key for policy makers to propose different strategies, which could be small projects oriented towards improving public spaces promoting soft mobility, or deeper changes that require a re-densification process in the stations' surroundings, breaking with the rigid definition of transit-oriented developments and adapting the decisions taken to each context.",Station catchment area,Disperse urban periphery,Sustainable urban environment,Transit-oriented development,Commuter railway,LAND-USE,TRANSIT,TRANSPORT,ACCESSIBILITY,DENSITY,TRAVEL,TOD,,,,,,,,,,,,,,
Row_192,"Silva, DG (Silva, Diogo Gaspar) [1] ; Frago, L (Frago, Lluis) [2] ; Ward, K (Ward, Kevin) [3]","""We are the forerunners in Southern Europe"": Experimenting with Business Improvement Districts in Greater Barcelona",URBAN GEOGRAPHY,AUG 2024,1,"This paper uses the experimentation with Business Improvement Districts in Greater Barcelona to examine its relational re-making in a rather over-looked Southern-Mediterranean urban, socio-spatial and political-institutional context. Drawing on semi-structured interviews and institutional archives, it offers three intellectual contributions to urban policy mobilities studies. First, the paper argues that the territorial adaptation, mediation and translation of urban entrepreneurial policies hinges upon the differential and inherited nature of welfare regimes, state-market constellations and existing political infrastructures. Second, the paper outlines that policymakers have followed open-ended and multilateral learning approaches through space and time, in which some policy features were (re-)learned, circulated and modified to fit more centralized regimes. Third, and finally, it sketches out the role of government-funded pilot programs as instances through which policies are showcased, experimented and ultimately constituted before and after their institutionalization in specific socio-legal and socio-spatial contexts.",Policy mobilities,comparative urbanism,Business Improvement Districts,urban policies,Southern Europe,Barcelona,URBAN-POLICY MOBILITIES,LEGAL GEOGRAPHY,THINKING CITIES,CITY,ASSEMBLAGES,RETHINKING,DIFFUSION,NETWORKS,AMERICA,TOURISM,,,,,,,,,,
Row_193,"Swapan, MSH (Swapan, Mohammad Shahidul Hasan) [1] ; Alam, A (Alam, Ashraful) [2] ; Rogers, D (Rogers, Dallas) [3] ; Houston, D (Houston, Donna) [4] ; Lobo, M (Lobo, Michele) [5] ; Nasreen, Z (Nasreen, Zahra) [6]","Cities in COVID-19: Reconsidering Urban Form, Mobility, Housing and Planning in Australasia",URBAN POLICY AND RESEARCH,JAN 2 2023,3,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_194,"Chen, JY (Chen, Jinyu) [1] ; Shi, XD (Shi, Xiaodan) [1] ; Zhang, HR (Zhang, Haoran) [2] ; Li, WJ (Li, Wenjing) [1] ; Li, PR (Li, Peiran) [1] ; Yao, YH (Yao, Yuhao) [1] ; Miyazawa, S (Miyazawa, Satoshi) ; Song, X (Song, Xuan) [3] ; Shibasaki, R (Shibasaki, Ryosuke) [1] , [2]",MobCovid: Confirmed Cases Dynamics Driven Time Series Prediction of Crowd in Urban Hotspot,IEEE TRANSACTIONS ON NEURAL NETWORKS AND LEARNING SYSTEMS,OCT 2024,0,"Monitoring the crowd in urban hot spot has been an important research topic in the field of urban management and has high social impact. It can allow more flexible allocation of public resources such as public transportation schedule adjustment and arrangement of police force. After 2020, because of the epidemic of COVID-19 virus, the public mobility pattern is deeply affected by the situation of epidemic as the physical close contact is the dominant way of infection. In this study, we propose a confirmed case-driven time-series prediction of crowd in urban hot spot named MobCovid. The model is a deviation of Informer, a popular time-serial prediction model proposed in 2021. The model takes both the number of nighttime staying people in downtown and confirmed cases of COVID-19 as input and predicts both the targets. In the current period of COVID, many areas and countries have relaxed the lockdown measures on public mobility. The outdoor travel of public is based on individual decision. Report of large amount of confirmed cases would restrict the public visitation of crowded downtown. But, still, government would publish some policies to try to intervene in the public mobility and control the spread of virus. For example, in Japan, there are no compulsory measures to force people to stay at home, but measures to persuade people to stay away from downtown area. Therefore, we also merge the encoding of policies on measures of mobility restriction made by government in the model to improve the precision. We use historical data of nighttime staying people in crowded downtown and confirmed cases of Tokyo and Osaka area as study case. Multiple times of comparison with other baselines including the original Informer model prove the effectiveness of our proposed method. We believe our work can make contribution to the current knowledge on forecasting the number of crowd in urban downtown during the Covid epidemic.",COVID-19 confirmed cases,crowd number prediction,Informer,pandemic policy,NEURAL-NETWORK,COVID-19,SPREAD,MODEL,,,,,,,,,,,,,,,,,,
Row_195,"Côté-Roy, L (Cote-Roy, Laurence) [1] , [2] , [3] ; Moser, S (Moser, Sarah) [1]","""Fast urban model-making"": constructing Moroccan urban expertise through Zenata Eco-City",URBAN GEOGRAPHY,OCT 21 2023,7,"This paper explores Morocco's ambitions to become a city-building ""expert"" in Africa through Zenata Eco-City, a project being built near Casablanca as part of Morocco's national new city-building strategy. Despite being in early stages of construction, Zenata's builders enthusiastically promote the future city as an urban model for Africa and have begun to export it long before the project's completion. Building on urban policy mobilities literature and research on emergent new city models, we examine Zenata as an example of ""fast model-making"", and analyze how authority is constructed for a model based on ideas rather than on a completed city. We explore the process of policy research and ""learning"" used to create and legitimize the model and investigate how promotional strategies to export it produce narratives about the city's success and the expertise of its developers. We raise concerns about Zenata's fast model and the circulation of expertise without content.",Policy mobilities,urban models,fast urbanism,new cities,Morocco,POLICY MOBILITIES,GLOBAL CIRCUITS,CITIES,KNOWLEDGE,DREAMS,,,,,,,,,,,,,,,,
Row_196,"Regasa, D (Regasa, Dereje) [1] , [2] ; Lietaert, I (Lietaert, Ine) [1] , [2]",'Living between here and there': Trans-local coping with urban marginality among internally displaced persons in urban Ethiopia,JOURNAL OF ETHNIC AND MIGRATION STUDIES,MAR 2024,0,"Internally displaced persons (IDPs) in urban areas experience spatial, social and symbolic marginality because of interactions between the processes of displacement and the socio-spatial contexts in which they are relocated. While an increasing body of research has highlighted the agentic possibilities of urban margins, little is known about IDPs' coping practices beyond the urban contexts that produce their marginality. Drawing on a qualitative study in two urban settlements in Ethiopia, this paper disentangles how trans-local practices of mobilities, connections and attachment, and the circulation of resources support IDPs in coping with disadvantages in urban settings. The findings show first, that constellations of mobilities across different nodal places constitute strategies to diversify the sources of livelihood thereby coping with the effects of spatial disadvantages. Second that, that trans-local connection and attachment preserves a sense of belonging to trans-local 'homes' and acts as a symbolic resource against the processes of exclusion and othering. Third, that the trans-local social network facilitates the exchange of material and intangible resources, and expands IDPs' employment opportunities and social relations. This study contributes to our understanding of forced migrants' agency to transform places and produce fluid lived spaces to reduce the impact of marginalization in relocation contexts.",IDPs,urban,marginality,trans-local,mobility,MIGRATION,VILLAGE,SPACES,,,,,,,,,,,,,,,,,,
Row_197,"Fernandez-Aguilar, Carmen; Brosed-Lazaro, Marta; Carmona-Derqui, Demetrio",Effectiveness of Mobility and Urban Sustainability Measures in Improving Citizen Health: A Scoping Review.,International journal of environmental research and public health,2023-02-01,3,"BACKGROUND: The relationship between mobility and health has multiple dimensions, and the mobility model can be considered a public health intervention. Increasingly, mobility in cities is oriented towards incorporating sustainability criteria; however, there are many very diverse measures that cities carry out in terms of mobility and urban sustainability, and in many cases, these do not receive subsequent evaluation and/or study to analyse their effectiveness or impact. Currently, the literature does not offer any updated review of the measures applied in the different communities and countries.AIM: To carry out a panoramic review of the measures implemented in the last 5 years to analyse which ones report a greater effectiveness and efficiency in health.RESULTS: After applying the exclusion criteria of the study, a total of 16 articles were obtained for evaluation. The measures applied in terms of sustainability are grouped into four subgroups and their subsequent evaluation and possible impact on public health is analysed.CONCLUSIONS: The present study found a large heterogeneous variety of sustainability measures in local settings around the world, which seem to reflect positive impacts on population health. However, subsequent evaluation of these measures is inconclusive in most cases. Further research and sharing across macro-communities are needed to establish universal criteria.",,,,,,,,,,,,,,,,,,,,,,,,,,
Row_198,"Isik, OK (Isik, Oguz Kagan) [1] ; Petrunin, I (Petrunin, Ivan) [1] ; Tsourdos, A (Tsourdos, Antonios) [1]",Machine Learning-Based Environment-Aware GNSS Integrity Monitoring for Urban Air Mobility,DRONES,NOV 2024,0,"The increasing deployment of unmanned aerial vehicles (UAVs) in urban air mobility (UAM) necessitates robust Global Navigation Satellite System (GNSS) integrity monitoring that can adapt to the complexities of urban environments. The traditional integrity monitoring approaches struggle with the unique challenges posed by urban settings, such as frequent signal blockages, multipath reflections, and Non-Line-of-Sight (NLoS) receptions. This study introduces a novel machine learning-based GNSS integrity monitoring framework that incorporates environment recognition to create environment-specific error models. Using a comprehensive Hardware-in-the-Loop (HIL) simulation setup, extensive data were generated for suburban, urban, and urban canyon environments to train and validate the models. The proposed Natural Gradient Boosting Protection Level (NGB-PL) method, leveraging the uncertainty prediction capabilities of the NGB algorithm, demonstrated superior performance in estimating protection levels compared to the classical methods. The results indicated that environment-specific models significantly enhanced both accuracy and system availability, particularly in challenging urban scenarios. The integration of environment recognition into the integrity monitoring framework allows the dynamic adaptation to varying environmental conditions, thus substantially improving the reliability and safety of UAV operations in urban air mobility applications. This research offers a novel protection level (PL) estimation method and a framework tailored to GNSS integrity monitoring for UAM, which enhances the availability with narrower PL bound gaps without yielding higher integrity risks.",GNSS,navigation,UAM,UAV,protection level,,,,,,,,,,,,,,,,,,,,,
Row_199,"Carlston, K (Carlston, Kelsey) [1] ; Wei, YD (Wei, Yehua Dennis) [2]",Urban Sprawl and Intergenerational Mobility: City- and Neighborhood-Level Effects of Sprawl,ECONOMIC DEVELOPMENT QUARTERLY,NOV 2024,0,"Characteristics of sprawl, like decreased social cohesion and lower accessibility to jobs and services, could negatively affect economic opportunity and intergenerational mobility. City-level studies have found mixed results, but neighborhood effects have been largely ignored. This study uses census tract and city-level data in a multilevel model to develop a richer understanding of the scale-dependent relationship between sprawl and intergenerational mobility. The authors found that a 1 standard deviation (SD) increase in sprawl at the tract level is associated with a 0.07 SD decrease in upward economic mobility, while a 1 SD increase in city-level sprawl is associated with a 0.08 SD decrease. Sprawl negatively affects upward intergenerational mobility at the metropolitan level and the census tract level. The negative relationship of economic outcomes to sprawl does not hold for high-income children, indicating that there may be conflicting benefits for different income families. Policy makers should understand these conflicting pressures.",economic mobility,social mobility,urban sprawl,compact development,INCOME INEQUALITY,SOCIAL-MOBILITY,SEGREGATION,OPPORTUNITY,MECHANISMS,GHETTOS,,,,,,,,,,,,,,,,
Row_200,"Yussif, AM (Yussif, Abdul-Mugis) [1] ; Zayed, T (Zayed, Tarek) [1] ; Taiwo, R (Taiwo, Ridwan) [1] ; Fares, A (Fares, Ali) [1]",Promoting sustainable urban mobility via automated sidewalk defect detection,SUSTAINABLE DEVELOPMENT,OCT 2024,1,"Encouraging sustainable mobility through sidewalk condition improvement is a critical concern for urban transportation. Sidewalk condition affects pedestrian safety, satisfaction, and mobility inclusiveness. Early sidewalk defect detection and repair ensure transport justice by addressing pedestrian inequality caused by walkability issues. This study presents novel Sidewalk Defect Detection Models (SDDMs) using computer vision to identify and delineate sidewalk defect boundaries accurately. The SDDMs provide a cost-effective and efficient sidewalk inspection method, achieving high accuracy in recognizing defects for concrete and brick materials (mIoU of 0.91 and mAP of 0.99 for concrete, mIoU of 0.90, and mAP of 0.97 for brick). Integrated with Google Street View for data acquisition, it offers a rapid solution for monitoring sidewalk conditions remotely, promoting sustainability through timely repairs. This research provides significant advancements in urban planning and transport research, ultimately improving pedestrian safety and satisfaction. Thus, it makes human settlements more inclusive, safe, and sustainable.",automated sidewalk defect detection,computer vision,pedestrian inclusiveness,pedestrian safety,sustainable mobility,walkability,SAFETY,,,,,,,,,,,,,,,,,,,
Row_201,"Parsons, L (Parsons, Laurie) [1] ; Lawreniuk, S (Lawreniuk, Sabina) [2]",Geographies of ruralisation or ruralities? The death and life of a category,DIALOGUES IN HUMAN GEOGRAPHY,JUL 2022,6,"The rural sphere has suffered from underrepresentation in recent years in part due to growing interest in the urban. A perhaps equally important aspect of the decline has been the troubling of the spatial boundaries that define the rural and urban among scholars of mobilities and translocality. Exploring the decline of the rural in relation to these literary works, this commentary interrogates current geographical thinking on spatial categories, positing the concept of ruralities as a means to reinvigorate rural space on its own terms.",Mobilities,rural,ruralisation,ruralities,translocal,LABOR MIGRATION,MOBILITIES,UNEMPLOYMENT,ECONOMICS,,,,,,,,,,,,,,,,,
Row_202,"Bess, MK (Bess, Michael K.) [1] , [2] , [3]","Paved Over: At the Intersection of Urban Mobility, Class Politics, and the Limits of Power in Mexico City, 1920s-1960s",JOURNAL OF URBAN HISTORY,SEP 2023,0,"The mid-twentieth-century history of urban modernization and mobility in Mexico City was intertwined with political violence. It ranged from the forceful clearing of a working-class community to make way for a stadium parking lot to the ""slow violence"" of denying people access to trolleys to transport their goods or weaponizing transit policy to reward friends and punish rivals. This article shows how these activities reflected the increasingly violent decisions of an indifferent national and local elite rooted in Mexico City's political reorganization, which created a powerful, centralized, and unelected bureaucracy: the Department of the Federal District. Public officials, engineers, business leaders, everyday citizens, and newspapers contested issues related to urban mobility. These engagements shaped how people lived and moved in the district and were affected by class politics. They also provoked new configurations for democratic intervention that led people to organize, protest, and resist state power in Mexico City.",populism,bureaucracy,mobility,infrastructure,environment,,,,,,,,,,,,,,,,,,,,,
Row_203,"Csutora, M (Csutora, Maria) [1] ; Zsóka, A (Zsoka, Agnes) [1]",Crises as incubators of sustainable mobility patterns? Evidence from two shock events,SUSTAINABLE DEVELOPMENT,DEC 2023,4,"This paper promotes our understanding of how crises accelerate systemic sustainability-related changes in our transforming societies using the example of mobility. Not only is the magnitude of the mobility carbon footprint large, but its dynamics make reducing it very challenging. Our paper addresses the impact of crises on the transformation of mobility patterns, including short-distance mobility and holiday tourism. A first study was conducted after the 2008-2010 crisis using focus-group participatory systems mapping. This found that when people are forced to change their habits for financial reasons, they adapt holiday travel first. Nonetheless, participants were just as satisfied with domestic destinations, provided they could spend time with loved ones. The second study focused on the COVID-19 crisis. Participants missed foreign travel, so some rebound seems inevitable. However, the crisis has been an incubator of changes in urban mobility that could reduce carbon footprints in the longer term and offset the prospective increase in tourism. Recent changes have been more profound and innovative than those during the 2008-2010 crisis.",COVID-19,crisis,mobility patterns,subjective well-being,tourism,transformation,urban mobility,MODEL,,,,,,,,,,,,,,,,,,
Row_204,"Thompson, EL (Thompson, Ellis L.) [1] ; Xu, Y (Xu, Yan) [2] ; Wei, P (Wei, Peng) [1]",A Framework for Operational Volume Generation for Urban Air Mobility Strategic Deconfliction,"2023 INTERNATIONAL CONFERENCE ON UNMANNED AIRCRAFT SYSTEMS, ICUAS",2023,2,"Strategic pre-flight functions focus on the planning and deconfliction of routes for aircraft systems. The urban air mobility concept calls for higher levels of autonomy with onboard and en route functions but also strategic and pre-flight systems. Existing endeavours into strategic pre-flight functions focus on improving the route generation and strategic deconfliction of these routes. Introduced with the urban air mobility concept is the premise of operational volumes. These 4D regions of airspace, describe the intended operational region for an aircraft for finite time. Chaining these together forms a contract of finite operational volumes over a given route. It is no longer enough to only deconflict routes within the airspace, but to now consider these 4D operational volumes. To provide an effective all-in-one approach, we propose a novel framework for generating routes and accompanying contracts of operational volumes, along with deconfliction focused around 4D operational volumes. Experimental results show efficiency of operational volume generation utilising reachability analysis and demonstrate sufficient success in deconfliction of operational volumes.",,,,,,,,,,,,,,,,,,,,,,,,,,
Row_205,"Pratama, MR (Pratama, Muhammad Reza) [1] ; Alfiana, MU (Alfiana, Marizkia Uli) [2] ; Muttaqin, MF (Muttaqin, Muhammad Farid) [1]",Smart urban mobility: transport planning in the age of big data and digital twins,EUROPEAN PLANNING STUDIES,MAY 2024,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_206,"Rodríguez-Hernández, KL (Lizette Rodriguez-Hernandez, Karen) [1] ; Narezo-Balzaretti, J (Narezo-Balzaretti, Jorge) [1] , [2] ; Gaxiola-Beltrán, AL (Luisa Gaxiola-Beltran, Ana) [1] ; Ramírez-Moreno, MA (Adolfo Ramirez-Moreno, Mauricio) [1] ; Pérez-Henríquez, BL (Perez-Henriquez, Blas Luis) [3] ; Ramírez-Mendoza, RA (Ambrocio Ramirez-Mendoza, Ricardo) [1] ; Krajzewicz, D (Krajzewicz, Daniel) [4] ; Lozoya-Santos, JDJ (De-Jesus Lozoya-Santos, Jorge) [1]","The Importance of Robust Datasets to Assess Urban Accessibility: A Comparable Study in the Distrito Tec, Monterrey, Mexico, and the Stanford District, San Francisco Bay Area, USA",APPLIED SCIENCES-BASEL,DEC 2022,6,"Urban planning has a crucial role in helping cities meet the United Nations' Sustainable Development Goals and robust datasets to assess mobility accessibility are central to smart urban planning. These datasets provide the information necessary to perform detailed analyses that help develop targeted urban interventions that increase accessibility in cities as related to the emerging vision of the 15 Minute City. This study discusses the need for such data by performing a comparative urban accessibility analysis of two university campuses and their surrounding urban areas, here defined as the Stanford District, located in the San Francisco Bay Area in the United States, and Distrito Tec in Monterrey, Mexico. The open-source tool Urban Mobility Accessibility Computer (UrMoAC) is used to assess accessibility measures in each district using available data. UrMoAC calculates distances and average travel times from block groups to major destinations using different transport modes considering the morphology of the city, which makes this study transferable and scalable. The results show that both areas have medium levels of accessibility if cycling is used as the primary mode of transportation. Hence, improving the safety and quality of cycling in both cities emerges as one of the main recommendations from the research. Finally, the results obtained can be used to generate public policies that address the specific needs of each community's urban region based on their accessibility performance.",urban accessibility,smart cities,smart mobility,open-source technology,SUSTAINABLE CITIES,INDICATORS,,,,,,,,,,,,,,,,,,,,
Row_207,"Acheampong, RA (Acheampong, Ransford A.) [1] ; Cugurullo, F (Cugurullo, Federico) [2] ; Staricco, L (Staricco, Luca) [3] ; Brovarone, EV (Brovarone, Elisabetta Vitale) [3]",Autonomous mobility transitions-Socio-spatial dimensions and the role of urban planning and policy,CITIES,SEP 2024,0,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_208,"Luka, N (Luka, Nik) [1] , [2]","Walking beyond the city? On the importance of recreational mobilities for landscape planning, urban design, and public policy",MOBILITIES,SEP 3 2023,3,"Walking engenders many descriptive, normative, and speculative debates. This article reviews work done in the interventionist realms of landscape planning, urban design, and public policy, where attention is increasingly being paid to walking (as a matter of fact) and its often-prescriptive corollary of 'walkability' (as a matter of concern). What patterns of critical engagement are seen in work on how, why, and where people walk? I explore how (a) the so-called compact city is seen as the only context where walking and other 'soft' modes of everyday mobility meaningfully occurs, and (b) scholarly debates on self-propelled movement seem to focus too narrowly on necessary or utilitarian activity. Recreational mobilities at various temporal and spatial scales thus tend to be overlooked or ignored altogether. Drawing on the interdisciplinary explorations presented in this special issue of Mobilities, a provisional agenda for research and practice is presented. Suggestions are made as to how one might approach the dense, compact city (as phenomenon and as normative impulse in spatial planning) in new ways by foregrounding walking as a widespread example of 'discretionary' mobility, i.e., as optional movement in space.",Walking,walkability,recreational mobilities,active transport,landscape planning,urban design,policy,>,NEIGHBORHOOD WALKABILITY,BUILT ENVIRONMENT,HEALTH,TRAVEL,TIME,SPACE,PERCEPTIONS,PEDESTRIANS,TRANSPORT,STATIONS,,,,,,,,
