,author,title,journal/conference/book,publish time,citation,abstract,keywords
Row_66,"Zhdanova, OL (Zhdanova, O. L.) [1] ; Frisman, EY (Frisman, E. Ya.) [2]",On the Genetic Divergence of Migration-Coupled Populations: Modern Modeling Based on the Experimental Results of Yu.P. Altukhov et al.,RUSSIAN JOURNAL OF GENETICS,JUN 2023,0,"The possibility of stable differences over a distribution range with homogenous selection appears somewhat paradoxical from the point of view of population genetics; however, disruptive selection in particular can lead to such a divergence. Examples of population systems with stable divergence of the genetic structures of subpopulations inhabiting a homogeneous range occur in nature and experimental systems. Comparison of these observations and the results of modeling allow us to explain the persisting stability of natural genetic divergence by the mechanism of interaction between disruptive selection (in the form of the reduced fitness of hybrid forms) and a weak migration process. This is supported by the results of experiments performed by Yu.P. Altukhov et al. on box populations of Drosophila melanogaster, in which the primary divergence of the subpopulation genetic structures at the alpha-GDH locus was achieved. We can assume that disruptive selection, in this case, the reduced fitness of alpha-GDH heterozygotes, played a significant role in maintaining this divergence. An alternative hypothesis suggests the differences were fixed as a result of genetic drift. On the one hand, to identify and substantiate the possibility of this factor being present in a given system, and, on the other hand, to assess the significance of the disruptive selection for maintaining the stability of primary genetic divergence, we analyze mathematical models of the dynamics of allele frequencies in a large panmictic population and in a system of 30 local migration-coupled populations. Comparison of the simulation results with the experiment allows us to conclude with a high probability that in the studied experimental population system, disruptive selection at the alpha-GDH locus occurs and facilitates primary genetic divergence.",Author Keywordsevolutionnatural selectiongenetic driftmathematical modelingpolymorphismDrosophila melanogasterKeywords PlusSTEPPING-STONE MODELDROSOPHILA-MELANOGASTERNATURAL-POPULATIONSRATTUS-RATTUSPOLYMORPHISMSYSTEMMAINTENANCESELECTIONEVOLUTION
Row_67,"Márton, L (Marton, Lorinc) [1] , [2]",Control-oriented Modelling of Spatial Interaction-driven Migration,"2021 IEEE INTERNATIONAL CONFERENCE ON SYSTEMS, MAN, AND CYBERNETICS (SMC)",2021,1,This study proposes a dynamic model to describe the long-term dynamic behavior of migration among interconnected habitats. The proposed model considers the inter-influence of generalized logistic growth models and the spatial interaction models especially the effect of the carrying capacities of the habitats on migration. It is shown that the model is suitable to develop migration cost-based control methods. A control design approach is also proposed to ensure the avoidance of excessive population outflow from less viable habitats. Simulation results are presented to show the applicability of the introduced modeling and control approaches.,
Row_68,"Yu, Jiang[1] ; Tian, Yong[1] ; Jing, Hao[1] ; Sun, Taotao[1] ; Wang, Xiaoli[1] ; Andrews, Charles B.[1] ; Zheng, Chunmiao[1]",Predicting Regional Wastewater Treatment Plant Discharges Using Machine Learning and Population Migration Big Data,ACS ES&T Water,MAR 6 2023,11,"Quantifying the temporal variation of wastewater treatment plant (WWTP) discharges is essential for water pollution control and environment protection in metropolitan areas. This study develops an ensemble machine learning (ML) model to predict discharges from WWTPs and to quantify the contribution of extraneous water (mixed precipitation and infiltrated groundwater) by leveraging the power of ML and population migration big data. The approach is applied to predict the discharges at 265 WWTPs in the Guangdong-Hong Kong-Macao Greater Bay Area (GBA) in China. The major conclusions are as follows. First, the ensemble ML model provides an efficient and reliable way to predict WWTP discharges using data easily accessible to the public. The predicted treated sewage amount increased from 20.4 x 106 m3/day in 2015 to 24.5 x 106 m3/day in 2020. Second, the predictors, including daily precipitation, average precipitation of past proceeding days, daily temperature, and population migration, play different roles in predicting different city's discharges. Finally, mixed precipitation and infiltrated groundwater account for, on average, 1.6 and 10.3% of total discharges from WWTPs in the GBA. This study represents the first attempt to bring population migration big data into data-driven environmental engineering modeling and can be easily extended to predict other environmental variables of concern.",
Row_69,"Sergeeva, KN (Sergeeva, K. N.) [1] ; Sokorev, SN (Sokorev, S. N.) [1] ; Goncharova, YI (Goncharova, Y. I.) [1] ; Nevinnykh, AS (Nevinnykh, A. S.) [1] ; Batlutskaya, IV (Batlutskaya, I. V.) [1] ; Sorokina, IN (Sorokina, I. N.) [1]",Dynamics of the Population Structure of Belgorod Oblast. Malecot's Isolation by Distance,RUSSIAN JOURNAL OF GENETICS,SEP 2024,2,"The article presents the results of assessing the dynamics of parameters of Malecot's isolation by distance model among the population of Belgorod oblast from 1978-1980 to 2016-2018. When compared with data for 1890-1910 and 1951-1953 on average for the region, an increase in the root-mean-square distances between the places of birth of spouses was established taking into account long-distance migrations (6.9 times) and without them (13.3 times), as well as effective migration pressure (1.5 times), and there was a decrease in the coefficient of linear systematic pressure (11 times) and the effective population size (1.3 times). The level of local inbreeding decreased significantly among the urban population and remained unchanged among the rural population. The most pronounced changes in the parameters of Malecot's isolation by distance model occurred in the middle to the second half of the 20th century. The differences in most indicators of Malecot's isolation by distance model between city and village, maximally expressed at the end of the 19th century, decreased over the course of generations and were practically leveled out by 2016-2018.",Author KeywordsMalecot's isolation by distance modellocal inbreedingKeywords PlusUKRAINIAN URBAN POPULATIONSGENETIC DEMOGRAPHYMARRIAGE-MIGRATIONPARAMETERS1990SPOOLFLOW
Row_70,"Benjamin, JR (Benjamin, Joseph R.) [1] ; Dunham, JB (Dunham, Jason B.) [2] ; Scheidt, N (Scheidt, Nicholas) [3] ; Rothenbuecher, C (Rothenbuecher, Carla) [3] , [4] ; Sipher, C (Sipher, Cory) [3]",Assisted migration of coho salmon: Influences of passage and habitat availability on population dynamics,RIVER RESEARCH AND APPLICATIONS,DEC 2024,0,"Assisted migration is a means of introducing a species into a previously unoccupied area. Although this idea is relatively new for many species, there are many extant examples involving fish that can be instructive. We studied a case of assisted migration where upstream access of migrating adult coho salmon Oncorhynchus kisutch over a naturally impassible barrier was established through construction of fish ladders. Although these passage structures have successfully allowed coho salmon to colonize upstream locations, managers had concerns regarding how efficiently these structures passed fish, as well as questions regarding access to specific upstream habitats, and passage barriers further upstream. To address these concerns, we developed a stage-based population model to explore: (1) influences of passage over structures, (2) rearing habitats upstream of the structures, and (3) consequences of additional barriers to passage in the system. Model simulations suggest high fish passage at the ladders was associated with the highest smolt and adult abundance of coho salmon. The importance of passage was strongly influenced by juveniles rearing in a lake, where increased lake rearing at each passage scenario increased abundance of smolts and adults. Opening habitat further upstream was estimated to increase adult and smolt abundance up to 12%. Results of model simulations also helped to identify uncertainties that could be evaluated further (e.g., juvenile rearing in the lake). In general, our findings point to the importance of considering a full range of processes that can drive expected outcomes for assisted migration.",Author Keywordsdemographic modelfish laddersOncorhynchus kisutchupstream migrationKeywords PlusONCORHYNCHUS-KISUTCHSURVIVALSIZEGROWTHSTREAMCOLONIZATIONMORTALITYMOVEMENTSUCCESSFISHES
Row_71,"Zou, JX (Zou, Jingxian) [1] ; Ji, RD (Ji, Rundong) [2] ; Mao, R (Mao, Rui) [3] , [4]",The two-way interaction between population aging and industrial transformation,ECONOMICS OF TRANSITION AND INSTITUTIONAL CHANGE,APR 2022,4,"This study examines the relationship between the labour-force age structure and industry composition in a multi-region and multi-sector framework. Relying on a panel dataset of Chinese provinces, the simultaneous equations model reveals two-way influences between age and industrial structures. Population aging induces a (an) reduced (increased) secondary-sector (tertiary-sector) employment share. The industrial structure then changes the age structure of the local labour force via the migrations of young workers as non-agricultural sectors expand. With an improved Leslie model, we predict a province-level population aging and industry structure trend. Accordingly, municipalities, developed coastal provinces and the three northeastern provinces face greater pressure from population aging and a rapid structural, industrial transformation. Further considerations of the 'two-child policy' via simulation results show that relaxed birth restrictions could slow population aging in some but not all these provinces.",Author Keywordsage structureindustrial structuresimultaneous equations modelKeywords PlusECONOMIC-GROWTHSTRUCTURAL-CHANGEMIGRATIONCHINAPRODUCTIVITYDYNAMICSSERVICESMODEL
Row_72,"Liu, YX (Liu, Yuxi) [1] ; Qin, SW (Qin, Shaowen) [1] ; Zhang, ZH (Zhang, Zhenhao) [2]",Epidemic Modeling of the Spatiotemporal Spread of COVID-19 over an Intercity Population Mobility Network,ADVANCES AND TRENDS IN ARTIFICIAL INTELLIGENCE: THEORY AND PRACTICES IN ARTIFICIAL INTELLIGENCE,2022,0,"Intercity traveling has been recognized as a leading cause for the continuation of the COVID-19 global pandemic. However, there lacks credible prediction of the spatiotemporal spread of COVID-19 with humans traveling between metropolitan areas. This study attempts to establish a novel framework to simulate human traveling and the spread of virus across an intercity population mobility network. A Markov process was introduced to capture the stochastic nature of travelers' migration. A backward derivation algorithm was adopted and the Nelder-Mead simplex optimization method applied to overcome the limitation of existing deterministic epidemic models, including the difficulties in estimating the initial susceptible population and the optimal hyper-parameters required for simulation. We conducted two case studies with data from 24 cities in China and Italy. Our framework yielded state-of-the-art accuracy while being modular and scalable, indicating the addition of population mobility and stochasticity significantly improves prediction performance compared to using epidemic data alone. Moreover, our results revealed that transmission patterns of COVID-19 differ significantly with different population mobility, offering valuable information to the understanding of the correlation between traveling activities and COVID-19 transmission.",Author KeywordsEpidemic modelingCOVID-19Spatiotemporal analysisPopulation mobilityKeywords PlusDISEASE
Row_73,"Madeira, AG (Madeira, Andre Guilherme) [1] ; Tsuda, Y (Tsuda, Yoshiaki) [2] ; Nagano, Y (Nagano, Yukio) [3] , [4] ; Iwasaki, T (Iwasaki, Takaya) [5] ; Zucchi, MI (Zucchi, Maria Imaculada) [6] ; Kajita, T (Kajita, Tadashi) [4] , [7] ; Mori, GM (Mori, Gustavo Maruyama) [1]",The role of oceanic currents in the dispersal and connectivity of the mangrove Rhizophora mangle on the Southwest Atlantic region,MOLECULAR ECOLOGY RESOURCES,MAY 2023,1,"Dispersal is a crucial mechanism to living beings, allowing them to reach new resources such that populations and species can occupy new environments. However, directly observing the dispersal mechanisms of widespread species can be costly or even impractical, which is the case for mangrove trees. The influence of ocean currents on mangrove dispersal is increasingly evident; however, few studies mechanistically relate the patterns of population distribution with the dispersal by oceanic currents under an integrated framework. Here, we evaluate the role of oceanic currents on connectivity of Rhizophora mangle along the Southwest Atlantic. We inferred population genetic structure and migration rates, simulated the displacement of propagules and tested our hypotheses with Mantel tests and redundancy analysis. We observed populations structured in two major groups, north and south, which is corroborated by other studies with Rhizophora and other coastal plants. Inferred recent migration rates do not indicate ongoing gene flow between sites. Conversely, long-term migration rates were low across groups and contrasting dispersal patterns within each one, which is consistent with long-distance dispersal events. Our hypothesis tests suggest that both isolation by distance and isolation by oceanography (derived from the oceanic currents) can explain the neutral genetic variation of R. mangle in the region. Our findings expand current knowledge of mangrove connectivity and highlight how the association of molecular methods with oceanographic simulations improve the interpretation of the dispersal process. This integrative approach is a cost- and time-efficient strategy to include dispersal and connectivity data into marine protected areas planning and management.",Author KeywordsLDDmigration ratesRAD-seqRhizophoraceaeseascape geneticsKeywords PlusLONG-DISTANCE DISPERSALGENE FLOWPOPULATION SUBDIVISIONWIND POLLINATIONGENOME SCANSR PACKAGEMODELPLANTFRAMEWORKLOCI
Row_74,"Huang, Z.; Zhang, L.; Zhao, S.",An Analog Simulation Study Based on Longe-Kuta and Cellular Automata Model,"2024 IEEE 2nd International Conference on Control, Electronics and Computer Technology (ICCECT)",2024,0,"This paper will consider the interaction between the sex ratio of the research subject and the resource and environment, and build a growth model based on the Logistic model. Secondly, considering the internal competition of the subjects and the network competition with other subjects, the intra-species competition model and interspecific competition model were constructed by combining the Lotka-volterra model. Then, the migration dynamics were model considering the migration characteristics of the subjects. Finally, four models were integrated to construct ecological models of the different sex populations. Then the Longe-Kuta method is used for numerical simulation, and then the basic connections in the actual biological network are considered to establish the cellular automata model. By comparing the initial and final RGB visualization, the growth advantage of the research object is analyzed.",analog simulation studycellular automata modeldifferent sex populationsecological modelsgrowth modelinternal competitioninterspecific competition modelintra-species competition modelLogistic modelLonge-Kuta methodLotka-volterra modelnetwork competitionresearch subjectsex ratio
Row_75,"Cretulescu, A (Cretulescu, Andreea) [1]",Long-Term Labor Force Projections in Romania: An Analysis Based on Data on the Economic Impact of Population Aging,PROCEEDINGS OF THE INTERNATIONAL CONFERENCE ON BUSINESS EXCELLENCE,JUN 1 2024,0,"In the last 30 years, Romania has faced one of the most significant migration phenomena globally, losing over two million inhabitants according to official statistics. However, these figures are reported based on the registered domicile of the population, with many immigrants avoiding changing their residence in Romania, even though they live and work in other countries for decades. This migration has primarily affected the active population, leading to an increasing deficit in Romania's labor market in recent years. Current estimates already indicate a shortage of personnel in sectors such as technology, healthcare, education, or construction. For the year 2024, Romania has approved a new quota of 100,000 foreign workers to address this issue. This decision was made due to the high number of work permit requests in the last 12 months and the significant number of job vacancies reported by employers. This study aims to use methodologies employed by the OECD and the European Commission to project long-term labor force trends in Romania (until 2070) in comparison with other EU member states, anticipating the economic impact of population aging.",Author KeywordsLabor marketlong-term labor forceRomania's economyactive populationmigrationCohort-Simulation Model (CSM)
Row_76,"Sergeeva, KN (Sergeeva, K. N.) [1] ; Sokorev, SN (Sokorev, S. N.) [1] ; Goncharova, YI (Goncharova, Y. I.) [1] ; Nevinnykh, AS (Nevinnykh, A. S.) [1] ; Batlutskaya, IV (Batlutskaya, I. V.) [1] ; Sorokina, IN (Sorokina, I. N.) [1]",The Change in the Population Structure of the Kursk and Voronezh Guberniya in the First Half of the 20th Century. Malecot's Isolation by Distance,RUSSIAN JOURNAL OF GENETICS,SEP 2024,3,"The article presents the results of assessing the variability of parameters of Malecot's isolation by distance model among the population of Kursk and Voronezh governate from 1890-1910 to 1951-1953. Over 60 years, there was an increase in the level of local inbreeding (2.8 times) and root-mean-square distances between the places of birth of spouses taking into account long-distance migrations (3.7 times) and without them (5.44 times) and a decrease in the effective population size (2.8 times) and the coefficient of linear systematic pressure (4.5 times).",Author KeywordsMalecot's isolation by distance modellocal inbreedingKeywords PlusUKRAINIAN URBAN POPULATIONSGENETIC DEMOGRAPHYRURAL POPULATIONSMIGRATION1990SPARAMETERSDYNAMICSPOOLFLOW
Row_77,"Chen, Hui[1] ; Wang, Yi-Han[1] ; Ma, Yi-Bo[1] ; Li, Xin-Ran[1] ; Yu, Dai-Hong[1] ; Yang, Xue-Li[1] ; Lu, Hui[1] ; Tian, Wei-Dong[1] ; Chen, Ai-Dong[1] ; Hu, Gao[1]",Migration routes and source population of migratory Spodoptera frugiperda in southern Yunnan,Chinese Journal of Applied Entomology,2023,0,"[Objectives] To investigate the migration of Spodoptera frugipeda in southern Yunnan and identify the source of migrating insects. [Methods] An automatic searchlight trap was used to systematically monitor the movements and population dynamics of S. frugipeda in southern Yunnan in 2020. We inferred the source population based on trapping data, and by integrating meteorological data with insect flight trajectory simulation. [Results] S. frugipeda moths were caught all year round, and there were multiple monthly peaks of abundance from March to April and June to October. The population dynamics of S. frugipeda in this region is complex, with populations comprised of varying proportions of local and migrating individuals in different seasons. From January to February, most moths were of local origin and are unable to migrate northward due to low temperatures. From March to April, captures consisted of a mix of locally bred and immigrant moths, with emigrating moths that reach Guizhou and Guangxi primarily originating from southeastern Myanmar. From May to July, a higher proportion of moths were captured in the latter half of the night in Jiangcheng, indicating immigration from outside China, whereas in Yuanjiang, most moths were captured in the first half of the night, indicating continuous northward migration. From August to October, the proportion of moths captured throughout the night stabilized, indicating a mixture of local and immigrant moths. Most immigrants came from locations within China such as Guizhou and Sichuan. Local moths are capable of migrating to other countries such as Myanmar. [Conclusion] These results provide sights into the population dynamics and migratory behavior of S. frugipeda in southern Yunnan, and also elucidate the immigration, emigration, and atmospheric factors that influence the migration of this species. These findings contribute to our understanding of S. frugipeda population dynamics in different seasons, thereby providing information to improve the monitoring of S. frugipeda, including providing early warning of outbreaks, not only in Yunnan, but also in other parts of China.",
Row_78,"Hamel, F (Hamel, Francois) [1] ; Lavigne, F (Lavigne, Florian) [1] , [2] , [3] ; Roques, L (Roques, Lionel) [2]",Adaptation in a heterogeneous environment I: persistence versus extinction,JOURNAL OF MATHEMATICAL BIOLOGY,AUG 2021,4,"Understanding how a diversity of plants in agroecosystems affects the adaptation of pathogens is a key issue in agroecology. We analyze PDE systems describing the dynamics of adaptation of two phenotypically structured populations, under the effects of mutation, selection and migration in a two-patch environment, each patch being associated with a different phenotypic optimum. We consider two types of growth functions that depend on the n-dimensional phenotypic trait: either local and linear or nonlocal nonlinear. In both cases, we obtain existence and uniqueness results as well as a characterization of the large-time behaviour of the solution (persistence or extinction) based on the sign of a principal eigenvalue. We show that migration between the two environments decreases the chances of persistence, with in some cases a 'lethal migration threshold' above which persistence is not possible. Comparison with stochastic individual-based simulations shows that the PDE approach accurately captures this threshold. Our results illustrate the importance of cultivar mixtures for disease prevention and control.",Author KeywordsMutationSelectionMigrationHeterogeneous environmentPersistenceExtinctionKeywords PlusLETHAL MUTAGENESISDYNAMICSEVOLUTIONMODELMIGRATIONSELECTIONEQUATIONSMUTATIONSYSTEMS
Row_79,"Turnock, Megan F.",Conservation Genetics and Population Viability Analysis of the Selkirk and Cabinet-Yaak Grizzly Bear Populations,University of Idaho,2024,0,"Population fragmentation affects numerous species throughout the world by reducing large, continuous populations into small remnant populations separated by barriers or unsuitable habitat. Small, fragmented populations face elevated risks of extinction and lose genetic diversity more quickly than larger populations. However, genetic diversity may be maintained if migration occurs between fragmented populations. Although fragmentation affects many species, large carnivores are particularly susceptible to fragmentation due to their large home ranges and potential for negative interactions with humans. Grizzly bears ( Ursus arctos ) in North America are one such example. In the lower 48 United States (U.S.), this species was reduced from a contiguous population across the western U.S. to five fragmented populations occupying just 2% of the species’ former range. The smallest of these populations are the Selkirk, Yaak, and Cabinet populations of Montana, Idaho, Washington, and British Columbia. These populations of approximately 100 bears or fewer were isolated for generations, but they have recently been experiencing increased gene flow due to natural connectivity and a population augmentation program. Due to the small size of these populations, they are reliant on connectivity to maintain genetic diversity, but the specific levels of migration and augmentation needed are not well understood. Long-term genetic sampling conducted in these populations presented a unique opportunity to evaluate trends in genetic diversity over approximately five bear generations, then model future genetic diversity and population growth rates under varying levels of migration and augmentation. In Chapter 1, we tested the hypothesis that genetic diversity increased as a result of gene flow into the Selkirk, Yaak, and Cabinet populations. We also estimated effective population size, an important parameter that determines how quickly a population will lose diversity due to genetic drift. Post gene flow, allelic richness increased in the Selkirk and Cabinet populations and pairwise relatedness decreased in all three populations, while heterozygosity did not significantly change in any population. Effective population size was 15.2-15.8, 15.4-17.5, and 5.6-8.9 for the Selkirk, Yaak, and Cabinet populations, respectively. Despite small effective population sizes, current levels of gene flow and augmentation appear to be maintaining or increasing genetic diversity in these populations. In Chapter 2, we used population viability analysis to model the effect of different migration and augmentation rates on genetic diversity and population growth rates in the Selkirk, Yaak, and Cabinet populations 100 years into the future. We found that genetic diversity was likely to increase and growth rates remained positive under baseline conditions in all three populations. Genetic diversity declined over the 100-year simulation period in the Selkirk and Yaak populations when migration rates were reduced below half of baseline rates, while population growth in the Yaak became negative when migration rates decreased below baseline. Population augmentation benefited genetic diversity and population growth in the Cabinet population, and we found that replacing augmentation with migration did not fully compensate for the loss of augmentation. Overall, our results demonstrate the beneficial impact of gene flow to small populations and provide a comprehensive genetic baseline for the Selkirk and Cabinet-Yaak grizzly bear populations that will be a useful comparison for future genetic monitoring.",
Row_80,"Guo, MW (Guo, Meng-wei) [1] ; Wang, JS (Wang, Jie-sheng) [1] ; Xie, W (Xie, Wei) [1] ; Guo, SS (Guo, Sha-sha) [1] ; Zhu, LF (Zhu, Ling-feng) [1]",Pseudo-parallel chaotic self-learning antelope migration algorithm based on mobility models,APPLIED INTELLIGENCE,FEB 2022,4,"Self-learning Antelopes Migration Algorithm (SAMA) is a self-heuristic algorithm that simulates the local exploitation of ordinary antelopes and the global exploration of scout antelopes. Aiming at the imbalance between exploitation and exploration of SAMA, it is easy to fall into local optimum, and the convergence speed and precision will be affected. A pseudo-parallel chaotic self-learning antelope migration algorithm based on mobility model is proposed. Nine chaotic self-learning antelope migration algorithms are formed by incorporating nine kinds of chaotic local searching operators, and the total population is divided into several sub-populations through meme grouping, and the internal circulation optimization is carried out by using nine chaotic SAMAs. After the internal cycle is completed, the five migration models will perform their migration operations and mutation operations to form the pseudo-parallel chaotic SAMA to increase the diversity of the population, improve the optimization accuracy and the ability of the algorithm to balance exploitation and exploration. Three simulation experiments are carried out to verify the effectiveness of the proposed algorithm. Firstly, the chaotic SAMA and the pseudo-parallel chaotic SAMA based on the mobility models are used to optimize 17 benchmark test functions. Secondly, 25 test functions in CEC-BC-2017 are optimized respectively. Finally, the four engineering design problems are optimized, including three-bar truss design, welded beam design, pressure vessel design and spring design problems. Experimental results show that the improved algorithm can better solve the function optimization and engineering optimization problems. The pseudo-parallel chaotic SAMA based on the mobility models has the advantage of balancing exploitation and exploration in the optimization process, and improves the convergence accuracy.",Author KeywordsSelf-learning antelopes migration algorithmChaotic mapMigration modelMemes groupingFunction optimizationConstrained optimizationKeywords PlusOPTIMIZATION ALGORITHM
Row_81,"Weng, ZY (Weng, Ziyang) [1] ; Hu, YD (Hu, Yidan) [1] ; Li, H (Li, Hui) [2] ; Tang, XY (Tang, Xiaoyu) [3] ; Weng, ZM (Weng, Zhimo) [4]",Ancient Migration Algorithm: A Behavioral Path Model Study of the Lowest-cost Goal from an Anthropological Perspective,"2022 IEEE/WIC/ACM INTERNATIONAL JOINT CONFERENCE ON WEB INTELLIGENCE AND INTELLIGENT AGENT TECHNOLOGY, WI-IAT",2022,0,"Based on the construction of the geographic data elevation model in the GIS environment, combined with the long-term paleoclimate data, this work realizes mountain snow accumulation, water level cutting and restoration, vegetation ecological simulation, restores the paleo-ecological geological structure, and restricts the migration algorithm. It is extended to the behavioral deduction of ancient human migration, and the path models with the lowest cost of human migration in harsh natural environments are established taking into account the geological diversity, namely the Forest-Water Model and the Snow Line Model. Through the deduction, the effective support of the original Altay population for the route to the north was obtained, the northward migration of the ethnic branch was completed by crossing the snow-capped mountain area.",Author Keywordsswarm intelligence algorithmroutes of ancient human activityancient geographical environmentAltay RegionKeywords PlusCLIMATE-CHANGEXINJIANGREGIONASIA
Row_82,Awang[1] ; Zhang Li-rong[1] ; Sun Jian-ping[1] ; Zhang Su-ren[1] ; Xia Lu[1] ; Wang Shi-ping[1],Research advance on the key factors affecting the migration of alpine grassland plants to high altitude or high latitude in Qinghai-Tibet Plateau,Shengtaixue Zazhi,MAY 2021,1,"In response to rapid climate warming, plants in the alpine grasslands of the Qinghai-Tibet Plateau are increasingly migrating to high altitude or high latitude. However, few studies have addressed the processes and mechanisms of species migration, which limits our comprehensive understanding the responses and adaptation of alpine plants to climate warming. In this re. view, we summarized related studies on plant migration and analyzed the key processes and mechanisms restricting plant migration to high altitude or high latitude in Qinghai-Tibet Plateau from the perspective of life history, including seed dispersal, seed germination, seedling establishment, and plant competition. Generally, seed dispersal is the main factor limiting the migration of alpine grassland plants to high altitude or high latitude. Seed germination and seedling establishment also play a role. The competition among mature plants may have limited influence on plant migration. Currently, many studies on Qinghai-Tibet Plateau focus on model simulation. In the future, long-term in situ observations and field manipulative experiments should be strengthened to clarify the processes and mechanisms underlying species migration in alpine grassland, which would provide theoretical basis for model simulation, biodiversity conservation, and ecosystem function maintenance.",
Row_83,Hengzhou Ye; Junhao Guo; Xinxiao Li,Task Migration for Cloudlet Federation Based on Improved Particle Swarm Optimization Algorithm,"International Journal of Innovative Computing, Information & Control",2024,0,"The CloudLet Federation (CLF) collaboratively provides edge computing services to mobile devices by sharing cloudlet resources from multiple CloudLet Providers (CLP). The task migration strategy in the scenario of CLF needs to pay attention to the new problems such as resource pricing and resource utilization of CLF when resources are shared between CLPs. By exploring the delay model of task offloading, and the pricing models of tasks and cloudlet resources leasing in CLF, we construct an optimization model of task migration based on the total profit of CLF. An improved particle swarm optimization algorithm, marked as GRPSO, is proposed to solve the model. GRPSO uses chaotic strategy to initialize the population, dynamically adjusts the inertia weight and learning factor according to the number of iterations and particle diversity, and promotes the population transition by combining the opposite-based learning strategy and the crossmutation idea of genetic algorithm. The effectiveness of the proposed scheme is verified by simulation experiments.",
Row_84,"Shang, C (Shang, Cheng) [1] ; He, S (He, Song) [1] ; Xu, ZW (Xu, Zuwei) [1] ; Kruis, FE (Kruis, Frank Einar) [2] ; Zhao, HB (Zhao, Haibo) [1]",Multivariate Monte Carlo simulation of spatiotemporally resolved nucleation from bismuth vapor,CHEMICAL ENGINEERING SCIENCE,MAR 15 2024,1,"Because numerical challenges are encountered when dealing with multiple variates for the population balance equation (PBE), the Monte Carlo (MC) simulation becomes promising to provide comprehensive records of the aerosol evolution. Based on a previous sub-model for particle migration coupled with computational fluid dynamics (CFD), an integrated CFD-PBMC method is developed to describe the multiple particle attributes in practical bismuth vapor-to-aggregate cases. Relevant sub-models are decoupled with appropriate timestep strategies, including the nucleation, condensation, particle transport and other dynamics processes. Parallel computing on the graphics processing unit (GPU) is applied to accelerate the simulation. Compared with cor-responding experiments and simulation, a larger nucleation zone is observed with slight differences in the nucleation rates, which suits the ""cut-off"" experiment better. Multiple variates of particles are well predicted while a slightly overestimated aerosol concentration is found, which are analyzed in detail on the basis of the spatiotemporal evolution.",Author KeywordsCFD-PBE simulationDifferentially weighted Monte CarloMultiple variatesGPU parallel computationNucleationKeywords PlusPOPULATION BALANCE EQUATIONHOMOGENEOUS NUCLEATIONSTOCHASTIC ALGORITHMPARTICLE COAGULATIONSURFACE-TENSIONDYNAMICSSOOT
Row_85,"Chumachenko, D.; Pyrohov, P.",Estimation of the migration impact on COVID-19 dynamics in slovakia by machine learning: simulation study during russian war in Ukraine,"2022 IEEE 9th International Conference on Problems of Infocommunications, Science and Technology (PIC S&T)",2022,0,"COVID-19 has rapidly spread worldwide and has been a public health problem for more than two years. Russia's full-scale invasion of Ukraine launched on February 24, 2022, brought killings and injuries to Ukrainians and affected the spread of infectious diseases. The escalation of the war led to a migration crisis. Slovakia became one of the countries that accepted a large number of refugees. The study uses machine learning to assess the impact of refugees from Ukraine on the dynamics of the COVID-19 epidemic process in Slovakia. To do this, a simulation model was built to predict new cases and deaths from COVID-19 a month before the escalation of the war and in the first month after. The high accuracy of modeling for both periods suggests that the forced migration of the Ukrainian population to Slovakia is not a decisive factor in the increase in the incidence of COVID-19 in the country.",
Row_86,"Ge, SS (Ge, Shi-shuai) [1] , [2] ; Zhang, HW (Zhang, Hao-wen) [2] ; Liu, DZ (Liu, Da-zhong) [2] ; Lv, CY (Lv, Chun-yang) [2] ; Cang, XZ (Cang, Xin-zhu) [2] ; Sun, XX (Sun, Xiao-xu) [3] ; Song, YF (Song, Yi-fei) [2] ; He, W (He, Wei) [1] , [2] ; Chu, B (Chu, Bo) [2] , [4] ; Zhao, SY (Zhao, Sheng-yuan) [2] ; Wu, QL (Wu, Qiu-lin) [5] ; Yang, XM (Yang, Xian-ming) [2] ; Wu, KM (Wu, Kong-ming) [2] ...More",Seasonal migratory activity of SPODOPTERA FRUGIPERDA (JE Smith) (Lepidoptera: Noctuidae) across China and Myanmar,PEST MANAGEMENT SCIENCE,NOV 2022,17,"Background The fall armyworm (FAW) Spodoptera frugiperda Smith (Lepidoptera: Noctuidae) invaded Myanmar and China in 2018 and greatly impacted agricultural production and ecosystem balance in these areas. FAW is a migratory insect, but its seasonal migration pattern between the two countries has been largely unknown. From 2019 to 2021, we monitored the seasonal migration of FAW in the China-Myanmar border area using a searchlight trap, assessed the reproductive development status of female migrants and traced the migratory routes by trajectory simulation. Results FAW moths were trapped by the searchlight trap in Lancang County (Yunnan, China) all year, with obvious seasonal differences in the number caught. There were small-scale persistent trapping peaks in spring and summer, and obvious peaks in autumn; only a small number of moths were trapped in winter. Examination of the ovaries of female moths collected in different seasons showed that most females had matured, indicating that the moths were migrating and did not take off from the local area. In the migration trajectory simulation, FAW mainly migrated from Myanmar to Southwest China in spring and summer and back to Myanmar in autumn. Conclusion Our findings indicate that FAW migrates between China and Myanmar according to the monsoon circulation, which will help guide cross-border regional monitoring and management strategies against this pest. (c) 2022 Society of Chemical Industry.",Author Keywordsfall armyworminvasive pestmigrationtrajectory simulationmovement ecologyKeywords PlusFALL ARMYWORMFLIGHTORIENTATIONROUTESRADARPATHWAYSINSECTSFIELDSRIVER
