,author1,author2,author3,title,journal/conference/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,author4,author5,author6,author7,author8,author9,author10,author11,author12,author13,author14
Row_94,Youmei Zhou,Jingjing Chen,Xiyu Zhang,How to Support the Decision-Making Process of Community Regeneration proposed by Evolutionary Game and Reinforcement Learning? A case study in Shanghai,"2022 IEEE Intl Conf on Dependable, Autonomic and Secure Computing; Intl Conf on Pervasive Intelligence and Computing; Intl Conf on Cloud and Big Data Computing; Intl Conf on Cyber Science and Technology Congress (DASC/PiCom/CBDCom/CyberSciTech)",2022,0,"Cyberspace offers more possibilities for public participation equality and public empowerment, with the possibility of projection and computation of integrated social, cultural and physical spaces, which is a new way of life and governance renewal. This project focuses on the research gap where the role of the updated iterations of physical space and social interaction on social attributes is unclear. This project proposes systematic decision support on community renewal, using deep reinforcement learning and evolutionary game modelling to build a conceptual framework for simulation, providing optimal solutions for different optimization goals to achieve artificial intelligence decision support. The paper provides inspiration for the application of computational decision-making support in urban governance such as community renewal.",,,,,,,,,,,,,,,,,,,Xiao Liu,Hao Lei,,,,,,,,,
Row_95,"Mahato, Binita","Retzlaff, Rebecca","Chen, Xi","Planning, Civil Rights, and African American Voting: The Case of Montgomery, Alabama",JOURNAL OF PLANNING EDUCATION AND RESEARCH,DEC 2024,1,"This paper explores the link between African American civil rights activism and city planning before the 1965 Voting Rights Act. Using historical and spatial analyses, we discern the relationship between civil rights activism and leadership, voter registration, and city planning in Montgomery, Alabama, concluding-planning and African American activism and voting coevolved-with three distinct periods of planning and civil rights activism. The article suggests that housing demolition sought to curb potential political power through voting and civil rights activism alongside maintaining racial segregation and creating economic development in the postwar era.",Civil Rights Movement,voter disenfranchisement,urban renewal plans,Montgomery,Alabama,URBAN-RENEWAL,POLITICS,,,,,,,,,,,,,,,,,,,,,,
Row_96,"Chen, Yizhong","Zhuang, Taozhi","Liu, Guiwen",A hybrid approach to supporting physical-change-based renewal projects selection decisions in high-density city: a case study of Chongqing,ENGINEERING CONSTRUCTION AND ARCHITECTURAL MANAGEMENT,AUG 15 2023,2,"Purpose The aims of this paper is to establish an appropriate physical-change-based renewal (PCBR) projects selection mechanism capable of selecting the combination of the PCBR projects that can make up an integrated urban renewal program in high-density cities. Design/methodology/approach The research design follows a sequential integrated methodology that combines the calculation algorithms of Fuzzy Analytic Network Process (Fuzzy-ANP) with Zero-One Goal Programming (ZOGP) to support decisions for the selection of PCBR projects. In the first phase, general criteria for assessing the sustainability performance of PCBR projects were collected from relevant literature. In the second phase, the Fuzzy-ANP was used to identify the priority weights of the candidate projects through clarifying the interdependent degree between the criteria and candidate projects. Finally, ZOGP method was selected as a predetermined number of PCBR projects among candidate projects. Findings The feasibility and effectiveness of this hybrid approach is then verified in a case study of Yuzhong District, Chongqing in China. The results of this study indicate that the integrated method is capable of directing the decision maker toward the best compromising solution of PCBR program that can achieve the maximization of sustainable benefits and allocate limited resources most efficiently. Originality/value The novelty of this paper consists in combining the algorithms of the Fuzzy-ANP method with those of the ZOGP model that serves as an effective analysis tool to address practical decision problems. This is the first hybrid algorithms to make PCBR projects selection decision that reach the maximization of the sustainable benefits, both in economic and socio-environmental terms.",Physical-change-based renewal project,Sustainability criteria,Hybrid approach,Project selection,ANALYTIC NETWORK PROCESS,SUSTAINABLE URBAN-RENEWAL,LAND-USE,REGENERATION,MODEL,PART,AHP,,,,,,,,,,,,,,,,,,
Row_97,,,,"Use of photo-elicitation interviews to explore urban landscape identity in the context of urban renewal changes, a case of Kisumu City, Kenya",Acta Structilia,2023,1,"Photo-elicitation interviews (PEIs) have been used in landscape studies with the aim of eliciting participant opinions through memories and feelings associated with images. PEI was used in this study to identify and discuss the main aspects that constitute the formation of the urban landscape identity of Kisumu City, Kenya. A total of 12 participants were purposively selected based on professions, sex and age, availability, and willingness to participate. The aim of this study was to elicit resident opinions about ongoing and completed urban renewal projects within Kisumu City, Kenya. First, the participants were asked which photos represented the city identity and contributed to its image. The responses were categorised under physical, sociocultural, and economic aspects. They were also expected to comment on the outcome of the ongoing and completed upgrading within the central business district of the city. The researcher took 28 photos of the various features within Kisumu City for discussion. PEI was used as a method to collect data in addition to other methods such as surveys whose findings have been presented in other papers. The findings revealed that Lake Victoria and its scenery were important both as a natural feature of the physical environment and for sociocultural contribution to the image of Kisumu City. Other features identified for both of these aspects were parks and public buildings within the city. The meaning aspect was also associated with these features with varying strengths. The vast majority of the participants were satisfied with the new look of Kisumu City, especially the revamped streets after the renewal projects.",Changes,Kisumu City,photo-elicitation interviews,postcolonial,urban landscape identity,urban renewal,,,,,,,,,,,,,,,,,,,,,,,
Row_98,"Virla, Juliana","Malizia, Matilde",,Socio-spatial manifestations of an urban renewal process. The case of the ex Abasto market in Tucuman city,REVISTA DE GEOGRAFIA NORTE GRANDE,MAY 2023,0,"The processes of urban renewal hide, behind a euphemistic and propagandistic discourse, the increasing commodification of cities and the deepening of social differences in the territory. They involve a restructuring of the dynamics of the spaces in which they are developed and entail material and immaterial transformations, led by private and/or public agents, causing the value of properties to rise and the consequent displacement and/or substitution, direct and indirect, of the resident population by other social groups with greater purchasing power. This article aims to identify, characterize and analyze the socio-spatial transformations that have occurred in a sector of the city where the former Mercado de Abasto is located; taking into account that these transformations are framed in a process of gentrification and social stratification through which there is the gradual replacement of the groups that traditionally lived and worked there by other groups with high economic incomes. It intends to focus the look on the current morphological and functional status of the plots identified and perceptions that residents and workers argue that changes to the area.",urban renewal,socio-spatial transformations,gentrification,Argentina northwestern,GENTRIFICATION,,,,,,,,,,,,,,,,,,,,,,,,
Row_99,"Malk, Mattias",,,"When the first train departs...Understanding the work of imaginaries in infrastructural renewal in Pa<spacing diaeresis>rnu, Estonia",JOURNAL OF TRANSPORT GEOGRAPHY,MAY 2024,0,"New international rail projects generate a host of expectations for development, especially in intermediate secondary city-regions. However, these expectations often hide the highly distributive effects of improved accessibility that depend on existing urban hierarchies. This paper challenges the simplistic view of infrastructure renewal addressing uneven geographical development and competitive urbanisation. Focusing on the planning process of Rail Baltic, a key Trans-European Transport Network megaproject, in the secondary city-region of Parnu, Estonia, it explores the constitutive work of imaginaries as structured expectations in shaping urban hierarchies and infrastructural renewal. By triangulating the analysis of planning documents and media accounts with expert interviews, the study outlines the variegated imaginaries of new rail projects at the regional scale. In particular, it makes visible and critiques how existing place-bound elites utilise imaginaries to influence major infrastructure projects in their favour. The findings contribute to understanding the challenges and opportunities of infrastructural renewal in secondary city-regions, and underline the need for a clear municipal strategy beyond equating increased accessibility with local development.",Uneven geographic development,Planning imaginaries,Transport infrastructures,Secondary city-regions,Rail Baltic,MULTIPLE,POLITICS,EUROPE,,,,,,,,,,,,,,,,,,,,,
Row_100,"Wang, Min","Zhang, Jiayin","Zou, Haixiang",Constructing an ideal home: Affective atmosphere creation as a public participation strategy for urban village renovation,CITIES,MAR 2024,4,"The public participation process in the renovation of urban villages should not only ensure procedural justice but also guide the affective integration of residents. This paper explores the public's perception of the participation space and the process of affective construction based on a visual study of the Luofeng village renovation in Guangzhou. The aim is to elucidate how the space can be employed to create an affective atmosphere as a strategy for the renovation. The study reveals that participants focused on visual symbols carrying the narrative of daily life, evoking a positive emotional response to these elements. The public participation space successfully establishes a homey atmosphere and achieves the affective reproduction of residents through the creation of its physical environment, residents' embodied practices within it, and negotiated interactions among different subjects. Drawing on the case study, we advocate for the public participation process in urban village renovation to consider residents' embodied affective experiences. It provides a practical model that surpasses mere representation, with the intention of offering a reference for sustainable urban renewal.",urban renewal,affective atmosphere,urban village,public participation,Home space,GEOGRAPHIES,LANDSCAPE,PLACE,,,,,,,,,,,"Huang, Zirou","Zhang, Longlong",,,,,,,,,
Row_101,"Xu, Y.","Olmos, L.E.","Mateo, D.",Urban Dynamics Through the Lens of Human Mobility [arXiv],arXiv,26 May 2023,0,"The urban spatial structure represents the distribution of public and private spaces in cities and how people move within them. While it usually evolves slowly, it can change fast during large-scale emergency events, as well as due to urban renewal in rapidly developing countries. This work presents an approach to delineate such urban dynamics in quasi-real-time through a human mobility metric, the mobility centrality index $\Delta KS$. As a case study, we tracked the urban dynamics of eleven Spanish cities during the COVID-19 pandemic. Results revealed that their structures became more monocentric during the lockdown in the first wave, but kept their regular spatial structures during the second wave. To provide a more comprehensive understanding of mobility from home, we also introduce a dimensionless metric, $KS_{HBT}$, which measures the extent of home-based travel and provides statistical insights into the transmission of COVID-19. By utilizing individual mobility data, our metrics enable the detection of changes in the urban spatial structure.",,,,,,,,,,,,,,,,,,,"Hernando, A.","Yang, X.","Gonzalez, M.C.",,,,,,,,
Row_102,"Can, Aysegul","Jenss, Alke","Fanton, Hugo",STATE-LED GENTRIFICATION AGAINST THE BACKDROP OF URBAN AUTHORITARIAN PRACTICES,INTERNATIONAL JOURNAL OF URBAN AND REGIONAL RESEARCH,JUL 2024,0,"This collection of interventions unites academics hailing from Latin America, the Middle East, Europe and the United States, reintroducing discussions on authoritarian state tactics and coercion into urban renewal dialogues within urban studies. During our discussions, it became apparent that urban authoritarian tactics are crucial in contemporary state-led gentrification efforts. In this introduction to the series, we aim to merge research on authoritarian measures within neoliberalism with the literature concerning urban transformation and gentrification. By doing so, we bring urban studies into wider discussions regarding the overarching trend of authoritarianism on a global scale within sociology, political economy and international studies.",urban authoritarianism,gentrification,social reproduction,displacement,AUSTERITY,,,,,,,,,,,,,,,,,,,,,,,,
Row_103,"Chen, T.","Ma, H.","Liang, J.","Identification, evaluation, and construction of potential leftover spaces based on parametric design platform: a study of Daxiaoma block in Guangzhou",Proceedings of SPIE,2023,0,"In the urban renewal context, the leftover spaces in the city need to be uncovered and utilized. However, the existing studies on urban leftover spaces are still inadequate, particularly in the construction of leftover spaces. These studies are mainly based on qualitative and theoretical suggestions, lacking quantitative index-oriented decision-making suggestions. With the extensive integration of the Rhino + Grasshopper parametric platform with urban design, the application of such techniques to the identification and evaluation of leftover spaces could be conducted. Given the above research gap, this study used the parametric platform to measure the spatial type, pedestrian flow potential, and thermal comfort of leftover spaces to identify potential leftover spaces. Then, this study provided specific design recommendations for their spatial construction based on multiple leftover spaces evaluation indicators. The model constructed in this study is helpful to excavate urban leftover spaces with utilization potential at a small spatial scale, such as a block. This model can also provide a scientific design assistance reference, which is an effective tool to improve urban land use efficiency and urban space quality.",,,,,,,,,,,,,,,,,,,"Wang, C.",,,,,,,,,,
Row_104,"Seyedkazemi, Seyedpayam","Dass, Zuhal Ozbay","Ozbay, Ayse Elif Ozsoy",Can financial transactions reveal the change in social fabric triggered by urban regeneration?,CITIES,OCT 2024,0,"In this study, we aimed to investigate the relationship between single-building scaled urban regeneration, driven by the Disaster Risk Transformation Law, and urban segregation in Maltepe district. Following stricter building codes, the district underwent significant demolition and construction between 2014 and 2015. We employ construction data and credit card transaction data to analyze the demographic changes. We find that urban regeneration due to building renewal may have diverse context-dependent effects on the demographic tapestry of communities, their culture and history. While some neighborhoods showed positive response to increased local amenities and resulted in reduced mobility outside their local area, leading to greater income segregation from the rest of the city, others behaved in the opposite direction. Similarly, the transformation process has attracted a more educated and higher-income inflow of residents in some neighborhoods compared to others. Herein, we employ new big data and mobility-driven metrics from computational social science such as diversity, loyalty and assortativity to reveal the link between urban regeneration and segregation. Our findings provide important clues and insights to urban planners for developing urban policies leading to neighborhood designs that are more connected to each other (hence reducing segregation) while still offering modern amenities expected by their residents.",Urban regeneration,Gentrification,Economic segregation,Purchase activities,Building renewal,RETAIL FORMAT CHOICE,SEGREGATION,ATTRIBUTES,GENTRIFICATION,NEIGHBORHOOD,PERSISTENCE,DIVERSITY,,,,,,,"Bozkaya, Burcin","Balcisoy, Selim",,,,,,,,,
Row_105,"Zhao, Pingping","Ali, Zuraini Md","Hashim, Nik Hazwani Nik",Evaluating social sustainability of urban regeneration in historic urban areas in China: The case of Xi'an,JOURNAL OF ENVIRONMENTAL MANAGEMENT,NOV 2024,0,"Urban regeneration involves a highly contested process of social transformation. Examples from China have shown that this process has led to poor social sustainability. Previous studies have not adequately addressed the issue of poor social sustainability. This study aims to address this gap by developing a set of valid and reliable performance indicators for assessing the social sustainability of urban regeneration initiatives in China's Historic Urban Areas (HUAs). Through an extensive literature review and a Delphi survey, critical social sustainability factors facilitating urban regeneration were identified. An assessment tool was subsequently proposed, comprising eight themes, 29 indicators, and a corresponding point-scoring system. Finally, Xi'an was selected as a case study to apply and test the applicability of the tool and to evaluate social sustainability performance to further explore improvement strategies. The results show that adequate housing, housing quality, participation in regeneration initiatives, and safe design were the most critical indicators determining the social sustainability of urban regeneration. Additionally, the results reveal indicators with limited contribution to achieving social sustainability in Xi'an. The research findings have policy implications for pushing socially sustainable urban regeneration initiatives in China.",Social sustainability,Assessment tool,Urban regeneration,Historic urban areas,HERITAGE CONSERVATION,DELPHI METHOD,ENNING ROAD,RENEWAL,STRATEGY,QUALITY,CITY,NEIGHBORHOOD,PERFORMANCE,GUANGZHOU,,,,,"Ahmad, Yahaya","Wang, Haoxin",,,,,,,,,
Row_106,"Cheng, Jianbing","Mao, Chao","Huang, Zhu",Implementation strategies for sustainable renewal at the neighborhood level with the goal of reducing carbon emission,SUSTAINABLE CITIES AND SOCIETY,OCT 2022,24,"Excessive emissions of CO2 have become an important factor affecting sustainable urban development. In the existing renewal decision-making, few strategies have been formulated with the goal of promoting the lowcarbon development. As a fundamental building block of a city, low-carbon construction in neighborhoods is already the basis for promoting sustainable cities. Therefore, this study develops a carbon accounting methodology and an efficiency assessment model that are applicable at the neighborhood level to measure the carbon emission characteristics and reduction potential. Then, a decision-making framework for sustainable neighborhood renewal is put forward from the perspective of carbon emission mitigation. Through a case study of fifteen communities in Yuzhong District, Chongqing in China, this study reveals the current situation of community CO2 emission and carbon emission efficiency, and formulates the sustainable renewal paths according to local conditions. Results show that 83.16% (1.68E+08 kg) of the CO2 in the study communities comes from energy consumption, and CO2 absorption is only 1.78% (3.62E+06 kg) of the total emission. Meanwhile, the carbon emission efficiency of the fifteen study communities has a significant heterogeneity, with a mean value of 0.7402, and 80% of these communities are ineffective. These communities are ineffective mainly because the resource investment cannot be fully utilized. For example, the average utilization efficiency values for energy, purchased resources, and natural resources are 0.7427, 0.8113, and 0.4384, respectively. Thus, adopting adaptive renewal strategies to integrate the use of resources can effectively promote the construction of low-carbon neighborhoods. In addition, the research results can provide a basis for the organization and management of low-carbon renewal projects and the implementation of plans in other regions.",Carbon mitigation,Neighborhood renewal,Renewal strategy,Sustainability,Carbon emission,URBAN REGENERATION PERFORMANCE,INDUSTRIAL ENERGY EFFICIENCY,INDICATOR-BASED APPROACH,DECISION-MAKING,CHINA,METABOLISM,SIMULATION,EXPERIENCE,INTENSITY,DYNAMICS,,,,"Hong, Jingke","Liu, Guiwen",,,,,,,,,
Row_107,"Tang, Daizhong","Gong, Xueyang","Liu, Menglan","Residents' behavioral intention to participate in neighborhood micro-renewal based on an extended theory of planned behavior: A case study in Shanghai, China",HABITAT INTERNATIONAL,NOV 2022,45,"Neighborhood micro-renewal (NMIR) plays a critical role in revitalizing old neighborhoods and urban sustainability. Public participation has attracted widespread concern to satisfy the multiple demands for social governance in China. Prior studies have underlined the promotion of communal participation, whereas collective characteristics and individual intentions of public behavior have been largely neglected. This study investigates determinants of residents' participation intention and behavior in a framework that incorporates the theory of planned behavior (TPB) and the expectation-confirmation model (ECM). Based on structural equation modeling (SEM), the empirical analysis was conducted with questionnaires completed by 443 residents who dwell in a neighborhood undergoing micro-renewal. The results indicated that residents' participatory intention and behavior were predicted by subjective norms, behavioral attitudes, and perceived behavioral control. In addition, perceived usefulness positively affected behavioral intention, whereas the impact of satisfaction was not significant. Furthermore, community attachment could positively moderate the effect of intention on behavior. Accordingly, several targeted managerial implications regarding public participation in NMIR are proposed. This study extends the TPB into the practice of public involvement on a neighborhood scale and provides insightful ideas to promote residents' participation awareness.",Public participation,Neighborhood micro-renewal,Theory of planned behavior,Subjective norm,Satisfaction,INFORMATION-TECHNOLOGY USAGE,STRUCTURAL EQUATION MODELS,URBAN-RENEWAL,EXPECTATION-CONFIRMATION,FARMERS INTENTION,DECISION-MAKING,ENVIRONMENTAL BEHAVIOR,RACIAL-INEQUALITY,PLACE ATTACHMENT,PLS-SEM,,,,,,,,,,,,,,
Row_108,"Bonato, Michela",,,Semiotic ideology and mutable sense of place: Chinese ecological urban renewal through the lens of advertising codes,POLITICAL GEOGRAPHY,NOV 2024,0,"This paper analyses the structural shift of land management and landscape symbolization in urban Chongqing within the political framework of Chinese ecological civilization. It follows the entanglements of Chongqing's public service advertising (PSA) and upscale real estate commercial advertisement and their relationship with the local land renewal process in the 2010s. Based on multimodal discourse analysis, the semiotic deconstruction of visual-ideological allegories highlights institutional tactics aimed at modifying the sense of place perceived through the reconstruction of individual and social identities integrated into a highly politicized and commodified urban landscape. The paper reflects on the epistemological production of spatial knowledge through the instrumental use of representational resources and their historical-mythical code modalities. It also sheds light on how PSA and commercial advertisement may enforce familiar state-driven narratives in authoritarian regimes, questioning diachronic perceptions of nature and dwelling habits in a partially atomized postsocialist society. In so doing, the paper enriches the discussion on the urban ecology-selective (green) gentrification nexus, offering a contextualized perspective of ideological power on environmental protection conveyed through media content technology.",Urban ecology,Socio-semiotics,Ideology,Public service advertising,Place branding,China,DISCOURSE,,,,,,,,,,,,,,,,,,,,,,
Row_109,"Martinez, Ubeimar",,,Urban dynamics of Bogota in the context of globalization neoliberal,REVISTA DE GEOGRAFIA NORTE GRANDE,2023,0,"The paper studies tries to investigate the dynamics of growth and transformation resulting from the application of neoliberal style policies in the city of Bogota, valuing the morphological changes produced in the last decades. With special emphasis on the residential developments of formal housing and on the reproduction of urban renewal and commercial infrastructure projects inserted in the global circuits of the flexible accumulation regime such as shopping centers. The end result is the increase in the fragmentation and privatization of urban space from both a physical and socio-economic perspective",Globalization,Urban geography,Urban policy,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_110,"Yi, Tengyun","Wang, Han","Liu, Chang",Thermal comfort differences between urban villages and formal settlements in Chinese developing cities: A case study in Shenzhen,SCIENCE OF THE TOTAL ENVIRONMENT,DEC 20 2022,16,"Rapid urbanization has changed the urban spatial form, which directly leads to the emergence of urban informal settlements, and the impact on ecological environment is manifested as the obvious deterioration of urban thermal environment. The thermal environment of informal settlements, which are called urban villages in China, is seriously deteriorated. In the process of urban renewal, we should pay attention to the thermal environment effect of urban villages and promote the sustainable development of cities. However, at present there are few studies on the differences of thermal comfort among urban settlements. Taking Shenzhen as an example city, this paper distinguished several scopes such as urban villages, formal settlements and non-urban areas, then analyzed the pattern characteristics of urban thermal comfort by using the Modified Temperature and Humidity Index (MTHI), and finally explored the spatial relationship between thermal comfort and various environmental factors through spatial regression models. The results show that (1) thermal comfort has significant spatial autocorrelation and the thermal environment centers are clustered in built-up areas of Shenzhen city. The overall MTHI of urban villages is relatively the highest, and the dominant thermal comfort level in summer is sultry and hot. (2) According to the Spatial Error Model, the green space coverage represented by NDVI has the strongest mitigation effect on urban thermal comfort, and the building density has an obvious aggravating effect on the muggy environment. Both of them have more obvious effects on the thermal comfort of informal settlements. (3) The current thermal environment of urban settlements cannot be ignored, especially in urban villages. In the process of urban renewal, heat dissipation should be considered emphatically. Increasing urban green area and decreasing building density will help to improve urban thermal environment. The study can provide suggestions for urban renewal from the perspective of improving thermal environment.",Thermal comfort,Urban Village,Modi fied temperature and humidity index,Spatial error model,NDVI,HEAT-ISLAND,INFORMAL SETTLEMENTS,SUSTAINABILITY,ENVIRONMENTS,IMPACTS,NEIGHBORHOOD,SATISFACTION,PERCEPTIONS,INDICATORS,STRATEGIES,,,,"Li, Xuechen","Wu, Jiansheng",,,,,,,,,
Row_111,"Jiao, H.","Bao, L.",,Optimization path of carbon offsetting in negative urban spaces under dual carbon goals,Journal of Computational Methods in Sciences and Engineering,2023,2,"Using population geographic data to analyze the dynamics of the central urban to explore the negative space and implement green carbon offset retrofits is beneficial for the Dual Carbon goals. We construct a grading system of urban vitality values with ArcGIS to assess the vitality of city blocks and screen out negative spaces. Taking the central urban of Anda as an example, we found that the vitality values along the main road in Anda were high. In contrast, the vitality values of residential sites in the southern and western parts were generally low. By analyzing the distribution of negative space in Anda, we finally recommend that Anda adopt the strategy of ""fertile land creation"" for the western part, to practice the planning of urban green space projects with joint investment of factories in the southern part, to optimize the low-carbon urban travel space, to implement the green transformation of small negative urban spaces, and to enhance the ecological construction of existing parks and green spaces. We extracted the negative urban spaces and explored the paths and implementability of the carbon offsetting renewal strategies intending to provide some reference for realizing Dual Carbon goals and transforming negative urban spaces in China.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_112,"Zhang, Zhengtao","Liu, Yong","Liu, Guiwen","Rethinking growth coalition in urban village redevelopment: An empirical study of three villages in Zhuhai, China",HABITAT INTERNATIONAL,MAR 2022,15,"Although growth coalition theory is widely used to explain urban renewal in Western literature, it needs to be adjusted and adapted to suit China's complex and diverse urban village development processes, considering the different local political structures. By analyzing three village cases in Zhuhai, we found that growth coalition theory overemphasized the increasing alliance between political and business elites at the expense of other actors such as villagers and rural collectives. The Shanchang case indicated the close coalition between the developer and the villagers to appeal jointly for additional rights from the local government. The local government made concessions about acknowledging illegal property rights and increasing allowable floor space to facilitate the smooth implementation of demolition. By contrast, the Lixi and Fuxi case showed that the local government formed a coalition with the rural collective in the demolition and compensation stage and formed an alliance with the developer in the construction stage. The case indicated that the government pursued the long-term goal of improving urban livability and enhancing industrial development apart from advocating property-led growth. This paper disclosed the diversity and complexity of the growth coalition, which could enrich the existing framework.",Growth coalition,Urban village redevelopment,Urban renewal,POLITICAL-ECONOMY,CITY,MACHINE,CONTEXT,IMPACT,STATE,,,,,,,,,,,,,,,,,,,,
Row_113,Lai Yani,Chen Chunmei,Wang Zhensheng,The growth of urban centers in Shenzhen,Journal of Shenzhen University Science and Engineering,2023,0,"Research on urban spatial structure and its evolution is significant for optimizing the urban spatial structure and formulating urban spatial planning. Taking Shenzhen city as a case, we investigate the spatial characteristics and the change of the Shenzhen city urban center system from the dimensions of spatial pattern, center level and function uses. Urban centers are identified based on spatial clustering method with the point of interest (POI) spatial data of the city's maps in 2010, 2015 and 2019. The results show that Shenzhen's urban centers have experienced a rapid growth from 2010 to 2019 and urban center system has been expanded from the Special Economic Zone (SEZ) to non-SEZ areas. A polycentric urban spatial structure had been formed in Shenzhen by the end of 2019, and the spatial distribution of identified urban centers within different levels is consistent with the central place theory. The old urban centers are generally superior than the emerging centers in terms of area scale, centrality level and the proportion of public services. But the degree of difference is decreasing over time. In general, the guidance of urban master plans, the implementation of urban renewal projects and the improvement of traffic conditions have played important roles in the formation and evolution of the urban center system in Shenzhen. The research can not only provide a reference on urban center identification, but also evaluate the implementation effect of urban planning in real time, providing basis for urban planning revision.",,,,,,,,,,,,,,,,,,,Liu Feihu,,,,,,,,,,
Row_114,"Yuan, Dinghuan","Yau, Yung","Bao, Haijun",Urban village redevelopment in China: Conflict formation and management from a neo-institutional economics perspective,CITIES,FEB 2024,4,"Urbanisation is the key to China's modernisation. Extensive urban village redevelopment projects (UVRPs) have recently been implemented in China, with the expectation of generating positive socioeconomic and environmental effects. However, social instability has resulted from conflicts over land and informal settlements. In this study, we investigate the factors influencing conflict levels during the UVRP process. Based on data collected from 439 projects in seven Chinese cities, ordered logit regression reveals that UVRPs with a top-down rather than a bottom-up institutional arrangement are more likely to have violent conflicts. Projects implemented with a bottom-up and villager-funded approach involve lower levels of conflict than those with a bottom-up and private developer-funded approach. Other determinants, including factors related to policies, time, and space along with project specificity, also influence the conflict level during the redevelopment process. These empirical results can inform government approaches to policymaking, thus enabling more positive outcomes for both governments and affected villagers.",China,Conflict levels,Institutional arrangement,Transaction costs,Urban renewal,Urban village,LAND EXPROPRIATION,POLICY,GUANGZHOU,SEVERITY,RENEWAL,FINANCE,RIGHTS,POWER,,,,,,,,,,,,,,,
Row_115,"Han, Bo","Jin, Xiaobin","Wang, Jingxia",Identifying inefficient urban land redevelopment potential for evidence-based decision making in China,HABITAT INTERNATIONAL,OCT 2022,17,"Inefficient urban land redevelopment is an important policy of Chinese government to achieve sustainable urban development. Currently, the decision-making mechanism in practice is lack of scientific support, which considerably affects the policy effectiveness. Previous studies focused on the redevelopment suitability, with seldom consideration directly linked to the feasibility of inefficient land redevelopment. To fill this gap, this study develops a redevelopment potential assessment framework including four aspects (benefit, cost, supply, and expectation of redevelopment) and builds a multi-scale redevelopment classification system using GIS and landscape index analysis approaches. Taking a fast-growing city, Chengdu, China as an example, we validate our framework and methods. Simultaneously, three conspicuous aspects in the process of inefficient urban land redevelopment were identified to facilitate decision making in our showcase: (1) Determine the classification and evaluation criteria of inefficient land according to local conditions. (2) Integrate potential assessment into the process of inefficient land database development. (3) Arrange the projects implementation schedule according to redevelopment potential and classification. The case can serve as a baseline for efficient and effective urban redevelopment decision-making in future, especially for a vast number of cities coping with challenges in fast urbanization and redevelopment decision making.",Urban renewal,Urbanization,Sustainability transformations,Inefficient urban land,Land redevelopment,Landscape patterns,RENEWAL PROJECTS,POLICY,IMPACT,SUPPORT,CONTEXT,URBANIZATION,SIMULATION,BENEFITS,VILLAGE,FUTURE,,,"Yin, Yanxing","Liu, Chuanji","Sun, Rui","Zhou, Yinkang",,,,,,,
Row_116,"Li, Zhiming","Yin, Chunxiao","Fan, Zhengxi","Multidimensional Evaluation of Compensation for Informal Housing Demolition on Collectively Owned Land: A Case Study in Nanjing, China",JOURNAL OF URBAN PLANNING AND DEVELOPMENT,SEP 1 2023,0,"China has experienced rapid urbanization in the last few decades. In this context, housing demolition becomes a challenge involving people's livelihood during the process of urban renewal. As a legacy issue, the governance of informal housing is imminent. Small-property-rights housing (SPRH) refers to long-term, large-scale informal housing built on collectively owned land in China. Although Collectively Owned Land Price Assessment Guidance stipulates that SPRH cannot be demolished forcibly without compensation. However, Land Management Law states that compensation standards depend on local governments, resulting in unfair compensation. By integrating the first-difference model (FDM) and the boundary-fixed-effect model into the hedonic pricing model, this study proposes a model of demolition compensation of SPRH based on market value standard, which takes state-owned land compensation standard and residential land floor price into account. Using the case of Nanjing, this study estimates whether Xingdu Garden's demolition compensation deviates from a reasonable level. The results indicate that compensation is reasonable. Residents can take advantage of compensation to purchase affordable housing, and generous subsidies have significantly improved their living standards. FDM can also offer technical support for assessing the rationality of informal housing compensation. These findings, providing a reference for urban renewal and social equity, can be applied to other cities.",Urban renewal,Small-property-rights housing,Collectively owned land,Market value standard,Demolition compensation,Deviation level,PROPERTY-RIGHTS,PRICES,MARKET,SETTLEMENTS,GOVERNANCE,SIMULATION,RELOCATION,AMENITIES,BIG,,,,,,,,,,,,,,
