,author1,author2,author3,author4,title,journal/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,conference,keyword5,keyword6,author5,keyword7,author6,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16,keyword17,author7,author8,author9,author10
Row_68,"Xiao, Ming","Chen, Lihua","Feng, Haoxiong","Peng, Zhigao",Smart City Public Transportation Route Planning Based on Multi-objective Optimization: A Review,ARCHIVES OF COMPUTATIONAL METHODS IN ENGINEERING,AUG 2024,2,"This paper investigates the implementation of a Multi-Objective Optimization technique for improving public transportation route planning in the setting of smart cities. Recognizing the difficulties of urban mobility, our technique incorporates a variety of criteria, including traffic patterns, cost-effectiveness, and environmental impact, to create an efficient route design system. The research applies complex algorithms to overcome the issues present in existing route planning procedures, using real-world data sources such as GPS data and traffic reports. We illustrate the efficacy of our strategy in boosting time efficiency, lowering costs, and decreasing environmental footprints via extensive case studies. The assessment measures used emphasise the suggested system's advantages over current techniques. The debate digs into the larger implications for smart city development, recognising limits and providing possibilities for further study. This study adds vital insights and practical answers to the developing subject of smart city transportation, providing a solid basis for the continuing growth of urban mobility.",,,,,,,,"Long, Qiong",,,,,,,,,,,,,,,,
Row_69,"Wang, Haiyan","Shang, Zhongjie","Li, Na",,Relationship Between Comprehensive Transportation Hub Planning and Urban Land Use From TOD Perspective,IEEE ACCESS,2024,0,"Transportation development promotes urban planning, while urban planning and land use primary planning are interdependent. Under the perspective of transit-oriented development, the planning area of integrated transport hub faces the problem of high-intensity construction. In response to these issues, current research lacks sufficient exploration of station area development, and there is a lack of integration between bus routing and multi-objective coordination. In order to control the construction intensity of the integrated transport hub, the study constructs a system dynamics model to analyze the relationship between the planning of the integrated transport hub and the urban land use as well as the interaction of the interests of multiple subjects. Based on the relationship analysis, the study constructs a single-objective and multi-objective optimization model oriented to the regulation of development intensity, and used the technique for order preference by similarity to an ideal solution to solve the model. The results indicated that the attractiveness of the site area of the integrated transport hub, the passenger flow and the land financial income would enhance the development intensity of the land. The conflicting interests between different subjects were focused on economy and environment. After multi-objective optimization, the corresponding values of economic benefit, residential environment, mixed land use, and traffic flow service were 3 billion yuan+, 6.51, 41867.44m2, and 346291.24, respectively. With the adjustment of floor area ratio reward, the floor area ratio of residential and commercial land after the multi-objective optimization was 3.09 and 3.43, respectively. The integrated transport hub planning and urban land use are interdependent and mutually restrictive. By coordinating the conflicting interests of multiple stakeholders, the development intensity of the site can be better regulated. The research results can provide methodological support for the analysis of the relationship between integrated transport hub planning and urban land use.",Transportation,Optimization models,Analytical models,Stakeholders,,Predictive models,Planning,,Economics,,Companies,System dynamics,Statistical analysis,Integrated transport hub,land use,system dynamics,multi-objective,benefit appeals,,,,,,
Row_70,"Ganguly, Suman","Maitra, Bhargab",,,Bus Bunching at Bus Stops and Its Spatiotemporal Patterns along Urban Bus Routes,JOURNAL OF URBAN PLANNING AND DEVELOPMENT,SEP 1 2024,0,"An investigation is reported on bus bunching and its spatiotemporal patterns that considers six bus routes in Kolkata City, West Bengal, India. With historical GPS data as inputs, bunching occurrences are identified using the spatiotemporal-density-based spatial clustering of applications with noise (ST-DBSCAN) algorithm. To determine the impact of bunching on various bus stops, k-means++ clustering was used on top of ST-DBSCAN, and subsequently, spatiotemporal bunching patterns were investigated. Some bus stops are consecutively impacted by bunching; however, others are impacted in an isolated manner. To capture the spatiotemporal propagation of bunching, a new indicator termed the propagation ratio is proposed, which could classify the bunching as propagating or isolated. Bunching occurrences are propagating for some bus routes and isolated for others, which justifies the need to prioritize routes displaying propagating nature. Of interest, bunching is identified on high and low-frequency bus routes, which indicates the need to relook at the operational planning of all the bus routes regardless of their frequency. At times, excessive bunching is detected during lean periods of the day, which suggests the necessity of modifying the dispatching headways that are based on passenger demand during these lean periods. The outcomes from this work further indicate that all the bus stops along a bus route are not equally impacted by bunching. The spatiotemporal cluster plots could successfully capture the initial bunching occurrence points and their variation with time, which could provide an opportunity for the operators to apply time-varying remedial measures. The insights developed from this work could be used advantageously by operators and policymakers for mitigating bus bunching and improving the urban bus service.",,,,,,,,,,,,,,,,,,,,,,,,
Row_71,"Wang, Jing","Gao, Tingting","Zhang, Jingzhe","Tu, Chuang",Research on Joint Distribution Path Planning of Electric Logistics Vehicles with Different Recharge Modes,TRANSPORTATION RESEARCH RECORD,AUG 2024,0,"To address the route planning issues under the community group purchase model for joint delivery, this study thoroughly considers electric logistics vehicles with different recharging methods. The objective is to minimize the sum of operating costs, recharging costs, time window penalty costs, and carbon emission costs. Separate multi-objective optimization models for route planning are constructed for both charging and battery-swapping logistics vehicles. An improved seagull optimization algorithm, guided by the golden sine strategy of the L & eacute;vy flight guidance mechanism, is employed to avoid local optima and enhance the solution efficiency. The feasibility of the models and the algorithm is verified through simulation examples. Experimental results show that, at the current stage, battery-swapping logistics vehicles display significant advantages over charging electric logistics vehicles. Although battery-swapping logistics vehicles extend delivery time, they can reduce the total delivery costs to a certain extent. Therefore, the future development prospects of battery-swapping logistics vehicles will be even broader.",joint delivery,urban distribution,electric logistics vehicles,route planning,,improved seagull optimization algorithm,,,,,,,,,,,,,,,,,,
Row_72,"Zhao, Jinqiu","Liu, Yongwu","Zhang, Jinwei","Zhang, Jing",An exact method for vehicle routing problem with backhaul discounts in urban express delivery network,CLEANER LOGISTICS AND SUPPLY CHAIN,JUN 2024,1,"The surge in e -commerce has led to an increased demand for urban express services, requiring the strategic development of delivery networks that are both efficient and cost-effective. This study addresses a practical vehicle routing problem (VRP) in an urban express delivery network to minimize transportation costs. Specifically, it considers the implementation of backhaul discounts, a factor disregarded in the existing literature. This VRP is further complicated by various realistic constraints, including pickup and delivery, time windows, multiple trips, heterogeneous fleets, and docking capacity limitations, which make most general VRP solvers inapplicable. This study proposes a trip-based formulation to overcome this challenge and develop a tailored branchand-price algorithm. Feasible trips are classified into four types to simplify the computation of backhaul discounts, thereby enhancing solution efficiency. Validation with real-world data from SF Express substantiates the efficacy of our method and yields insights for sustainable city logistics management. Moreover, our simplified column generation algorithm exhibits competitive performance, achieving optimal solutions expeditiously for the tested instances.",Vehicle routing,Backhaul discounts,Pickup and delivery,Multiple trips,,Branch-and-price algorithm,,"Huang, Yixiao",,"Yu, Le",,,,,,,,,,,"Xie, Binglei",,,
Row_73,"Yang, Qin","Yoo, Sang-Jo",,,Hierarchical Reinforcement Learning-Based Routing Algorithm With Grouped RSU in Urban VANETs,IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,AUG 2024,1,"The rapid growth of the Internet of Vehicles (IoV) has generated significant interest in routing techniques for vehicular ad hoc networks (VANETs) in both academic and industrial communities. To address the complexity of urban environments and dynamic vehicle mobility, we propose a hierarchical Q-learning-based routing algorithm with grouped roadside unit (RSU) for VANETs. RSUs are grouped, and a Q-vector containing group information is exchanged through vehicle-to-everything (V2X) communications. Q-vector-based road-segment (QVRS) control messages are periodically broadcasted to refresh the V2X evaluation metric, which considers vehicle positions, velocities, directions, and communication conditions. To adapt to the nonstationary vehicular environment, a multi-agent reinforcement learning (RL) algorithm is performed on RSUs at each intersection to achieve distributed learning and local decisions. The hierarchical Q-learning algorithm trains group Q-table and local Q-table individually for reaching destinations on each RSU. The optimal data routing behavior is conducted with two separate Q-tables by utilizing the integrated V2X metric as the reward function. Simulation results demonstrate that our proposed method reduces broadcasting overhead, prolongs path lifetime and maintains a high packet delivery ratio and low average end-to-end delay. The incorporation of group design in our method accelerates the learning process, which facilitates more efficient communication in VANETs.",Routing,Q-learning,Vehicle-to-everything,Roads,,Measurement,Heuristic algorithms,,Vehicular ad hoc networks,,Data routing,distributed learning,intelligent transportation systems (ITS),reinforcement learning (RL),roadside unit (RSU),vehicular ad hoc networks (VANETs),,,,,,,,
Row_74,"Oh, Jiyong","Raza, Syed M.","Mwasinga, Lusungu J.","Kim, Moonseong",Deep UAV Path Planning with Assured Connectivity in Dense Urban Setting,IEEE INTERNET OF THINGS JOURNAL,2024,0,"Unmanned Ariel Vehicle (UAV) services with 5G connectivity is an emerging field with numerous applications. Operator-controlled UAV flights and manual static flight configurations are major limitations for the wide adoption of scalability of UAV services. Several services depend on excellent UAV connectivity with a cellular network and maintaining it is challenging in predetermined flight paths. This paper addresses these limitations by proposing a Deep Reinforcement Learning (DRL) framework for UAV path planning with assured connectivity (DUPAC). During UAV flight, DUPAC determines the best route from a defined source to the destination in terms of distance and signal quality. The viability and performance of DUPAC are evaluated under simulated real-world urban scenarios using the Unity framework. The results confirm that DUPAC achieves an autonomous UAV flight path similar to base method with only 2% increment while maintaining an average 9% better connection quality throughout the flight.",UAV flight planning,signal quality,Deep Reinforcement Learning (DRL),Unity framework,,,,"Choo, Hyunseung",,,,,,,,,,,,,,,,
Row_75,"Cai, Zhi","Hou, Zhihao","Shi, Meihui","Su, Xing",Double Layer A*: An Emergency Path Planning Model Based on Map Grid and Double Layer Search Structure,IEEE TRANSACTIONS ON INTELLIGENT TRANSPORTATION SYSTEMS,SEP 2024,0,"With the vigorous development of transportation infrastructure in various countries, the traffic network within the city is becoming more and more complex, and when an emergency occurs in one or more areas of the city, it will inevitably cause traffic congestion in the area and keep spreading. There are still many challenges to solve the urban emergency route planning problem. In this paper, we have employed a double layer search structure, where we have empowered the traditional A* model with a neural network, to construct a region-level dynamic path planning model known as ""Double Layer A*"". The model divides the road network into two layers, and implements the outer layer and inner layer search. In the outer layer search, we use the historical cab travel data for training to achieve the general direction planning; in the inner layer search, we update the original planning according to the changes of the road condition characteristics of the regional nodes, and perform the re-planning in real time. We conducted experimental evaluations using the road network data of Beijing, and the results showed that compared to a single-layer search structure path planning model, our Double layer A* model planned paths with higher similarity in land characteristics, connectivity, and average connectivity between adjacent nodes, which demonstrates the effectiveness and reasonableness of the Double layer A* model in emergency path planning.",Roads,Path planning,Planning,Urban areas,,Navigation,Routing,"Guo, Limin",Search problems,"Ding, Zhiming",Map grid,A* algorithm,neural network,real-time path planning,,,,,,,,,,
Row_76,"Kim, Eun Jung","Gong, Youngeun",,,Perceived built environments correlated to route choice for healthy leisure walking,JOURNAL OF ASIAN ARCHITECTURE AND BUILDING ENGINEERING,MAY 2024,1,"This study aimed to identify the environmental factors of pedestrians' preferred route and examine which factors are related to the choice of a healthy route. This study set the shortest and healthy routes in Ayanggyo neighborhood in Daegu Metropolitan City, South Korea. A healthy route is longer than the shortest route but has rich greenery and low traffic. A survey of 203 respondents was conducted from October 12 to 8 November 2022. This study used a logistic regression model with a walking route choice as the dependent variable. Results showed that 65% of participants chose a healthy route. People who considered low noise levels, presence of greenery and waterfront areas, low traffic speed, and presence of traffic safety facilities as important were likelier to choose healthy routes. The results suggest that pleasant and safe routes and built environments can make people walk longer. The findings of this study provide evidence to urban planners and policymakers that the built environmental conditions play an important role in encouraging residents' walking behavior. This can contribute to urban policies supporting citizens' active and healthy walking.",Healthy walking,perceived built environment,walking route choice,logistic regression model,,South Korea,,,,,,,,,,,,,,,,,,
Row_77,"Singh, Mukund Pratap","Singh, Pitam","Singh, Priyamvada",,Multi-criteria Decision Analysis for Route Alignment Planning Using Geographical Information System (GIS) and Analytical Hierarchy Process (AHP),CHINESE JOURNAL OF URBAN AND ENVIRONMENTAL STUDIES,MAR 2024,1,"Analytical hierarchy process (AHP) typically involves pairwise comparisons to establish the relative importance of criteria and alternatives. This study can verify these comparisons through consistency checks to ensure that respondents provide reliable and consistent judgments. The proposed model is implemented to evaluate the optimum route alignment between two locations, for the outer area of Allahabad City, India. The optimal route obtained is the path with minimum cost in the alignment decision and it meets all the factors related to environmental, technical, social, and economic criteria. Four alternative route alignments arise. Based on multi-criteria evaluation, four alignments are compared and one of the optimal route alignments is selected. A multi-criteria evaluation is performed to compare the four routes' alignment using AHP and surface cost analysis. The technical route alignment with the highest priority index of 0.297956 with a minimum cost of 4,619 units is finally considered as optimum route alignment.",Route alignment planning,geographic information system,analytic hierarchy process,multi-criteria decision analysis,,decision support system,,,,,,,,,,,,,,,,,,
Row_78,"Hu, Youbiao","Ju, Qiding","Peng, Taosheng","Zhang, Shiwen",MUNICIPAL SOLID WASTE COLLECTION AND TRANSPORTATION ROUTING OPTIMIZATION BASED ON IAC-SFLA,JOURNAL OF ENVIRONMENTAL ENGINEERING AND LANDSCAPE MANAGEMENT,2024,2,"In order to realize the efficient collection and low -carbon transport of municipal garbage and accelerate the realize the ""dual -carbon"" goal for urban transport system, based on the modeling and solving method of vehicle routing problem, the municipal solid waste (MSW) collection and transport routing optimization of an Improved Ant Colony -Shuffled Frog Leaping Algorithm (IAC-SFLA) is proposed. In this study, IAC-SFLA routing Optimization model with the goal of optimization collection distance, average loading rate, number of collections, and average number of stations is constructed. Based on the example data of garbage collection and transport in southern Baohe District, the comparative analysis with single -vehicle models, multiple -vehicle models, and basic ant colony algorithms. The multi -vehicle model of collection and transportation is superior to the single -vehicle model and the improved ant colony algorithm yields a total collection distance that is 19.76 km shorter and an average loading rate that rises by 4.15% from 93.95% to 98.1%. Finally, the improved ant colony algorithm solves for the domestic waste collection and transportation path planning problem in the north district of Baohe. Thus, the effectiveness and application of the proposed algorithm is verified. The research result can provide reference for vehicle routing in the actual collection and transport process, improve collection and transport efficiency, and achieve the goal of energy conservation and emission reduction.",municipal solid waste,improved ant colony algorithm,collection and transportation routing planning,vehicle routing problem.,,,,"Wang, Xingming",,,,,,,,,,,,,,,,
Row_79,"Sevtsuk, Andres","Kalvo, Raul",,,Modeling pedestrian activity in cities with urban network analysis,ENVIRONMENT AND PLANNING B-URBAN ANALYTICS AND CITY SCIENCE,JUN 2024,0,"The global climate-change crisis, along with public health and economic competitiveness challenges in cities around the world have underscored the need for analytic tools to examine the relationship between city design and sustainable mobility. Car-centered travel demand models and land-use-transportation interaction models have historically analyzed zone-to-zone trips along major roadways, largely omitting pedestrian and bicycle trips and creating a gap in the ability for planners and urban designers to systematically assess non-motorized outcomes of development interventions. We present the Urban Network Analysis tools to address this gap. UNA tools offer an accessibility-based framework for analyzing how built environments influence pedestrian travel in both existing and newly planned built environments. Developed as a free plugin for Rhinoceros 3D since 2015 and applied in several cities and research projects internationally, this paper describes the current Urban Network Analysis modeling framework and discusses the unique contributions the framework offers compared to existing pedestrian modeling approaches. Using Somerville, MA as case example, we demonstrate several commonly used functions for planners: examining pedestrian accessibility over networks; identifying critical walking routes to destinations; estimating foot-traffic on street segments; identifying frustration points for pedestrians; and evaluating how development changes may impact pedestrian activity in their vicinity. Such analyses can provide analytic evidence to pedestrian infrastructure planning and investment, and enable planners, designers, and policy makers to prioritize projects that increase sustainable mobility outcomes.",Pedestrian flows,modeling,network analysis,walkability,,somerville,urban network analysis,,,,,,,,,,,,,,,,,
Row_80,"Charalampos, Kyriakidis","Konstantinos, Apostolopoulos","Anna, Papadima","Athanasios, Sideris",Navigating Urban Space: Unveiling Patterns in Walking Routes through Space Syntax in Kypseli Neighborhood (Athens),TEHNICKI GLASNIK-TECHNICAL JOURNAL,DEC 2024,0,"This paper explores pedestrian mobility patterns in Kypseli, a dense and socio-economically diverse neighborhood in Athens, Greece, that it is considered as a typical Greek residential area, in terms of its built environment and road network characteristics. The research method included crowdsourced geospatial data overlayed on cadastral maps, and semi-structured interviews with residents and visitors to understand the routes they usually take, the routes they could take, and the routes they would like to take. The study also applied space syntax analysis, using angular integration and choice tools, to assess how the urban layout impacts the pedestrian flow. Findings showed that the walking routes are primarily influenced by safety, accessibility, and pavement width, with well-connected streets and streets with intense mixed land-use. The study highlights the importance of urban design and land management in promoting the perceived walkability. It also recommends enhancing pedestrian spaces to create more sustainable, livable, and socially inclusive cities to support the implementation of the Sustainable Development Agenda 2030 SDG 11.",Athens,crowdsourcing,SDGs,semi-structured interviews,,space syntax,sustainable mobility planning,"Chryssy, Potsiou",,"Efthimios, Bakogiannis",,,,,,,,,,,,,,
Row_81,"Voelkl, Jakob","Melzer, Matthias","Duennweber, Jan","Sarkar, Amitrajit",Dynamic Route Planning for a Data Collecting Luggage Transportation Service,,2024,0,"Control and Automation of services of the urban infrastructure offered to citizens and tourists are elementary parts of a smart city. But both rely on a stable supply of data from sensors spread across the whole city, e.g., the fill level sensors of waste bins needed for a waste management tool which we developed in a collaboration with the Regensburg city council for the on-demand collection of waste bins. Europe has a lot of historic cities like Regensburg with narrow streets and huge building walls, some made from granite and fieldstones, which often represents an insurmountable obstacle to wireless data transmission. The reduction of the road traffic volume poses an additional challenge for city planners. By means of networked planning and simulation software, the situation, state and efficiency of citywide logistic services can be monitored and optimized. In the course of such optimizations, we propose the combination of digital and logistic services. As an example, we show that monitoring state information, such as the waste bin fill levels, can be accomplished using the same vehicles and the same planning software, that is used for luggage transportation. Moreover, we describe how we adapted a solver for a variant of the TSP, namely the prize-collecting traveling salesman, to optimize the route planning dynamically.",,,,,"2024 IEEE 18TH INTERNATIONAL CONFERENCE ON CONTROL & AUTOMATION, ICCA 2024",,,,,,,,,,,,,,,,,,,
Row_82,"Sriprateep, Keartisak","Pitakaso, Rapeepan","Khonjun, Surajet","Srichok, Thanatkij","Multi-Objective Optimization of Resilient, Sustainable, and Safe Urban Bus Routes for Tourism Promotion Using a Hybrid Reinforcement Learning Algorithm",MATHEMATICS,JUL 2024,2,"Urban transportation systems in tourism-centric cities face challenges from rapid urbanization and population growth. Efficient, resilient, and sustainable bus route optimization is essential to ensure reliable service, minimize environmental impact, and maintain safety standards. This study presents a novel Hybrid Reinforcement Learning-Variable Neighborhood Strategy Adaptive Search (H-RL-VaNSAS) algorithm for multi-objective urban bus route optimization. Our mathematical model maximizes resilience, sustainability, tourist satisfaction, and accessibility while minimizing total travel distance. H-RL-VaNSAS is evaluated against leading optimization methods, including the Crested Porcupine Optimizer (CPO), Krill Herd Algorithm (KHA), and Salp Swarm Algorithm (SSA). Using metrics such as Hypervolume and the Average Ratio of Pareto Optimal Solutions, H-RL-VaNSAS demonstrates superior performance. Specifically, H-RL-VaNSAS achieved the highest resilience index (550), sustainability index (370), safety score (480), tourist preferences score (300), and accessibility score (2300), while minimizing total travel distance to 950 km. Compared to other methods, H-RL-VaNSAS improved resilience by 12.24-17.02%, sustainability by 5.71-12.12%, safety by 4.35-9.09%, tourist preferences by 7.14-13.21%, accessibility by 4.55-9.52%, and reduced travel distance by 9.52-17.39%. This research offers a framework for designing efficient, resilient, and sustainable public transit systems that align with urban planning and transportation goals. The integration of reinforcement learning with VaNSAS significantly enhances optimization capabilities, providing a valuable tool for mathematical and urban transportation research communities.",urban transportation,multi-objective optimization,resilience,sustainability,,hybrid metaheuristic algorithm,,"Luesak, Peerawat",,"Gonwirat, Sarayut",,,,,,,,,,,"Kaewta, Chutchai","Kosacka-Olejnik, Monika","Enkvetchakul, Prem",
Row_83,"Aldoraibi, Rneem I.","Alanazi, Fatimah","Alaskar, Haya","Alanazi, Abed","Optimising Delivery Routes Under Real-World Constraints: A Comparative Study of Ant Colony, Particle Swarm and Genetic Algorithms",INTERNATIONAL JOURNAL OF ADVANCED COMPUTER SCIENCE AND APPLICATIONS,OCT 2024,0,"logistics systems are essential for fast and economical package delivery, especially in urban areas. The intricate and ever-changing nature of urban logistics makes traditional methods insufficient. Hence, requirements for the application of sophisticated optimisation techniques have increased. To optimise package delivery routes, this study compares the performance of three popular evolutionary algorithms: ant colony optimisation (ACO), particle swarm Optimisation (PSO), and genetic algorithms (GA). Finding the best algorithm to minimise delivery time and cost while taking into account real-world limitations, such as delivery priority. This guarantees that deliveries with a higher priority are prioritised over others, which may substantially impact route optimisation. We examine each algorithm to create the best possible route plans for delivery trucks using actual data. Several factors are employed to assess each algorithm's performance, including robustness to changes in environmental variables and computational efficiency-the simulation models delivery demands using actual data. Results indicate that ACO performed better in Los Angeles and Chicago, completing the shortest routes with respective distances of 126,254.18 and 59,214.68, indicating a high degree of flexibility in intricate urban layouts. With the best distance of 48,403.1 in New York, on the other hand, GA achieve good results, demonstrating its usefulness in crowded urban settings. These results highlight how incorporating evolutionary algorithms into urban logistics can improve sustainability and efficiency.",Evolutionary algorithms,genetic algorithm,particle swarm optimisation,ant colony optimisation,,urban logistics,route optimisation,,,,,,,,,,,,,,,,,
Row_84,"Castillo, C.","Panadero, J.","Alvarez-Palau, E. J.","Juan, A. A.",Towards greener city logistics: an application of agile routing algorithms to optimize the distribution of micro-hubs in Barcelona,EUROPEAN TRANSPORT RESEARCH REVIEW,AUG 23 2024,1,"The COVID-19 pandemic accelerated the shift towards online shopping, reshaping consumer habits and intensifying the impact on urban freight distribution. This disruption exacerbated traffic congestion and parking shortages in cities, underscoring the need for sustainable distribution models. The European Union's common transport policy advocates for innovative UFD approaches that promote intermodal transportation, reduce traffic, and optimize cargo loads. Our study addresses these challenges by proposing an agile routing algorithm for an alternative UFD model in Barcelona. This model suggests strategically located micro-hubs selected from a set of railway facilities, markets, shopping centers, district buildings, pickup points, post offices, and parking lots (1057 points in total). It also promotes intermodality through cargo bikes and electric vans. The study has two main objectives: (i) to identify a network of intermodal micro-hubs for the efficient delivery of parcels in Barcelona and (ii) to develop an agile routing algorithm to optimize their location. The algorithm generates adaptive distribution plans considering micro-hub operating costs and vehicle routing costs, and using heuristic and machine learning methods enhanced by parallelization techniques. It swiftly produces high-quality routing plans based on transportation infrastructure, transportation modes, and delivery locations. The algorithm adapts dynamically and employs multi-objective techniques to establish the Pareto frontier for each plan. Real-world testing in Barcelona, using actual data has shown promising results, providing potential scenarios to reduce CO2 emissions and improve delivery times. As such, this research offers an innovative and sustainable approach to UFD, that will contribute significantly to a greener future for cities.",Urban freight distribution,Intermodality,Micro-hubs,Routing optimization,,Agile algorithms,Environmental sustainability,,Case study,,,,,,,,,,,,,,,
Row_85,"Yuan, Suyang","Dai, Weiwei","Zhang, Yunhan","Yang, Jianqiang",Cycling Greenway Planning towards Sustainable Leisure and Recreation: Assessing Network Potential in the Built Environment of Chengdu,SUSTAINABILITY,JUL 2024,1,"In the quest to enhance urban green mobility and promote sustainable leisure activities, this study presents a comprehensive analysis of the potential for cycling greenways within the urban fabric of Chengdu, China. Leveraging the built environment and cycling routes, simulated by dockless bike-sharing (DBS) big data on weekend afternoons, the cycling flow on existing networks reflects the preference for leisure cycling in surroundings, thus indicating the potential for future enhancements to cycling greenway infrastructure. Employing Multi-Scale Geographically Weighted Regression (MGWR), this research captures the spatial heterogeneity in environmental factors influencing leisure cycling behaviors. The findings highlight the significant roles of mixed land use, network diversity, public transit accessibility, human-scale urban design, road network thresholds, and the spatially variable impacts of architectural form in determining cycling greenway potential. This study culminates with the development of an evaluation model, offering a scientific approach for cities to identify and prioritize the expansion of cycling infrastructure. Contributing to urban planning efforts for more livable and sustainable environments, this research underscores the importance of data-driven decision-making in urban green mobility enhancement by accurately identifying and efficiently upgrading infrastructure guided by public preferences.",cycling greenways,dockless bike-sharing (DBS),leisure cycling behavior,sustainable urban mobility,,greenway planning,multi-scale geographically weighted regression (MGWR),,,,,,,,,,,,,,,,,
Row_86,"Zouridaki, M.","Apostolakis, A.","Kourgiantakis, M.",,Cultural Routes Through the Perspective of Sustainable Mobility: A Critical Literature Review,INTERNATIONAL JOURNAL OF TOURISM RESEARCH,SEP 2024,0,"Sustainable mobility strategies in the locale could facilitate cultural routes' social, economic, cultural, and environmental mandates. The purpose of this article is to explore the beneficial practices of sustainable mobility on cultural routes through a systematic literature review. The ultimate objective is to summon the sustainable mobility strategies implemented on cultural routes that could positively affect the economic, social, environmental, and cultural environments of a destination. A systematic literature review was initiated through the protocol of the Preferred Reporting Items for Systematic Reviews and Meta-Analyses methodology. The meta-synthesis approach resulted in identifying five sustainable mobility policy recommendations suitable for cultural route development. Slow mobility practices, drive tourism, mobility infrastructures along cultural routes, accessibility into cultural routes, and urban mobility are fundamental for the creation of an efficient sustainable mobility plan to support cultural routes and achieve a sustainable tourism future for regions.",cultural routes,PRISMA,slow mobility,sustainable development,,sustainable mobility,sustainable tourism,,,,,,,,,,,,,,,,,
Row_87,"Das, Swadhin","Baral, Ankon","Rafizul, Islam M.","Berner, Senta",Efficiency enhancement in waste management through GIS-based route optimization,CLEANER ENGINEERING AND TECHNOLOGY,AUG 2024,3,"Due to rapid urbanization and uncontrolled population growth, solid waste management has become a rising issue in developing nations like Bangladesh. Khulna ranks third among Bangladesh 's metropolitan cities. The existing system of Khulna City for transporting municipal solid waste lacks route planning and depends exclusively on the driver 's expertise. Hence, this study aims to minimize the length of the present travel paths and assess the advantages of using optimized routes. Secondary datasets like a list of vehicles, financial information, and a list of secondary transfer stations have been collected from the municipality. A field survey was conducted to capture the coordinates of secondary transfer stations. Multiple GPS devices have been installed for monitoring the current paths, stops, and travel time of 31 waste collector vehicles for 10 months. A network database has been prepared and modified by integrating driver 's perceptions and field inspection. Network analysis of ArcGIS Pro has been used for finding the optimized routes. The optimized route minimizes the travel distance by 9.40%. By following the optimized routes, about 11.6% of fuel costs can be reduced. This research has the potential to make a significant contribution to the waste management of Khulna City and beyond.",GIS,GPS,Network analysis,Route optimization,,Vehicle tracking,Waste management,,,,,,,,,,,,,,,,,
Row_88,"Restrepo-Franco, Alejandra Maria","Valencia-Rodriguez, Orlando","Toro-Ocampo, Eliana Mirledy",,The vehicle routing problem as applied to residential solid waste collection operations: Systematic literature review,INTERNATIONAL JOURNAL OF INDUSTRIAL ENGINEERING COMPUTATIONS,WIN 2025,0,"The accelerated growth of cities, population increase and economic development have leveraged waste generation globally. This trend is expected to continue, with a significant increase projected in the coming years. Therefore, efficient waste management has become a crucial concern for local, national and international authorities. Transportation plays a key role in waste collection and disposal, being directly related to traffic congestion, fuel consumption and environmental pollution. Despite the existing studies on household waste collection, there is a gap in the literature regarding routing for residential waste collection in medium-sized cities, especially in emerging and frontier developing countries. Therefore, this study seeks through the science tree metaphor and PRISMA methodology, to find studies focused on the vehicle routing problem in waste collection operations, considering aspects such as Modeling approaches and solution techniques, applied Vehicle Routing Problems variants, objective functions, decision variables and constraints, applications in real environments, applied algorithms, and studies considering uncertainty and real conditions. A methodological outline of Vehicle Routing Problems in waste collection operations is presented, where central research topics are identified such as processes developed with Geographic Information System and their integration with exact methods, time windows, multi-objective capacitated vehicle routing problems, the application of stochastic models consider the uncertainty in waste collection, which has allowed including future prediction and optimization as prediction models, based on neural networks, to foresee uncertain conditions of the operations. This article analyzes the evolution in the optimization of municipal solid waste collection routes since 1964, highlighting the transition from iterative models to advanced technologies and multi-objective approaches. The importance of tools such as 3D Geographic Information System and heuristic/metaheuristic algorithms in improving planning and efficiency, despite limitations in the face of uncertainty, is emphasized. The systematic review shows a trend towards sustainable and efficient solutions, indicating future directions for research in urban waste management.",Waste collection routing,problem,Vehicle routing problem,Solid waste,,Residential waste,,,,,,,,,,,,,,,,,,
Row_89,"Pedrosa, Andre","Martins, Filomena","Breda, Zelia","Lois Gonzalez, Ruben",Tourism routes development: critical success factors,TOURISM REVIEW,AUG 2024,0,"Purpose - This study aims to identify Critical Success Factors (CSFs) for tourism route development and proposes a tailored conceptual model. It addresses a comprehensive range of tourism routes, considering their respective goals and performance.Design/methodology/approach - The authors applied a qualitative approach to investigate five tourism routes, interviewing 31 current and former members and examining secondary data from organisational documents. A conceptual model was developed through content analysis of transcripts and secondary data.Findings - Based on the identified CSFs, the model is organised into six components: Product, Goals, Resources, Governance, Activities and Performance assessment.Research limitations/implications - The study analyses various tourism routes concerning their products, implementation levels, goals, performance and perceived success.Practical implications - Most respondents are public authorities from European countries. Besides, consideration should be given to developing quantitative research to validate the derived theory.Social implications - The model may facilitate participants in enhancing and developing tourism routes, thereby contributing to achieving sustainable development goals related to rural-urban connections and tourism partnerships.Originality/value - The development of tourism routes is expected to impact socio-economic development in rural/peripheral areas positively.",Tourism management,Tourism routes,Formal networks,Public-private partnerships,,Critical success factors,Tourism governance,"Costa, Antonio Pedro",,,,,,,,,,,,,,,,
