,author1,title,journal/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,keyword5,author2,author3,author4,author5,author6,keyword6,keyword7,keyword8,keyword9,keyword10,author7,conference,author8,author9,author10,author11,author12,author13,keyword11,keyword12,keyword13,keyword14,author14,author15,author16,author17,author18,author19,author20,author21,author22,author23,author24,author25,author26,author27,author28,author29,author30,author31,author32,author33,author34,author35,author36,author37
Row_76,"Xu, Yuhan","Assessing Urban Street Vitality Through Visual and Auditory Perception: A case study of historic urban area in Guangzhou, China",INTERNATIONAL REVIEW FOR SPATIAL PLANNING AND SUSTAINABLE DEVELOPMENT,2024,1,"Urban streets serve as both transportation networks and public spaces, accommodating activity and travel demand. Evaluating street vitality is essential in assessing urban vitality. Existing studies usually employed indicators like population density through mobile phone signalling or app check-ins data to evaluate vitality intensity, but few have considered vitality quality from pedestrians' perspectives. Our study puts forward an approach to evaluate the vitality quality of urban streets based on the visual and auditory perception of pedestrians, using the historic urban area of Guangzhou, China, as a case. We collected multi-dimensional data, including street view images, videos, sound recordings, and user preference questionnaires. Streets were classified into nine types based on varying levels of vitality quality and intensity. Our primary finding revealed a spatial mismatch: areas with better street quality often have lower activity vitality, and vice versa. This suggests urban renewal should focus on improving both aspects. Different street types require targeted improvements, such as enhancing commercial atmosphere in tree-lined streets, increasing greenness in arcade streets, and managing noise levels on high-level motorized roads. These insights can provide valuable insights for the local government and urban planners to enhance urban street vitality.",Street vitality,Visual perception,Auditory perception,Historic urban area,,"Ma, Xiaosu",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_77,"LaVoice, Jessica",The long-run implications of slum clearance: A neighborhood analysis,JOURNAL OF PUBLIC ECONOMICS,AUG 2024,1,"This paper analyzes the federal urban renewal and slum clearance program. This program was one of the largest and most controversial policies used to rehabilitate neighborhoods in the United States. Using a newly constructed dataset, I examine the characteristics of neighborhoods cleared for redevelopment and the effect that such projects had on neighborhoods over time. I show that conditional on experiencing urban blight, Black neighborhoods were twice as likely as white neighborhoods to be targeted for clearance. Redevelopment led to a decline in housing density, population density, and the share of Black residents while simultaneously increasing median rents and incomes.",Urban renewal,Slum clearance,Housing Act of 1949,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_78,"Schmid, Franziska B.","Effects of different land-use planning instruments on urban shrub and tree canopy cover in Zurich, Switzerland",URBAN FORESTRY & URBAN GREENING,APR 2024,2,"Sustainable urban development requires not only dense and land -saving construction, but also a large share of urban vegetation. A planned unit development (PUD) is a land -use planning instrument that is often used to improve urban quality in urban renewal and densification worldwide. In this study, we analyse the influence of PUDs on urban vegetation in the Canton of Zurich, Switzerland, by contrasting them with conventional zoning. We modelled the share of shrub and tree canopy cover per neighbourhood block using generalized linear mixed effect models (GLMM), with the type of planning instrument as the focal predictor amongst other control variables known from the literature to be influential on urban vegetation. Results show that PUDs are associated with significantly less urban vegetation cover than conventional zoning. This is unexpected and raises concerns. Given how important PUDs are as levers for improving urban quality, their observed inability to promote valuable shrub and tree structures leads us to recommend that good landscape planning and long-term management of (existing and new) urban vegetation be included as an additional standard criterion of high priority in the assessment of future PUDs.",Urban forestry,Zoning,Planned unit development (PUD),Density,Generalized linear effects model (GLMM),"Hersperger, Anna M.","Gret-Regamey, Adrienne","Kienast, Felix",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_79,"Ugalde-Monzalvo, Marisol",Sustainable urban growth patterns based on environmental fitness,FRONTIERS IN SUSTAINABLE CITIES,JUL 26 2024,0,"This study examines the sustainability of urban growth, described by patterns of environmental fitness. The main assumption is that resource use-energy, materials, electricity, water, fossil fuels, soil, and humans-describes growth patterns whose sustainability can be categorized according to environmental fitness, which is assessed by the availability of environmental resources (characteristics of the environment) and the adaptation of the city to this availability (characteristics of the built environment). The article offers an innovative perspective by proposing a model for categorizing the sustainability of urban growth based on environmental fitness, but also by providing a mean to understand the city as a process and the city as a satisfier of needs. The methodology comprises two parts: (1) creating a matrix of indicators of urban environmental fitness and (2) constructing an urban growth sustainability index. From this methodology, six patterns emerged: (i) Economizing growth: available resources with maximum urban adaptation; (ii) Weak growth: availability of resources with minimal urban adaptation; (iii) Efficient growth: availability of resources with appropriate urban adaptation; (iv) Deficient growth: availability of resources without urban adaptation; (v) Efficient growth and of investment: lack of resources with urban investment; and (vi) Deficient growth and of degradation: lack of resources with urban deterioration and wear. The finding of these sustainable urban growth patterns demonstrates the concrete application of environmental adaptation theories and an understanding of the global behavior of cities. The empirical results support the assertion that urban growth presents challenges and potentials in terms of reduction, of reuse, and recycling; of urban sprawl, urban renewal, redevelopment and infill growth, and the efficiency and maintenance of urban infrastructure as guidelines for urban sustainability.",urban sustainability,environmental fitness,urban growth,sustainable urban growth patterns,indicators of sustainability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_80,"Palomino, Nuria","Olympic games: spatial impacts and urban transformation in the host cities. Sydney, London, Rio deJaneiro and Tokyo",ATELIE GEOGRAFICO,AUG 2024,0,"The Olympic Games are one of the most significant mega- events worldwide, posing an important economic, social, and urban transformation challenge for the host cities. In this paper, the spatial impacts on urban planning, transportation, tourism, and housing generated by these sporting events in the cities where they take place are analyzed. The cases of Sydney 2000, London 2012, Rio de Janeiro 2016, and Tokyo 2020 were studied. To carry it out, a spatial analysis of land uses in the Olympic Park and surrounding area and of the transport infrastructures were carried out, the evolution of the number of visitors was analyzed as well as the variations in the price of housing. The results show important differences in the four cities analyzed, among which the divergent approaches to creating new urban areas and facilities or recycling existing ones stand out, as well as the residential impact, sometimes leading to expulsion and gentrification.",urban renewal,tourism,events,transport,,"Barrera-Fernandez, Daniel","Sanchez-Benitez, David",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_81,"Lin, Zhongli",Day and night: Impact of 2D/3D urban features on land surface temperature and their spatiotemporal non-stationary relationships in urban building spaces,SUSTAINABLE CITIES AND SOCIETY,AUG 1 2024,8,"The spatiotemporal non-stationary relationships between 2D/3D urban features and land surface temperature (LST) introduce uncertainty to the quantitative exploration between them. This study focused on the urban building spaces of ""furnace city "" Fuzhou and explored the quantitative relationships between urban features and ECOSTRESS diurnal LSTs from a block perspective. Our results revealed that: (1) Compared to the ordinary least squares regression model, the multi-scale geographically weighted regression model can better capture the spatiotemporal non-stationary relationships. (2) Largest patch index of building patches (LPI_B) and building height (BH) have the greatest impact on the variations in daytime and nighttime LSTs, respectively. The interaction between largest patch index of vegetation patches (LPI_V) and LPI_B has the largest enhancing effect on daytime LST, while that between BH and LPI_B enhances nighttime LST the most. (3) The diversification of architectural morphology highlights the equal importance of both 2D and 3D building features in influencing LST variations. Meanwhile, the standardization of urban greening emphasizes the greater significance of 2D vegetation features compared to 3D. (4) Based on varying spatial characteristics, differentiated urban renewal schemes should be adopted. These findings can deepen our understanding of spatiotemporal non-stationarity, which cannot be ignored in urban thermal environment research.",Urban heat island,Spatiotemporal non-stationarity,ECOSTRESS,Local climate zones,Urban building spaces,"Xu, Hanqiu","Han, Luyao","Zhang, Huanmin","Peng, Junrui","Yao, Xiong",2D/3D urban features,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_82,"Pradilla, Gonzalo",An urban rivers renaissance? Stream restoration and green-blue infrastructure in Latin America - Insights from urban planning in Colombia,URBAN ECOSYSTEMS,DEC 2024,2,"While urban river restoration has become mainstream in the Global North, it remains scarce in Latin America, where most literature focuses on water quality, stream habitats, and watershed assessment, but planning and implementation lag behind. Colombia is undergoing a paradigm shift after pioneering the integration of green and blue infrastructure (GBI) into urban planning in the early 2000s (namely Estructura Ecol & oacute;gica Principal). A surge in river renaturalization initiatives is underway, with large and intermediate cities planning and executing projects. We systematically assessed the integration of rivers and GBI into local policies (Planes de Ordenamiento Territorial) and found widespread and strong recognition of streams, wetlands, and ecosystem services in urban planning, higher than previously reported. Most cities emphasize river multifunctionality, ecological connectivity, public space, and recreation, as well as disaster risk reduction, advancing toward sustainable urban water and drainage systems. However, significant gaps persist regarding climate change resilience, participation, and social justice. In a region marked by high inequality, pre-existing spatial exclusion could be amplified by urban renewal, greening, and tourism due to unfair resettlement conditions and gentrification. Such trade-offs can undermine the ecological and social benefits of restoration. We highlight the crucial role of civil society and grassroots activism in protecting and defending urban commons and conclude by recommending a critical examination of GBI and river restoration efforts in Latin America. Colombia's case can serve as both a reference and a cautionary tale for other cities in the region to achieve outcomes that promote equity and justice amid pressing social and environmental challenges.",River restoration,Green Infrastructure,Urban planning,Nature-based Solutions,Latin America,"Hack, Jochen",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_83,"Guo, Yanlong",Health Benefit Impact Relationship and its Health Benefit Assessment of Greenspace in Yangtze River Delta Cities,POLISH JOURNAL OF ENVIRONMENTAL STUDIES,2024,1,"To study the health attributes of urban green spaces in the Yangtze River Delta. This study analyses the mechanisms at play between ecological preferences, place attachment and place identity in urban green spaces in the Yangtze River Delta based on SEM. AHP and entropy-weighted and TOPSIS were used to analyse the influence relationships and spatial differentiation structure of the health benefits of green spaces in the study area. The study shows that, firstly, environmental preferences have a significant positive impact on place attachment, place identity and health benefit evaluation. Place attachment mediates the positive influence of environmental preferences on health outcomes. Second, the focus should be on improving the activity spaces and services in urban green spaces. Attention should also be paid to increasing the density of interactive spaces and the richness of interactive space types. Third, the health indices in the Yangtze River Delta region are roughly proportional to the urbanization rate and the degree of urban development. Emphasis should be placed on the development of urban green spaces in Anhui, strengthening exchanges between cities in the Yangtze River Delta, and standardizing and improving the construction of green belts.",urban greenspace,health benefits,Yangtze River Delta,SEM,AHP,"Chen, Pengyu","Zhang, Han",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_84,"Liu, Kui",Green gentrification and who will benefit from green infrastructure regeneration? A quasi-experimental study in China,CITIES,OCT 2024,1,"China is pursuing an ambitious green urban renewal strategy that strives for a green, inclusive, and sustainable urban future. Green urban renewal is likely to exacerbate social injustice without adequate countermeasures. Low-income groups are more likely to be displaced since their housing spending is more elastic. However, research on whether China's new environmentally responsible green urban renewal has also aggravated socioeconomic inequity is still insufficient. Using the Happiness Forest Belt (HFB, currently the largest green infrastructure regeneration project in China) in Xi'an as a case study, our study examines whether green urban renewal actions have resulted in green gentrification. By incorporating spatial effects into the difference in differences (DID) model, our estimates show that HFB significantly and dynamically stimulated the appreciation of nearby property rents. Moreover, the lower the property rents, the more intense the impact of HFB and the more likely it was to gentrify. It confirms our concern that green urban renewal would probably result in the displacement of the poor and that green initiatives aimed at common human well-being are more beneficial to the wealthy. Based on this, we recommend that policymakers and planners realize the importance of the equitable distribution of green benefits, take innovative initiatives to address environmental injustice, and provide inclusive social and ecological solutions.",Green infrastructure,Green gentrification,Urban renewal,Spatial difference in differences model,Environmental justice,"Du, Jinfeng","Cheng, Yijiao","Xia, Zheyi","Liu, Jingming",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_85,"Lindner, Anna E.","Seeking ""Self-Determination"" in Detroit: Housing, Race, and the Activism of the West Central Organization, 1964-1971",JOURNAL OF URBAN HISTORY,DEC 2024,0,"This essay examines the advocacy efforts of the West Central Organization (WCO), which was established in 1964 to protect Detroit neighborhoods that were historically mostly white but were becoming increasingly Black. Seeking ""self-determination"" for citizens, the WCO's communications campaigns attracted media and administrative attention to housing crises caused by urban renewal policies. Drawing on literature and news stories published by and about the WCO, this essay focuses on political battles the WCO picked with Detroit Mayor Jerome Cavanagh and Wayne State University. The WCO garnered a small measure of political power and managed to alter urban renewal policies-before the WCO's confrontational tactics turned white mainstream press outlets and public opinion against the organization. Ultimately, the WCO's white leadership and race-blind approach to organizing mitigated its effectiveness in the wake of the 1967 Rebellion, when Black leaders confronted racial discrimination, policy brutality, and other systemic issues that continue in present-day Detroit.",urban renewal,African Americans,Detroit,race,news media,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_86,"Huang, Ruopeng",Multi-level social capital effects on residents: Residents' cooperative behavior in neighborhood renewal in China,LAND USE POLICY,JAN 2025,0,"China has recently shown great enthusiasm for developing neighborhood renewal, and good cooperation within resident groups is the key to successful implementation. Residents' cooperative behavior is easily influenced by social relationships among residents, which are referred to as resident-level social capital. Further, resident-level social capital is influenced by the neighborhood effects, known as neighborhood-level social capital. However, few studies examined the impact of social capital on residents' behavior from the perspective of both residentlevel and neighborhood-level. This paper aims to examine the multilevel social capital that influence residents' cooperative behavior in China. Using social capital theory and the theory of planned behavior, this study collects questionnaire survey data from 1039 residents in 98 neighborhood renewal projects in China. The results from multilevel structural equation modeling suggest that residents' social capital can directly influence residents' cooperative behavioral intention. The variability of neighborhood-level social capital and the impact of multidimensional social capital were examined. The findings of this study have strengthened the explanatory power of the theory of planned behavior and expanded the application scope of social capital theory. The results provide a more cultural and historical perspective, that is, resident relationships, for promoting cooperation among residents in neighborhood renewal.",Neighborhood renewal,Social capital,The theory of planned behavior,Cooperative behavior,,"Qian, Queena K.","Liu, Guiwen","Li, Kaijian","Visscher, Henk J.","Fu, Xinyue",,,,,,"Wang, Wenshun",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_87,"Jump, Robert Calvert",JUE Insight: : The labor market effects of place-based policies: Evidence from England's Neighbourhood Renewal Fund,JOURNAL OF URBAN ECONOMICS,NOV 2024,0,"Neighbourhood renewal programs are a type of place-based policy that aim to revive underperforming localities. The literature on place-based policies has found mixed results regarding their effects on local labor market outcomes, but there are relatively few studies of policies that aim to improve local labor supply. In this paper we examine the labor market effects of the Neighbourhood Renewal Fund, which targeted 88 of the most deprived areas in England during the early 2000s as part of the Labour government's National Strategy for Neighbourhood Renewal. The fund disbursed almost 3 pound billion for spending on community safety, education, healthcare and worklessness, with supply-side interventions making up the bulk of the program's spending on worklessness. Using a difference-in-differences approach, we find statistically significant impacts on local employment. Our results suggest that policy interventions to improve local labor supply can be a successful strategy for neighborhood renewal.",Place-based policies,Urban economics,Labor supply,Employment,,"Scavette, Adam",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_88,"Antonic, Branislav","Urban Regeneration through Cultural-Tourism Entrepreneurship Based on Albergo Diffuso Development: The Venac Historic Core in Sombor, Serbia",LAND,SEP 2024,0,"The inner core of Sombor, known as ""Venac"", is probably the best-preserved one among medium-sized cities in Serbia. The stagnation of Sombor during the 20th century and its urban shrinkage in the 21st century have prevented significant transformations of the core, enabling its preservation under state protection as an urban heritage site. However, the recent rise of cultural tourism has triggered urban regeneration. As the city is still unprepared for this change, this regeneration has mostly omitted the inner core. Realising this, local representatives and experts have started rethinking innovative approaches to its regeneration, including the concept of Albergo Diffuso. This sustainable concept is created to revive the historic cores of small, shrinking cities and towns. Basically, it represents a hotel situated in several old buildings dispersed throughout a historic urban fabric, fitting perfectly into the regeneration of Venac. However, the current lack of precise spatial indicators and thresholds makes their incorporation into the planning process challenging. Considering this, this study focuses on the current spatial development of tourism in Venac, analysing the elements that would support and facilitate the application of this concept in the future. This article also proposes a set of new planning measures to support a strategically organised approach-from the emphasis on urban reuse and physical renewal to multileveled linking of basic concept conditions to the prioritization of pedestrian-friendly places and the application of innovative urban design in open public spaces. By connecting the selected Albergo Diffuso approach with spatial development and its analysis, this study also contributes to the spatial imprint of the concept's implementation.",Albergo Diffuso,historic core,shrinking cities,urban renewal,cultural tourism,"Stupar, Aleksandra","Kovac, Vladimir","Sovilj, Danira","Grujicic, Aleksandar",,post-industrial development,small cities,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_89,"D'Ostuni, Michele",Integrating Greenhouses into Buildings: A Renewed Paradigm for Circular Architecture and Urban Regeneration,SUSTAINABILITY,DEC 2024,0,"In the post-COVID-19 era, there has been an increasing interest in re-evaluating citizens' living conditions within dense and grey urban areas. The provision of green spaces has always been identified as an important aspect of alleviating contemporary everyday life stress and preventing or limiting mental health-related issues. It is also an important strategy to mitigate urban heat islands and foster adaptation strategies to climate change. Among the numerous experiments of 'green action' available to urban planners, urban farming strategies have been widely used in Europe to provide green spaces and ecosystem services, exploring the topics related to self-production of food, biodiversity, and zero-km cultivation. Therefore, finding new spaces for agriculture in urban environments has driven scientists, researchers, and entrepreneurs to develop new soilless technologies (such as hydroponics, aquaponics, and aeroponics) to maximize yields in urban areas, creating new agricultural and architectural models such as the vertical farms (VF) and the building-integrated greenhouses (BIGH). In this regard, the objective of this paper is to recontextualize the integrated greenhouse element for high-tech food production as new iconic architectural models derived from the experience of the Victorian Winter Gardens and the first tropical greenhouses. Revisiting these perspectives, this paper offers opportunities to redefine the greenhouse as a multifunctional asset that aligns with both environmental goals and architectural standards.",greenhouses,urban farming,food security,urban renewal,urban heat island effect,"Zou, Tong","Sermarini, Allison","Zaffi, Leonardo",,,high-tech food production,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_90,"Xiao, Xiaomin",Using Importance-Performance Analysis to Reveal Priorities for Multifunctional Landscape Optimization in Urban Parks,LAND,MAY 2024,1,"In the context of urban renewal, residents have presented elevated expectations for the quality of urban parks, necessitating the optimization of parks' multifunctional landscapes. Transforming residents' preferences for landscape services into a prioritized index for multifunctional landscape renewal poses a significant challenge. This study addresses this research gap by integrating importance-performance analysis (IPA) with residents' perception evaluations of landscape services. We establish an index system to evaluate perceptions of urban park landscape services. By employing the importance-performance analysis framework, we identify landscape service types that exhibit high importance but low satisfaction levels, thereby establishing priorities for multifunctional landscape renewal. Using Guangzhou's urban parks as a case study, our findings reveal variations in users' demands for different landscape services and differences in demand among various user groups for similar services. Users assign utmost importance to safety services while expressing the highest satisfaction with physical and mental health or microclimate regulation services. Significant disparities exist between middle-aged/elderly groups and young people regarding perceptions of social interaction, waste disposal, and sense of belonging services. Our results demonstrate that IPA analysis can elucidate priorities for multifunctional landscape renewal, facilitate public participation in improving urban park landscapes, and provide decision-making support for optimizing these landscapes.",multifunctional landscape,importance-performance analysis (IPA),landscape services,perception evaluation,urban parks,"Ye, Qiaoru","Dong, Xiaobin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_91,"Camerin, Federico",Towards the Spanish local urban agenda. The evolution of urban regeneration in Spain (2014-2022),TEMA-JOURNAL OF LAND USE MOBILITY AND ENVIRONMENT,APR 2024,4,"The paper provides an analysis of the difference in the tools adopted in the Spanish urban policies between the two last EU programming cycles (2014-2020 and 2021-2027). After an introduction with references to the policy framework and the literature, a methodological section describes the focus of the research, the source of the data and how this information has been used for the comparative purpose of the work. The following section (Results) provides the comparison of the contents of the policy documents delivered by the Spanish cities involved in the urban agenda, with reference to the type of actions selected, the overlapping of thematic and strategic focus through the two periods, the budget allocated, etc. In the conclusive sections the attempt is to highlights analogies and differences between the two policy periods, pointing out the future investigation needed to provide a more comprehensive outlook on the question addressed in the paper.",Urban governance,Urban policies,Integrated sustainable urban development strategies,Spanish urban agenda,,"Del Valle, Lucas Alvarez","Bermejo, Ana Diez","Suarez, Ivan Rodriguez",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_92,"Wronkowski, Adam",Exploring user needs in urban plazas: an empirical mixed-method analysis,BULLETIN OF GEOGRAPHY-SOCIO-ECONOMIC SERIES,SEP 2024,0,"This research aims to investigate the relationship between humans and the physical area of their activity by identifying the needs of urban plaza users. The study used two research methods - IDI and CAWI survey. A total of 17 needs that are satisfied in urban plazas were identified. Analysis of the frequency of their satisfaction indicates that urban plazas are mainly recreational and leisure spaces. However, it is worth noting that the average ratings of how frequently individual needs were fulfilled differed insignificantly, indicating that urban plazas are highly multifunctional. At the same time, the frequency with which social needs were satisfied was rated relatively low. The survey results also suggest that the satisfied needs in urban plazas vary by gender and personality. The research points to generational changes that affect the fulfillment of differentiated needs depending on user age. A change in the ""center of gravity"" of the satisfied needs of young people relative to older users of urban plazas is observed",human needs,urban plaza,user,city dwellers,behavioral geography,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_93,"Li, Yu","Dissemination, manipulation or monopolization? Understanding the influence of stakeholder information sharing on resident participation in neighborhood rehabilitation of urban China",LAND USE POLICY,DEC 2024,1,"Socially sustainable urban renewal hinges on active public participation, necessitating effective information sharing. Combining Social Network Analysis (SNA) and Ecological Network Analysis (ENA), this study longitudinally investigates how stakeholder information sharing evolves over the project lifecycle of neighborhood rehabilitation and its impacts on resident participation. A representative neighborhood rehabilitation project in Wuhan, China, serves as the study case, with data from 10 interviews, 35 questionnaires, and 3 focus groups. The study suggests that SNA and ENA are complementary and competent in identifying key stakeholders, as well as uncovering undesirable behaviors of manipulation and monopolization, and unhealthy relationships like exploitation and competition. Implementation unit and neighborhood committee emerged as principal information holders, while local media and tenant were least informed. SNA results underscore the central position of neighborhood committee in collecting and disseminating information, demonstrating significant autonomy and control throughout project lifecycle. Conversely, homeowner showed marked dependence and lacked control, particularly in the planning and design phase. ENA findings reveal neighborhood committee's ongoing struggle with information exploitation, eroding its willingness and capacity to share information during the later phases of rehabilitation process. The information exploitation led to a fragile network that further marginalized local media, undermined by dwindling trust and autonomy. Notably, homeowners amplified their discourse power as project progressed, shifting from passive recipients to active decision-makers. Yet, well-informed homeowners monopolized information sharing, deliberately excluding others with conflicting interests, intensifying issues of inequity and opacity. Policy recommendations are provided to counter unhealthy stakeholder dynamics and promote equitable and inclusive public participation in urban renewal initiatives.",Urban renewal,Public participation,Neighborhood rehabilitation,Information management,Social network analysis (SNA),"Zhu, Penglin","Mlecnik, Erwin","Qian, Queena K.","Visscher, Henk J.",,Ecological Network Analysis (ENA),China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_94,"Chen, Xingyu","Landscape-Drama"": Innovative Applications of Digital Projection Art in the Renewal of Chinese Old City Communities",,2024,0,"Amidst the backdrop of China's urban renewal entering a new phase, digital projection art has garnered significant attention as an effective, communicative, interactive, and experiential art form with the potential to inject innovation and sustainability into the renovation of old urban communities. However, current research on domestic digital projection predominantly revolves around technical aspects, resulting in relatively uniformity in content and visual representation. Therefore, against this backdrop, this study innovatively introduces theatrical arts into the projection mapping of old urban community building facades to achieve deep interaction between dramatic content and community environments. Using the example of the digital projection artwork ""The Magic Flute"" at the Chongqing International Light and Shadow Art Festival in the Huangjueping community, the study primarily analyzes spatial forms, visual characteristics, digital interactions, and related interviews. This research contends that ""The Magic Flute"" transcends the realm of digital technology by establishing a unique binary structure of ""landscape-drama"" that deeply integrates landscape forms with dramatic content in the community, enriching the cultural content and narrative structure of digital projection works in old urban areas. Additionally, it proposes experimental methods led by theatrical arts, creates more delicate immersive experiences in community theaters, and uncovers the media art creation process closely aligned with the reality of old urban areas, thereby offering valuable insights to support the sustainable revitalization of old urban communities in China.",Old Urban Communities,Digital Projection Art,The Magic Flute,Landscape-Drama,,"Liu, Xiang","Zhou, Hongtao",,,,,,,,,,"HCI INTERNATIONAL 2024 POSTERS, PT III, HCII 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_95,"Zhao, Pingping",Evaluating social sustainability of urban regeneration in historic urban areas in China: The case of Xi'an,JOURNAL OF ENVIRONMENTAL MANAGEMENT,NOV 2024,0,"Urban regeneration involves a highly contested process of social transformation. Examples from China have shown that this process has led to poor social sustainability. Previous studies have not adequately addressed the issue of poor social sustainability. This study aims to address this gap by developing a set of valid and reliable performance indicators for assessing the social sustainability of urban regeneration initiatives in China's Historic Urban Areas (HUAs). Through an extensive literature review and a Delphi survey, critical social sustainability factors facilitating urban regeneration were identified. An assessment tool was subsequently proposed, comprising eight themes, 29 indicators, and a corresponding point-scoring system. Finally, Xi'an was selected as a case study to apply and test the applicability of the tool and to evaluate social sustainability performance to further explore improvement strategies. The results show that adequate housing, housing quality, participation in regeneration initiatives, and safe design were the most critical indicators determining the social sustainability of urban regeneration. Additionally, the results reveal indicators with limited contribution to achieving social sustainability in Xi'an. The research findings have policy implications for pushing socially sustainable urban regeneration initiatives in China.",Social sustainability,Assessment tool,Urban regeneration,Historic urban areas,,"Ali, Zuraini Md","Hashim, Nik Hazwani Nik","Ahmad, Yahaya","Wang, Haoxin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_96,"Sun, Chengyu",SCALE MISMATCHING: PREVALENT COMPACTNESS INDEXES OF URBAN FORM DO NOT WORK IN COMPUTATIONAL URBAN DESIGN,,2024,0,"This study systematically evaluates and compares the effectiveness of 9 prevalent indexes for measuring the compactness of building distributions at the meso-scale through comparative experiments. Experiments primarily employ an ideal sample with controlled variables, and superior indicators are further tested in actual urban areas. The assessment, grounded in sensitivity and consistency, adopts rigorous quantitative criteria and is compared against a baseline computed by cohesion evaluation based on graph (GCE). Research findings indicate: (a) when quantifying compactness differences in same scale regions: Directly employing GCE or the improved T* is recommended; (b) when comparing compactness differences in regions of diverse scales, GCE is recommended; if using ENN or ANN, supplementary evaluation is necessary; (c) in studies of urban morphology effects mechanisms, it is advisable to utilize GCE instead of T*, as T* presents collinearity issues with footprint density. None of the remaining indexes is recommended for the above scenario at mesoscale. This research distinctly reveals the limitations of prevalent compactness indexes at meso-scale and suggests superior alternatives.",urban morphology measurement,building distribution compactness,compactness indexes,index applicability,,"Meng, Yu","Wang, Xinru",,,,,,,,,,"PROCEEDINGS OF THE 29TH INTERNATIONAL CONFERENCE OF THE ASSOCIATION FOR COMPUTER-AIDED ARCHITECTURAL DESIGN RESEARCH IN ASIA, CAADRIA 2024, VOL 2",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_97,"Wu, Zhifeng",Green space-building integration for Urban Heat Island mitigation: Insights from Beijing's fifth ring road district,SUSTAINABLE CITIES AND SOCIETY,DEC 1 2024,0,"In this research, we delve into the complex arrangement of urban landscapes, where green spaces and buildings are not merely co-existing but are interwoven into a cohesive fabric that shapes the thermal environment. Our approach transcends the conventional methods of analysis, which typically isolate the roles of greenery or built environments. Instead, we adopt a synergistic perspective that recognizes the collective influence of these landscape constituents on the urban thermal pattern. Key insights are: (1) A linear decrease in average land surface temperature with increasing green space coverage is observed. However, substantial temperature variations (up to 8 degrees C) within the same coverage interval highlight the significant impact of built-up pattern on thermal conditions; (2) High Building Height and Floor Area Ratio, and low Building Coverage Ratio and Sky View Factor, are linked to cooler temperatures in areas with up to 50 % green space; (3) The study suggests that low-temperature areas can inform the adjustment of built-up patterns in high-temperature areas, offering a strategy for thermal environment optimization within specific green space coverage intervals. This research contributes insights into the integrated planning of green spaces and buildings, with implications for urban development and renewal initiatives aiming to enhance the urban thermal environment.",Urban Heat Island,Green space-building combination,Built-up pattern,Urban Functional Zones,,"Zhou, Yangfeng","Ren, Yin",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_98,"Benitez-Perez, Laura Esther",Citizen struggle and resistance: the case of the urban renovation in Vallcarca (Barcelona),CIUDAD Y TERRITORIO-ESTUDIOS TERRITORIALES-CYTET,FAL 2024,0,"This research presents the results of a study whose purpose was to to understand how changes are perceived and affect the lives of its residents, while activating behaviors of struggle and resistance against intervention. For this, semi-structured interviews were conducted with the residents of the Vallcarca neighborhood and participant observations were made. The analysis of the data collected revealed That neighbors share a feeling of lost, for the public spaces, but also social networks, which impulse them to take actions and try to recover this lost identity by participating. The implications from the point of view of urban interventions and public administration management are discussed.",Urban renewal,Citizen participation,Social conflict,Empowerment,,"Castrechini-Trotta, Angela Armenia",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
