,author1,author2,author3,author4,title,conference,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,author5,author6,journal/book,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,author7,author8,keyword13,keyword14,author9,author10,author11,author12,author13,author14,author15,author16,author17,author18,author19,author20,author21,author22,author23,author24,author25,author26,author27,author28,author29,author30,author31,author32,author33,author34,author35,author36,author37,author38,author39,author40,author41,author42,author43,author44,author45,author46,author47,author48,author49
Row_428,"Vaz, Eric",,,,"Artificial terrariums as urban habitats innovative solutions for environmental, economic, and social development",,FEB 2024,0,"This article examines the potential of repurposing abandoned indoor retail spaces into artificial landscapes as terrariums. By transforming these neglected areas, which would otherwise contribute to the proliferation of brownfields, into large virtual terrariums, a novel and unexplored utilization of extinct vegetation is made possible. This article investigates the educational and experiential benefits of such artificial landscapes, highlighting their role in enhancing understanding of regional impacts of change in the Anthropocene. Additionally, it explores the potential for environmental optimization and interaction within these terrariums, considering temperature calibration, climate conditioning, and the integration of Geographic Information Systems (GIS). The GIS dimension is particularly emphasized, as it enables spatial analysis and landscape preservation, regional decision support systems, and further contributes to exploring this concept. This study further aims to provide insights into the impact and reception of artificial terrariums while considering their potential for future expansion and innovation. By delving into the intersection of indoor exploration, education, and environmental optimization, the contribution explores the broader understanding of the possibilities presented by artificial landscapes as terrariums in times of profound regional change.",,,,,,,HABITAT INTERNATIONAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_429,"Tananantayot, Jiratchaya","Tantipisanuh, Naruemon","Kamjing, Anucha","Dachyosdee, Utai",Understanding the co-occurrence of Asian small-clawed otter and smooth-coated otter in a human-dominated landscape,,NOV 2024,0,"Land conversion threatens many wild species globally, driving multiple populations to extinction. The issue is particularly severe in Southeast Asia, where natural habitats have been continuously modified due to rapid agricultural and urban expansion, consequently forcing many wildlife species to adapt to human-dominated landscapes. This disruption also impacts co-occurring, competing species, affecting both dominant and subordinate species, which can be disruptive to ecosystems. For this reason, understanding how environmental and human factors influence wildlife in human-dominated landscapes is necessary for long-term wildlife conservation in these areas. This study examined the effects of extrinsic factors on interspecific competition between the Asian small-clawed otter (Aonyx cinereus) and the smooth-coated otter (Lutrogale perspicillata) using two-species occupancy models with a continuous-time detection process that can simultaneously account for space and time. Our results supported models suggesting spatial and temporal dependence between these two species in southern Thailand. We found that occupancy was explained by the availability of natural habitat and aquaculture, while co-occurrence between species was better explained by the size of contiguous agricultural patches and the number of urban patches in the landscape. Human disturbance had limited influence on otter occupancy but rather impacted their detection at different scales, depending on the intensity of human disturbance. Otters occupying the most human-disturbed areas responded to humans at the smallest temporal scale, perhaps indicating a degree of habituation to humans when encounters are non-threatening and adequate habitat remain (i.e., high habitat heterogeneity and undisturbed corridors). However, increased overlap between otters and humans might lead to more conflict, and private property regulation is likely challenging for otter conservation.The shrinkage of natural habitats escalates competition between wildlife species. This interspecific competition is a crucial factor that influences behavioral adaptation and geographic distribution for both dominant and subordinate species, especially urban wildlife occupying anthropogenic landscapes that have been persistently changing. Using continuous-time detections from camera traps along the coast of southern Thailand, we investigated the relationship between the Asian small-clawed otter and smooth-coated otter, and their responses to humans through time and space simultaneously. We found temporal avoidance and spatial dependence between the two species of otters; however, their relationship varied with human density levels. Our findings suggest that these distinct otter species can co-exist and adapt to human-dominated landscapes under specific conditions, for example when human encounters are non-threatening, habitat heterogeneity is sufficient, and habitat corridors remain undisturbed.",Continuous-time detection,Interspecific interactions,Two-species occupancy models,Small carnivores,"Ngoprasert, Dusit",,BEHAVIORAL ECOLOGY AND SOCIOBIOLOGY,Urbanization,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_430,"Cao, Jiping","Hochmair, Hartwig H.",,,Use of iNaturalist Biodiversity Contribution Data for Modelling Travel Distances to Parks Across the United States,27TH AGILE CONFERENCE ON GEOGRAPHIC INFORMATION SCIENCE GEOGRAPHIC INFORMATION SCIENCE FOR A SUSTAINABLE FUTURE,2024,0,"Crowdsourcing platforms have become an important data source for modelling and observing human behavioural and social activities, such as mobility, social interactions and urban dynamics. This study uses observation data from iNaturalist, an online social network of voluntary users sharing biodiversity information, which was collected from 20,434 parks in the United States. It explores the relationship between park characteristics and the mean travel distance of users to parks. The latter is based on the average of distances between an iNaturalist user's typical main area of iNaturalist contributions and the locations of the user's observations falling inside a park of interest. The DBSCAN clustering algorithm is used to determine each user's main contribution area. An Eigenvector Spatial Filtering (ESF) model shows that the log of the average distance travelled to parks is positively associated with certain park management types (e.g. National Parks, State Parks) and biodiversity, but negatively associated with the population around a park. The results provide insights into the nature of iNaturalist user visitation patterns to parks which can be used for targeted outreach campaigns and a more user-centric approach to promote park attractions and biodiversity conservation.",Crowdsourcing,travel distance,park,iNaturalist,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_431,"Yu, Jiarui","Chang, Ximing","Hu, Songhua","Yin, Haodong",Combining travel behavior in metro passenger flow prediction: A smart explainable Stacking-Catboost algorithm,,JUL 2024,2,"Accurately predicting short-term passenger flow is essential to optimize operation resources and improve transportation services in urban metro systems. However, it has become a challenging problem due to spatial-temporal demand fluctuations and heterogeneous passengers' travel behavior, i.e., the interaction between the departure and arrival passengers. In this paper, we develop an explainable Stacking-Catboost model for passenger flow prediction combining the passenger's return probability computation. The model explores several basic ensemble learning models and the best stacking strategy. To better characterize the macroscopic spatiotemporal travel patterns other than the micro individual travel behavior, several relevant variables such as train operation characteristics, the nearby bus stations, and points of interest are considered. Ablation studies are conducted to investigate the utility of each component of the proposed model. An explainable analysis is performed to interpret information from ""black box"" models and quantify the contribution of each feature. We present a real-world case study conducted in the Beijing metro, demonstrating that our proposed method achieves significant improvements over existing techniques in hourly prediction tasks. Specifically, our approach outperforms the CategoricalBoosting (CatBoost) by up to 11.11 % and the Random Forest (RF) by up to 12.90 %, showcasing the effectiveness of incorporating macroscopic spatiotemporal travel patterns and micro individual travel behavior to enhance short-term forecasting accuracy. The global interpretability of models reveals key factors that impact performance, such as returning passenger flow, historical travel demand, and timetable data. Our results offer valuable insights into shortterm forecasting challenges and provide a framework for leveraging explainable artificial intelligence to improve transportation services in urban metro systems.",Passenger flow prediction,Explainable machine learning,Ensemble learning,Smart card data,"Wu, Jianjun",,INFORMATION PROCESSING & MANAGEMENT,Individual travel behavior,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_432,"Han, Feifei","Yu, Jingshan","Zhou, Guihuan","Li, Shuang",A comparative study on urban waterlogging susceptibility assessment based on multiple data-driven models,,JUN 2024,2,"Accurate identification of urban waterlogging areas and assessing waterlogging susceptibility are crucial for preventing and controlling hazards. Data-driven models are utilized to forecast waterlogging areas by establishing intricate relationships between explanatory variables and waterlogging states. This approach tackles the constraints of mechanistic models, which are frequently complex and unable to incorporate socio-economic factors. Previous research predominantly employed single-type data-driven models to predict waterlogging locations and evaluation of their effectiveness. There is a scarcity of comprehensive performance comparisons and uncertainty analyses of different types of models, as well as a lack of interpretability analysis. The chosen study area was the central area of Beijing, which is prone to waterlogging. Given the high manpower, time, and economic costs associated with collecting waterlogging information, the waterlogging point distribution map released by the Beijing Water Affairs Bureau was selected as labeled samples. Twelve factors affecting waterlogging susceptibility were chosen as explanatory variables to construct Random Forest (RF), Support Vector Machine with Radial Basis Function (SVM-RBF), Particle Swarm Optimization-Weakly Labeled Support Vector Machine (PSO-WELLSVM), and Maximum Entropy (MaxEnt). The utilization of diverse single evaluation indicators (such as F-score, Kappa, AUC, etc.) to assess the model performance may yield conflicting results. The Distance between Indices of Simulation and Observation (DISO) was chosen as a comprehensive measure to assess the model's performance in predicting waterlogging points. PSO-WELLSVM exhibited the highest performance with a DISOtest value of 0.63, outperforming MaxEnt (0.78), which excelled in identifying areas highly susceptible to waterlogging, including extremely high susceptibility zones. The SVM-RBF and RF models demonstrated suboptimal performance and exhibited overfitting. The examination of waterlogging susceptibility distribution maps predicted by the four models revealed significant spatial differences due to variations in computational principles and input parameter complexities. The integration of four WSAMs based on logistic regression has been shown to significantly decrease the uncertainty of a single data-driven model and identify the most flood-prone areas. To improve the interpretability of the data model, a geographical detector was incorporated to demonstrate the explanatory capacity of 12 variables and the process of waterlogging. Building Density (BD) exhibits the highest explanatory power in relation to explain waterlogging susceptibility (Q value = 0.202), followed by Distance to Road, Frequency of Heavy Rainstorms (FHR), DEM, etc. The interaction between BD and FHR results in a nonlinear increase in the explanatory power of waterlogging susceptibility. The presence of waterlogging susceptibility risk in the research area can be attributed to the interactions of multiple factors.",Urban waterlogging susceptibility,Machine learning,MaxEnt,DISO,"Sun, Tong",,JOURNAL OF ENVIRONMENTAL MANAGEMENT,Uncertainty analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_433,"Huang, Jintao","Zhang, Yichen","Zhang, Jiquan","Qi, Jiawei",Study on the ecological environment quality and its driving factors of the spatial transformation of production-living-ecological space in Baishan City,,AUG 12 2024,0,"In order to strengthen the overall planning and coordination of urban construction and ecological space in Baishan City, we should formulate a scientific land type planning of Production-Living-Ecological Space (PLES). In this paper, land use dynamic attitude model, land use transfer matrix, land use function center of gravity transfer model, eco-environmental quality index(EEQI) and geographic detector model are used to discuss the spatio-temporal evolution of PLES in Baishan City from 2000 to 2020. Spatio-temporal evolution of EEQI and its influencing factors. The results show that: (1) During the study period, Baishan City showed the characteristics that the production space first increased and then decreased, the ecological space decreased, and the living space continued to increase. Among them, the ecological space is the dominant space of Baishan City, covering an area of more than 80%. From the perspective of the transformation of PLES, from 2000 to 2020, Baishan City is mainly characterized by the transformation of ecological space into production space and living space. In the second type of space, green ecological space, forestry ecological space and other ecological space have decreased, while other types of space have increased in varying degrees. (2) During the study period, the overall EEQI of Baishan City remained in good condition, and the ecological environment quality(EEQ) of the three periods were 0.6571, 0.6412 and 0.6562 respectively. The higher EEQI is distributed in Changbai County and Linjiang City, while the areas with lower EEQI are concentrated in the north-central part of Hunjiang City, the middle part of Jiangyuan District and the northwest of Fusong County. (3) According to the analysis of the influencing factors of EEQ, the influence of the factors of spatial differentiation of EEQI in Baishan City changed significantly from 2000 to 2020, and the average annual rainfall was the core factor affecting the spatial differentiation of EEQ in Baishan City, the second is the urbanization rate and the distance from the county government, and the interaction between the average annual rainfall and the distance from the county government has a strong influence on the spatial differentiation of EEQ in Baishan City. This study reveals the evolution of spatial types and EEQ of PLES in Baishan City, and provides a scientific reference for the effective management and utilization of land resources in Baishan City.",Production-living-ecological space,Spatio-temporal evolution,Ecological environmental quality,Geographic detector model,"Liu, Peng",,SCIENTIFIC REPORTS,Baishan,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_434,"Wang, Xiding","Li, Huimin","Zhang, Ruikai","Liu, Xudong",Bacterial community and dissolved organic matter networks in urban river: The role of human influence,,DEC 15 2024,0,"Human activities have significantly altered the biogeochemical cycles of carbon, nitrogen, and sulfur in aquatic ecosystems, leading to ecological problems.This study utilized 16S rRNA gene high-throughput sequencing and excitation-emission matrix parallel factor analysis (EEM-PARAFAC) to evaluate the bacterial community composition and dissolved organic matter structure in the upstream (less impacted) and downstream (severely impacted) sections of the river, with a focus on the interactions between bacterial diversity and dissolved organic matter (DOM) characteristics.Results indicated significant spatial diversity in bacterial communities, with a higher alpha-diversity upstream compared to the more polluted downstream sections. Environmental parameters, particularly total phosphorus (TP) and dissolved oxygen (DO), were found to significantly influence the distribution and composition of bacterial phyla through redundancy analysis. The pattern of bacterial community assembly has shifted from predominantly deterministic to predominantly stochastic as a result of human activities. The analysis of DOM through EEM-PARAFAC identified three main fluorescent components, reflecting varied sources and interactions with bacterial communities. Upstream, microbial activities predominantly contributed to autochthonous DOM, while downstream, increased inputs of allochthonous DOM from human activities were evident. Furthermore, the study revealed that through the introduction of various organic pollutants and nutrient loads that shift microbial metabolic functions towards increased degradation and transformation of complex organic compounds downstream. Structural equation modeling (SEM) revealed that upstream human activities primarily affected bacterial communities indirectly by altering DOM properties. In contrast, downstream activities had both direct and indirect effects due to higher pollutant loads and more complex environmental conditions. These interactions underline the profound effect of anthropogenic factors on riverine ecosystems and emphasize the importance of managing human impacts to preserve microbial biodiversity and water quality.",Fen river,Bacterial communities,Dissolved organic matter,Human activities,"Nan, Fangru","Liu, Qi",ENVIRONMENTAL RESEARCH,Biogeochemical cycles,Structural equation modeling,,,,,,,"Lv, Junping","Feng, Jia",,,"Xie, Shulian","Liu, Yang",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_435,"Yang, Hongfei","Nie, Shunan","Zhou, Hui","Zhou, Xin","ECOLOGICAL SENSITIVITY AND ITS DRIVING FACTORS IN THE YANGTZE RIVER DELTA, CHINA",,JUL 2024,0,"Based on climate data, remote sensing data, elevation data and landscape data, six index factors including climate sensitivity, vegetation sensitivity, terrain sensitivity, landscape resource sensitivity, water resource sensitivity and human activity sensitivity were selected to construct an ecological sensitivity evaluation index system for the evaluation of ecological sensitivity in the Yangtze River Delta. The geographic detector was employed to explore the influencing factors and interactions of landscape ecological sensitivity. The results showed that the comprehensive sensitivity of landscape ecology gradually decreased from the middle of the study area to the surrounding areas, and the extreme sensitive, high sensitive, medium sensitive, light sensitive and insensitive areas accounted for 8.93%, 20.83%, 27.93%, 27.30% and 15.01% of the total study area, respectively. The Moran's Iindex of comprehensive sensitivity of landscape ecology was 0.4103, P value was less than 0.01, and Z value was greater than 2.58, indicating that its spatial distribution showed a significant positive correlation and clustered distribution. High and highaggregation was distributed in rivers, lakes and other water system areas. Geographic detectors were used to detect the ecological sensitivity of the Yangtze River Delta landscape with single-factor detection and two-factor detection, respectively. Among the single-factor detections, the river buffer distance and lake buffer distance had the most significant effects on the ecological sensitivity of the landscape in the Yangtze River Delta, indicating that the water resource sensitivity had the strongest explanatory power on the ecological sensitivity of the landscape in the study area. In the two-factor detection, when the water sensitivity factor works with either factor, the explanatory power of landscape ecological sensitivity is strong",ecological sensitivity,geographic detectors,spatial autocorrelation,Yangtze River Delta,"Wang, Yueqing",,ENVIRONMENTAL ENGINEERING AND MANAGEMENT JOURNAL,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_436,"Dufek, Matias Ignacio","Larrea, Dario Daniel","Damborsky, Miryam Pieri","Mulieri, Pablo Ricardo",Diversity response of necrophagous dipteran communities and their functional groups to an anthropization gradient,,MAY 2024,1,"The anthropization process exerts a profound effect on ecosystems, causing alterations in biodiversity, habitat structure, and species composition, ultimately disrupting the delicate balance of natural environments. The aim of the present study was to explore the ecological dynamics of necrophagous Sarcophagidae and Calliphoridae flies along an anthropization gradient. This research investigated alpha and beta diversity patterns to unravel the impact of human-induced environmental changes on these insect communities and also assesses the dynamics of functional groups in relation to their impact on medical and forensic fields. Five distinct habitats, ranging from urban to forested areas, were surveyed in two Departments in the Province of Chaco, Argentina. Necrophagous flies were collected using van Someren-Rydon canopy traps across three seasons. Two main functional groups were analyzed: oviparous flies (Calliphoridae) and larviparous flies (Sarcophagidae). Results indicated a significant negative correlation between Sarcophagidae species richness and anthropization, whereas Calliphoridae showed increased abundance in highly anthropized sites. The combined assemblage of Calliphoridae+Sarcophagidae exhibited significant relationships across all community parameters evaluated. Beta diversity analysis revealed turnover as the main process shaping dipteran communities along the anthropization gradient, with spatial species replacement dominating. This underscores the importance of interspecific spatial segregation in dipteran community composition. In conclusion, this study enhances our understanding of the ecological adaptations of necrophagous dipterans to anthropogenic disturbances. The observed shifts in diversity and abundance have implications for forensic investigations and public health, emphasizing the need for nuanced monitoring and conservation strategies. This research contributes valuable insights into the intricate ecological interactions of these insect communities within changing ecosystems.",Blow flies,Community composition,Ecological adaptations,Flesh flies,,,ACTA TROPICA,Medical entomology,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_437,"Srivanit, Manat","Kaewkhow, Suppawad",,,A machine learning-based protocol to support visual tree assessment and risk of failure classification on a university campus,,SEP 2024,1,"Tree failure risk assessment involves visually evaluating trees by considering three essential factors: identifying potential targets that may be affected if the tree falls, assessing the potential consequences of the fall, and determining the likelihood of tree failure. This assessment was used to evaluate the safety of trees in a study area at Thammasat University Rangsit Center, Thailand. In two priority-selected areas for tree risk management, 3659 trees representing 139 species were assessed, and to understand the spatial patterns of tree health conditions and risks, the study employed a GIS-based mapping methodology to manage tree inventory and analyze the spatial patterns of tree health conditions and risks. A decision tree protocol based on the chi-squared automatic interaction detector (CHAID) algorithm, which employs machine learning, was used to evaluate the risk of tree failure. Our study successfully identified seven variables that are crucial in assessing the risk of tree failure. According to the findings, the overall accuracy rate of failure risk classification was 87.35 %, and of all the trees evaluated, 280 trees (7.65 % of the total) representing 34 different species were at high risk. It is recommended to start the assessment process by evaluating important variables such as tree cavities, pest infestations, mechanical damage, dead branches, and epicormic growth. Machine learning protocols, integrated with GIS, are shown to be effective, spatially-explicit, decision-support tools for detecting tree failure potential and assessing risk ratings. Application of these tools improves tree risk management practices.",Bosch,Machine learning,Decision tree analysis,Visual tree assessment,,,URBAN FORESTRY & URBAN GREENING,Tree management,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_438,"Li, Weijie","Kang, Jinwen","Wang, Yong",,Integrating ecosystem services supply-demand balance into landscape ecological risk and its driving forces assessment in Southwest China,,OCT 10 2024,2,"The supply-demand balance of ecosystem services (ES) plays an important role in mitigating regional ecological risks and optimizing landscape patterns. However, traditional landscape ecological risk (LER) assessments consider the potential loss of ES supply while ignoring the supply-demand coupling relationship, and fails to reveal the actual situation of ecological risk. To fill this gap, taking the Southwest China (SWC) as an example, this study proposed an improved LER assessment method that focuses on ES supply-demand balance, and analyzed the spatio-temporal characteristics of LER and its driving factors in the SWC from 2000 to 2020 by using hotspot analysis, geo-detectors and geographical temporally weighted regression models. The results show that (1) the comparison results with the traditional LER evaluation method demonstrated the improved method's superior rationality and reliability. The overall LER of the SWC over the past 20 years displayed a fluctuating trend, with a spatial clustering pattern of high in the northeast and low in the southwest. (2) Human activities explained the relatively high spatial heterogeneity in high-risk areas, while in low-risk areas it was mainly the interaction of natural factors and landscape structural. Meanwhile, obvious temporal non-stationary was identified in the evolution of the key factors. The positive effects of land use intensity and landscape fragmentation gradually weakened, while the negative effects of Shannon diversity index gradually increased. The results can provide theoretical support and policy recommendations for ecosystem conservation and high-quality urban development in the SWC.",Landscape ecological risk,Landscape loss,Ecosystem services supply-demand balance,Driving forces,,,JOURNAL OF CLEANER PRODUCTION,Southwest China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_439,"Lin, Meiyun","Horowitz, Larry W.","Zhao, Ming","Harris, Lucas",The GFDL Variable-Resolution Global Chemistry-Climate Model for Research at the Nexus of US Climate and Air Quality Extremes,,APR 2024,2,"We present a variable-resolution global chemistry-climate model (AM4VR) developed at NOAA's Geophysical Fluid Dynamics Laboratory (GFDL) for research at the nexus of US climate and air quality extremes. AM4VR has a horizontal resolution of 13 km over the US, allowing it to resolve urban-to-rural chemical regimes, mesoscale convective systems, and land-surface heterogeneity. With the resolution gradually reducing to 100 km over the Indian Ocean, we achieve multi-decadal simulations driven by observed sea surface temperatures at 50% of the computational cost for a 25-km uniform-resolution grid. In contrast with GFDL's AM4.1 contributing to the sixth Coupled Model Intercomparison Project at 100 km resolution, AM4VR features much improved US climate mean patterns and variability. In particular, AM4VR shows improved representation of: precipitation seasonal-to-diurnal cycles and extremes, notably reducing the central US dry-and-warm bias; western US snowpack and summer drought, with implications for wildfires; and the North American monsoon, affecting dust storms. AM4VR exhibits excellent representation of winter precipitation, summer drought, and air pollution meteorology in California with complex terrain, enabling skillful prediction of both extreme summer ozone pollution and winter haze events in the Central Valley. AM4VR also provides vast improvements in the process-level representations of biogenic volatile organic compound emissions, interactive dust emissions from land, and removal of air pollutants by terrestrial ecosystems. We highlight the value of increased model resolution in representing climate-air quality interactions through land-biosphere feedbacks. AM4VR offers a novel opportunity to study global dimensions to US air quality, especially the role of Earth system feedbacks in a changing climate.NOAA's Geophysical Fluid Dynamics Laboratory has developed a new variable-resolution global chemistry-climate model for research at the nexus of US climate and air quality extremes. In contrast with the global models contributing to the latest Intergovernmental Panel on Climate Change Report, this model features more than 10 times finer spatial resolution over the contiguous US, allowing it to better resolve cities, mountain valleys, thunderstorms, and urban-to-rural air quality variations. This model features much improved representation of regional rainfall extremes, drought, and severe air pollution events in diverse US air basins, including California. Notably, this model reduces the central US dry-and-warm bias that has persisted in many generations of climate models. As global climate change leads to more hot and dry weather, the resulting droughts are creating dust-prone bare lands or stressing plants, making them less able to remove ozone pollution from the air. These effects are included in this model, with particular focus on integrating physical, chemical, and biological components at high spatial resolution to understand Earth system feedbacks to US air quality extremes in a changing climate.A new variable-resolution global chemistry-climate model has been developed for research at the nexus of US climate and air quality extremes This model unifies component advances in physics, chemistry and land-atmosphere interactions within a seamless variable-resolution framework This model features much improved US regional precipitation, drought, and air quality extremes compared to previous models",drought,Earth system feedbacks,extremes,air quality-climate interactions,"Ginoux, Paul","Dunne, John",JOURNAL OF ADVANCES IN MODELING EARTH SYSTEMS,precipitation,high-resolution,,,,,,,"Malyshev, Sergey","Shevliakova, Elena",,,"Ahsan, Hamza","Garner, Steve","Paulot, Fabien","Pouyaei, Arman","Smith, Steven J.","Xie, Yuanyu","Zadeh, Niki","Zhou, Linjiong",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_440,"Genin, Alexandre","Dupont, Guillaume","Valencia, Daniel","Zucconi, Mauro","Easy, fast and reproducible Stochastic Cellular Automata with chouca",PEER COMMUNITY JOURNAL,2024,0,"Stochastic cellular automata (SCA) are models that describe spatial dynamics using a grid of cells that switch between discrete states over time. They are widely used to understand how small-scale processes scale up to affect ecological dynamics at larger spatial scales, and have been applied to a wide diversity of theoretical and applied problems in all systems, such as arid ecosystems, coral reefs, forests, bacteria, or urban growth. Despite their wide applications, SCA implementations are often ad-hoc, lacking performance, guarantees of correctness and poorly reproducible. De novo implementation of SCA for each specific system and application also represents a major barrier for many practitioners. To provide a unifying, well-tested technical basis to this class of models and facilitate their implementation, we built chouca, an R package that translates definitions of SCA models into compiled code, and runs simulations in an efficient way. chouca supports SCA based on rectangular grids where transition probabilities are defined for each cell, with performance typically two to three orders of magnitude above typical implementations in interpreted languages (e.g. R, Python), all while maintaining an intuitive interface in the R environment. Exact and mean-field simulations can be run, and both numerical and graphical results can be easily exported. Besides providing better reproducibility and accessibility, a fast engine for SCA unlocks novel, computationally intensive statistical approaches, such as simulation-based inference of ecological interactions from field data, which represents by itself an important avenue for research. By providing an easy and efficient entry point to SCAs, chouca lowers the bar to the use of this class of models for ecologists, managers and general practitioners, providing a leveled-off reproducible platform while opening novel methodological approaches.",,,,,"Avila-Thiem, M. Isidora","Navarrete, Sergio A.",,,,,,,,,,"Wieters, Evie A.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_441,"Qiu, Ziyun","Guan, Yunlan","Zhou, Kefa","Kou, Yanfei",Spatiotemporal Analysis of the Interactions between Ecosystem Services in Arid Areas and Their Responses to Urbanization and Various Driving Factors,,FEB 2024,6,"In recent years, rapid urban expansion and increasing ecological sensitivity in arid zones have led to extreme imbalances in ecosystem development. Therefore, there is an urgent need to balance the dual goals of synergistic development of ecosystem services (ESs) and increased urbanization. Previous studies have analyzed the impacts of urbanization on ESs but have selected a limited number of indicators and have not focused on the impacts of urbanization on ES pair interactions. In this study, six key ESs (water yield, habitat quality, soil conservation, carbon storage, carbon sequestration and oxygen production, and food production) and total ecosystem services (TESs) were selected, and trends in the temporal and spatial relationship between trade-offs and synergies were analyzed over 20 years. This study refined the living standards urbanization indicator and evaluated the impact of urbanization and multiple drivers on ESs and ES pair interrelationships based on geo-detectors and segmented linear regression. The results show that there is heterogeneity in the overall and regional ES trade-offs and synergistic relationships, and water yield (WY)-related ES pairs generally exhibit synergistic relationships at the overall level. Spatially, however, the trade-off ratio exceeds the synergy ratio. Segmented linear regression results show that the relationship between all the urbanization indicators and TESs demonstrates an upward trend followed by a downward trend. Measures such as the increase in man-made oases in the early stages of urbanization did have some positive effects on TESs. However, as urbanization increased, these positive effects were quickly offset by the negative effects of overdevelopment and environmental degradation, leading to an overall decline in TESs. Urbanization of construction land (CL) had the most direct impact on ecosystem services. In summary, due to special climatic constraints, arid zones are more sensitive than other ecosystems, and urban development is strictly limited by oasis capacity. As cities expand, attention needs to be focused on protecting ecological land and limiting the expansion of CL to promote the synergistic development of urbanization and ecosystem services in arid zones.",ecosystem services (ES),trade-offs,comprehensive urbanization level (CUL),arid zones,"Zhou, Xiaozhen","Zhang, Qing",REMOTE SENSING,multiscale geographically weighted regression (MGWR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_442,"Ignell, Sanna","Wistrom, Bjorn","Levinsson, Anna","Jansson, Marit",Investigating school ground vegetation research: A systematic mapping review,,NOV 2024,0,"Vegetation on school grounds has several values and functions that contribute to aspects as children's well-being, pedagogy and microclimate among others. Research on school ground vegetation is conducted within many different research fields and deals with a variety of research themes. A systematic review was conducted to explore scientific literature on the topic of school ground vegetation broadly, enabling an overview of this diverse field and the discovery of trends or gaps within this research. The objective was also to investigate to what extent actual vegetation is in focus in this literature. The results highlight a low level of specificity when describing vegetation, concerning both spatial aspects and content, with general terms such as ""nature"" or vegetation types (trees/shrubs/grass, etc.) being common, leading to difficulties in interpretation and synthesis. A multitude of themes are present, describing different research foci. Several themes show limited interaction with other themes, such as the theme ""microclimate"", which may be of notable relevance for future research because of global warming. More coherence in how to describe vegetation on school grounds is needed to compare results. Also, more connections between research themes could address research gaps and be beneficial for future research endeavours.",School ground vegetation,School ground greening,Urban greening,Children's environments,,,URBAN FORESTRY & URBAN GREENING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
