,author1,author2,author3,author4,author5,author6,title,journal/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,conference,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,author7,author8,keyword12,keyword13,keyword14,author9,author10,author11,author12
Row_1572,"Chen, Weitao","Zhou, Gaodian","Liu, Zhuoyue","Li, Xianju","Zheng, Xiongwei","Wang, Lizhe",NIGAN: A Framework for Mountain Road Extraction Integrating Remote Sensing Road-Scene Neighborhood Probability Enhancements and Improved Conditional Generative Adversarial Network,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2022,27,"Mountain roads are a source of important basic geographic data used in various fields. The automatic extraction of road images through high-resolution remote sensing imagery using deep learning has attracted considerable attention. But the interference of context information limited extraction accuracy, especially for roads in mountain area. Furthermore, when pursuing research in a new district, many algorithms are difficult to train due to a lack of data. To address these issues, a framework based on remote sensing road-scene neighborhood probability enhancement and improved conditional generative adversarial network (NIGAN) is proposed in this article. This framework can be divided into two sections: 1) road scenes classification section. A remote sensing road-scene neighborhood confidence enhancement method was designed for classifying road scenes of the study area to reduce the impact of nonroad information on subsequent fine-road segmentation and 2) fine-road segmentation section. An improved dilated convolution module, which is helpful in extracting small objects such as road, was added into the conditional generative adversarial network (CGAN) to increase the receptive field and pay attention to global information, and segment roads from the results of road scenes classification section. To validate the NIGAN framework, new mountain road-scene and label datasets were constructed, and diverse comparison experiments were performed. The results indicate that the NIGAN framework can improve the integrity and accuracy of mountain road-scene extraction in diverse and complex conditions. The results further confirm the validity of the NIGAN framework in small samples. In addition, the mountain road-scene datasets can serve as benchmark datasets for studying mountain road extraction.",Roads,Feature extraction,Remote sensing,Data mining,,Convolution,Generative adversarial networks,Image segmentation,Deep learning,generative adversarial network (GAN),remote sensing,road extraction,,,scene classification,semantic segmentation,ZiYuan-3,,,,
Row_1573,"Randrianasoa, Jimmy Francky","Kurtz, Camille","Gancarski, Pierre","Desjardin, Eric","Passat, Nicolas",,EVALUATING THE QUALITY OF BINARY PARTITION TREES BASED ON UNCERTAIN SEMANTIC GROUND-TRUTH FOR IMAGE SEGMENTATION,,2017,7,"The binary partition tree (BPT) is a hierarchical data-structure that models the content of an image in a multiscale way. In particular, a cut of the BPT of an image provides a segmentation, as a partition of the image support. Actually, building a BPT allows for dramatically reducing the search space for segmentation purposes, based on intrinsic (image signal) and extrinsic (construction metric) information. A large literature has been devoted to the construction on such metrics, and the associated choice of criteria (spectral, spatial, geometric, etc.) for building relevant BPTs, in particular in the challenging context of remote sensing. But, surprisingly, there exists few works dedicated to evaluate the quality of BPTs, i.e. their ability to further provide a satisfactory segmentation. In this paper, we propose a framework for BPT quality evaluation, in a supervised paradigm. Indeed, we assume that ground-truth segments are provided by an expert, possibly with a semantic labelling and a given uncertainty. Then, we describe local evaluation metrics, BPT nodes / ground-truth segments fitting strategies, and global quality score computation considering semantic information, leading to a complete evaluation framework. This framework is illustrated in the context of BPT segmentation of multispectral satellite images.",Binary partition tree,supervised evaluation,uncertainty,semantics,2017 24TH IEEE INTERNATIONAL CONFERENCE ON IMAGE PROCESSING (ICIP),segmentation,mathematical morphology,remote sensing,,,,,,,,,,,,,
Row_1574,"Cao, Qinglong","Chen, Yuntian","Ma, Chao","Yang, Xiaokang",,,Few-Shot Rotation-Invariant Aerial Image Semantic Segmentation,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2024,4,"Few-shot aerial image semantic segmentation is a challenging task that requires precisely parsing unseen-category objects in query aerial images with limited annotated support aerial images. Formally, category prototypes would be extracted from support samples to segment query images in a pixel-to-pixel matching manner. However, aerial objects in aerial images are often distributed with arbitrary orientations, and varying orientations could cause a dramatic feature change. This unique property of aerial images renders conventional matching manner without consideration of orientations fails to activate same-category objects with different orientations. Furthermore, the oscillation of the confidence scores in existing rotation-insensitive algorithms, engendered by the striking changes of object orientations, often leads to false recognition of lower scored rotated semantic objects. To tackle these challenges, inspired by the intrinsic rotation invariance in aerial images, we propose a novel few-shot rotation-invariant aerial semantic segmentation network (FRINet) to efficiently segment aerial semantic objects with diverse orientations. Specifically, through extracting orientation-varying yet category-consistent support information, FRINet provides rotation-adaptive matching for each query feature in a feature-aggregation manner. Meanwhile, to encourage consistent predictions for aerial objects with arbitrary orientations, segmentation predictions from different orientations are supervised by the same label and further fused to obtain the final rotation-invariant prediction in a complementary manner. Moreover, aiming at providing a better solution searching space, the backbones are newly pretrained in the base category to basically boost the segmentation performance. Extensive experiments on the few-shot aerial image semantic segmentation benchmark demonstrate that the proposed FRINet achieves a new state-of-the-art performance. The code is available at https://github.com/caoql98/FRINet.",Consistent prediction,few-shot aerial semantic segmentation,rotation invariance,rotation-adaptive matching,,,,,,,,,,,,,,,,,
Row_1575,"Xu, Weicheng","Yang, Weiguang","Chen, Pengchao","Zhan, Yilong","Zhang, Lei","Lan, Yubin",Cotton Fiber Quality Estimation Based on Machine Learning Using Time Series UAV Remote Sensing Data,REMOTE SENSING,FEB 2023,5,"As an important factor determining the competitiveness of raw cotton, cotton fiber quality has received more and more attention. The results of traditional detection methods are accurate, but the sampling cost is high and has a hysteresis, which makes it difficult to measure cotton fiber quality parameters in real time and at a large scale. The purpose of this study is to use time-series UAV (Unmanned Aerial Vehicle) multispectral and RGB remote sensing images combined with machine learning to model four main quality indicators of cotton fibers. A deep learning algorithm is used to identify and extract cotton boll pixels in remote sensing images and improve the accuracy of quantitative extraction of spectral features. In order to simplify the input parameters of the model, the stepwise sensitivity analysis method is used to eliminate redundant variables and obtain the optimal input feature set. The results of this study show that the R-2 of the prediction model established by a neural network is improved by 29.67% compared with the model established by linear regression. When the spectral index is calculated after removing the soil pixels used for prediction, R-2 is improved by 4.01% compared with the ordinary method. The prediction model can well predict the average length, uniformity index, and micronaire value of the upper half. R-2 is 0.8250, 0.8014, and 0.7722, respectively. This study provides a method to predict the cotton fiber quality in a large area without manual sampling, which provides a new idea for variety breeding and commercial decision-making in the cotton industry.",UAV remote sensing,cotton fiber quality,inversion,semantic segmentation,,,,,,,,,,,,,,,,,
Row_1576,"Chowdhury, Tashnim","Rahnemoonfar, Maryam","Murphy, Robin","Fernandes, Odair",,,Comprehensive Semantic Segmentation on High Resolution UAV Imagery for Natural Disaster Damage Assessment,,2020,26,"In this paper, we present a large-scale hurricane Michael dataset for visual perception in disaster scenarios, and analyze state-of-the-art deep neural network models for semantic segmentation. The dataset consists of around 2000 high-resolution aerial images, with annotated ground-truth data for semantic segmentation. We discuss the challenges of the dataset and train the state-of-the-art methods on this dataset to evaluate how well these methods can recognize the disaster situations. Finally, we discuss challenges for future research.",Natural disaster,semantic segmentation,aerial,,2020 IEEE INTERNATIONAL CONFERENCE ON BIG DATA (BIG DATA),,,,,,,,,,,,,,,,
Row_1577,"Anilkumar, P.","Venugopal, P.",,,,,An Enhanced Multi-Objective-Derived Adaptive DeepLabv3 Using G-RDA for Semantic Segmentation of Aerial Images,ARABIAN JOURNAL FOR SCIENCE AND ENGINEERING,AUG 2023,3,"Semantic segmentation acts as a major role in classifying the remote sensing images into oceanic ice, vegetation, roads, vehicles, houses, and more for offering high precision at the pixel level. In recent studies, convolutional neural network (CNN) has accomplished superior efficiency in the semantic segmentation of images. Even though various deep techniques and architectures have been utilized for enhancing the accuracy, it suffers from classifying the confused classes. Due to the optical conditions and remote sensing information, the sub-decimeter aerial imagery segmentation is challenging while achieving fine-grained semantic segmentation outcomes. The core goal of this task is to adopt the latest Adaptive DeepLabv3 strategy for enhanced semantic segmentation of aerial images. In Adaptive Deeplabv3, the involvement of both the encoder-decoder structure and spatial pyramid pooling module with adaptiveness by a hybrid meta-heuristic algorithm makes faster and stronger segmentation performance within less search space and reduced computation time. The relevant parameters of DeepLabv3 are tuned or optimized by the hybrid meta-heuristic algorithm based on Genetic Inspired Red Deer Algorithm (G-RDA). The enhanced segmentation is employed concerning a fitness function with precision and accuracy. Finally, the experimental analysis of the suggested Adaptive DeepLabv3 strategy for semantic segmentation of aerial images proves its competitive solution when evaluated over conventional approaches.",Semantic segmentation,Aerial images,Adaptive DeepLabv3,Genetic inspired red deer algorithm,,Multi-objective function,Adaptive deep learning,,,,,,,,,,,,,,
Row_1578,"Martins, Jose Augusto Correa","Nogueira, Keiller","Osco, Lucas Prado","Gomes, Felipe David Georges","Furuya, Danielle Elis Garcia","Goncalves, Wesley Nunes",Semantic Segmentation of Tree-Canopy in Urban Environment with Pixel-Wise Deep Learning,REMOTE SENSING,AUG 2021,40,"Urban forests are an important part of any city, given that they provide several environmental benefits, such as improving urban drainage, climate regulation, public health, biodiversity, and others. However, tree detection in cities is challenging, given the irregular shape, size, occlusion, and complexity of urban areas. With the advance of environmental technologies, deep learning segmentation mapping methods can map urban forests accurately. We applied a region-based CNN object instance segmentation algorithm for the semantic segmentation of tree canopies in urban environments based on aerial RGB imagery. To the best of our knowledge, no study investigated the performance of deep learning-based methods for segmentation tasks inside the Cerrado biome, specifically for urban tree segmentation. Five state-of-the-art architectures were evaluated, namely: Fully Convolutional Network; U-Net; SegNet; Dynamic Dilated Convolution Network and DeepLabV3+. The experimental analysis showed the effectiveness of these methods reporting results such as pixel accuracy of 96,35%, an average accuracy of 91.25%, F1-score of 91.40%, Kappa of 82.80% and IoU of 73.89%. We also determined the inference time needed per area, and the deep learning methods investigated after the training proved to be suitable to solve this task, providing fast and effective solutions with inference time varying from 0.042 to 0.153 minutes per hectare. We conclude that the semantic segmentation of trees inside urban environments is highly achievable with deep neural networks. This information could be of high importance to decision-making and may contribute to the management of urban systems. It should be also important to mention that the dataset used in this work is available on our website.",remote sensing,image segmentation,sustainability,convolutional neural network,,urban environment,,,,,,,"Sant'Ana, Diego Andre","Ramos, Ana Paula Marques",,,,"Liesenberg, Veraldo","dos Santos, Jefersson Alex","de Oliveira, Paulo Tarso Sanches","Marcato Junior, Jose"
Row_1579,Han Xing,Han Ling,Li Liangzhi,Li Huihui,,,Building Change Detection in High-Resolution Remote-Sensing Images Based on Deep Learning,LASER & OPTOELECTRONICS PROGRESS,MAY 2022,4,"To overcome low detection accuracy, false and leak detections for medium- and small-scale targets, rough segmentation for building boundary of traditional semantic segmentation network, we propose a high-resolution remote-sensing image building change detection method based on deep learning. The proposed method adopts the coding-decoding structure. At the coding stage, the residual network is used to extract the image features. The dilated convolution and pyramid pooling module are introduced in the deepest features of the encoder to enlarge the receptive field and extract the multiscale image features. At the decoding stage, the attention module highlights the useful features, and the features with different scales and resolutions are aggregated. We performed experiments on large-scale remote-sensing building change detection datasets. The results show that the proposed method can obtain deep-layer semantic information and pay attention to detailed information. It also has a considerable improvement in precision, recall, and F1 score. Additionally, the proposed method performs better than other semantic segmentation networks in multiscale target detection and building boundary extraction.",remote sensing image,change detection,ResNet50,attention mechanism,,feature pyramid,,,,,,,,,,,,,,,
Row_1580,"Zhang, Feifei","Wang, Yong","Du, Yawen","Zhu, Yijia",,,A Spatio-Temporal Encoding Neural Network for Semantic Segmentation of Satellite Image Time Series,APPLIED SCIENCES-BASEL,DEC 2023,0,"Remote sensing image semantic segmentation plays a crucial role in various fields, such as environmental monitoring, urban planning, and agricultural land classification. However, most current research primarily focuses on utilizing the spatial and spectral information of single-temporal remote sensing images, neglecting the valuable temporal information present in historical image sequences. In fact, historical images often contain valuable phenological variations in land features, which exhibit diverse patterns and can significantly benefit from semantic segmentation tasks. This paper introduces a semantic segmentation framework for satellite image time series (SITS) based on dilated convolution and a Transformer encoder. The framework includes spatial encoding and temporal encoding. Spatial encoding, utilizing dilated convolutions exclusively, mitigates the loss of spatial accuracy and the need for up-sampling, while allowing for the extraction of rich multi-scale features through a combination of different dilation rates and dense connections. Temporal encoding leverages a Transformer encoder to extract temporal features for each pixel in the image. To better capture the annual periodic patterns of phenological phenomena in land features, position encoding is calculated based on the image's acquisition date within the year. To assess the performance of this framework, comparative and ablation experiments were conducted using the PASTIS dataset. The experiments indicate that this framework achieves highly competitive performance with relatively low optimization parameters, resulting in an improvement of 8 percentage points in the mean Intersection over Union (mIoU).",semantic segmentation,phenology,spatial encoding,temporal encoding,,satellite image time series,,,,,,,,,,,,,,,
Row_1581,"Yu, Lingjuan","Zeng, Zhaoxin","Liu, Ao","Xie, Xiaochun","Wang, Haipeng","Xu, Feng",A Lightweight Complex-Valued DeepLabv3+for Semantic Segmentation of PolSAR Image,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,2022,38,"Semantic image segmentation is one kindof end-to-end segmentation method which can classify the target region pixel by pixel. As a classic semantic segmentation network in optical images, DeepLabv3+ can achieve a good segmentation performance. However, when this network is directly used in the semantic segmentation of polarimetric synthetic aperture radar (PolSAR) image, it is hard to obtain the ideal segmentation results. The reason is that it is easy to yield overfitting due to the small PolSAR dataset. In this article, a lightweight complex-valued DeepLabv3+ (L-CV-DeepLabv3+) is proposed for semantic segmentation of PolSAR data. It has two significant advantages when compared with the original DeepLabv3+. First, the proposed network with the simplified structure and parameters can be suitable for the small PolSAR data, and thus, it can effectively avoid the overfitting. Second, the proposed complex-valued (CV) network can make full use of both amplitude and phase information of PolSAR data, which brings better segmentation performance than the real-valued (RV) network, and the related CV operations are strictly true in the mathematical sense. Experimental results about two Flevoland datasets and one San Francisco dataset show that the proposed network can obtain better overall average, mean intersection over union, and mean pixel accuracy than the original DeepLabv3+ and some other RV semantic segmentation networks.",Image segmentation,Convolution,Semantics,Kernel,,Scattering,Feature extraction,Decoding,Lightweight complex-valued DeepLabv3+(L-CV-DeepLabv3+),polarimteric synthetic aperture radar (SAR),segmentation performance,semantic image segmentation,"Hong, Wen",,,,,,,,
Row_1582,"Zhou, Yicheng","Yang, Lingbo","Yuan, Lin","Li, Xin","Mao, Yihu","Dong, Jiancong",High-Precision Tea Plantation Mapping with Multi-Source Remote Sensing and Deep Learning,AGRONOMY-BASEL,DEC 2024,0,"Accurate mapping of tea plantations is crucial for agricultural management and economic planning, yet it poses a significant challenge due to the complex and variable nature of tea cultivation landscapes. This study presents a high-precision approach to mapping tea plantations in Anji County, Zhejiang Province, China, utilizing multi-source remote sensing data and advanced deep learning models. We employed a combination of Sentinel-2 optical imagery, Sentinel-1 synthetic aperture radar imagery, and digital elevation models to capture the rich spatial, spectral, and temporal characteristics of tea plantations. Three deep learning models, namely U-Net, SE-UNet, and Swin-UNet, were constructed and trained for the semantic segmentation of tea plantations. Cross-validation and point-based accuracy assessment methods were used to evaluate the performance of the models. The results demonstrated that the Swin-UNet model, a transformer-based approach capturing long-range dependencies and global context for superior feature extraction, outperformed the others, achieving an overall accuracy of 0.993 and an F1-score of 0.977 when using multi-temporal Sentinel-2 data. The integration of Sentinel-1 data with optical data slightly improved the classification accuracy, particularly in areas affected by cloud cover, highlighting the complementary nature of Sentinel-1 imagery for all-weather monitoring. The study also analyzed the influence of terrain factors, such as elevation, slope, and aspect, on the accuracy of tea plantation mapping. It was found that tea plantations at higher altitudes or on north-facing slopes exhibited higher classification accuracy, and that accuracy improves with increasing slope, likely due to simpler land cover types and tea's preference for shade. The findings of this research not only provide valuable insights into the precision mapping of tea plantations but also contribute to the broader application of deep learning in remote sensing for agricultural monitoring.",tea plantation mapping,multi-source remote sensing,deep learning,semantic segmentation,,agricultural monitoring,DEM,,,,,,"Lin, Zhenyu","Zhou, Xianfeng",,,,,,,
Row_1583,"Li, Ruirui","Liu, Wenjie","Yang, Lei","Sun, Shihao","Hu, Wei","Zhang, Fan",DeepUNet: A Deep Fully Convolutional Network for Pixel-Level Sea-Land Segmentation,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,NOV 2018,238,"Semantic segmentation is a fundamental research in optical remote sensing image processing. Because of the complex maritime environment, the sea-land segmentation is a challenging task. Although the neural network has achieved excellent performance in semantic segmentation in the last years, there were a few of works using CNN for sea-land segmentation and the results could be further improved. This paper proposes a novel deep convolution neural network named DeepUNet. Like the U-Net, its structure has a contracting path and an expansive path to get high-resolution optical output. But differently, the DeepUNet uses DownBlocks instead of convolution layers in the contracting path and uses UpBlock in the expansive path. The two novel blocks bring two new connections that are U-connection and Plus connection. They are promoted to get more precise segmentation results. To verify the network architecture, we construct a new challenging sea-land dataset and compare the DeepUNet on it with the U-Net, SegNet, and SeNet. Experimental results show that DeepUNet can improve 1-2% accuracy performance compared with other architectures, especially in high-resolution optical remote sensing imagery.",Fully convolutional network (FCN),optical remote sensing image,sea-land segmentation,SeNet,,U-Net,,,,,,,"Li, Wei",,,,,,,,
Row_1584,"Hu, Lei","Niu, Chuang","Ren, Shenghan","Dong, Minghao","Zheng, Changli","Zhang, Wei",Discriminative Context-Aware Network for Target Extraction in Remote Sensing Imagery,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,2022,4,"Extracting objects of interest from remote sensing imagery is an essential part in various practical applications. The objects that people pay attention to in the remote sensing scene mainly include buildings, roads, vehicles, etc. In this article, extracting the aforementioned objects are collectively referred to as the target extraction task. Arising from object scale variation, appearance similarity between adjacent patches, diversity of imaging orientation, and complexity of background, it is difficult to extract complete objects from cluttered backgrounds. Deep neural network has made great achievement in dense prediction for target extraction. However, most of the previous works are still faced with a formidable challenge in discriminative context feature representation to extract targets of various categories and correctly classify pixels around the boundary. In this article, we propose a target extraction neural network, named discriminative context-aware network, to focus on discriminative high-level context features and preserve spatial information. First, a discriminative context-aware feature module is designed to generate the feature maps in the top layer, which not only captures the rich image context information but also aggregates the contrasted local information at multiple scales. Second, a refine decoder module is adopted to preserve spatial information from low-level layers and enhance the feature representation, leading to precise segmentation results. We conducted extensive experiments on building and road extraction benchmarks, including WHU building dataset and Massachusetts road dataset, together with a self-constructed dataset for vehicle extraction in SAR images. Our method achieves state-of-the-art results with fewer parameters and faster inference.",Feature extraction,Remote sensing,Task analysis,Roads,,Buildings,Semantics,Image segmentation,Deep learning,discriminative context-aware feature (DCF),refine decoder (RD),remote sensing imagery,"Liang, Jimin",,target extraction,,,,,,
Row_1585,"Liu, Zhengyu","Shi, Qian","Ou, Jinpei",,,,LCS: A Collaborative Optimization Framework of Vector Extraction and Semantic Segmentation for Building Extraction,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2022,20,"In the field of building extraction, many convolutional neural network (CNN)-based methods have been developed to solve the problem of the irregular boundaries in their predictions. The prevailing approach is to build an additional edge segmentation branch or obtain accurate vector components of buildings. However, pixel-based methods still cannot obtain an accurate location of the boundary, while vector extraction will bring the problem of sample imbalance and missing detection. In this work, we utilize the complementarity of the two types of methods and propose the line segment collaborate segmentation (LCS) framework. In the proposed LCS framework, semantic segmentation provides location guidance for vector extraction, while vector extraction provides precise positioning for semantic segmentation. In this way, the two tasks can leverage their respective strengths. The results on three datasets show that the performance of vector extraction and semantic segmentation is improved simultaneously using the LCS framework, which proves the effectiveness of our method. At the same time, our framework is flexible and can be embedded in other vector extraction methods to improve performance.",Feature extraction,Buildings,Task analysis,Data mining,,Remote sensing,Semantics,Image edge detection,Building extraction,multitask learning,semantic segmentation,vector extraction,,,,,,,,,
Row_1586,"Yin, Xiaoqing","Li, Xu","Ni, Peizhou","Xu, Qimin","Kong, Dong",,A Novel Real-Time Edge-Guided LiDAR Semantic Segmentation Network for Unstructured Environments,REMOTE SENSING,FEB 2023,4,"LiDAR-based semantic segmentation, particularly for unstructured environments, plays a crucial role in environment perception and driving decisions for unmanned ground vehicles. Unfortunately, chaotic unstructured environments, especially the high-proportion drivable areas and large-area static obstacles therein, inevitably suffer from the problem of blurred class edges. Existing published works are prone to inaccurate edge segmentation and have difficulties dealing with the above challenge. To this end, this paper proposes a real-time edge-guided LiDAR semantic segmentation network for unstructured environments. First, the main branch is a lightweight architecture that extracts multi-level point cloud semantic features; Second, the edge segmentation module is designed to extract high-resolution edge features using cascaded edge attention blocks, and the accuracy of extracted edge features and the consistency between predicted edge and semantic segmentation results are ensured by additional supervision; Third, the edge guided fusion module fuses edge features and main branch features in a multi-scale manner and recalibrates the channel feature using channel attention, realizing the edge guidance to semantic segmentation and further improving the segmentation accuracy and adaptability of the model. Experimental results on the SemanticKITTI dataset, the Rellis-3D dataset, and on our test dataset demonstrate the effectiveness and real-time performance of the proposed network in different unstructured environments. Especially, the network has state-of-the-art performance in segmentation of drivable areas and large-area static obstacles in unstructured environments.",LiDAR,unstructured environment,semantic segmentation,edge-guidance,,,,,,,,,,,,,,,,,
Row_1587,"Yang, Zhao","Guo, Peng","Gao, Han","Chen, Xiuwan",,,Depth-Assisted ResiDualGAN for Cross-Domain Aerial Images Semantic Segmentation,IEEE GEOSCIENCE AND REMOTE SENSING LETTERS,2023,2,"Unsupervised domain adaptation (UDA) is an approach to minimizing the domain gap. Generative methods are common approaches to minimizing the domain gap of aerial images, which improves the performance of the downstream tasks, for example, cross-domain semantic segmentation. For aerial images, the digital surface model (DSM) is usually available in both the source domain and the target domain. Depth information in DSM brings external information to generative models. However, little research utilizes it. In this letter, depth-assisted ResiDualGAN (DRDG) is proposed where depth supervised loss (DSL) and depth cycle consistency loss (DCCL) are used to bring depth information into the generative model. Experimental results show that DRDG reaches state-of-the-art accuracy between generative methods in cross-domain semantic segmentation tasks. Source code is available at https://github.com/miemieyanga/ResiDualGAN-DRDG.",DSL,Semantic segmentation,Task analysis,Computational modeling,,Generators,Semantics,Optical losses,Aerial images,semantic segmentation,unsupervised domain adaptation (UDA),,,,,,,,,,
Row_1588,"Huang, Huaigang","Chen, Yiping","Wang, Ruisheng",,,,A Lightweight Network for Building Extraction From Remote Sensing Images,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2022,30,"Building extraction is a fundamental research topic in remote sensing image interpretation. Convolutional neural network (CNN)-based building extraction algorithms have achieved high accuracy but require a large account of parameters and calculations, which hinders the practical application of these algorithms. To address the challenge, we propose a lightweight network (RSR-Net) for building extraction from remote sensing images. The network consists of three basic units with only a few parameters, and uses the idea of the fusion of shallow features and deep features, which is proposed by U-Net. Before features fusion, the squeeze-and-excitation (SE) module in RSR-Net assigned channel weights to these deep and shallow features. This operation can effectively reduce the influence of noise caused by shallow features in feature fusion, so as to improve the performance of the model. We estimated our network on datasets and achieved 88.32%, 71.58%, and 77.07% intersection-over-union (IoU) on datasets of aerial image and satellite image in Wuhan University (WHU) dataset, and the self-made building dataset of Guangzhou University Town, with only 2.81 M parameters and 6.91 G floating point operations (FLOPs). In addition, we propose a strategy combining target and background prediction, which makes RSR-Net achieve 0.37% improvement in IoU on WHU aerial image dataset. The effectiveness of RSR-Net is high. It showed that the proposed network is light and fast for the application of convolution neural network algorithm in practice.",Feature extraction,Buildings,Convolution,Remote sensing,,Decoding,Computational complexity,Image classification,Building extraction,lightweight convolutional neural network (CNN),remote sensing images,,,,,,,,,,
Row_1589,"Balti, Hanen","Mellouli, Nedra","Chebbi, Imen","Farah, Imed","Lamolle, Myriam",,Deep Semantic Feature Detection from Multispectral Satellite Images,,2019,2,"Recent progress in satellite technology has resulted in explosive growth in volume and quality of high-resolution remote sensing images. To solve the issues of retrieving high-resolution remote sensing (RS) data in both efficiency and precision, this paper proposes a distributed system architecture for object detection in satellite images using a fully connected neural network. On the one hand, to address the issue of higher computational complexity and storage ability, the Hadoop framework is used to handle satellite image data using parallel architecture. On the other hand, deep semantic features are extracted using Convolutional Neural Network (CNN),in order to identify objects and accurately locate them. Experiments are held out on several datasets to analyze the efficiency of the suggested distributed system. Experimental results indicate that our system architecture is simple and sustainable, both efficiency and precision can satisfy realistic requirements.",Big Data,Remote Sensing,Feature Detection,CNN,"KDIR: PROCEEDINGS OF THE 11TH INTERNATIONAL JOINT CONFERENCE ON KNOWLEDGE DISCOVERY, KNOWLEDGE ENGINEERING AND KNOWLEDGE MANAGEMENT - VOL 1: KDIR",Semantic Segmentation,,,,,,,,,,,,,,,
Row_1590,"Zhao, Danpei","Yuan, Bo","Chen, Ziqiang","Li, Tian","Liu, Zhuoran","Li, Wentao",Panoptic Perception: A Novel Task and Fine-Grained Dataset for Universal Remote Sensing Image Interpretation,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2024,4,"Current remote-sensing interpretation models often focus on a single task, such as detection, segmentation, or caption. However, the task-specific designed models are unattainable to achieve the comprehensive multilevel interpretation of images. The field also lacks support for multitask joint interpretation datasets. In this article, we propose panoptic perception: a novel task and a new fine-grained panoptic perception (FineGrip) dataset to achieve a more thorough and universal interpretation for remote sensing images (RSIs). The new task: 1) integrates pixel-level, instance-level, and image-level information for universal image perception; 2) captures image information from coarse-to-fine granularity, achieving deeper scene understanding and description; and 3) enables various independent tasks to complement and enhance each other through multitask learning. By emphasizing multitask interactions and the consistency of perception results, this task enables the simultaneous processing of fine-grained foreground instance segmentation, background semantic segmentation, and global fine-grained image captioning. Concretely, the FineGrip dataset includes 2649 RSIs, 12054 fine-grained instance segmentation masks belonging to 20 foreground things categories, and 7599 background semantic masks for five stuff classes. Furthermore, we propose a joint optimization-based panoptic perception model. Experimental results on FineGrip demonstrate the feasibility of the panoptic perception task and the beneficial effect of multitask joint optimization on individual tasks. The project page is at: https://ybio.github.io/FineGrip.",Benchmark dataset,fine-grained interpretation,multitask learning,panoptic perception,,remote sensing images (RSIs),,,,,,,"Gao, Yue",,,,,,,,
Row_1591,"Zheng, Zhuo","Zhong, Yanfei","Wang, Junjue",,,,POP-NET: ENCODER-DUAL DECODER FOR SEMANTIC SEGMENTATION AND SINGLE-VIEW HEIGHT ESTIMATION,,2019,21,"The single-view semantic 3D challenge in 2019 Data Fusion Contest is to predict both semantic labels and normalized digital surface model (nDSM) for urban scenes from single-view satellite images. We propose a novel pyramid on pyramid network (Pop-Net) based on Encoder-Dual Decoder framework to end-to-end multi-task learning. The encoder is a deformable ResNet-101 backbone network. Two feature pyramid networks, as decoders, are responsible for semantic segmentation and height estimation, respectively. Semantic information is crucial to estimate height. Therefore, regression pyramid on the semantic pyramid is introduced to leverage semantic features to help height estimation. To deal with outliers in heights, we leverage anchor-based regression and smooth L1 loss for optimization to obtain more robust height estimation. Without bells and whistles, our single model entry achieves 77.78% mIoU and 53.40% mIoU-3 on test set, ranking 2nd in the Single-view Semantic 3D Challenge of the 2019 IEEE GRSS Data Fusion Contest. The code is available at https://github.com/Z-Zheng/PopNet.",single-view semantic 3D challenge,pyramid on pyramid,semantic segmentation,height estimation,2019 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM (IGARSS 2019),,,,,,,,,,,,,,,,
Row_1592,"Zhang, Xueliang","Xiao, Pengfeng","Feng, Xuezhi",,,,Fast Hierarchical Segmentation of High-Resolution Remote Sensing Image with Adaptive Edge Penalty,PHOTOGRAMMETRIC ENGINEERING AND REMOTE SENSING,JAN 2014,12,"A fast hierarchical segmentation method (FHS) for high-resolution remote sensing (HR) image is proposed in the paper. FHS is completely unsupervised. It is characterized by two aspects. First, the hierarchical segmentation process is accelerated by the improved linear nearest neighbor graph (LNNG) model and the segment tree model. It runs faster than other existing hierarchical segmentation methods, and can produce multi-resolution segmentations in time linear to the image size. Second, an adaptive edge penalty function is introduced to formulate the merging criterion, serving as a semantic factor. A set of QuickBird, World View, and aerial images is used to test the proposed method. The experiments show that the multi-resolution segmentations produced by FHS can represent objects at different scales very well. Moreover, the adaptive edge penalty function helps to remove meaningless weak edges within objects, enclosing the relation between segments and real-world objects.",,,,,,,,,,,,,,,,,,,,,
