,author1,author2,title,journal/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,author3,author4,author5,author6,author7,author8,keyword5,keyword6,conference,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,keyword15,author9,author10,author11,author12,author13,author14
Row_57,"Bouchali, Rayan","Mandon, Claire",Runoff microbiome quality assessment of a city center rainwater harvesting zone shows a differentiation of pathogen loads according to human mobility patterns,INTERNATIONAL JOURNAL OF HYGIENE AND ENVIRONMENTAL HEALTH,JUL 2024,0,"The hygienic quality of urban surfaces can be impaired by multiple sources of microbiological contaminants. These surfaces can trigger the development of multiple bacterial taxa and favor their spread during rain events through the circulation of runoff waters. These runoff waters are commonly directed toward sewer networks, stormwater infiltration systems or detention tanks prior a release into natural water ways. With water scarcity becoming a major worldwide issue, these runoffs are representing an alternative supply for some usage like street cleaning and plant watering. Microbiological hazards associated with these urban runoffs, and surveillance guidelines must be defined to favor these uses. Runoff microbiological quality from a recently implemented city center rainwater harvesting zone was evaluated through classical fecal indicator bacteria (FIB) assays, quantitative PCR and DNA meta-barcoding analyses. The incidence of socio-urbanistic patterns on the organization of these urban microbiomes were investigated. FIB and DNA from Human-specific Bacteroidales and pathogens such as Staphylococcus aureus were detected from most runoffs and showed broad distribution patterns. 16S rRNA DNA meta-barcoding profilings further identified core recurrent taxa of health concerns like Acinetobacter, Mycobacterium, Aeromonas and Pseudomonas, and divided these communities according to two main groups of sociourbanistic patterns. One of these was highly impacted by heavy traffic, and showed recurrent correlation networks involving bacterial hydrocarbon degraders harboring significant virulence properties. The tpm-based meta-barcoding approach identified some of these taxa at the species level for more than 30 genera. Among these, recurrent pathogens were recorded such as P. aeruginosa, P. paraeruginosa, and Aeromonas caviae. P. aeruginosa and A. caviae tpm reads were found evenly distributed over the study site but those of P. paraeruginosa were higher among sub-catchments impacted by heavy traffic. Health risks associated with these runoff P. paraeruginosa emerging pathogens were high and associated with strong cytotoxicity on A549 lung cells. Recurrent detections of pathogens in runoff waters highlight the need of a microbiological surveillance prior allowing their use. Good microbiological quality can be obtained for certain typologies of sub-catchments with good hygienic practices but not all. A reorganization of Human mobility and behaviors would likely trigger changes in these bacterial diversity patterns and reduce the occurrences of the most hazardous groups.",Urban microbiology,Rainwater harvesting,Pathogens,DNA metabarcoding,"Danty-Berger, Emmanuelle","Geloen, Alain","Marjolet, Laurence","Youenou, Benjamin","Pozzi, Adrien C. M.","Vareilles, Sophie",Hydrocarbon,Pseudomonas paraeruginosa,,,,,,,,,,,"Galia, Wessam","Kouyi, Gislain Lipeme","Toussaint, Jean-Yves","Cournoyer, Benoit",,
Row_58,"Nelson, Jake R.","Won, Youngjae","Is the grass greener or the water bluer? Drivers of local park visitation patterns in Phoenix, Arizona",URBAN FORESTRY & URBAN GREENING,MAY 2024,1,"Urban green and blue spaces provide mental and physical health benefits for their surrounding communities, but the key to many of these benefits is the utilization of the urban greenspace for recreation or relaxation. For some communities, use is limited by physical access to the greenspace while for other communities, the characteristics of the greenspace play an important role in encouraging or discouraging use. What drives communities to use their local greenspace with respect to all other available greenspace in an urban area remains an underexplored question. To fill this gap, we leverage a large human mobility dataset to track a year of park visitation by residents across the Phoenix, AZ, metropolitan area combined with a spatial autoregressive model using spatially lagged dependent variables. Our results suggest that it is not vegetation but the presence of water features within a park that encourages higher visitation to local parks. Water features also influence visitation to parks outside a communities local area; its presence within a local park decreased how often individuals visited non-local parks as a proportion of their total park visitation. We discuss the implications of these finding in the context of a desert city that lacks both greenspace and water.",Bluespace,GIS,Greenspace,Human mobility,"Kim, Jieun","Stuhlmacher, Michelle","Kim, Yushim",,,,Visitation Patterns,,,,,,,,,,,,,,,,,
Row_59,"Parishwad, Omkar","Lillieblad, Hannes",Shared e-scooter Usage Trends in a Swedish City: A Spatial Analysis,,2024,0,"Amidst rapid urbanization and evolving transport needs, electric scooters (e-scooters) have been reshaping short-distance urban trips. This study offers a systematic framework for spatial analysis of shared micro-mobility in Gothenburg, Sweden-using Geographically Weighted Regression (GWR) and Multiscale-GWR (MGWR) models. The research aims to decipher the city's shared e-scooter demand for various factors such as transit proximity, land use patterns, road infrastructure, demographics, and weather conditions. Investigation comparatively deciphers GWR and MGWR models, which outperform global regression models in terms of fitness, and interpretability for the spatial heterogeneity in shared e-scooter demand. However, MGWR's complexity sometimes leads to overfitting, with its results lacking clear interpretation. The study identifies significant spatial variations in shared e-scooter demand, linked with specific urban characteristics, providing a deeper understanding of how different factors contribute to shared e-scooter usage across various city zones. These findings are crucial for shared e-scooter ventures, urban planners and policymakers, offering a nuanced framework for integrating e-scooters into urban transport systems. The research underscores the effectiveness of spatial econometric approaches in urban mobility management, highlighting the importance of efficient spatial models for shared e-scooter demand analysis in urban contexts.",Demand analysis,Urban mobility,Spatial analysis,Geographically weighted regression,"Najafi, Arsalan",,,,,,Sustainable transportation,,"SMART TRANSPORTATION SYSTEMS 2024, KES-STS 2024",,,,,,,,,,,,,,,
Row_60,"Hosseini, Keyvan","Choudhari, Tushar Pramod","E-bike to the future: Scalability, emission-saving, and eco-efficiency assessment of shared electric mobility hubs",TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,AUG 2024,6,"In car-dominated urban areas, shared electric micro-mobility offers a sustainable alternative to decarbonise and reshape mobility paradigms. This paper presents a comprehensive framework for evaluating Dublin 's e -bike sharing system, comprising 12 stations (eHUBs). Using six months of real-world riding data, it employs data envelopment analysis to assess the eco-efficiency of each eHUB in utilising nearby infrastructure, population in the catchment area, and location to achieve desired economic, social, and environmental outputs. Results indicate an upward trajectory for the system 's eco-efficiency. The returns-to-scale analysis provides insights into the system 's scalability, suggesting that expanding the e -bike sharing system, along with infrastructural enhancements, would significantly increase ridership. Analysing decarbonisation, usage patterns, and spatial factors of eHUBs reveals the substantial potential of shared e-bikes if optimally used. The research highlights the need to reevaluate car-centric policies in favour of more inclusive and environmentally sustainable alternatives and proposes actionable policy recommendations to achieve this transformation.",E -bike,Shared mobility,Micro-mobility,Scalability,"Stefaniec, Agnieszka","O'Mahony, Margaret","Caulfield, Brian",,,,Decarbonization,Data envelopment analysis,,,,,,,,,,,,,,,,
Row_61,"Rong, Can","Liu, Zhicheng",Learning to Generate Temporal Origin-destination Flow Based on Urban Regional Features and Traffic Information,ACM TRANSACTIONS ON KNOWLEDGE DISCOVERY FROM DATA,JUL 2024,0,"Origin-destination (OD) flow contains population mobility information between every two regions in the city, which is of great value in urban planning and transportation management. Nevertheless, the collection of OD flow data is extremely difficult due to the hindrance of privacy issues and collection costs. Significant efforts have been made to generate OD flow based on urban regional features, e.g., demographics, land use, and so on, since spatial heterogeneity of urban function is the primary cause that drives people to move from one place to another. On the other hand, people travel through various routes between OD, which will have effects on urban traffic, e.g., road travel speed and time. These effects of OD flows reveal the fine-grained spatiotemporal patterns of population mobility. Few works have explored the effectiveness of incorporating urban traffic information into OD generation. To bridge this gap, we propose to generate real-world daily temporal OD flows enhanced by urban traffic information in this paper. Our model consists of two modules: Urban2OD and OD2Traffic. In the Urban2OD module, we devise a spatiotemporal graph neural network to model the complex dependencies between daily temporal OD flows and regional features. In the OD2Traffic module, we introduce an attention-based neural network to predict urban traffic based on OD flow from the Urban2OD module. Then, by utilizing gradient backpropagation, these two modules are able to enhance each other to generate high-quality OD flow data. Extensive experiments conducted on real-world datasets demonstrate the superiority of our proposed model over the state of the art.",Urban mobility,origin-destination,traffic flow,spatiotemporal graph learning,"Ding, Jingtao","Li, Yong",,,,,,,,,,,,,,,,,,,,,,
Row_62,"Zhang, Fuli","Zhou, Ling",Empowering urban energy transition through data-driven decision-making: A statistical examination of technological innovations in transportation and mobility,SUSTAINABLE CITIES AND SOCIETY,JUL 1 2024,1,"Urban energy consumption is a critical aspect of sustainable urban development, with technological innovations playing a pivotal role in shaping energy usage patterns. This paper presents a comprehensive analysis of urban energy consumption dynamics in relation to the adoption of technology across various sectors, including transportation, residential, industrial, and commercial domains. Through extensive data collection and advanced statistical analyses, we investigate the correlation between technology adoption rates and energy consumption behaviors in urban areas. Our findings reveal a strong positive correlation between technology adoption rates and reduced energy consumption across sectors. We employ spatial analyses to identify localized successes, shedding light on regions where technology -driven initiatives have significantly lowered energy demands. These insights offer valuable guidance for urban planners and policymakers aiming to implement targeted interventions and replicate effective strategies. Furthermore, the paper emphasizes the transformative potential of innovative solutions, ranging from smart infrastructure to industrial automation, in promoting energy efficiency and environmental sustainability. By fostering the integration of such technologies, cities can mitigate their carbon footprint, enhance energy resilience, and create more livable environments for residents. This research contributes to the discourse on urban energy transitions and provides actionable insights for urban policymakers and stakeholders striving for a greener, more sustainable urban future.",Urban energy consumption,Technology adoption,Sustainable urban development,Energy efficiency,"Wang, Zhichen","Lv, Congna","Zhang, Qi","Wang, Jing","Zhang, Jing","Zhang, Yongpeng",Spatial analysis,,,,,,,,,,,,,,,,,
Row_63,"Hu, Xu","Qian, Lingxin",Quantum harmonic oscillator model for simulation of intercity population mobility,JOURNAL OF GEOGRAPHICAL SCIENCES,MAR 2024,0,"The simulation of intercity population mobility helps to deepen the understanding of intercity population mobility and its underlying laws, which has great importance for epidemic prevention and control, social management, and even urban planning. There are many factors that affect intercity population mobility, such as socioeconomic attributes, geographical distance, and industrial structure. The complexity of the coupling among these factors makes it difficult to simulate intercity population mobility. To address this issue, we propose a novel method named the quantum harmonic oscillator model for simulation of intercity population mobility (QHO-IPM). QHO-IPM describes the intercity population mobility as being affected by coupled driving factors that work as a multioscillator-coupled quantum harmonic oscillator system, which is further transformed by the oscillation process of an oscillator, namely, the breaking point of intercity population mobility. The intercity population mobility among seven cities in the Beijing-Tianjin-Hebei region and its surrounding region is taken as an example for verifying the QHO-IPM. The experimental results show that (1) compared with the reference methods (the autoregressive integrated moving average (ARIMA) and long and short-term memory (LSTM) models), the QHO-IPM achieves better simulation performance regarding intercity population mobility in terms of both overall trend and mutation. (2) The simulation error in the QHO-IPM for different-level intercity population mobility is small and stable, which illustrates the weak sensitivity of the QHO-IPM to intercity population mobility under different structures. (3) The discussion regarding the influence degree of different driving factors reveals the significant ""one dominant and multiple auxiliary"" factor pattern of driving factors on intercity population mobility in the study area. The proposed method has the potential to provide valuable support for understanding intercity population mobility laws and related decision-making on intercity population mobility control.",intercity population mobility,coupling driving factors,quantum harmonic oscillator model,probability distribution pattern,"Niu, Xiaoyu","Gao, Ming","Luo, Wen","Yuan, Linwang","Yu, Zhaoyuan",,optimization strategy,,,,,,,,,,,,,,,,,
Row_64,"Wang, Yongcheng","Wong, Yiik Diew",Sociospatial inclusiveness of streets through the lens of urban pedestrian mobilities: Go-along interviews with less mobile pedestrians in Singapore,JOURNAL OF TRANSPORT GEOGRAPHY,FEB 2024,1,"The increasing emphasis on vulnerable pedestrians and on the social aspects of active mobility, such as walking, has raised the profile of mobile methods for investigating mobilities in densely built environments. This paper examines the everyday mobility practices and perceptions of less mobile pedestrians, i.e., older adults and people with disabilities (PWDs), through mobile ethnographic interviewing. In total, 26 older adults and 7 PWDs were recruited for go-along interviews in localities familiar to them in Singapore. These semi-structured go-alongs generated a wealth of qualitative data covering topics ranging from their travel patterns to their perceptions of the built environment and their attitudes towards space sharing. Interview transcripts, field notes and video footage enabled an in-depth analysis of both the verbal and nonverbal aspects of the active mobility behaviour. The analysis revealed emerging sociospatial themes, including movement within an extended pedestrian network, such as detouring and taking shortcuts, and ambivalence towards space sharing caused in part by unclear rights-of-way among active transport modes and preconceptions of social norms. These themes have implications for how to shape travel behaviour based on a more inclusive approach to urban planning and neighbourhood design that instils a deeper humanistic understanding.",Go-along interview,Active mobility,Inclusive streets,Accessibility,"Du, Bo","Lum, Kit Meng","Goh, Kelvin",,,,Older adults,People with disabilities,,,,,,,,,,,,,,,,
Row_65,"Zou, Jiahui","Wang, Chongxiao",Expanding the associations between built environment characteristics and residential mobility in high-density neighborhood unit,SUSTAINABLE CITIES AND SOCIETY,DEC 1 2024,0,"Global trend of urbanization has led to frequent residential mobility and urban shrinkage issues. Planners and policy makers advocate for enhancing built environment quality of neighbourhood units to address these issues. Although the impact factors and degree of the influence of the built environment on residential mobility have been studied, the nonlinear effects at the neighbourhood level, and the relative importance when considered alongside other factors, remain unclear. In this study, the central area of Nanjing using mobile phone signalling data, the 5Ds framework, machine learning algorithms, and interpretable model Shapley Additive exPlanations (SHAP) are examined. The finding shows that (1) economy and neighbourhood ties are still key drivers of relocation. (2) Optimizing highly accessible road network for short-distance travel and developing low-density urban mode has become significant methods to attract relocators, interacting with other factors to influence residential mobility. (3) High-quality neighbourhood design, diverse amenities, and proximity to natural landscapes increase willingness to relocate, (4) while religion, socio-demographics, and large-scale transportation accessibility have minimal impact. The study offers four urban development recommendations to help municipal planners and policy makers create liveable cities and cohesive communities, providing essential insights for early or renewal stage urban planning stages.",Built environment,Residential mobility,Mobility patterns,Mobile phone signalling data,"Chen, Shuolei","Zhang, Jinguang","Qiu, Bing","Yang, Huiya",,,Neighbourhood Quality,Machine learning,,,,,,,,,,,,,,,,
Row_66,"Zhang, Xiaoyuan","Zheng, Minrui",Analyzing disruptions in post-pandemic population return patterns: A network perspective on Chinese cities,APPLIED GEOGRAPHY,DEC 2024,0,"The COVID-19 pandemic has fundamentally reshaped global socio-economic structures, precipitating a profound transformation in people's lifestyles. An in-depth analysis of the disruptions in post-pandemic population returns patterns and the evolving driving factors can facilitate socio-economic recovery, development, and macrocontrol. This paper employs social network analysis to examine the spatial patterns and evolving urban locational attributes of the Population Mobility Network (PMN) during post-holiday returns in major Chinese cities amid the pandemic, assessing the impact of varying proximities on the PMN. The results indicate that: (1) During the pandemic, the geographic patterns of population mobility in China underwent significant fluctuations, with distinct regional and temporal variations, while intercity connections increasingly shifted toward shorter trips. (2) From 2019 to 2022, major Chinese cities experienced notable changes in status and connectivity, evolving into a multi-centric structure within the national population mobility network. (3) Community clusters predominantly adhere to provincial demarcations, maintaining stable structures within major urban agglomerations despite intense intra-regional competition, with clear distinctions in community stability between northern and southern regions. (4) Beyond traditional socio-economic factors, the level of digital finance has emerged as a new driver of population mobility, with the varied attributes of inter-city relationships also significantly influencing the PMN. Studying spatial patterns and urban location from the perspective of population mobility can inform post-pandemic optimization of national resource allocation and urban recovery strategies.",Population mobility network,COVID-19,Exponential random graph model (ERGM),Influencing factors,"Wang, Peipei","Ma, Yin","Zheng, Xinqi",,,,China,,,,,,,,,,,,,,,,,
Row_67,"Butron-Revilla, Cinthya","Santiago-Ramos, Jesus",Spaces of activity and daily mobility of the university community in the metropolitan area of Barcelona: a methodological proposal based on GPs data,EURE-REVISTA LATINOAMERICANA DE ESTUDIOS URBANO REGIONALES,SEP 2024,0,"The geographical dispersion of daily life, coupled with the increase in travel speeds, have generated greater travel distances, affecting the spatial scale of mobility in metropolitan regions. The exploration of the spaces of activity of metropolitan residents is essential for the understanding urban expansion processes. This paper aims to evaluate the spaces of activity of metropolitan residents through a methodological proposal that combines the analysis of patterns of daily mobility, identified from personal tracking data, and the exploitation of land-use cartography. The method has been applied to the spatial extension of the daily life of members of the Autonomous University of Barcelona. The results make it possible to identify the impact of the place of residence and the mode of transport in daily mobility patterns on a metropolitan scale.",mobility,urbanism,metropolitan areas,,,,,,,,,,,,,,,,,,,,,,,,,
Row_68,"Silm, Siiri","Tominga, Ago",Socio-economic and residential differences in urban modality styles based on a long-term smartphone experiment,JOURNAL OF TRANSPORT GEOGRAPHY,FEB 2024,0,"This study focusses on urban mobility and travel mode differences in the city of Tallinn, Estonia. It contributes to a better understanding concerning socio-economic and residential factors affecting modality styles with a specific focus on sustainable travel modes. We examined residents living in the inner city (Kalamaja neighbourhood) and an inner suburb (Priisle neighbourhood). We conducted a modality styles analysis based on smartphone tracking data from 108 people over 14 months. Cluster analysis distinguished five urban modality styles, of which four were dominated by one travel mode (i.e., car, public transport, bike, or walk) while one displayed a multimodal style. Modality styles are fairly evenly distributed in Tallinn, with the walk dominant style representing 32% of all individuals, the car dominant style 27%, the multimodal 23%, the public transport dominant 13%, and the bike dominant 5%. The walk dominant style has the largest share for women, Estonian-speakers, inner city residents, and households that do not own a private car. The car dominant style has the largest share among men, Russian-speakers, inner suburban residents, and households that own a private car. The share of travel modes is more variable over time for active modality styles and more regular for motorized styles. Our discussion includes consideration of the implications of our results from a policy perspective. Broadly, two major categories of policies are recommended: 1) strengthen the relative competitiveness of sustainable travel for suburban residents, 2) provision of more vibrant, mixed-use character in suburban areas while simultaneously preserving housing affordability.",Urban mobility,Modality styles,Travel modes,Sustainable mobility,"Saidla, Karl","Poom, Age","Tammaru, Tiit",,,,Inequalities,Smartphone data,,,,,,,,,,,,,,,,
Row_69,"Galan, Juanjo",,Urban typologies and urban sustainability: A comparative and landscape-based study in the city of Valencia,CITIES,NOV 2024,0,"The heterogeneous structure of cities generates critical challenges in the definition and implementation of sustainable urban transitions. This difficulty is intensified by an insufficient understanding of how different urban types perform for distinct sustainability dimensions and indicators. In this study, this knowledge gap is investigated in a highly representative Euro-Mediterranean city (Valencia) through: (1) a landscape-based approach leading to the characterization of urban-landscape types via the combination of three geospatial layers, and (2) the assessment of those urban-landscape types with a comprehensive sustainability index deducted from several international, national, and local indices. Results reveal firstly that urban-landscape types can help us identify areas with common morpho-functional patterns that differ from conventional districts or quarters. Secondly, a comparative analysis of these urban-landscape types reveal that they partially display different sustainability profiles and, consequently, might accommodate distinct policies and plans. Thirdly, the incorporation of spatial, metabolic, and mobility dimensions in the proposed index permits addressing transversal issues affecting environmental, social, and economic sustainability. By linking the form and functioning of the city with its sustainability profiles through a landscape-approach, this study is expected to assist planners and policymakers in the design of sustainability transitions adjusted to the specificities of different urban configurations.",Urban landscape,Sustainability indicators,Urban typologies,Landscape characterization,,,,,,,Urban sustainability assessment,Landscape units,,Urban sustainability transitions,,,,,,,,,,,,,,
Row_70,"Khan, Mohsin","Abdalgader, Tarteel",Interactive effects of climate change and human mobility on dengue transmission,ECOLOGICAL MODELLING,JAN 2025,0,"The global escalation of vector-borne epidemics, particularly flaviviruses like dengue fever, presents a growing challenge. Contributing factors such as climate change and increased human mobility have expanded the vulnerability to dengue fever worldwide, yet the underlying mechanisms remain elusive. In this paper, we extend a two-patch dengue transmission model by incorporating the aquatic stage of mosquitoes and integrating the movement of host individuals between patches via a residence-time matrix. Through this approach, we derive the basic reproduction number and directly link it to climate change and human mobility. Our findings reveal bidirectional impacts of human mobility on dengue transmission: an increase in mobility from climatically unsuitable to suitable patches heightens the basic reproduction number, while the reverse pattern diminishes it. Moreover, an asymmetric mobility rate proves potentially more conducive to dengue spread than a symmetric pattern. When coupled with climate changes, asymmetric human mobility further exacerbates dengue fever transmission. These insights offer novel perspectives on the role of human mobility in dengue transmission dynamics and inform intervention strategies, particularly in urban settings where dengue epidemics are driven by human mobility.",Dengue outbreak,Mathematical modelling,Human mobility,Climatic change,"Pedersen, Michael","Zhang, Lai",,,,,,,,,,,,,,,,,,,,,,
Row_71,"Gitahi, Joseph","Kolbe, Thomas H.",Requirements for Web-Based 4D Visualisation of Integrated 3D City Models and Sensor Data in Urban Digital Twins,,2024,1,"Urban Digital Twins (UDTs) have emerged as essential tools for managing city operations, forming the basis of smart city solutions. They offer a digital representation of the physical urban environment, which supports various city applications such as monitoring mobility, air quality, and modelling simulations. To accurately represent the physical world, UDTs need to be updated continuously to reflect the changes in the urban environment on time. The Internet of Things (IoT) enables real-time data collection to capture these changes. Combined with 3D city models, IoT allows the interactive visualisation of patterns and trends in UDTs. In this study, we conduct investigations on the requirements for the web visualisation of semantic 3D city models enriched with time-dependent properties from IoT and simulation data. We explore the 3D models and IoT data integration requirements, 4D web visualisation design considerations, and the technical implementation requirements for rendering dynamic properties for UDTs applications. The paper also presents a workflow and a web viewer prototype for the 4D visualisation of integrated 3D models and dynamic data.",IoT,3D models,Urban digital twins,4D visualisation,,,,,,,,,"RECENT ADVANCES IN 3D GEOINFORMATION SCIENCE, 3D GEOINFO 2023",,,,,,,,,,,,,,,
Row_72,"Pugliese, Chiara","Lettich, Francesco",Understanding Human Mobility Dynamics: Insights from Summarized Semantic Trajectories,,2024,0,"Mobility data analysis provides insights into human movement patterns, traffic flows, and urban planning strategies. Human dynamics analysis focuses on tracking people to investigate how individuals and groups behave, interact, and evolve. Various mobility data sources, such as GPS, mobile phone records, social media, and transportation logs, are often semantically enriched and used for these analyses. This results in the generation of new, complex datasets that require effective summarization methods to reduce data volume while preserving relevant information. In this work, we aim to demonstrate the effective use of summarized semantic trajectories in analyzing human mobility behaviours. We offer empirical evidence from a case study, showing how this type of trajectory helps in understanding human mobility, especially in distinguishing between routine and non-routine behaviours. Experimental results show that the analysis results are comparable with the results obtained in the original (non summarized) dataset.",summarized semantic trajectories,mobility analysis,routine detection,,"Pinelli, Fabio","Renso, Chiara",,,,,,,"PROCEEDINGS OF THE 2024 25TH IEEE INTERNATIONAL CONFERENCE ON MOBILE DATA MANAGEMENT, MDM 2024",,,,,,,,,,,,,,,
Row_73,"Roy, Sanghamitra","Bailey, Ajay",Understanding the barriers affecting women's mobility in the first- and last-mile stretches in low- and middle-income countries: A systematic review,JOURNAL OF TRANSPORT GEOGRAPHY,DEC 2024,0,"Globally, women encounter physical and social barriers that challenge their mobility. This review explores the barriers affecting women's mobility, in the first- and last-mile stretches, in low- and middle-income countries and their consequences on accessibility, availability, affordability, and acceptability of public transport. This review includes 42 studies on mobility, accessibility, safety, travel patterns, and gendered transport, employing mixed, quantitative, and qualitative methods. The barriers observed in these studies are primarily related to 1) public transport, 2) non-motorized transport, 3) safety, 4) gendered norms, 5) urban form, and 6) policies. The most common concerns for women are the lack of adequate, reliable, inclusive, safe, and integrated public transport, poor pedestrian infrastructure, and unsafe environments. These, coupled with gendered norms, restrict mobility and access to essential services and opportunities for women, especially if traveling with children and luggage, as well as for older adults and persons with disabilities. This is one of the first reviews focusing on barriers affecting women's mobility. It advocates for more contextualized evidence-based studies on first- and last-mile connectivity from more geographic locations, integrated feeder and main transport lines, and operationalizing and monitoring policies and regulations.",Women's mobility,Mobility barriers,Public transport,Gendered norms,"van Noorloos, Femke",,,,,,Women's safety,,,,,,,,,,,,,,,,,
Row_74,"Mengiste, Bewketu Mamaru","Shi, Wenzhong",Urban landscape and development effects on city sustainability: a systematic review of empirical studies,ENVIRONMENT DEVELOPMENT AND SUSTAINABILITY,OCT 2024,0,"This study comprehensively reviewed empirical research published in peer-reviewed journals to identify and classify the urban landscape development effects (ULDE). The preferred reporting items for systematic review and meta-analysis (PRISMA) and descriptive pattern-matching method were approaches applied in this study. A total of 50 ULSDE were identified after reviewing 56 selected empirical studies. A framework comprises five main categories of ULDE: energy consumption impacts, transport and mobility, climate change, land use change, and livability and resilience. The spatial distribution of ULDE research has mainly focused on high and upper-middle-income states where China, United States (US), United Kingdom (UK), and Canada are the leading countries. Most of the reviewed papers address the specific ULDE. Moreover, this study reveals the significance of holistic ULDE assessment methods and integrated urban spatial growth strategies encapsulating population growth, climatic change, and technological innovations for sustainable urban development. The checklist of ULDE and the framework would be a solid foundation for future studies and guide urban planning and policy-making decisions for urban land use efficiency and city sustainability.",Compact city,Urban form,Landscape development,Spatiotemporal growth,"Wong, Man Sing",,,,,,,,,,,,,,,,,,,,,,,
Row_75,"V. Davis, Edwin","Lamer, Katia",Observations of airflow around a supertall curved building and its impact on temperature and humidity in Houston's urban center,BUILDING AND ENVIRONMENT,JUL 15 2024,1,"Characterization of realistically shaped skyscrapers embedded in non-uniform neighbourhoods experiencing intricate weather patterns remains inadequately investigated. Aiming to close this gap, the Center for Multiscale Applied Sensing team deployed its mobile observatory in the street canyons around the curved Wells Fargo Plaza skyscraper in downtown Houston, TX. Three deployments allowed airflow observations under different inflow wind and thermodynamic stability conditions. Doppler lidar measurements reveal that when inflow hits the curved wall of the skyscraper, perpendicular canyons experience similar vortex configurations creating two windward and two leeward circulations. Windsond measurements support that buoyancy within the deep street canyons can generate thermal updrafts as strong as 2 m s-1 which is sufficient to overturn the mechanical downwash under gentle wind conditions. Canyons experiencing venting during the daytime were observed to be more thermodynamically stable at night while thermodynamically stable canyons during the day were observed to be more thermodynamically unstable at night owing to the accumulation of heat near street-level. Fourier decomposition of the vertical velocity measurements shows that in all cases flow exhibited high Reynolds numbers and was composed of turbulent eddies of predominantly 6 and 15 min periods. This observational dataset provides insights to assess wind load, pedestrian comfort, urban air mobility, and natural ventilation and may be used as a benchmark for numerical model and wind tunnel studies attempting to represent realistically complex urban conditions.",Field observations,Urban street canyons flow,Supertall curved building,Urban air mobility,,,,,,,Natural ventilation,Thermal comfort,,,,,,,,,,,,,,,,
Row_76,"Alsabbagh, Hadeel",,"Eastern paradigm of urban mobility: the case of Erbil city, Iraq",TRANSPORTATION,FEB 2024,1,"This study aims to investigate people's behavior toward mobility system by identifying the factors contributing to car dependence in the city. Understanding whether people can change their behavior and shift toward sustainable modes is essential for shaping effective transportation policies. The research methodology comprised theoretical and experimental parts. The theoretical part was built on the concept of car dependency within the context of Middle East cities. The empirical part was based on field observations, where data on the mobility system were collected according to the survey protocol and analyzed using SPSS software. The questionnaire covered a wide range of people with different social and economic statuses. It was conducted on 385 households with 600 participants residing in Erbil City/Kurdistan Region of Iraq. The survey employed a probability sample based on a random walk survey conducted through face-to-face interviews. Final results show a statistically significant relationship between behavior change and the proposed independent variables. Empirical findings suggest that forced dependency is the pattern of the mobility system in Erbil city, and a wide range of participants was unwilling to change their behavior and shift to sustainable modes, where only 41.3% of the sample were ready to use alternative modes, such as the bus system, walking, and shared taxis, and 87.18% of all passenger journeys were made by private cars. The study concludes that the urban transportation policy of the city needs to be revised and replaced with sustainable transportation planning to fulfill the community's needs and aspirations.",Travel behavior,Car dependency,Erbil city,Behavior change,,,,,,,Road traffic,,,,,,,,,,,,,,,,,
Row_77,"Aminpour, Nima","Saidi, Saeid",Unveiling mobility patterns beyond home/work activities: A topic modeling approach using transit smart card and land-use data,TRAVEL BEHAVIOUR AND SOCIETY,JAN 2025,0,"In this paper, a probabilistic topic modeling algorithm called Latent Dirichlet Allocation (LDA) is implemented to infer trip purposes from activity attributes revealed from smart card transit data in an unsupervised manner. While most literature focused on finding patterns for home and work activities, we further investigated non- home and non-work-related activities to detect patterns associated with them. Temporal attributes of activities are extracted from trip information recorded by Tehran subway's automatic fare collection system. In addition, land-use data is also incorporated to further enhance spatial attributes for non-home/work activities. Various activity attributes such as start time, duration, and frequency in addition to land-use data are used to infer the activity purposes and patterns. We identified 14 different patterns related to non-commuting activities on the basis of both their temporal and spatial attributes including educational, recreational, commercial, and health and other service-related activity types. We investigated passengers' activity pattern and behavior changes before and during COVID-19 pandemic by comparing the discovered patterns. For recreational patterns it is revealed that not only has the number of recreational patterns dropped, but also the duration of recreational activities decreased. Morning patterns of educational activities have also been eliminated and number of commercial activities was decreased during COVID-19. The proposed model demonstrates the ability to capture travel behavior changes for different disruptions using smart card transit data without performing costly and time consuming manual surveys which can be useful for authorties and decision makers.",Activity pattern,Topic modeling,Transit smart card,Land use data,,,,,,,COVID-19 impact,,,,,,,,,,,,,,,,,
