,author1,author2,author3,author4,author5,title,journal/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,author6,author7,author8,author9,author10,keyword12,keyword13,keyword14,conference,keyword15
Row_826,"Huang, Haitao","Li, Baopu","Zhang, Yuchen","Chen, Tao","Wang, Bin",Joint Distribution Adaptive-Alignment for Cross-Domain Segmentation of High-Resolution Remote Sensing Images,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2024,2,"Although existing unsupervised domain adaptation (UDA) methods have successfully applied to semantic segmentation tasks for high-resolution remote sensing (HRS) images, they still have some limitations that need to be addressed: 1) they mainly focus on aligning the marginal distributions while ignoring the interdomain differences in the conditional distributions, which may be suboptimal because they assume that the boundaries of category decision are identical across domains; and 2) they depend on self-supervised learning for easy-to-hard alignment, which may result in model learning erroneous knowledge from the pseudo labels. To address the above limitations, we propose a joint distribution adaptive-alignment framework (JDAF) to eliminate the distribution difference between the source and target domains, which is mainly composed of a marginal distribution alignment (MDA) module, a conditional distribution alignment (CDA) module, and an improved easy-to-hard adaptation strategy. The MDA module is used to narrow local semantic and global spatial differences between domains and first advance, and then, the CDA module that includes a category-invariant feature alignment (CFA) block and a dataset-level context aggregation (DCA) block is presented and designed, which can dynamically update and align the feature representations that are invariant to category change and adaptively incorporate dataset-level context into the features of source domain to enhance the pixel-level representation. An uncertainty-adaptive learning (UAL) method is, moreover, proposed to improve the easy-to-hard adaptation strategy by enabling the model to learn accurate knowledge from the pseudo labels, which can boost the adaptive performance of the whole JDAF. Comprehensive experiments with four cross-domain tasks on two benchmark datasets of aerospace HRS images demonstrate that the proposed JDAF achieves significant performance gains compared to the state-of-the-art cross-domain semantic segmentation methods. Our code is available at: https://github.com/maple-hx/JDAF.",Dataset-level context aggregation (DCA),high-resolution remote sensing (HRS) images,joint distribution alignment,semantic segmentation,uncertainty-adaptive learning (UAL),unsupervised domain adaptation (UDA),,,,,,,,,,,,,,,
Row_827,"Salgueiro, Luis","Marcello, Javier","Vilaplana, Veronica",,,SEG-ESRGAN: A Multi-Task Network for Super-Resolution and Semantic Segmentation of Remote Sensing Images,REMOTE SENSING,NOV 2022,9,"The production of highly accurate land cover maps is one of the primary challenges in remote sensing, which depends on the spatial resolution of the input images. Sometimes, high-resolution imagery is not available or is too expensive to cover large areas or to perform multitemporal analysis. In this context, we propose a multi-task network to take advantage of the freely available Sentinel-2 imagery to produce a super-resolution image, with a scaling factor of 5, and the corresponding high-resolution land cover map. Our proposal, named SEG-ESRGAN, consists of two branches: the super-resolution branch, that produces Sentinel-2 multispectral images at 2 m resolution, and an encoder-decoder architecture for the semantic segmentation branch, that generates the enhanced land cover map. From the super-resolution branch, several skip connections are retrieved and concatenated with features from the different stages of the encoder part of the segmentation branch, promoting the flow of meaningful information to boost the accuracy in the segmentation task. Our model is trained with a multi-loss approach using a novel dataset to train and test the super-resolution stage, which is developed from Sentinel-2 and WorldView-2 image pairs. In addition, we generated a dataset with ground-truth labels for the segmentation task. To assess the super-resolution improvement, the PSNR, SSIM, ERGAS, and SAM metrics were considered, while to measure the classification performance, we used the IoU, confusion matrix and the F1-score. Experimental results demonstrate that the SEG-ESRGAN model outperforms different full segmentation and dual network models (U-Net, DeepLabV3+, HRNet and Dual_DeepLab), allowing the generation of high-resolution land cover maps in challenging scenarios using Sentinel-2 10 m bands.",multi-task network,super-resolution,semantic segmentation,Sentinel-2,WorldView-2,,,,,,,,,,,,,,,,
Row_828,"Zhou, Ruixue","Yuan, Zhiqiang","Rong, Xuee","Ma, Weicong","Sun, Xian",Weakly Supervised Semantic Segmentation in Aerial Imagery via Cross-Image Semantic Mining,REMOTE SENSING,FEB 2023,6,"Weakly Supervised Semantic Segmentation (WSSS) with only image-level labels reduces the annotation burden and has been rapidly developed in recent years. However, current mainstream methods only employ a single image's information to localize the target and do not account for the relationships across images. When faced with Remote Sensing (RS) images, limited to complex backgrounds and multiple categories, it is challenging to locate and differentiate between the categories of targets. As opposed to previous methods that mostly focused on single-image information, we propose CISM, a novel cross-image semantic mining WSSS framework. CISM explores cross-image semantics in multi-category RS scenes for the first time with two novel loss functions: the Common Semantic Mining (CSM) loss and the Non-common Semantic Contrastive (NSC) loss. In particular, prototype vectors and the Prototype Interactive Enhancement (PIE) module were employed to capture semantic similarity and differences across images. To overcome category confusions and closely related background interferences, we integrated the Single-Label Secondary Classification (SLSC) task and the corresponding single-label loss into our framework. Furthermore, a Multi-Category Sample Generation (MCSG) strategy was devised to balance the distribution of samples among various categories and drastically increase the diversity of images. The above designs facilitated the generation of more accurate and higher-granularity Class Activation Maps (CAMs) for each category of targets. Our approach is superior to the RS dataset based on extensive experiments and is the first WSSS framework to explore cross-image semantics in multi-category RS scenes and obtain cutting-edge state-of-the-art results on the iSAID dataset by only using image-level labels. Experiments on the PASCAL VOC2012 dataset also demonstrated the effectiveness and competitiveness of the algorithm, which pushes the mean Intersection-Over-Union (mIoU) to 67.3% and 68.5% on the validation and test sets of PASCAL VOC2012, respectively.",weakly supervised semantic segmentation,remote sensing images,image-level labels,,,,,,,,,"Fu, Kun","Zhang, Wenkai",,,,,,,,
Row_829,"Zhang, Lili","Xu, Mengqi","Wang, Gaoxu","Shi, Rui","Xu, Yi",SiameseNet Based Fine-Grained Semantic Change Detection for High Resolution Remote Sensing Images,REMOTE SENSING,DEC 2023,0,"Change detection in high resolution (HR) remote sensing images faces more challenges than in low resolution images because of the variations of land features, which prompts this research on faster and more accurate change detection methods. We propose a pixel-level semantic change detection method to solve the fine-grained semantic change detection for HR remote sensing image pairs, which takes one lightweight semantic segmentation network (LightNet), using the parameter-sharing SiameseNet, as the architecture to carry out pixel-level semantic segmentations for the dual-temporal image pairs and achieve pixel-level change detection based directly on semantic comparison. LightNet consists of four long-short branches, each including lightweight dilated residual blocks and an information enhancement module. The feature information is transmitted, fused, and enhanced among the four branches, where two large-scale feature maps are fused and then enhanced via the channel information enhancement module. The two small-scale feature maps are fused and then enhanced via a spatial information enhancement module, and the four upsampling feature maps are finally concatenated to form the input of the Softmax. We used high resolution remote sensing images of Lake Erhai in Yunnan Province in China, collected by GF-2, to make one dataset with a fine-grained semantic label and a dual-temporal image-pair label to train our model, and the experiments demonstrate the superiority of our method and the accuracy of LightNet; the pixel-level semantic change detection methods are up to 89% and 86%, respectively.",change detection,dual-temporal remote sensing images,information enhancement,Siamese network,,,,,,,,"Yan, Ruijie",,,,,,,,,
Row_830,"Wang, Yiqin",,,,,Remote Sensing Image Semantic Segmentation Algorithm Based on Improved ENet Network,SCIENTIFIC PROGRAMMING,OCT 4 2021,9,"A remote sensing image semantic segmentation algorithm based on improved ENet network is proposed to improve the accuracy of segmentation. First, dilated convolution and decomposition convolution are introduced in the coding stage. They are used in conjunction with ordinary convolution to increase the receptive field of the model. Each convolution output contains a larger range of image information. Second, in the decoding stage, the image information of different scales is obtained through the upsampling operation and then through the compression, excitation, and reweighting operations of the Squeeze and Excitation (SE) module. The weight of each feature channel is recalibrated to improve the accuracy of the network. Finally, the Softmax activation function and the Argmax function are used to obtain the final segmentation result. Experiments show that our algorithm can significantly improve the accuracy of remote sensing image semantic segmentation.",,,,,,,,,,,,,,,,,,,,,
Row_831,"Wang, Biao","Jiang, Zhenghao","Ma, Weichun","Xu, Xiao","Zhang, Peng",Dual-Dimension Feature Interaction for Semantic Change Detection in Remote Sensing Images,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,2024,0,"Remote sensing semantic change detection (SCD) involves extracting information about changes in land cover/land use (LCLU) within the same area at different times. This issue is of crucial significance in many Earth observation tasks, such as precise urban planning and natural resource management. However, the current methods primarily focus on spatial feature extraction, lacking awareness of temporal features. Consequently, there are challenges in extracting change features, making distinguishing intraclass and interclass differences difficult. This also contributes to pseudochange, posing challenges for SCD tasks. To overcome the limitations of existing methods, we present a dual-dimension feature interaction network (DFINet) for SCD. First, to enhance the assessment and perceptual abilities related to intraclass and interclass differences, we introduce a temporal difference feature enhancement (TDFE) module. This module comprehensively captures features from the temporal dimension. Then, to address the interrelation between multitemporal and multilevel features, we investigate the feature selection interaction (FSIA) and interaction attention modules (IAM), which enable multidimensional deep fusion and interaction of change features. This enhances the capacity for information transfer and integration among the features within multitemporal remote sensing images (RSIs). The experimental results demonstrate that, compared to existing methods, the proposed architecture achieves a significant improvement in accuracy. Additionally, the design enhancements added to DFINet boost the practicality of remote sensing SCD, underscoring its substantial research value.",Feature extraction,Semantics,Task analysis,Remote sensing,Sensors,Semantic segmentation,Convolution,Dual-dimension,interclass,intraclass,remote sensing images (RSIs),"Wu, Yanlan","Yang, Hui",,,,semantic change detection (SCD),,,,
Row_832,"Liu, Wei","Su, Fulin","Jin, Xinfei","Li, Hongxu","Qin, Rongjun",Bispace Domain Adaptation Network for Remotely Sensed Semantic Segmentation,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2022,22,"Supervised learning for semantic segmentation has achieved impressive success in remote sensing, while this normally has a high demand on pixel-level ground truth from the testing images (target domain). Labeling data for semantic segmentation is labor-intensive and time-consuming. To reduce the workload of manual labeling, domain adaptation (DA) utilizes preexisting labeled images from other sources (source domain) to classify the images in the target domain. In this article, we propose a bispace alignment network for DA named BSANet. BSANet is designed to have a dual-branch structure which is able to extract features in the image domain and the wavelet domain simultaneously. To minimize the discrepancy between the source and target domains, we propose a bispace adversarial learning strategy. Specifically, BSANet employs two discriminators in different spaces, one aligning the source and target feature distributions, and the other helping the classification outputs render reasonable spatial layouts. The proposed method shows the ability to train an end-to-end network for semantic segmentation without using any label in the target domain. Extensive experiments and ablation studies are conducted in cross-city scenarios. Comparative experiments with several state-of-the-art DA methods show that our method achieves the best performance.",Semantics,Feature extraction,Image segmentation,Wavelet domain,Generators,Training,Loss measurement,Adversarial learning,domain adaptation (DA),semantic segmentation,transfer learning (TL),,,,,,wavelet transform,,,,
Row_833,"Cui, Liangyi","Jing, Xin","Wang, Yu","Huan, Yixuan","Xu, Yang",Improved Swin Transformer-Based Semantic Segmentation of Postearthquake Dense Buildings in Urban Areas Using Remote Sensing Images,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,2023,42,"Timely acquiring the earthquake-induced damage of buildings is crucial for emergency assessment and post-disaster rescue. Optical remote sensing is a typical method for obtaining seismic data due to its wide coverage and fast response speed. Convolutional neural networks (CNNs) are widely applied for remote sensing image recognition. However, insufficient extraction and expression ability of global correlations between local image patches limit the performance of dense building segmentation. This paper proposes an improved Swin Transformer to segment dense urban buildings from remote sensing images with complex backgrounds. The original Swin Transformer is used as a backbone of the encoder, and a convolutional block attention module is employed in the linear embedding and patch merging stages to focus on significant features. Hierarchical feature maps are then fused to strengthen the feature extraction process and fed into the UPerNet (as the decoder) to obtain the final segmentation map. Collapsed and non-collapsed buildings are labeled from remote sensing images of the Yushu and Beichuan earthquakes. Data augmentations of horizontal and vertical flipping, brightness adjustment, uniform fogging, and non-uniform fogging are performed to simulate actual situations. The effectiveness and superiority of the proposed method over the original Swin Transformer and several mature CNN-based segmentation models are validated by ablation experiments and comparative studies. The results show that the mean intersection-over-union of the improved Swin Transformer reaches 88.53%, achieving an improvement of 1.3% compared to the original model. The stability, robustness, and generalization ability of dense building recognition under complex weather disturbances are also validated.",Attention mechanism,complex weather disturbances,dense seismic building segmentation,feature fusion,improved Swin Transformer,remote sensing images,,,,,,"Zhang, Qiangqiang",,,,,,,,,
Row_834,"Wang, Fang","Piao, Shihao","Xie, Jindong",,,CSE-HRNet: A Context and Semantic Enhanced High-Resolution Network for Semantic Segmentation of Aerial Imagery,IEEE ACCESS,2020,14,"Semantic segmentation of high-resolution aerial images is a concerning issue of remote sensing applications. To address the issues of intra-class heterogeneity and inter-class homogeneity, a novel end-to-end semantic segmentation network, namely Context and Semantic Enhanced High-Resolution Network (CSE-HRNet), is proposed in this paper. Two procedures are considered comprehensively, which are multi-scale contextual feature extractor and multi-level semantic feature producer. Nested Dilated Residual Block (NDRB) is designed firstly, which could enhance the representational power of multi-scale contexts and tackle the issue of intra-class heterogeneity. The pyramidal feature hierarchy is introduced secondly, by which multi-level feature fusions could be utilized to enlarge inter-class semantic differences. Experimental results verify that, based on the Potsdam and Vaihingen benchmarks, the proposed CSE-HRNet can achieve competitive performance compared with other state-of-the-art methods.",Semantic segmentation,image analysis,machine learning,remote sensing image,,,,,,,,,,,,,,,,,
Row_835,"Shuangpeng, Zheng","Ta, Fang","Hong, Huo",,,Farmland Recognition of High Resolution Multispectral Remote Sensing Imagery using Deep Learning Semantic Segmentation Method,,2019,5,"Farmland mapping is an important step for estimating grain yields. However extraction of farmland from multispectral remote sensing images (RSIs) is still a challenging work, as farmland is located on not only plains but also mountains, which displays divergent and confusing characteristics in RSIs. To solve the problem of lacking the multispectral remote sensing image dataset for pretraining, we extend Deep Feature Aggregation Net (DFANet) with fewer network parameters, a semantic segmentation network, to automatically map farmland from 3-band to multispectral images in a pixel-wise strategy. In this network, we first utilize more information aggregation. The fully-connected attention module is then replaced by a proposed convolution attention module. Finally, a new proposed decoder is used to recover the details of the feature map. Experimental results show that the model with multispectral RSIs outperforms the baselines.",Deep Learing,Remote Sensing,Farmland Recognition,High-resolution Multispectral Image,Agriculture,,,,,,,,,,,,,,,PROCEEDINGS OF 2019 INTERNATIONAL CONFERENCE ON PATTERN RECOGNITION AND ARTIFICIAL INTELLIGENCE (PRAI 2019),
Row_836,"Yu, Minmin","Qin, Fen",,,,Research on the Applicability of Transformer Model in Remote-Sensing Image Segmentation,APPLIED SCIENCES-BASEL,FEB 2023,6,"Transformer models have achieved great results in the field of computer vision over the past 2 years, drawing attention from within the field of remote sensing. However, there are still relatively few studies on this model in the field of remote sensing. Which method is more suitable for remote-sensing segmentation? In particular, how do different transformer models perform in the face of high-spatial resolution and the multispectral resolution of remote-sensing images? To explore these questions, this paper presents a comprehensive comparative analysis of three mainstream transformer models, including the segmentation transformer (SETRnet), SwinUnet, and TransUnet, by evaluating three aspects: a visual analysis of feature-segmentation results, accuracy, and training time. The experimental results show that the transformer structure has obvious advantages for the feature-extraction ability of large-scale remote-sensing data sets and ground objects, but the segmentation performance of different transfer structures in different scales of remote-sensing data sets is also very different. SwinUnet exhibits better global semantic interaction and pixel-level segmentation prediction on the large-scale Potsdam data set, and the SwinUnet model has the highest accuracy metrics for KAPPA, MIoU, and OA in the Potsdam data set, at 76.47%, 63.62%, and 85.01%, respectively. TransUnet has better segmentation results in the small-scale Vaihingen data set, and the three accuracy metrics of KAPPA, MIoU, and OA are the highest, at 80.54%, 56.25%, and 85.55%, respectively. TransUnet is better able to handle the edges and details of feature segmentation thanks to the network structure together built by its transformer and convolutional neural networks (CNNs). Therefore, TransUnet segmentation accuracy is higher when using a small-scale Vaihingen data set. Compared with SwinUnet and TransUnet, the segmentation performance of SETRnet in different scales of remote-sensing data sets is not ideal, so SETRnet is not suitable for the research task of remote-sensing image segmentation. In addition, this paper discusses the reasons for the performance differences between transformer models and discusses the differences between transformer models and CNN. This study further promotes the application of transformer models in remote-sensing image segmentation, improves the understanding of transformer models, and helps relevant researchers to select a more appropriate transformer model or model improvement method for remote-sensing image segmentation.",transformer,multihead attention,remote-sensing image segmentation,deep learning,SwinUner,TransUnet,SETRnet,visual classification,,,,,,,,,,,,,
Row_837,"Yang, Yunsong","Yuan, Genji","Li, Jinjiang",,,Multielement-Feature-Based Hierarchical Context Integration Network for Remote Sensing Image Segmentation,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,2024,1,"In the current remote sensing segmentation tasks, we identify issues of insufficient accuracy in segmenting objects and types with similar colors, along with a lack of adequate smoothness and coherence in edge segmentation. To address these challenges, we propose a network framework called the multielement-feature-based hierarchical context integration network (MHCINet). This framework achieves deep integration of global information, local information, multiscale information, and edge information. First, we introduce an Edge and Levels Grouped Aggregator to fuse shallow features, deep features, and edge information, enhancing foreground saliency. Finally, to better identify instances with similar colors during the feature reconstruction stage, we design a constant multivariate feature integrator to fully exploit multiscale information and global context, thereby improving the segmentation model's performance. Comprehensive experimental results on the Vaihingen and Potsdam datasets demonstrate that MHCINet outperforms existing state-of-the-art methods, achieving mean intersection over union of 84.8% and 87.6% on the Vaihingen and Potsdam datasets, respectively.",Remote sensing,Image edge detection,Image color analysis,Semantics,Semantic segmentation,Feature extraction,Task analysis,Edge fusion,multiscale fusion,remote sensing,semantic segmentation,,,,,,transformer,,,,
Row_838,"Yang, Wanying","Cheng, Yali","Xu, Wenbo",,,Remote Sensing Semantic Change Detection Model for Improving Objects Completeness,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,2025,0,"Semantic change detection (SCD) extends beyond binary change detection by not only discerning the locations of change areas, but also offering the alterations in land-cover/land-use types. This refined change information is concernful for various applications. While deep learning methods have made significant progress in SCD, accurately capturing the integrity of targets remains challenging in intricate scenarios. Therefore, this article proposes a deformable multiscale composite transformer network (DMCTNet). This network effectively models relevant semantic information and spatio-temporal dependencies. DMCTNet leverages a variant vision foundation models encoder to learn specific knowledge, facilitating effective visual representation in remote sensing images. A multiscale feature aggregator module is developed to discern both the ""what"" and ""where"" of changes by integrating features across different scales. Subsequently, a masked decoder through queries to convey rich semantic change information, guided by conspicuous change potential locations to decode. A substantial volume of experimental results consistently demonstrate that this model achieves more accurate and reliable results in change areas, improving the intersection over the union of change by 2.65% and 1.67% on the SECOND and Landsat-SCD datasets, respectively. Code will be made available.",Semantics,Transformers,Feature extraction,Tuning,Correlation,Visualization,Decoding,Accuracy,Remote sensing,Computational modeling,Remote sensing (RS),,,,,,semantic change detection (SCD),semantic segmentation,visual foundation models (VFMs),,
Row_839,"Xiong, Wei","Cai, Mi","Lv, Yafei","Pei, Jiazheng",,FA-Net: feature attention network for semantic segmentation of ship port,GEOCARTO INTERNATIONAL,MAR 19 2022,1,"Accurate understanding of the scene of ship ports is important in a broad range of military and civilian applications, such as maritime management, maritime safety, fisheries management, maritime situational awareness (MSA), and ocean traffic surveillance. Semantic segmentation, which implements pixel-level classification, can achieve an exhaustive analysis of ship ports. However, in the earlier time, the state-of-the-art methods of semantic segmentation were mostly based on the study of natural images. Subsequently, semantic segmentation has been gradually widely used in remote sensing, but still few of them has focused on the parsing of ship ports in remote sensing. In order to realize a detailed analysis of ship ports, a novel framework (called Feature Attention Network) is proposed for the accurate segmentation of multiple targets in a ship port in this paper. In this framework, a multi-label classification auxiliary network is first designed to solve the problem of confused multiple prediction for one target by capturing more global context information. Then, an attention model is introduced to solve the problem of error segmentation between similar targets with different labels. Finally, a feature aggregation model is presented to obtain more contextual information. In addition, we construct a data set for the semantic segmentation of ship ports (called HRSC2016-SP) by labeling the HRSC2016 data set to evaluate our proposed framework. Our approach has achieved a state-of-the-art result (82.16% mIoU) on the test set of HRSC2016-SP.",FA-Net,semantic segmentation,ship port,remote sensing,HRSC2016-SP,,,,,,,,,,,,,,,,
Row_840,"Wang, Hongzhen","Wang, Ying","Zhang, Qian","Xiang, Shiming","Pan, Chunhong",Gated Convolutional Neural Network for Semantic Segmentation in High-Resolution Images,REMOTE SENSING,MAY 2017,168,"Semantic segmentation is a fundamental task in remote sensing image processing. The large appearance variations of ground objects make this task quite challenging. Recently, deep convolutional neural networks (DCNNs) have shown outstanding performance in this task. A common strategy of these methods (e.g., SegNet) for performance improvement is to combine the feature maps learned at different DCNN layers. However, such a combination is usually implemented via feature map summation or concatenation, indicating that the features are considered indiscriminately. In fact, features at different positions contribute differently to the final performance. It is advantageous to automatically select adaptive features when merging different-layer feature maps. To achieve this goal, we propose a gated convolutional neural network to fulfill this task. Specifically, we explore the relationship between the information entropy of the feature maps and the label-error map, and then a gate mechanism is embedded to integrate the feature maps more effectively. The gate is implemented by the entropy maps, which are generated to assign adaptive weights to different feature maps as their relative importance. Generally, the entropy maps, i.e., the gates, guide the network to focus on the highly-uncertain pixels, where detailed information from lower layers is required to improve the separability of these pixels. The selected features are finally combined to feed into the classifier layer, which predicts the semantic label of each pixel. The proposed method achieves competitive segmentation accuracy on the public ISPRS 2D Semantic Labeling benchmark, which is challenging for segmentation by only using the RGB images.",semantic segmentation,CNN,deep learning,ISPRS,remote sensing,gate,,,,,,,,,,,,,,,
Row_841,"Nalinipriya, G.","Lydia, E. Laxmi","Alshenaifi, Reem","Kavuri, Radhika","Ishak, Mohamad Khairi",A Two-Tiered Bidirectional Atrous Spatial Pyramid Pooling-Based Semantic Segmentation Model for Landslide Classification Using Remote Sensing Images,IEEE ACCESS,2024,0,"Effective landslide representation from great spatial resolution images is significant in numerous applications. Many research works and techniques have been advertised. Still, these methods are very challenging to relate in real time since they depend on remotely sensing landslides from a solitary sensor with an exact spatial resolution. Precisely identifying landslides over a vast region with intricate background entities is difficult. Machine Learning (ML) and Deep Learning (DL) have attained extraordinary performance in classifying images utilizing remotely sensed images from numerous platforms. Moreover, techniques built within DL architectures tend to implement encoder-decoder network structures, where constant convolutions effortlessly strain out numerous landslide features. This study develops a Bidirectional Atrous Spatial Pyramid Pooling-Based Semantic Segmentation and Classification Model (BASPP-SSCM) technique for landslide Remote Sensing Images. The main goal of the BASPP-SSCM technique is to segment and classify the landslide areas. In the preprocessing stage, the BASPP-SSCM model employs an adaptive Wiener filtering (AWF) technique to eliminate the noise. Next, for the semantic segmentation method, the BASPP-SSCM technique utilizes the DeepLabV3 method with the backbone of the ConvNeXtLarge model for determining the landslide region. Furthermore, the CapsNet model is utilized for the feature extraction process. Besides, the Rigdelet neural network (RNN) technique is employed for the landslide classification process. At last, the pelican optimization algorithm (POA) methodology is implemented to fine-tune the parameters involved in the RNN model. A wide range of investigations is performed to highlight the superiority of the BASPP-SSCM method using a benchmark dataset. The performance validation of the BASPP-SSCM method underscored a superior accuracy value of 98.23% of other existing approaches.",Terrain factors,Feature extraction,Remote sensing,Semantic segmentation,Adaptation models,Accuracy,Image recognition,Computational modeling,Spatial resolution,Reliability,landslide remote sensing images,,,,,,pelican optimization algorithm,feature extraction,atrous spatial pyramid pooling,,
Row_842,"El Rai, Marwa Chendeb","Aburaed, Nour","Al-Saad, Mina","Al-Ahmad, Hussain","Al Mansoori, Saeed",Integrating Deep Learning with Active Contour Models in Remote Sensing Image Segmentation,,2020,1,"Semantic image segmentation using deep learning is a crucial step in remote sensing and image processing. It has been exploited in oil spill identification in this work. Remote sensing Synthetic Aperture Radar (SAR) images have been used to identify oil spills due to their capability to cover wide scenery irrespective of the weather and illumination conditions. Oil spills can be seen by radar sensors as black spots. Nonetheless, the discrimination between the oil spills and looks-alike is challenging in the case of semantic segmentation at pixel level. To overcome this problem, the active contour without edges models take into account the length of boundaries, the areas inside and outside the region of interest to be integrated in the deep learning image segmentation model. For this purpose, a loss function, which includes the area and the length of object, is back propagated into the semantic segmentation architecture to optimize the deep learning process. The method is evaluated on a publicly available oil spill dataset. The experiments show that the proposed approach outperforms other state-of-the-art methods in terms of Intersection over Union (IoU).",Oil Spill detection,Synthetic Aperture Radar,Semantic Segmentation,Deep Learning,Active Contour Models,,,,,,,"Marshall, Stephen",,,,,,,,"2020 27TH IEEE INTERNATIONAL CONFERENCE ON ELECTRONICS, CIRCUITS AND SYSTEMS (ICECS)",
Row_843,"Li, Xin","Xu, Feng","Xia, Runliang","Li, Tao","Chen, Ziqi",Encoding Contextual Information by Interlacing Transformer and Convolution for Remote Sensing Imagery Semantic Segmentation,REMOTE SENSING,AUG 2022,23,"Contextual information plays a pivotal role in the semantic segmentation of remote sensing imagery (RSI) due to the imbalanced distributions and ubiquitous intra-class variants. The emergence of the transformer intrigues the revolution of vision tasks with its impressive scalability in establishing long-range dependencies. However, the local patterns, such as inherent structures and spatial details, are broken with the tokenization of the transformer. Therefore, the ICTNet is devised to confront the deficiencies mentioned above. Principally, ICTNet inherits the encoder-decoder architecture. First of all, Swin Transformer blocks (STBs) and convolution blocks (CBs) are deployed and interlaced, accompanied by encoded feature aggregation modules (EFAs) in the encoder stage. This design allows the network to learn the local patterns and distant dependencies and their interactions simultaneously. Moreover, multiple DUpsamplings (DUPs) followed by decoded feature aggregation modules (DFAs) form the decoder of ICTNet. Specifically, the transformation and upsampling loss are shrunken while recovering features. Together with the devised encoder and decoder, the well-rounded context is captured and contributes to the inference most. Extensive experiments are conducted on the ISPRS Vaihingen, Potsdam and DeepGlobe benchmarks. Quantitative and qualitative evaluations exhibit the competitive performance of ICTNet compared to mainstream and state-of-the-art methods. Additionally, the ablation study of DFA and DUP is implemented to validate the effects.",semantic segmentation,Swin Transformer,local patterns and distant dependencies,feature aggregation,well-rounded context,,,,,,,"Wang, Xinyuan","Xu, Zhennan","Lyu, Xin",,,,,,,
Row_844,"Jiang, Jie","Lyu, Chengjin","Liu, Siying","He, Yongqiang","Hao, Xuetao",RWSNet: a semantic segmentation network based on SegNet combined with random walk for remote sensing,INTERNATIONAL JOURNAL OF REMOTE SENSING,JAN 17 2020,36,"Semantic segmentation methods based on deep learning considerably improve the segmentation performance of remote sensing images. However, with the extensive application of high-resolution remote sensing images, additional details introduce considerable interference to the learning process for classification, thereby diminishing the accuracy of segmentation and resulting in blurry object boundaries. To address this problem, this study designed Random-Walk-SegNet (RWSNet), a semantic segmentation network based on SegNet combined with random walk. First, SegNet is used as the basic architecture with the sliding window strategy that optimizes the network output to improve the continuity and smoothness of segmentation. Second, seed regions of the random walk are selected in accordance with the classification output of SegNet. Third, the weights of the undirected graph edge are determined by fusing the gradient of the original image and probability map of SegNet. Finally, random walk is implemented on the entire image, thus reducing edge blur and realizing high-performance semantic segmentation of remote sensing images. In comparison with mainstream and other improved methods, the proposed network has lower complexity but better performance, and the algorithm is state-of-the-art and robust.",,,,,,,,,,,,,,,,,,,,,
Row_845,"Chen, Kaiqiang","Fu, Kun","Yan, Menglong","Gao, Xin","Sun, Xian",Semantic Segmentation of Aerial Images With Shuffling Convolutional Neural Networks,IEEE GEOSCIENCE AND REMOTE SENSING LETTERS,FEB 2018,71,"Semantic segmentation of aerial images refers to assigning one land cover category to each pixel. This is a challenging task due to the great differences in the appearances of ground objects. Many attempts have been made during the past decades. In recent years, convolutional neural networks (CNNs) have been introduced in the remote sensing field, and various solutions have been proposed to realize dense semantic labeling with CNNs. In this letter, we propose shuffling CNNs to realize semantic segmentation of aerial images in a periodic shuffling manner. This approach is a supplement to current methods for semantic segmentation of aerial images. We propose a naive version and a deeper version of this method, and both are adept at detecting small objects. Additionally, we propose a method called field-of-view (FoV) enhancement that can enhance the predictions. This method can be applied to various networks, and our experiments verify its effectiveness. The final results are further improved through an ensemble method that averages the score maps generated by the models at different checkpoints of the same network. We evaluate our models using the ISPRS Vaihingen and Potsdam data sets, and we acquire promising results using these two data sets.",Aerial images,convolutional neural networks (CNNs),deep learning,remote sensing,semantic segmentation,,,,,,,"Wei, Xin",,,,,,,,,
