,author1,author2,author3,title,journal/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,keyword5,author4,conference,author5,keyword6,author6,author7,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,author8,author9,author10,author11,keyword13,keyword14,keyword15,keyword16,author12
Row_1041,"Zhao, Danpei","Lu, Jiankai","Yuan, Bo","See, Perceive, and Answer: A Unified Benchmark for High-Resolution Postdisaster Evaluation in Remote Sensing Images",IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2024,1,"Visual-language generation for remote sensing image (RSI) is an emerging and challenging research area that requires multitask learning to achieve a comprehensive understanding. However, most existing models are limited to single-level tasks and do not leverage the advantages of the visual-language pretraining (VLP) model. In this article, we present a unified benchmark that learns multiple tasks, including interpretation, perception, and question answering. Specifically, a model is designed to perform semantic segmentation, image captioning, and visual question answering (VQA) for high-resolution RSIs simultaneously. Our model not only attains pixel-level segmentation accuracy and global semantic comprehension but also responds to user-defined queries of interest. Moreover, to address the challenges of multitask perception, we construct a novel multitask dataset called FloodNet+, which provides a new solution for the comprehensive postdisaster assessment. The experimental results demonstrate that our approach surpasses existing methods or baseline in all three tasks. This is the first attempt to simultaneously consider multiple remote sensing perception tasks in an integrated framework, which lays a solid foundation for future research in this area. Our datasets are publicly available at: https://github.com/LDS614705356/FloodNet-plus.",Task analysis,Semantic segmentation,Multitasking,Remote sensing,Transformers,,,,Training,,,Feature extraction,Disaster detection,image captioning,multitask learning,semantic segmentation,visual question answering (VQA),,,,,,,,,
Row_1042,"Wang, Di","Zhang, Jing","Xu, Minqiang",MTP: Advancing Remote Sensing Foundation Model via Multitask Pretraining,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,2024,5,"Foundation models have reshaped the landscape of remote sensing (RS) by enhancing various image interpretation tasks. Pretraining is an active research topic, encompassing supervised and self-supervised learning methods to initialize model weights effectively. However, transferring the pretrained models to downstream tasks may encounter task discrepancy due to their formulation of pretraining as image classification or object discrimination tasks. In this study, we explore the multitask pretraining (MTP) paradigm for RS foundation models to address this issue. Using a shared encoder and task-specific decoder architecture, we conduct multitask supervised pretraining on the segment anything model annotated remote sensing segmentation dataset, encompassing semantic segmentation, instance segmentation, and rotated object detection. MTP supports both convolutional neural networks and vision transformer foundation models with over 300 million parameters. The pretrained models are finetuned on various RS downstream tasks, such as scene classification, horizontal, and rotated object detection, semantic segmentation, and change detection. Extensive experiments across 14 datasets demonstrate the superiority of our models over existing ones of similar size and their competitive performance compared to larger state-of-the-art models, thus validating the effectiveness of MTP.",Task analysis,Image segmentation,Data models,Multitasking,Object detection,"Liu, Lin",,"Wang, Dongsheng",Semantic segmentation,"Gao, Erzhong","Han, Chengxi",Labeling,Change detection,foundation model,multitask pretraining (MTP),object detection,remote sensing (RS),"Guo, Haonan","Du, Bo","Tao, Dacheng","Zhang, Liangpei",scene classification,semantic segmentation,,,
Row_1043,"Liu, Jiabin","Huang, Huaigang","Sun, Hanxiao",LRAD-Net: An Improved Lightweight Network for Building Extraction From Remote Sensing Images,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,2023,14,"The building extraction method of remote sensing images that uses deep learning algorithms can solve the problems of low efficiency and poor effect of traditional methods during feature extraction. Although some semantic segmentation networks proposed recently can achieve good segmentation performance in extracting buildings, their huge parameters and large amount of calculation lead to great obstacles in practical application. Therefore, we propose a lightweight network (named LRAD-Net) for building extraction from remote sensing images. LRAD-Net can be divided into two stages: encoding and decoding. In the encoding stage, the lightweight RegNet network with 600 million flop (600 MF) is finally selected as our feature extraction backbone net though lots of experimental comparisons. Then, a multiscale depthwise separable atrous spatial pyramid pooling structure is proposed to extract more comprehensive and important details of buildings. In the decoding stage, the squeeze-and-excitation attention mechanism is applied innovatively to redistribute the channel weights before fusing feature maps with low-level details and high-level semantics, thus can enrich the local and global information of the buildings. What's more, a lightweight residual block with polarized self-attention is proposed, it can incorporate features extracted from the space of maps and different channels with a small number of parameters, and improve the accuracy of recovering building boundary. In order to verify the effectiveness and robustness of proposed LRAD-Net, we conduct experiments on a self-annotated UAV dataset with higher resolution and three public datasets (the WHU aerial image dataset, the WHU satellite image dataset and the Inria aerial image dataset). Compared with several representative networks, LRAD-Net can extract more details of building, and has smaller number of parameters, faster computing speed, stronger generalization ability, which can improve the training speed of the network without affecting the building extraction effect and accuracy.",Building extraction,channel attentional mechanism,high-resolution remote sensing image,semantic segmentation,,"Wu, Zhifeng",,"Luo, Renbo",,,,,,,,,,,,,,,,,,
Row_1044,"He, Wei","Li, Lianfa","Gao, Xilin",Geocomplexity Statistical Indicator to Enhance Multiclass Semantic Segmentation of Remotely Sensed Data with Less Sampling Bias,REMOTE SENSING,JUN 2024,0,"Challenges in enhancing the multiclass segmentation of remotely sensed data include expensive and scarce labeled samples, complex geo-surface scenes, and resulting biases. The intricate nature of geographical surfaces, comprising varying elements and features, introduces significant complexity to the task of segmentation. The limited label data used to train segmentation models may exhibit biases due to imbalances or the inadequate representation of certain surface types or features. For applications like land use/cover monitoring, the assumption of evenly distributed simple random sampling may be not satisfied due to spatial stratified heterogeneity, introducing biases that can adversely impact the model's ability to generalize effectively across diverse geographical areas. We introduced two statistical indicators to encode the complexity of geo-features under multiclass scenes and designed a corresponding optimal sampling scheme to select representative samples to reduce sampling bias during machine learning model training, especially that of deep learning models. The results of the complexity scores showed that the entropy-based and gray-based indicators effectively detected the complexity from geo-surface scenes: the entropy-based indicator was sensitive to the boundaries of different classes and the contours of geographical objects, while the Moran's I indicator had a better performance in identifying the spatial structure information of geographical objects in remote sensing images. According to the complexity scores, the optimal sampling methods appropriately adapted the distribution of the training samples to the geo-context and enhanced their representativeness relative to the population. The single-score optimal sampling method achieved the highest improvement in DeepLab-V3 (increasing pixel accuracy by 0.3% and MIoU by 5.5%), and the multi-score optimal sampling method achieved the highest improvement in SegFormer (increasing ACC by 0.2% and MIoU by 2.4%). These findings carry significant implications for quantifying the complexity of geo-surface scenes and hence can enhance the semantic segmentation of high-resolution remote sensing images with less sampling bias.",sampling bias,optimal sampling,semantic segmentation,deep learning,,,,,,,,,,,,,,,,,,,,,,
Row_1045,"Liang, Shike","Hua, Zhen","Li, Jinjiang",Hybrid transformer-CNN networks using superpixel segmentation for remote sensing building change detection,INTERNATIONAL JOURNAL OF REMOTE SENSING,APR 18 2023,7,"Convolution in convolutional neural network(CNN) essentially uses a filter (kernel) with shared parameters to achieve feature extraction by computing the weighted sum of the centre pixel and adjacent pixels. The transformer divides the input image into patches and adds position encodings, then learns global semantic information and performs remote modelling through a self-attentive mechanism. However, CNNs are good at extracting local features but have difficulty in capturing global cues; the Transformer uses the self-attention mechanism for remote modelling. However, relative to CNN, local feature details are ignored to a certain extent. We believe that CNN and Transformer are complementary and will show better results if they are fused. Therefore, in this work, we propose a Hybrid Transformer-CNN Networks based on the fusion of CNN and Transformer branches for remote sensing change detection. In the CNN branch, we use the classical U-Net architecture to learn local semantic features. In the Transformer branch, we use Transformer-based progressive sampling to focus the model's attention on objects of interest and prevent corrupting object structure. Subsequently, we propose an adaptive feature merging module to fully fuse the features of CNN and Transformer to enhance feature representation. At the same time, we introduce a differentiable superpixel branch to take advantage of the superpixel segmentation algorithm to accurately identify object boundaries, preserve boundary information and reduce noise in pixel-level features. We supplement the fused enhanced features into the superpixel branch features using a feature refinement module. After our experiments, we demonstrate the superiority of our model over other State of the art methods.",High-resolution optical remote sensing image,superpixel segmentation,change detection(CD),transformer,convolutional neural network (CNN),,,,,,,,,,,,,,,,,,,,,
Row_1046,"Zhou, Wujie","Li, Yangzhen","Huan, Juan",MSTNet-KD: Multilevel Transfer Networks Using Knowledge Distillation for the Dense Prediction of Remote-Sensing Images,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2024,8,"Recently, methods based on convolutional neural networks have achieved good results in the dense prediction of remote-sensing images, particularly when employing normalized digital surface models (nDSMs). However, most existing methods use multiscale convolution and attention methods to mine multimodal feature information without considering the differences and complementarities between the two features. Moreover, previous studies have prioritized model segmentation performance and ignored parametric issues, which makes it difficult to deploy the model in practical applications. To address this challenge, we designed a multilevel semantic transfer network (MSTNet) for the dense prediction of remote-sensing images using a knowledge-distillation approach to adaptively select useful semantic information for the transfer network. We designed a multilevel semantic knowledge alignment distillation framework (MSKA) to enable a compact student model to learn the semantic information extracted from a complex model. The MSKA framework comprises three main components: cross-layer semantic alignment, dynamic semantic aggregation (DSA), and softening learning (SL) for semantic information transfer and predictive label softening. Experiments on the Vaihingen and Potsdam datasets showed that the student network employing the MSKA framework achieved excellent segmentation performance with only 8.88M parameters and 2.09 gigaFLOPs in terms of computational costs compared with current state-of-the-art (SOTA) methods. The source code and results are available at https://github.com/LYZ00918/MSKANet.",Dense prediction,hierarchical context aggregation (HCA),knowledge distillation (KD),multilevel semantic knowledge alignment,remote-sensing image,"Liu, Yuanyuan",,"Jiang, Qiuping",,,,,,,,,,,,,,,,,,
Row_1047,"Li, Jianfeng","Huang, Zhenghong","Wang, Yongling",Sea and Land Segmentation of Optical Remote Sensing Images Based on U-Net Optimization,REMOTE SENSING,SEP 2022,10,"At present, some related studies on semantic segmentation are becoming complicated, adding a lot of feature layers and various jump splicing to improve the level of refined segmentation, which often requires a large number of parameters to ensure a better segmentation effect. When faced with lightweight tasks, such as sea and land segmentation, the modeling capabilities of these models far exceed the complexity of the task, and reducing the size of the model can easily weaken the original effect of the model. In response to this problem, this paper proposes a U-net optimization structure combining Atrous Spatial Pyramid Pooling (ASPP) and FReLU, namely ACU-Net. ACU-Net replaces the two-layer continuous convolution in the feature extraction part of U-Net with a lightweight ASPP module, retains the symmetric U-shaped structure of the original U-Net structure, and splices the output of the ASPP module with the upsampling part. Use FReLU to improve the modeling ability between pixels, and at the same time cooperate with the attention mechanism to improve the perception ability and receptive field of the network, reduce the training difficulty of the model, and fully tap the hidden information of the samples to capture more effective features. The experimental results show that the ACU-Net in this paper surpasses the reduced U-Net and its optimized improved network U-Net++ in terms of segmentation accuracy and IoU with a smaller volume.",optical remote sensing image,semantic segmentation,deep learning,image feature extraction,U-Net,"Luo, Qinghua",,,,,,,,,,,,,,,,,,,,
Row_1048,"Wang, Xiaoyu","Liang, Longxue","Yan, Haowen",Duplex Restricted Network With Guided Upsampling for the Semantic Segmentation of Remotely Sensed Images,IEEE ACCESS,2021,2,"Deep convolutional networks are of great significance for the automatic semantic annotation of remotely sensed images. Object position and semantic labeling are equally important in semantic segmentation tasks. However, the convolution and pooling operations of the convolutional network will affect the image resolution when extracting semantic information, which makes acquiring semantics and capturing positions contradictory. We design a duplex restricted network with guided upsampling. The detachable enhancement structure to separate opposing features on the same level. In this way, the network can adaptively choose how to trade-off classification and localization tasks. To optimize the detailed information obtained by encoding, a concentration-aware guided upsampling module is further introduced to replace the traditional upsampling operation for resolution restoration. We also add a content capture normalization module to enhance the features extracted in the encoding stage. Our approach uses fewer parameters and significantly outperforms previous results on two very high resolution (VHR) datasets: 84.81% (vs 82.42%) on the Potsdam dataset and 86.76% (vs 82.74%) on the Jiage dataset.",Feature extraction,Semantics,Convolution,Image segmentation,Remote sensing,"Wu, Xiaosuo",,"Lu, Wanzhen",Task analysis,"Cai, Jiali",,Data mining,Information distinction,remote sensing,semantic segmentation,convolutional networks,,,,,,,,,,
Row_1049,"Feng, Jiangfan","Wang, Shiyu","Gu, Zhujun",A novel sea-land segmentation network for enhanced coastline extraction using satellite remote sensing images,ADVANCES IN SPACE RESEARCH,SEP 1 2024,0,"The extraction of coastlines from remote sensing images is vital for promoting sustainable development in coastal areas, conserving marine environments, strengthening disaster response capabilities, and supporting scientific research. However, current coastline detection approaches using remote sensing face challenges related to resolution, terrain, boundary, and data, requiring accurate solutions for reliability. Here, we introduce the Collaborative Supervision and Attention Fusion (CSAFNet) model for pixel-level sea-land segmentation, with a primary goal of improving the accuracy of coastline extraction. The model integrates the Edge Deep Supervision (EDS) module to enhance coastline edge detail fitting. Additionally, the Collaborative Semantic Deep Supervision (CSDS) module and Attention Fusion Module (AFM) collaborate to bridge the semantic gap between different hierarchical features, resulting in a more precise and detailed delineation of coastlines. Experimental validation on the publicly available SLSD 1 dataset has demonstrated superiority over various advanced methods, with an impressive mIoU value of 96.72%. Through simple optimization, detailed and rich coastlines can be extracted, validating the feasibility of coastline extraction. (c) 2024 COSPAR. Published by Elsevier B.V. All rights are reserved, including those for text and data mining, AI training, and similar technologies.",Semantic segmentation,Edge detection,Feature fusion,Coastline detection,,,,,,,,,,,,,,,,,,,,,,
Row_1050,"Liu, Wenjie","Sun, Xian","Zhang, Wenkai",Associatively Segmenting Semantics and Estimating Height From Monocular Remote-Sensing Imagery,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2022,7,"Numerous deep-learning methods have been successfully applied to semantic segmentation (SS) and height estimation (EH) of remote-sensing imagery. It has also been proved that such a framework can be reusable for multiple tasks to reduce computational resource overhead. However, there are still some technical limitations due to the semantic inconsistency between 3-D and 2-D features and the strong interference of different objects with similar spectral-spatial properties. Previous works have sought to address these issues through hard (HPS) or soft parameter sharing (SPS) schemes. But due to unintentional integration, the specific information transmitted between multiple tasks is not clear or in a lot of redundancy. Furthermore, tuning the weights by hand between classification and regression loss functions is challenging. In this article, a novel multitask learning (MTL) method, termed associatively segmenting semantics and estimating height (ASSEH), is proposed to associatively segment semantics and estimate height from monocular remote-sensing imagery. First, considering semantic inconsistency across tasks, we design a task-specific distillation (TSD) module containing a set of task-specific gating units (TSGUs) for each task at the cost of fewer parameters. The module allows for task-specific features to be tailored from the backbone while allowing for task-shared features to be transmitted. Second, we leverage the proposed cross-task propagation (CTP) module to construct and diffuse the local pattern graphlets at the common positions across tasks. Such a high-order recursive method can bridge two tasks explicitly to effectively settle semantic ambiguities caused by similar spectral characteristics with less computational burden and memory requirements. Third, a dynamic weighted geometric mean (DWGeoMean) strategy is introduced to dynamically learn the weights of each task and be more robust to the magnitude of the loss function. Finally, the results of the ISPRS Vaihingen dataset and the urban semantic 3-D (US3D) dataset well demonstrate that our ASSEH achieves state-of-the-art performance.",Task analysis,Semantics,Image segmentation,Remote sensing,Estimation,"Guo, Zhi",,"Fu, Kun",Multitasking,,,Convolution,Height estimation (EH),multitask learning (MTL),remote-sensing imagery,semantic segmentation (SS),,,,,,,,,,
Row_1051,"Zhang, Xiaoqing","Qi, Qingqing","Liu, Weike",Combined Hybrid Neural Networks and Swarm Intelligence Optimization Algorithms for Photovoltaic Panel Segmentation From Remote Sensing Images,IEEE ACCESS,2024,1,"In the context of traditional energy shortage and climate warming, the development of solar energy, as a clean and renewable energy, is crucial. As an effective way to utilize solar energy resources, photovoltaic (PV) power generation technology has been widely used around the world. Using remote sensing images to extract PV panel information, including location, area, has a positive effect on understanding the development status, planning and construction of regional PV new energy. In this study, a semantic segmentation network called HCT-Net, combined with the hybrid neural networks and the swarm intelligence optimization algorithms, is designed to segment solar PV panels from remote sensing images automatically and accurately. To address the problem of inconsistent segmentation within PV regions, a hybrid encoder, which combines a convolutional neural network and a Transformer, is designed to extract local features with rich detail information and global features with global context dependencies, resulting in enhanced feature representations. The foreground relation module is designed to solve the problem of mis-segmentation of the background into PVs. This module strengthens the model's focus on the target object and suppresses the feature representations of non-PVs by explicitly learning the similarity relationship between the global PV feature representation and the feature representations of other objects, and by adaptively assigning weights according to the similarity. The swarm intelligence optimization algorithm is applied to adjust the learning rate and the balance coefficient of the composite loss function of HCT-Net during training. Experimental results show that compared with the current mainstream semantic segmentation network, the method in this study effectively alleviates the problem of inconsistent segmentation within PV regions and mis-segmentation and has advantages in the complete and accurate extraction of PV panels.",Feature extraction,Optimization,Particle swarm optimization,Transformers,Semantics,,,,Photovoltaic systems,,,Remote sensing,Semantic segmentation,Convolutional neural networks,Photovoltaic panel extraction,remote sensing image,semantic segmentation,,,,,swarm intelligence optimization algorithm,CNN,transformer,,
Row_1052,"Xing, Ziyao","Yang, Shuai","Zan, Xuli",Flood vulnerability assessment of urban buildings based on integrating high-resolution remote sensing and street view images,SUSTAINABLE CITIES AND SOCIETY,MAY 2023,32,"Urban flood risk management requires an extensive investigation of the vulnerability characteristics of buildings. Large-scale field surveys usually cost a lot of time and money, while satellite remote sensing and street view images can provide information on the tops and facades of buildings respectively. Thereupon, this paper develops a building vulnerability assessment framework using remote sensing and street view features. Specifically, a UNet-based semantic segmentation model, FSA-UNet (Fusion-Self-Attention-UNet) is proposed to integrate remote sensing and street view features and the vulnerability information contained in the images is fully exploited. And the building vulnerability index is generated to provide the spatial distribution characteristics of urban building vulnerability. The experiment shows that the mIoU of the proposed model can reach 82% for building vulnerability classification in Hefei, China, which is more accurate than the traditional semantic seg-mentation models. The results indicate that the integration of street view and remote sensing image features can improve the ability of building vulnerability assessment, and the model proposed in this study can better capture the correlation features of multi-angle images through the self-attention mechanism and combines hierarchy features and edge information to improve the classification effect. This study can support for disaster manage-ment and urban planning.",Sreet view image,Remote sensing,Flood,Vulnerability assessment,Deep learning,"Dong, Xinrui",,"Yao, Yu",Semantic segmentation,"Liu, Zhe","Zhang, Xiaodong",,,,,,,,,,,,,,,
Row_1053,"Li, Jiayi","Hu, Yuping","Huang, Xin",CaSaFormer: A cross- and self-attention based lightweight network for large-scale building semantic segmentation,INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION,JUN 2024,1,"Buildings play a crucial role in geographic information systems, and advancements in the resolution of remote sensing imagery have facilitated their extraction on a larger scale. However, this progress has simultaneously heightened the requirements for methods to demonstrate efficiency and enhanced generalization performance. For this purpose, we propose a lightweight building semantic segmentation network, named CaSaFormer. Specifically, we propose an efficient module composed of Cross-attention and Self-attention Blocks connected in series (CaSa Block), to extract valuable semantic information from the feature pyramid. Furthermore, a novel Cross-Attention Gate Fusion (CAGF) module was developed to effectively integrate complementary components from global semantic features and local spatial features. Experiment results have demonstrated that our CaSaFormer outperforms state-of-the-art (SOTA) lightweight methods with best trade-off between accuracy and efficiency, showing a 1.92 % improvement in IoU and 16 % of the computation complexity. When compared to non-lightweight methods under equivalent computational resources, an impressive 1.69 % IoU gain is also achieved with only 1.7 % of the computation complexity. The code is available at: https://github.com/ YpingHu/CaSaFormer.",Large-scale building extraction,Remote sensing,Lightweight network,Attention mechanism,Semantic segmentation,,,,,,,,,,,,,,,,,,,,,
Row_1054,"Panboonyuen, Teerapong","Charoenphon, Chaiyut","Satirapod, Chalermchon",MeViT: A Medium-Resolution Vision Transformer for Semantic Segmentation on Landsat Satellite Imagery for Agriculture in Thailand,REMOTE SENSING,NOV 2023,1,"Semantic segmentation is a fundamental task in remote sensing image analysis that aims to classify each pixel in an image into different land use and land cover (LULC) segmentation tasks. In this paper, we propose MeViT (Medium-Resolution Vision Transformer) on Landsat satellite imagery for the main economic crops in Thailand as follows: (i) para rubber, (ii) corn, and (iii) pineapple. Therefore, our proposed MeViT enhances vision transformers (ViTs), one of the modern deep learning on computer vision tasks, to learn semantically rich and spatially precise multi-scale representations by integrating medium-resolution multi-branch architectures with ViTs. We revised mixed-scale convolutional feedforward networks (MixCFN) by incorporating multiple depth-wise convolution paths to extract multi-scale local information to balance the model's performance and efficiency. To evaluate the effectiveness of our proposed method, we conduct extensive experiments on the publicly available dataset of Thailand scenes and compare the results with several state-of-the-art deep learning methods. The experimental results demonstrate that our proposed MeViT outperforms existing methods and performs better in the semantic segmentation of Thailand scenes. The evaluation metrics used are precision, recall, F1 score, and mean intersection over union (IoU). Among the models compared, MeViT, our proposed model, achieves the best performance in all evaluation metrics. MeViT achieves a precision of 92.22%, a recall of 94.69%, an F1 score of 93.44%, and a mean IoU of 83.63%. These results demonstrate the effectiveness of our proposed approach in accurately segmenting Thai Landsat-8 data. The achieved F1 score overall, using our proposed MeViT, is 93.44%, which is a major significance of this work.",semantic segmentation,deep learning,remote sensing imagery,transformer,Landsat,,,,,,,,,,,,,,,,,,,,,
Row_1055,"Sun, Xiao","Qian, Yurong","Cao, Ruyi",BGFNet: Semantic Segmentation Network Based on Boundary Guidance,IEEE GEOSCIENCE AND REMOTE SENSING LETTERS,2024,2,"Over the past few years, there have been significant advancements in deep learning technology, leading to remarkable progress in the field of image analysis. However, when it comes to handling complex remote sensing images, current semantic segmentation methods still face challenges and do not perform as well as desired. How to obtain both spatial detail information and semantic information at the same time is an urgent problem to be solved. This letter proposes a context fusion network based on boundary guidance (BGFNet), which incorporates the patch attention module (PAM), the feature maps are enriched with contextual information, improving their ability to capture spatial dependencies. In order to alleviate boundary ambiguity, a boundary guidance module (BGM) is used to weight features with rich semantic boundary information. Furthermore, the compatible fusion module (CFM) is employed to merge high-order and low-order features, creating novel features. Channel attention is then applied to the obtained features allows us to select the desired features by filtering out irrelevant information. We validate our model on the Vaihingen and Potsdam datasets reached 81.65% and 86.94% mean intersection over union (mIoU), respectively, indicating the superiority of the proposed model.",Semantics,Feature extraction,Remote sensing,Semantic segmentation,Computer architecture,"Tuerxun, Palidan",,"Hu, Zhehao",Image edge detection,,,Convolution,Boundary guidance,compatible fusion,patch attention,remote sensing,semantic segmentation,,,,,,,,,
Row_1056,"He, Zhe","Tao, Yuxiang","Luo, Xiaobo",Road Extraction from Remote Sensing Image Based on an Improved U-Net,LASER & OPTOELECTRONICS PROGRESS,AUG 2023,2,"Road information extracted from remote sensing images is of great value in urban planning, traffic management, and other fields. However, owing to the complex background, obstacles, and numerous similar nonroad areas, high -quality road information extraction from remote sensing images is still challenging. In this work, we propose HSA-UNet, a road information extraction method based on mixed -scale attention and U -Net, for high -quality remote sensing images. First, an attention residual learning unit, composed of a residual structure and an attention feature fusion mechanism, is used in the coding network to improve the extraction ability of global and local features. Second, owing to roads with the characteristics of large spans, narrowness, and continuous distribution, the attention -enhanced atrous spatial pyramid pooling module is added to the bridge network to enhance the ability of road features extraction at different scales. Experiments were performed on Massachusetts roads dataset, and the results showed that HSA-UNet significantly outperformed D-LinkNet, DeepLabV3+ , and other semantic segmentation networks in terms of F1, intersection over union, and other evaluation indicators.",remote sensing,remote sensing image,semantic segmentation,road extraction,scale attention,"Xu, Hao",,,attentional feature fusion,,,,,,,,,,,,,,,,,
Row_1057,"Sun, Jun","Yang, Shiqi","Gao, Xuesong",MASA-SegNet: A Semantic Segmentation Network for PolSAR Images,REMOTE SENSING,JUL 2023,5,"Semantic segmentation of Polarimetric SAR (PolSAR) images is an important research topic in remote sensing. Many deep neural network-based semantic segmentation methods have been applied to PolSAR image segmentation tasks. However, a lack of effective means to deal with the similarity of object features and speckle noise in PolSAR images exists. Thisstudy aims to improve the discriminative capability of neural networks for various intensities of backscattering coefficients while reducing the effects of noise in PolSAR semantic segmentation tasks. Firstly, we propose pre-processing methods for PolSAR image data, which consist of the fusion of multi-source data and false color mapping. Then, we propose a Multi-axis Sequence Attention Segmentation Network (MASA-SegNet) for semantic segmentation of PolSAR data, which is an encoder-decoder framework. Specifically, within the encoder, a feature extractor is designed and implemented by stacking Multi-axis Sequence Attention blocks to efficiently extract PolSAR features at multiple scales while mitigating inter-class similarities and intra-class differences from speckle noise. Moreover, the process of serialized residual connection design enables the propagation of spatial information throughout the network, thereby improving the overall spatial awareness of MASA-SegNet. Within the decoder, it is used to accomplish the semantic segmentation task. The superiority of this algorithm for semantic segmentation will be explored through feature visualization. The experiments show that our proposed spatial sequence attention mechanism can effectively extract features and reduce noise interference and is thus able to obtain the best results on two large-scale public datasets (the AIR-POlSAR-Seg and FUSAR-Map datasets).",PolSAR image,semantic segmentation,multi-axis sequence attention,,,"Ou, Dinghua",,"Tian, Zhaonan",,"Wu, Jing","Wang, Mantao",,,,,,,,,,,,,,,
Row_1058,"Ulku, Irem",,,ResLMFFNet: a real-time semantic segmentation network for precision agriculture,JOURNAL OF REAL-TIME IMAGE PROCESSING,JUL 2024,0,"Lightweight multiscale-feature-fusion network (LMFFNet), a proficient real-time CNN architecture, adeptly achieves a balance between inference time and accuracy. Capturing the intricate details of precision agriculture target objects in remote sensing images requires deep SEM-B blocks in the LMFFNet model design. However, employing numerous SEM-B units leads to instability during backward gradient flow. This work proposes the novel residual-LMFFNet (ResLMFFNet) model for ensuring smooth gradient flow within SEM-B blocks. By incorporating residual connections, ResLMFFNet achieves improved accuracy without affecting the inference speed and the number of trainable parameters. The results of the experiments demonstrate that this architecture has achieved superior performance compared to other real-time architectures across diverse precision agriculture applications involving UAV and satellite images. Compared to LMFFNet, the ResLMFFNet architecture enhances the Jaccard Index values by 2.1% for tree detection, 1.4% for crop detection, and 11.2% for wheat-yellow rust detection. Achieving these remarkable accuracy levels involves maintaining almost identical inference time and computational complexity as the LMFFNet model. The source code is available on GitHub: https://github.com/iremulku/Semantic-Segmentation-in-Precision-Agriculture.",Real-time semantic segmentation,Remote sensing,Precision agriculture,,,,,,,,,,,,,,,,,,,,,,,
Row_1059,"Marmanis, D.","Schindler, K.","Wegner, J. D.",SEMANTIC SEGMENTATION OF AERIAL IMAGES WITH EXPLICIT CLASS-BOUNDARY MODELING,,2017,1,"In this work we propose an end-to-end trainable supervised Deep Convolutional Neural Network (DCNN) targeting the task of semantic-segmentation with the addition of class-aware boundary detection. Through this explicit modeling of the class-boundaries, we enforce the network to extract coherent and complete objects, suppressing the uncertainty influencing these regions. Importantly, we show that class-boundary networks in conjunction with DCNN performs optimally, achieving over 90% overall accuracy (OA) on the challenging ISPRS Vaihingen Semantic Segmentation benchmark.",semantic-segmentation,CNN,FCN,VHSR,aerial imagery,"Datcu, M.",2017 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM (IGARSS),"Stilla, U.",,,,,,,,,,,,,,,,,,
Row_1060,"Ayala, Christian","Aranda, Carlos","Galar, Mikel",Multi-Class Strategies for Joint Building Footprint and Road Detection in Remote Sensing,APPLIED SCIENCES-BASEL,SEP 2021,4,"Building footprints and road networks are important inputs for a great deal of services. For instance, building maps are useful for urban planning, whereas road maps are essential for disaster response services. Traditionally, building and road maps are manually generated by remote sensing experts or land surveying, occasionally assisted by semi-automatic tools. In the last decade, deep learning-based approaches have demonstrated their capabilities to extract these elements automatically and accurately from remote sensing imagery. The building footprint and road network detection problem can be considered a multi-class semantic segmentation task, that is, a single model performs a pixel-wise classification on multiple classes, optimizing the overall performance. However, depending on the spatial resolution of the imagery used, both classes may coexist within the same pixel, drastically reducing their separability. In this regard, binary decomposition techniques, which have been widely studied in the machine learning literature, are proved useful for addressing multi-class problems. Accordingly, the multi-class problem can be split into multiple binary semantic segmentation sub-problems, specializing different models for each class. Nevertheless, in these cases, an aggregation step is required to obtain the final output labels. Additionally, other novel approaches, such as multi-task learning, may come in handy to further increase the performance of the binary semantic segmentation models. Since there is no certainty as to which strategy should be carried out to accurately tackle a multi-class remote sensing semantic segmentation problem, this paper performs an in-depth study to shed light on the issue. For this purpose, open-access Sentinel-1 and Sentinel-2 imagery (at 10 m) are considered for extracting buildings and roads, making use of the well-known U-Net convolutional neural network. It is worth stressing that building and road classes may coexist within the same pixel when working at such a low spatial resolution, setting a challenging problem scheme. Accordingly, a robust experimental study is developed to assess the benefits of the decomposition strategies and their combination with a multi-task learning scheme. The obtained results demonstrate that decomposing the considered multi-class remote sensing semantic segmentation problem into multiple binary ones using a One-vs.-All binary decomposition technique leads to better results than the standard direct multi-class approach. Additionally, the benefits of using a multi-task learning scheme for pushing the performance of binary segmentation models are also shown.",Sentinel-1,Sentinel-2,remote sensing,building detection,road detection,,,,deep learning,,,convolutional neural networks,multi-class semantic segmentation,binary semantic segmentation,multi-task semantic segmentation,,,,,,,,,,,
