,author1,author2,author3,author4,author5,title,conference,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,journal/book,author6,keyword8,keyword9,keyword10,keyword11,author7,author8,keyword12,keyword13,keyword14,keyword15,author9
Row_1309,"Wang, Xiaolei","Hu, Zirong","Shi, Shouhai","Hou, Mei","Xu, Lei",A deep learning method for optimizing semantic segmentation accuracy of remote sensing images based on improved UNet,,MAY 10 2023,25,"Semantic segmentation of remote sensing imagery (RSI) is critical in many domains due to the diverse landscapes and different sizes of geo-objects that RSI contains, making semantic segmentation challenging. In this paper, a convolutional network, named Adaptive Feature Fusion UNet (AFF-UNet), is proposed to optimize the semantic segmentation performance. The model has three key aspects: (1) dense skip connections architecture and an adaptive feature fusion module that adaptively weighs different levels of feature maps to achieve adaptive feature fusion, (2) a channel attention convolution block that obtains the relationship between different channels using a tailored configuration, and (3) a spatial attention module that obtains the relationship between different positions. AFF-UNet was evaluated on two public RSI datasets and was quantitatively and qualitatively compared with other models. Results from the Potsdam dataset showed that the proposed model achieved an increase of 1.09% over DeepLabv3 + in terms of the average F1 score and a 0.99% improvement in overall accuracy. The visual qualitative results also demonstrated a reduction in confusion of object classes, better performance in segmenting different sizes of object classes, and better object integrity. Therefore, the proposed AFF-UNet model optimizes the accuracy of RSI semantic segmentation.",,,,,,,,SCIENTIFIC REPORTS,"Zhang, Xiang",,,,,,,,,,,
Row_1310,"Zhang, Wenkai","Huang, Hai","Schmitz, Matthias","Sun, Xian","Wang, Hongqi",A MULTI-RESOLUTION FUSION MODEL INCORPORATING COLOR AND ELEVATION FOR SEMANTIC SEGMENTATION,ISPRS HANNOVER WORKSHOP: HRIGI 17 - CMRT 17 - ISA 17 - EUROCOW 17,2017,3,"In recent years, the developments for Fully Convolutional Networks (FCN) have led to great improvements for semantic segmentation in various applications including fused remote sensing data. There is, however, a lack of an in-depth study inside FCN models which would lead to an understanding of the contribution of individual layers to specific classes and their sensitivity to different types of input data. In this paper, we address this problem and propose a fusion model incorporating infrared imagery and Digital Surface Models (DSM) for semantic segmentation. The goal is to utilize heterogeneous data more accurately and effectively in a single model instead of to assemble multiple models. First, the contribution and sensitivity of layers concerning the given classes are quantified by means of their recall in FCN. The contribution of different modalities on the pixel-wise prediction is then analyzed based on visualization. Finally, an optimized scheme for the fusion of layers with color and elevation information into a single FCN model is derived based on the analysis. Experiments are performed on the ISPRS Vaihingen 2D Semantic Labeling dataset. Comprehensive evaluations demonstrate the potential of the proposed approach.",Semantic Segmentation,Convolutional Networks,Multi-modal Dataset,Fusion Nets,,,,,"Mayer, Helmut",,,,,,,,,,,
Row_1311,"Abhishek, R.","Chakravorty, Anisha","Chakraborty, Shounak",,,Active learning based semantic segmentation for extraction of minute objects from multispectral satellite images,2022 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM (IGARSS 2022),2022,0,"In this manuscript, an attention based Unet (A-Unet) has been proposed for semantic segmentation of enormous remotely sensed images for the extraction of minute objects like electrical substations. For this purpose, a pre-trained deep convolutional neural network (DCNN) has been used in every encoder-decoder level over the A-UNET. It is infused with an intelligent active learning approach for retraining and thereby leveraging the segmentation model for detecting smaller objects from large-scale images. The experimentation has been carried out in three phases: pre-processing the images, training of an A-Unet framework, and active learning based retraining methodology to achieve improvement over the overall learning curve. The results validated over two state-of-the-art remote sensing datasets (of electrical substation and ships) show efficient performance in segmenting the necessary small object boundaries. A mean intersection over union (mioU) calculated for this purpose show promising results in favour of the proposed approach in comparison to the state-of-the-art methodologies.",Semantic Segmentation,U-net,Attention based U-net,Deep Convolutional Neural network,Active learning,,,,,,,,,,,,,,,
Row_1312,"Sui, Baikai","Jiang, Tao","Zhang, Zhen","Pan, Xinliang","Liu, Chenxi",A Modeling Method for Automatic Extraction of Offshore Aquaculture Zones Based on Semantic Segmentation,,MAR 2020,26,"Monitoring of offshore aquaculture zones is important to marine ecological environment protection and maritime safety and security. Remote sensing technology has the advantages of large-area simultaneous observation and strong timeliness, which provide normalized monitoring of marine aquaculture zones. Aiming at the problems of weak generalization ability and low recognition rate in weak signal environments of traditional target recognition algorithm, this paper proposes a method for automatic extraction of offshore fish cage and floating raft aquaculture zones based on semantic segmentation. This method uses Generative Adversarial Networks to expand the data to compensate for the lack of training samples, and uses ratio of green band to red band (G/R) instead of red band to enhance the characteristics of aquaculture spectral information, combined with atrous convolution and atrous space pyramid pooling to enhance the context semantic information, to extract and identify two types of offshore fish cage zones and floating raft aquaculture zones. The experiment is carried out in the eastern coastal waters of Shandong Province, China, and the overall identification accuracy of the two types of aquaculture zones can reach 94.8%. The results show that the method proposed in this paper can realize high-precision extraction both of offshore fish cage and floating raft aquaculture zones.",offshore aquaculture,semantic segmentation,generative adversarial networks,high-resolution remote sensing image,,,,ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION,,,,,,,,,,,,
Row_1313,"Ni, Jun","Zhang, Fan","Ma, Fei","Yin, Qiang","Xiang, Deliang",Random Region Matting for the High-Resolution PolSAR Image Semantic Segmentation,,2021,8,"Polarimetric synthetic aperture radar (PolSAR) imagery can provide more intuitive and detailed SAR polarization information, and it is widely used in the classification and semantic segmentation of remote sensing. To bridge the PolSAR data and application, the 2020 Gaofen Challenge on Automated High-Resolution Earth Observation Image Interpretation provides a set of high-quality PolSAR semantic segmentation dataset. A series of preprocessing methods is first used to analyze the PolSAR images to improve the semantic segmentation performance of the PolSAR imagery. A special polarimetric decomposition method is used to extract the features, and the filter and the data truncation are implemented to enhance local and global information of images. And the random region matting method is proposed to expand the training samples. Finally, the DeepLabV3+ method with the ResNet101-V2 is employed to achieve the semantic segmentation. A variety of comparison experiments verifies the effectiveness of our methods. Simultaneously, compared with the classification methods of other groups in the competition, our methods have obvious advantages in the inference time and semantic segmentation accuracy. The proposed method achieved a frequency weighted intersection over union of 75.29% in the contest.",Data augmentation,DeepLabV3+,Gaofen-3,image classification,polarimetric synthetic aperture radar (PolSAR),semantic segmentation,,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,,,,,,,,,,,,
Row_1314,"Ma, Jiabao","Zhou, Wujie","Lei, Jingsheng","Yu, Lu",,Adjacent Bi-Hierarchical Network for Scene Parsing of Remote Sensing Images,,2023,14,"Driven by the rapid development and application of earth observation sensors, the scene parsing of remote sensing images (RSIs) has attracted extensive research attention in recent years. Restricted by the limited local receptive field of successive convolution layers, traditional models of scene parsing cannot effectively and interactively utilize the local-global information and digital surface model (DSM) of RSIs. Comparatively, accurate scene parsing faces more challenges because of unbalanced categories, small targets, and more complex scenes. To address these challenges, herein, we propose a novel adjacent bi-hierarchical network (ABHNet). Specifically, we introduce a DSM-enhanced (DSE) module to excavate characteristic DSM information from DSM images and enhance the red, green, and blue (RGB) features by exploiting informative cues between RGB and DSM modalities. In addition, an adjacent context exploration (ACE) module is proposed, which contains current and adjacent branches. The branches first exploit multiscale complementary characteristics of multilevel features and then integrate these features by applying adjacent exploration. Our model includes five ACE modules-three are deployed to activate detailed features and two obtain deep-guided features. The mutual collaboration of deep and detailed features is more beneficial to the segmentation of small objects. Extensive experiments on two remote sensing benchmark datasets (ISPRS Potsdam and Vaihingen) showed that the proposed ABHNet qualitatively and quantitatively outperformed other methods.",Feature extraction,Decoding,Remote sensing,Image segmentation,Data mining,Transformers,Task analysis,IEEE GEOSCIENCE AND REMOTE SENSING LETTERS,,Adjacent integrate,multimodal,multiscale,remote sensing images (RSIs),,,scene parsing,,,,
Row_1315,"Jiang, Yinan","Zhong, Chaoliang","Zhang, Botao",,,"AGD-Linknet: A Road Semantic Segmentation Model for High Resolution Remote Sensing Images Integrating Attention Mechanism, Gated Decoding Block and Dilated Convolution",,2023,8,"Road information is an important geographic information. Road information extracted from remote sensing images has been widely used in map, traffic, navigation and many other fields. However, the autonomous extraction of road information from high resolution remote sensing images has some problems such as incoherence, incompleteness and poor connectivity, therefore, a semantic segmentation model for roads in high resolution remote sensing images, called AGD-Linknet, is proposed, which integrates attention mechanisms, gated decoder block, and dilated convolution. This model mainly consists of three parts. Firstly, the stem block is used as the initial convolution layer of the model to reduce the information loss in the convolution stage; Secondly, the series-parallel combined dilated convolution and coordinate attention block into the center of the network, which enlarges the receptive field of the network and improves the feature extraction ability of spatial domain and channel domain information; Finally, in the decoder part, gated convolution is introduced to improve the extraction of road edge. Compared with U-Net, Linknet and D-Linknet on the DeepGlobe dataset, the proposed AGD-Linknet has improved the pixel accuracy, mean intersection over union and F1-Score index of road recognition by 1.41%-11.52%, 0.0077-0.1473, 0.0057-0.1292, and has certain effectiveness and feasibility in many scenarios in rural areas, urban, and suburbs. And can be apply to the tasks of road recognition and extraction in high-resolution remote sensing.",Road traffic,Feature extraction,Convolution,Data mining,Decoding,Remote sensing,Logic gates,IEEE ACCESS,,Geographic information systems,remote sensing,road extraction,convolutional neural networks,,,attention mechanisms,dilated convolution,gated convolution,,
Row_1316,"Dowden, Benjamin","De Silva, Oscar","Huang, Weimin",,,Sea Ice Image Semantic Segmentation Using Deep Neural Networks,GLOBAL OCEANS 2020: SINGAPORE - U.S. GULF COAST,2020,1,"Semantic segmentation is the process of classifying pixels in an image into different classes. This method is quite established in autonomous vehicles, biomedical image processing, and remote sensing applications. In this paper, we evaluate the applicability of semantic segmentation for sea ice classification using image feeds from on-board an icebreaker. For this purpose, we evaluate SegNet and PSPNet101 neural network architectures to segment images into four classes: ice, ocean, vessel, and sky. The Nathaniel B. Palmer dataset, which captures 2-month footage of the icebreaker completing an Antarctic expedition was used. A subset of the dataset was labeled to generate a 240-image dataset achieving an accuracy of 97.8% classification for the 26 image test dataset. These results validate the applicability of deep learning methods for sea ice detection using images, which can be further improved by classifying the ice type to support marine navigation and mapping applications.",Semantic segmentation,neural network,intelligent systems,machine learning,,,,,,,,,,,,,,,,
Row_1317,"de Carvalho, Osmar L. F.","de Carvalho Junior, Osmar A.","de Albuquerque, Anesmar O.","Santana, Nickolas C.","Borges, Dibio L.",Rethinking Panoptic Segmentation in Remote Sensing: A Hybrid Approach Using Semantic Segmentation and Non-Learning Methods,,2022,10,"This letter proposes a novel method to obtain panoptic predictions by extending the semantic segmentation task with a few non-learning image processing steps, presenting the following benefits: 1) annotations do not require a specific format [e.g., common objects in context (COCO)]; 2) fewer parameters (e.g., single loss function and no need for object detection parameters); and 3) a more straightforward sliding windows implementation for large image classification (still unexplored for panoptic segmentation). Semantic segmentation models do not individualize touching objects, as their predictions can merge; i.e., a single polygon represents many targets. Our method overcomes this problem by isolating the objects using borders on the polygons that may merge. The data preparation requires generating a one-pixel border, and for unique object identification, we create a list with the isolated polygons, attribute a different value to each one, and use the expanding border (EB) algorithm for those with borders. Although any semantic segmentation model applies, we used the U-Net with three backbones (EfficientNet-B5, EfficientNet-B3, and EfficientNet-B0). The results show that the following hold: 1) the EfficientNet-B5 had the best results with 70% mean intersection over union (mloU); 2) the EB algorithm presented better results for better models; 3) the panoptic metrics show a high capability of identifying things and stuff with 65 panoptic quality (PQ); and 4) the sliding windows on a 2560 x 2560-pixel area has shown promising results, in which the ratio of merged objects by correct predictions was lower than 1% for an classes.",Aerial image,anchor-free,deep learning,sliding windows,,,,IEEE GEOSCIENCE AND REMOTE SENSING LETTERS,,,,,,,,,,,,
Row_1318,"Mai, Chaoyun","Wu, Yibo","Zhai, Yikui","Quan, Hao","Zhou, Jianhong",DBCG-Net: Dual Branch Calibration Guided Deep Network for UAV Images Semantic Segmentation,,2024,0,"Unmanned aerial vehicle (UAV) remote sensing images used for semantic segmentation possess distinct features compared to urban street scene images, including high resolution and a complex background. Spatial information plays a pivotal role in enhancing the performance of semantic segmentation for high-resolution images. The dual-branch architecture for semantic segmentation incorporates supplementary branches to capture spatial information. However, prior research on dual-branch semantic segmentation neglected the interaction between the contextual and spatial branches, leading to suboptimal model performance. In this discourse, the article introduces a dual-branch semantic segmentation framework. This design advances the system's understanding of spatial information while facilitating inter-branch learning through two key modules. Initially, the spatial calibration feature extraction module employs frequency domain processing and learning tactics distinct from the contextual approach to generate image features under varied noise conditions. Calibration is achieved by generating features from diverse angles. Subsequently, the spatially-guided loss function directs the acquisition of spatial information for the spatial branch by condensing the deep image characteristics for the context branch. To assess the generalization capacity of the proposed method, experiments will be conducted on three different datasets. The proposed method's modules will be integrated into three representative dual-branch networks, allowing assessment of the generalization capacity of the key DBCG components. Empirical evidence demonstrates that this approach is highly effective, significantly surpassing the performance of the baseline network.",Semantic segmentation,Calibration,Autonomous aerial vehicles,Feature extraction,Spatial resolution,Semantics,Remote sensing,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,"Genovese, Angelo",Convolutional neural network (CNN),deep learning,dual-branch calibration guided network,semantic segmentation,"Piuri, Vincenzo","Scotti, Fabio",unmanned aerial vehicles (UAVs),,,,
Row_1319,"Jiang, Mingyu","Shao, Hua","Zhu, Xingyu","Li, Yang",,Green Space Reverse Pixel Shuffle Network: Urban Green Space Segmentation Using Reverse Pixel Shuffle for Down-Sampling from High-Resolution Remote Sensing Images,,JAN 2024,0,"Urban green spaces (UGS) play a crucial role in the urban environmental system by aiding in mitigating the urban heat island effect, promoting sustainable urban development, and ensuring the physical and mental well-being of residents. The utilization of remote sensing imagery enables the real-time surveying and mapping of UGS. By analyzing the spatial distribution and spectral information of a UGS, it can be found that the UGS constitutes a kind of low-rank feature. Thus, the accuracy of the UGS segmentation model is not heavily dependent on the depth of neural networks. On the contrary, emphasizing the preservation of more surface texture features and color information contributes significantly to enhancing the model's segmentation accuracy. In this paper, we proposed a UGS segmentation model, which was specifically designed according to the unique characteristics of a UGS, named the Green Space Reverse Pixel Shuffle Network (GSRPnet). GSRPnet is a straightforward but effective model, which uses an improved RPS-ResNet as the feature extraction backbone network to enhance its ability to extract UGS features. Experiments conducted on GaoFen-2 remote sensing imagery and the Wuhan Dense Labeling Dataset (WHDLD) demonstrate that, in comparison with other methods, GSRPnet achieves superior results in terms of precision, F1-score, intersection over union, and overall accuracy. It demonstrates smoother edge performance in UGS border regions and excels at identifying discrete small-scale UGS. Meanwhile, the ablation experiments validated the correctness of the hypotheses and methods we proposed in this paper. Additionally, GSRPnet's parameters are merely 17.999 M, and this effectively demonstrates that the improvement in accuracy of GSRPnet is not only determined by an increase in model parameters.",urban green space,high-resolution remote sensing imagery,deep learning,semantic segmentation,,,,FORESTS,,,,,,,,,,,,
Row_1320,"Wang, Deyi","Han, Min",,,,SA-U-Net plus plus : SAR marine floating raft aquaculture identification based on semantic segmentation and ISAR augmentation,,JAN 18 2021,6,"Marine floating raft aquaculture (FRA) monitoring is vital for environment protection and mariculture management. Synthetic aperture radar (SAR) could provide high-quality remote sensing images under all weather conditions compared with the existing optical remote-sensing-based methods. Traditional SAR monitoring methods extract the pixel feature of marine FRA in single patches, which commonly leads to poor generalization. We propose a self-attention semantic segmentation method based on modified U-Net++ (SA-U-Net++) for FRA segmentation, which could automatically extract semantic feature information, and provide superior performance under complicated scenes. The proposed self-attention backbone could help to extract more precise features and enhance the overall accuracy. Furthermore, we propose a FRA-ISAR data generation method based on inverse SAR (ISAR) imaging to alleviate the sample shortage problem. We introduce the semantic segmentation method into FRA-SAR segmentation for the first time. The experiments verify the effectiveness and superiority of SAR FRA segmentation based on the proposed SA-U-Net++ model compared with the existed semantic segmentation approaches. (C) 2021 Society of Photo-Optical Instrumentation Engineers (SPIE)",floating raft aquaculture,synthetic aperture radar,deep learning,semantic segmentation,inverse synthetic aperture radar,,,JOURNAL OF APPLIED REMOTE SENSING,,,,,,,,,,,,
Row_1321,"Wang, Di","Zhang, Jing","Du, Bo","Xu, Minqiang","Liu, Lin",SAMRS: Scaling-up Remote Sensing Segmentation Dataset with Segment Anything Model,ADVANCES IN NEURAL INFORMATION PROCESSING SYSTEMS 36 (NEURIPS 2023),2023,0,"The success of the Segment Anything Model (SAM) demonstrates the significance of data-centric machine learning. However, due to the difficulties and high costs associated with annotating Remote Sensing (RS) images, a large amount of valuable RS data remains unlabeled, particularly at the pixel level. In this study, we leverage SAM and existing RS object detection datasets to develop an efficient pipeline for generating a large-scale RS segmentation dataset, dubbed SAMRS. SAMRS totally possesses 105,090 images and 1,668,241 instances, surpassing existing high-resolution RS segmentation datasets in size by several orders of magnitude. It provides object category, location, and instance information that can be used for semantic segmentation, instance segmentation, and object detection, either individually or in combination. We also provide a comprehensive analysis of SAMRS from various aspects. Moreover, preliminary experiments highlight the importance of conducting segmentation pre-training with SAMRS to address task discrepancies and alleviate the limitations posed by limited training data during fine-tuning. The code and dataset will be available at SAMRS.",,,,,,,,,"Tao, Dacheng",,,,,"Zhang, Liangpei",,,,,,
Row_1322,"Cao, Yungang","Zhang, Shuang","Sui, Baikai","Xie, Yakun","Zhu, Jun",IBCO-Net: Integrity-Boundary-Corner Optimization in a General Multistage Network for Building Fine Segmentation From Remote Sensing Images,,2023,3,"Building extraction is a significant topic in high-resolution remote sensing. Insufficient integrity, irregular boundaries, and inaccurate corners remain a problem for existing methods. However, individually optimizing one of these aspects may leave problems in others. Unfortunately, few methods consider integrity, boundary, and corner simultaneously. In this study, we propose a three-stage network [integrity-boundary-corner optimization in a general multistage network (IBCO-Net)] incorporating integrity-boundary-corner optimization for fine segmentation of buildings. First, long-range dependent and spatial-continuous (LDSC) blocks are plugged into the decoder to enhance building integrity. Second, the direction field correction module (DFCM) controls the overall shape of the building by learning the direction field and executing an iterative correction algorithm. Finally, the multistrategy point refinement module (MSPRM) selects boundary and corner points for reclassification to further refine the boundary and relocate corners, and a hybrid loss function supervises IBCO-Net to optimize each stage. Comparative experiments were conducted on three datasets: the Massachusetts building dataset, the ISPRS Potsdam dataset, and the dataset of building instances of typical cities in China. We evaluated common pixel-level metrics and object-level boundary and corner metrics, with experimental results showing that IBCO-Net outperforms eight state-of-the-art convolution neural network (CNN) and transformer-based methods. In addition, the generality of the proposed method is demonstrated via its performance by applying nine existing backbone networks.",& nbsp;Boundary and corner optimization,building extraction,high-resolution remote sensing,multistage network,semantic segmentation,,,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,,,,,,,,,,,,
Row_1323,"Zhang, Ke","Bello, Inuwa Mamuda","Su, Yu","Wang, Jingyu","Maryam, Ibrahim",Multiscale depthwise separable convolution based network for high-resolution image segmentation,,SEP 17 2022,4,"Deep learning-based segmentation methods have demonstrated significant performance over their traditional counterparts. However, striving for better accuracy with such networks usually leads to the deterioration of the network's computational efficiency, thereby rendering them inefficient for deployment on resource constraint devices. Establishing the required tradeoff between the accuracy of pixel prediction and computational efficiency remains challenging. In this article, a lightweight multiscale segmentation framework is proposed. We leverage the representation power of different receptive fields to attain optimal accuracy while maintaining computational efficiency by embedding the sparse network architecture with the depthwise separable convolution at the multiscale level. Experimental results from two challenging remote sensing segmentation datasets show that the proposed network can achieve substantial pixel prediction accuracy at relatively low computational overhead compared to state-of-the-art networks.",Multiscale,segmentation,remote sensing,depthwise separable convolution,,,,INTERNATIONAL JOURNAL OF REMOTE SENSING,,,,,,,,,,,,
Row_1324,He Xiaoying,Xu Weiming,Pan Kaixiang,Wang Juan,Li Ziwei,Classification of High-Resolution Remote Sensing Image Based on Swin Transformer and Convolutional Neural Network,,JUL 2024,3,"It is challenging to directly obtain global information of existing deep learning-based remote sensing intelligent interpretation methods, resulting in blurred object edges and low classification accuracy between similar classes. This study proposes a semantic segmentation model called SRAU-Net based on Swin Transformer and convolutional neural network. SRAU-Net adopts a Swin Transformer encoder-decoder framework with a U-Net shape and introduces several improvements to address the limitations of previous methods. First, Swin Transformer and convolutional neural network are used to construct a dual-branch encoder, which effectively captures spatial details with different scales and complements the context features, resulting in higher classification accuracy and sharper object edges. Second, a feature fusion module is designed as a bridge for the dual-branch encoder. This module efficiently fuses global and local features in channel and spatial dimensions, improving the segmentation accuracy for small target objects. Moreover, the proposed SRAU-Net model incorporates a feature enhancement module that utilizes attention mechanisms to adaptively fuse features from the encoder and decoder and enhances the aggregation of spatial and semantic features, further improving the ability of the model to extract features from remote sensing images. The effectiveness of the proposed SRAU-Net model is demonstrated using the ISPRS Vaihingen dataset for land cover classification. The results show that SRAU-Net outperforms other models in terms of overall accuracy and F1 score, achieving 92.06% and 86.90%, respectively. Notably, the SRAU-Net model excels in extracting object edge information and accurately classifying small-scale regions, with an improvement of 2.57 percentage points in the overall classification accuracy compared with the original model. Furthermore, it effectively distinguishes remote sensing objects with similar characteristics, such as trees and low vegetation.",high-resolution remote sensing image,convolutional neural network,Swin Transformer,feature fusion,semantic segmentation,,,LASER & OPTOELECTRONICS PROGRESS,,,,,,,,,,,,
Row_1325,"Wang, Zhongchen","Xia, Min","Weng, Liguo","Hu, Kai","Lin, Haifeng",Dual Encoder-Decoder Network for Land Cover Segmentation of Remote Sensing Image,,2024,20,"Although the vision transformer-based methods (ViTs) exhibit an excellent performance than convolutional neural networks (CNNs) for image recognition tasks, their pixel-level semantic segmentation ability is limited due to the lack of explicit utilization of local biases. Recently, a variety of hybrid structures of ViT and CNN have been proposed, but these methods have poor multiscale fusion ability and cannot accurately segment high-resolution and high-content complex land cover remote sensing images. Therefore, a dual encoder-decoder network named DEDNet is proposed in this work. In the encoding stage, the local and global information of the image is extracted by parallel CNN encoder and transformer encoder. In the decoding stage, the cross-stage fusion module is constructed to achieve neighborhood attention guidance to enhance the positioning of small targets, effectively avoiding intraclass inconsistency. At the same time, the multihead feature extraction module is proposed to strengthen the recognition ability of the target boundary and effectively avoid interclass ambiguity. Before outputting, the fusion spatial pyramid pooling classifier is proposed to merge the outputs of the two decoding strategies. The experiments demonstrate that the proposed model has superior generalization performance and can handle various semantic segmentation tasks of land cover.",Dual encoder-decoder,image segmentation,land cover,vision transformer,,,,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,,,,,,,,,,,,
Row_1326,"Sun, Wenbo","Gao, Zhi","Cui, Jinqiang","Ramesh, Bharath","Zhang, Bin",Semantic Segmentation Leveraging Simultaneous Depth Estimation,,FEB 2021,4,"Semantic segmentation is one of the most widely studied problems in computer vision communities, which makes a great contribution to a variety of applications. A lot of learning-based approaches, such as Convolutional Neural Network (CNN), have made a vast contribution to this problem. While rich context information of the input images can be learned from multi-scale receptive fields by convolutions with deep layers, traditional CNNs have great difficulty in learning the geometrical relationship and distribution of objects in the RGB image due to the lack of depth information, which may lead to an inferior segmentation quality. To solve this problem, we propose a method that improves segmentation quality with depth estimation on RGB images. Specifically, we estimate depth information on RGB images via a depth estimation network, and then feed the depth map into the CNN which is able to guide the semantic segmentation. Furthermore, in order to parse the depth map and RGB images simultaneously, we construct a multi-branch encoder-decoder network and fuse the RGB and depth features step by step. Extensive experimental evaluation on four baseline networks demonstrates that our proposed method can enhance the segmentation quality considerably and obtain better performance compared to other segmentation networks.",CNN,semantic segmentation,depth estimation,multi-source feature fusion,,,,SENSORS,"Li, Ziyao",,,,,,,,,,,
Row_1327,"Li, Yongjian","Li, He","Fan, Dazhao","Li, Zhixin","Ji, Song",Improved Sea Ice Image Segmentation Using U2-Net and Dataset Augmentation,,AUG 2023,5,"Sea ice extraction and segmentation of remote sensing images is the basis for sea ice monitoring. Traditional image segmentation methods rely on manual sampling and require complex feature extraction. Deep-learning-based semantic segmentation methods have the advantages of high efficiency, intelligence, and automation. Sea ice segmentation using deep learning methods faces the following problems: in terms of datasets, the high cost of sea ice image label production leads to fewer datasets for sea ice segmentation; in terms of image quality, remote sensing image noise and severe weather conditions affect image quality, which affects the accuracy of sea ice extraction. To address the quantity and quality of the dataset, this study used multiple data augmentation methods for data expansion. To improve the semantic segmentation accuracy, the SC-U2-Net network was constructed using multiscale inflation convolution and a multilayer convolutional block attention module (CBAM) attention mechanism for the U2-Net network. The experiments showed that (1) data augmentation solved the problem of an insufficient number of training samples to a certain extent and improved the accuracy of image segmentation; (2) this study designed a multilevel Gaussian noise data augmentation scheme to improve the network's ability to resist noise interference and achieve a more accurate segmentation of images with different degrees of noise pollution; (3) the inclusion of a multiscale inflation perceptron and multilayer CBAM attention mechanism improved the ability of U2-Net network feature extraction and enhanced the model accuracy and generalization ability.",sea ice segmentation,U-2-Net,remote sensing images,,,,,APPLIED SCIENCES-BASEL,,,,,,,,,,,,
Row_1328,"Wang, Lei","Chen, Cheng","Chen, Fang","Wang, Ning","Li, Congrong",UGTransformer: A Sheep Extraction Model From Remote Sensing Images for Animal Husbandry Management,,2024,5,"The extraction of sheep from satellite images plays an extremely important role in the precise automation of animal husbandry management. Current methods of extracting sheep mainly use hardware, such as radio frequency equipment and visual ear tags, which are prone to loss or damage. In this study, a new network, UGTransformer, was developed to extract sheep from high spatial resolution remote sensing (RS) images. In UGTransformer, a merge block was designed to fuse two scales of features in the encoder to improve the multiscale feature fusion capability. It enhanced the integration of global context features and spatial detailed features by combining the features in the decoder. A global connectivity module containing two sliding sub-modules, horizontal and vertical, was developed to correlate the horizontal and vertical features and correlate the arbitrary positions of the feature maps through the integration of the two modules, which realized the extraction of global contextual information. Our experimental results showed that the proposed UGTransformer performed well in comparison with UNet, Deeplab v3+, DCSwin, BANet, and UNetFormer, four recently proposed network structures for semantic segmentation. UGTransformer achieved at least a 1.8% increase in mean intersection over the union. This study not only provided potential solutions for the problems inherent in large-scale sheep extraction but also developed mechanisms for small-object extraction. The implementation code is available at https://github.com/chenchengStore/GlobalLocalAttention, and the RS images used in this study are available at https://github.com/chencheng-2023/UGTransformer-remote-sensing-images.",Animal husbandry,extraction of sheep,high spatial resolution remote sensing (RS) images,semantic segmentation,small-object extraction,,,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,"Zhang, Haiying",,,,,"Wang, Yu","Yu, Bo",,,,,
Row_1329,"Zermatten, Valerie","Navarro, Javiera Castillo","Hughes, Lloyd","Kellenberger, Tobias","Tuia, Devis",TEXT AS A RICHER SOURCE OF SUPERVISION IN SEMANTIC SEGMENTATION TASKS,IGARSS 2023 - 2023 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM,2023,1,"This paper introduces TACOSS a text-image alignment approach that allows explainable land cover semantic segmentation by directly integrating semantic concepts encoded from texts. TACOSS combines convolutional neural networks for visual feature extraction with semantic embeddings provided by a language model. By leveraging contrastive learning approaches, we learn an alignment between the visual and the (fixed) textual representations. In addition to producing standard semantic segmentation outputs, our model enables interactive queries with RS images using natural language prompts. The experimental results obtained on 50cm resolution aerial data from Switzerland show that TACOSS performs similarly to a standard semantic segmentation model while allowing the flexible usage of in- and out-of-vocabulary terms for the interactions with the image.",land cover semantic segmentation,contrastive learning,vision-language models,,,,,,,,,,,,,,,,,
Row_1330,"Dai, Xin","Xia, Min","Weng, Liguo","Hu, Kai","Lin, Haifeng",Multiscale Location Attention Network for Building and Water Segmentation of Remote Sensing Image,,2023,38,"Traditional building and water segmentation methods are vulnerable to noise interference, and hence, they could not avoid missed and false detections in the detection process. Excessive deep learning downsampling would lead to significant loss of feature map information, image location information offset, and the overall effect of falling apart. To address these issues, a multiscale location attention network (MSLANet) is proposed. Location-spatial information and channel information are particularly important for edge detail segmentation in building and water cover. The network includes a location channel attention (LCA) unit to focus on tributary details of rivers and segmentation of building edge eaves. Moreover, this article builds a dual-branch multiscale aggregation (DBMSA) unit to obtain deeper multiscale semantic information. Finally, the multiscale fusion unit (MSF) is used to guide the information merging of multiple stages, and the boundary information is improved by splicing the acquired deep multiscale information with the information of the relevant feature extraction layer in the downsampling. The experimental results on several datasets show that the proposed approach outperforms other methodologies in segmentation accuracy.",Image segmentation,Buildings,Feature extraction,Convolution,Semantics,Remote sensing,Water resources,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,"Qian, Ming",Attention,building and water,deep learning,image segmentation,,,,,,,
