,author1,author2,author3,author4,title,conference,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,keyword5,author5,author6,author7,author8,journal/book,author9,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,author10,author11,author12,author13,author14,author15,author16,author17,author18,author19,author20,author21,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23
Row_42,"Ouyang, Song","Li, Yansheng",,,Combining Deep Semantic Segmentation Network and Graph Convolutional Neural Network for Semantic Segmentation of Remote Sensing Imagery,,JAN 2021,54,"Although the deep semantic segmentation network (DSSN) has been widely used in remote sensing (RS) image semantic segmentation, it still does not fully mind the spatial relationship cues between objects when extracting deep visual features through convolutional filters and pooling layers. In fact, the spatial distribution between objects from different classes has a strong correlation characteristic. For example, buildings tend to be close to roads. In view of the strong appearance extraction ability of DSSN and the powerful topological relationship modeling capability of the graph convolutional neural network (GCN), a DSSN-GCN framework, which combines the advantages of DSSN and GCN, is proposed in this paper for RS image semantic segmentation. To lift the appearance extraction ability, this paper proposes a new DSSN called the attention residual U-shaped network (AttResUNet), which leverages residual blocks to encode feature maps and the attention module to refine the features. As far as GCN, the graph is built, where graph nodes are denoted by the superpixels and the graph weight is calculated by considering the spectral information and spatial information of the nodes. The AttResUNet is trained to extract the high-level features to initialize the graph nodes. Then the GCN combines features and spatial relationships between nodes to conduct classification. It is worth noting that the usage of spatial relationship knowledge boosts the performance and robustness of the classification module. In addition, benefiting from modeling GCN on the superpixel level, the boundaries of objects are restored to a certain extent and there are less pixel-level noises in the final classification result. Extensive experiments on two publicly open datasets show that DSSN-GCN model outperforms the competitive baseline (i.e., the DSSN model) and the DSSN-GCN when adopting AttResUNet achieves the best performance, which demonstrates the advance of our method.",deep semantic segmentation network (DSSN),graph convolutional neural network (GCN),remote sensing (RS),semantic segmentation,spatial relationship,,,,,REMOTE SENSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_43,"Zheng, Chengyu","Nie, Jie","Wang, Zhaoxin","Song, Ning",High-Order Semantic Decoupling Network for Remote Sensing Image Semantic Segmentation,,2023,15,"Low-order features based on convolution kernel are easy to be distorted when encountering dramatic view angle transformation and atmospheric scattering in remote sensing (RS) images. To address this concern, this article first proposes to operate semantic segmentation of RS images based on the high-order information, which can represent the relative relationship of low-order features and is robust and stable when suffering feature distortion. Besides, semantic decouples have recently been well researched and have achieved significant improvement in image understanding. Thus, in this article, a high-order semantic decoupling network (HSDN) is proposed to disentangle features by semantics based on high-order features. Specifically, HSDN first represents each pixel by calculating the pixel-level affinity as a high-order feature and then clusters these pixels into different semantics. Afterward, an attention-like mask generation module is designed for both intra-semantic and inter-semantic groups, leading to three kinds of masks, including the semantic decoupling mask (SDM), which utilizes each high-order cluster centroid as a mask to compact features intracluster and expand different interclusters, so as to improve semantic disentangle performance to a better extent; semantic enhancement mask (SEM), which records pixel-level relative correlation within a class to sufficiently exploit high-order features and could enhance feature robustness; and boundary supplementary mask (BSM), which aims to process borderline pixels to reduce cluster errors. Finally, by applying masks on pixels both within classes and on borderlines, semantic decoupled features are generated and concatenated to realize segmentation. The quantitative and qualitative experiments are conducted on two large-scale fine-resolution RS image datasets to demonstrate the significant performance of adopting high-order representation. Besides, we also implement numerous experiments to validate the effectiveness of the proposed semantic decouple framework in dealing with complicated and distortion-prone RS image segmentation tasks.",Semantics,Remote sensing,Semantic segmentation,Feature extraction,Scattering,"Wang, Jingyu","Wei, Zhiqiang",,,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,,Convolution,Task analysis,High-order representation (HR),remote sensing (RS),semantic decoupling,semantic segmentation,,,,,,,,,,,,,,,,,,,,,,,,
Row_44,"Kotaridis, Ioannis","Lazaridou, Maria",,,Remote sensing image segmentation advances: A meta-analysis,,MAR 2021,150,"The advances in remote sensing sensors during the last two decades have led to the production of very high spatial resolution multispectral images. In order to adapt to this rapid development and handle these data, object-based analysis has emerged. A critical part of such an analysis is image segmentation. The selection of optimal segmentation parameters' values generates a qualitative segmentation output and has a direct impact on feature extraction and subsequent overall classification accuracy. Even though several image segmentation methods have been developed and suggested in the literature, each of them has advantages and disadvantages. This article presents the conceptual characteristics of image segmentation methods with a special focus on semantic segmentation. In addition, a meta-analysis was conducted through a comprehensive review of recent image segmentation case studies. It includes statistics and quantitative data regarding the applied segmentation algorithm, the software utilized and the data source among others. Since there is no miraculous segmentation algorithm, the statistical results depict only the recent trend. Finally, a few interesting subjects are addressed, including identification of current problems, image segmentation on non-traditional data and hot topics for future research.",Image segmentation,Remote sensing,Semantic segmentation,Meta-analysis,Review,,,,,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_45,"Zhang, Di","Yue, Peicheng","Yan, Yuhang","Niu, Qianqian",Multi-Source Remote Sensing Images Semantic Segmentation Based on Differential Feature Attention Fusion,,DEC 2024,0,"Multi-source remote sensing image semantic segmentation can provide more detailed feature attribute information, making it an important research field for remote sensing intelligent interpretation. However, due to the complexity of remote sensing scenes and the feature redundancy caused by multi-source fusion, multi-source remote sensing semantic segmentation still faces some challenges. In this paper, we propose a multi-source remote sensing semantic segmentation method based on differential feature attention fusion (DFAFNet) to alleviate the problems of difficult multi-source discriminant feature extraction and the poor quality of decoder feature reconstruction. Specifically, we achieve effective fusion of multi-source remote sensing features through a differential feature fusion module and unsupervised adversarial loss. Additionally, we improve decoded feature reconstruction without introducing additional parameters by employing an attention-guided upsampling strategy. Experimental results show that our method achieved 2.8% and 2.0% mean intersection over union (mIoU) score improvements compared with the competitive baseline algorithm on the available US3D and ISPRS Potsdam datasets, respectively.",multi-source fusion,remote sensing semantic segmentation,differential feature,attention-guided upsampling,,"Zhao, Jiaqi","Ma, Huifang",,,REMOTE SENSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_46,"Jiang, Yi","Lu, Wanxuan","Guo, Zhi",,MULTI-STAGE SEMI-SUPERVISED TRANSFORMER FOR REMOTE SENSING SEMANTIC SEGMENTATION WITH VARIOUS DATA AUGMENTATION,IGARSS 2023 - 2023 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM,2023,0,"Existing research in semantic segmentation heavily relies on numerous manually annotated data, while the vast amount of unlabeled data still needs to be fully utilized. To address this challenge, this paper introduces a novel multi-stage semi-supervised method for remote sensing semantic segmentation, building upon a modified classical self-training scheme that leverages pseudo-labels. By dividing the data augmentation process into two stages, we employ various data augmentation strategies and balance the size of labels and pseudo-labels validated through rigorous experimentation, which can alleviate the student model from overfitting pseudo-labels. Furthermore, we also explore the efficacy of the Vision Transformer model in semi-supervised semantic segmentation, leading to further performance enhancements. The experimental results show that our semi-supervised remote sensing semantic segmentation method exhibits a more intuitive structure, easier deployment, and superior performance.",Semi-supervised learning (SSL),selftraining,vision transformer,semantic segmentation,remote sensing (RS),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_47,"Sun, Deyan","Liu, Hai","Chen, Wei","Zhu, Pengcheng",Multi-scale Self-attention Based Semi-supervised Remote Sensing Image Semantic Segmentation,,2024,0,"Remote sensing image semantic segmentation has been an important research direction in the interpretation, due to the huge scale difference between target objects in the remote sensing images and the loss of spatial details in the semantic segmentation, the existing semi-supervised remote sensing image semantic segmentation methods often provide compromised performance. This paper proposes a multi-scale self-attention based semi-supervised remote sensing image semantic segmentation model, which consists of a multi-scale self-attention based generator and a confidence map based discriminator network. The multi-scale mutual attention module is introduced to obtain the pixel relations between different scale images and balance the weights of different target objects in order to improve the segmentation performance of small-scale objects. Experimental results on public remote sensing data sets show that the MIOU of our proposal on CCF2015 and US2D increases to 80.74% and 66.94% respectively, superior to the state-of-the-art semi-supervised methods.",Remote Sensing Image,Semantic Segmentation,Multi-scale Attention,Semi-supervised,,"Chen, Dufeng","Liu, Jueting","Wang, Jiaqi","Wu, Yuliang","ADVANCED INTELLIGENT COMPUTING TECHNOLOGY AND APPLICATIONS, PT VI, ICIC 2024",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_48,"Xiang, Shao","Xie, Quangqi","Wang, Mi",,Semantic Segmentation for Remote Sensing Images Based on Adaptive Feature Selection Network,,2022,23,"Semantic segmentation plays a vital role in the segmentation of remote sensing field for its wide range of applications. The major current method for segmentation of remotely sensed imagery is using multiple scales strategy to improve the performance of segmentation networks. However, the ground object with uncertain scale in high-resolution aerial imagery is difficult to be segmented with conventional models. To address this problem, an adaptive feature selection module is designed, in which attention module learns weight contributions of each feature blocks in different scales. We employ the pyramid scene parsing network (PSPNet), DeepLabV3, and U-Net with the proposed module to conduct experiments on two benchmarks (the Vaihingen set and the WHU Building data set). The experimental results and comprehensive analysis validate the efficiency and practicability of the proposed method in semantic segmentation of remote sensing images.",Image segmentation,Semantics,Remote sensing,Feature extraction,Training,,,,,IEEE GEOSCIENCE AND REMOTE SENSING LETTERS,,Adaptation models,Buildings,Adaptive feature selection (AFS),remote sensing images,semantic segmentation,,,,,,,,,,,,,,,,,,,,,,,,,
Row_49,"Mu, Juwei","Zhou, Shangbo","Sun, Xingjie",,PPMamba: Enhancing Semantic Segmentation in Remote Sensing Imagery by SS2D,,2025,0,"Remote sensing semantic segmentation is a critical technology in the field of remote sensing image processing, with broad applications in environmental monitoring, urban planning, disaster assessment, and resource exploration. Despite the transformative impact of convolutional neural networks (CNNs) on this domain, CNN-based methods often encounter limitations due to their localized receptive fields, which struggle to capture the global context necessary for accurate segmentation in complex remote sensing imagery. In this letter, a novel approach is presented for remote sensing semantic segmentation using a mamba-based model named PPmamba. The PPmamba model integrates Resblock and PPmamba within an encoder-decoder framework to effectively capture both local and global contextual information from high-resolution remote sensing images. Leveraging the strengths of the Mamba architecture, our model employs selective scanning to efficiently process long sequences, overcoming the limitations of traditional CNNs and transformers in handling large-scale images with complex scenes. Extensive experiments on two benchmark datasets (Potsdam and Vaihingen) demonstrate the superiority of our PPmamba model against state-of-the-art models, achieving significant improvements in segmentation results. The codes will be available at https://github.com/Jerrymo59/PPMambaSeg.",Feature extraction,Remote sensing,Training,Semantic segmentation,Decoding,,,,,IEEE GEOSCIENCE AND REMOTE SENSING LETTERS,,Convolutional neural networks,Sensors,Semantics,Deep learning,Computer architecture,Remote sensing image,semantic segmentation,visual space state model,,,,,,,,,,,,,,,,,,,,,,
Row_50,"Nie, Jie","Wang, Zhaoxin","Liang, Xinyue","Yang, Chenxue",Semantic Category Balance-Aware Involved Anti-Interference Network for Remote Sensing Semantic Segmentation,,2023,5,"In recent years, semantic segmentation technology plays an important role in land resource management tasks. However, many classic semantic segmentation methods often fail to obtain satisfactory results for remote sensing images with a large amount of interference information. To improve this situation, we propose semantic category balance-aware involved anti-interference network (SCBANet). SCBANet has an encoder-decoder structure similar to DeeplabV3+. On this basis, we propose clustering-guided semantic decoupling module (CGSDM), consistency-based anti-interference feature extraction module (CAFEM), relevance-based anti-interference feature extraction module (RAFEM), and optional decoder module based on semantic category balance (ODMSCB) to improve the accuracy of semantic segmentation. CGSDM aims to obtain the information of different semantic categories through K -means clustering algorithm. CAFEM performs an average operation on the feature vectors in each semantic category to obtain semantic consistency information. RAFEM deeply excavates the information contained in each semantic category through the modeling method with self-attention mechanism as the core, making the relationship between pixels within each semantic category to be better understood by the model. ODMSCB classifies the feature map according to the balance of different semantic categories, so that different decoders can be applied to feature maps with different semantic category balance. These four parts complement each other, greatly improving the model's anti-interference ability while also enhancing the ability to handle category imbalance issue. We compared our method with several of the most advanced deep learning methods on the Vaihingen and Potsdam datasets. The final results demonstrate the superiority of our method.",Semantics,Feature extraction,Remote sensing,Semantic segmentation,Decoding,"Zheng, Chengyu","Wei, Zhiqiang",,,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,,Interference,Convolution,Remote sensing images,semantic category,semantic segmentation,strong anti-interference,,,,,,,,,,,,,,,,,,,,,,,,
Row_51,"Ma, Xianping","Zhang, Xiaokang","Pun, Man-On","Liu, Ming",A Multilevel Multimodal Fusion Transformer for Remote Sensing Semantic Segmentation,,2024,34,"Accurate semantic segmentation of remote sensing data plays a crucial role in the success of geoscience research and applications. Recently, multimodal fusion-based segmentation models have attracted much attention due to their outstanding performance as compared to conventional single-modal techniques. However, most of these models perform their fusion operation using convolutional neural networks (CNNs) or the vision transformer (Vit), resulting in insufficient local-global contextual modeling and representative capabilities. In this work, a multilevel multimodal fusion scheme called FTransUNet is proposed to provide a robust and effective multimodal fusion backbone for semantic segmentation by integrating both CNN and Vit into one unified fusion framework. First, the shallow-level features are first extracted and fused through convolutional layers and shallow-level feature fusion (SFF) modules. After that, deep-level features characterizing semantic information and spatial relationships are extracted and fused by a well-designed fusion Vit (FVit). It applies adaptively mutually boosted attention (Ada-MBA) layers and self-attention (SA) layers alternately in a three-stage scheme to learn cross-modality representations of high interclass separability and low intraclass variations. Specifically, the proposed Ada-MBA computes SA and cross-attention (CA) in parallel to enhance intra- and cross-modality contextual information simultaneously while steering attention distribution toward semantic-aware regions. As a result, FTransUNet can fuse shallow-level and deep-level features in a multilevel manner, taking full advantage of CNN and transformer to accurately characterize local details and global semantics, respectively. Extensive experiments confirm the superior performance of the proposed FTransUNet compared with other multimodal fusion approaches on two fine-resolution remote sensing datasets, namely ISPRS Vaihingen and Potsdam. The source code in this work is available at https://github.com/sstary/SSRS.",Multilevel multimodal fusion,remote sensing,semantic segmentation,vision transformer (Vit),,,,,,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_52,"Xie, Jiajun","Pan, Bin","Xu, Xia","Shi, Zhenwei",MiSSNet: Memory-Inspired Semantic Segmentation Augmentation Network for Class-Incremental Learning in Remote Sensing Images,,2024,6,"With remote sensing images constantly being collected rapidly, the class-incremental semantic segmentation (CISS) task has attracted increasing attention. However, the semantic distribution shift problem of the background class in remote sensing images, which is a case of catastrophic forgetting, continues to limit available CISS algorithms. To address this challenge, we present a new memory-inspired semantic segmentation augmentation network (MiSSNet) for class-incremental learning in remote sensing images. The MiSSNet mainly includes two modules: the local semantic distillation (LSD) module and the class-specific regularization (CSR) module. LSD is a distillation structure that employs the local semantic features in retained memory to maintain correlation between pixels throughout the training process of incremental learning. It constructs a series of pixel-level correlation matrices and implicitly adjusts the semantic distribution shift problem of the background class. CSR is a classwise regularization term that utilizes the class-specific portion of the preserved memory to help the model keep repeating the learning of the old categories. It alleviates the background class shift problem by generating countless pixel-level instances of old classes. LSD and CSR work together to tackle the semantic distribution shift problem of background class from semantic information and class information aspects, respectively. In particular, MiSSNet only needs an additional single inference process for memory extraction and storage, and the whole algorithm does not add any new training parameters. Experimental results on three semantic segmentation datasets indicate the advantage of the proposed method.",Incremental learning,remote sensing images,semantic segmentation,,,,,,,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_53,"Jiang, Baode","An, Xiaoya","Xu, Shaofen","Chen, Zhanlong",Intelligent Image Semantic Segmentation: A Review Through Deep Learning Techniques for Remote Sensing Image Analysis,,SEP 2023,19,"Image semantic segmentation is an important part of fundamental in image interpretation and computer vision. With the development of convolutional neural network technology, deep learning-based image semantic segmentation methods have received more and more attention and research. At present, many excellent semantic segmentation methods have been proposed and applied in the field of remote sensing. In this paper, we summarized the semantic segmentation methods used for remote sensing image, including the traditional remote sensing image semantic segmentation methods and the methods based on deep learning, we emphasize on summarizing the remote sensing image semantic segmentation algorithms based on deep learning and classify them into different categories, and then we introduce the datasets that commonly used and data preparation methods including pre-processing and augmentation techniques. Finally, the challenges and future directions of research in this domain are analyzed and prospected. It is hoped that this study can widen the frontiers of knowledge and provide useful literature for researchers interested in advancing this field of research.",Deep learning,Image semantic segmentation,Remote sensing image,Computer vision,,,,,,JOURNAL OF THE INDIAN SOCIETY OF REMOTE SENSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_54,"Ding, Hao","Xia, Bo","Liu, Weilin","Zhang, Zekai",A Novel Mamba Architecture with a Semantic Transformer for Efficient Real-Time Remote Sensing Semantic Segmentation,,JUL 2024,4,"Real-time remote sensing segmentation technology is crucial for unmanned aerial vehicles (UAVs) in battlefield surveillance, land characterization observation, earthquake disaster assessment, etc., and can significantly enhance the application value of UAVs in military and civilian fields. To realize this potential, it is essential to develop real-time semantic segmentation methods that can be applied to resource-limited platforms, such as edge devices. The majority of mainstream real-time semantic segmentation methods rely on convolutional neural networks (CNNs) and transformers. However, CNNs cannot effectively capture long-range dependencies, while transformers have high computational complexity. This paper proposes a novel remote sensing Mamba architecture for real-time segmentation tasks in remote sensing, named RTMamba. Specifically, the backbone utilizes a Visual State-Space (VSS) block to extract deep features and maintains linear computational complexity, thereby capturing long-range contextual information. Additionally, a novel Inverted Triangle Pyramid Pooling (ITP) module is incorporated into the decoder. The ITP module can effectively filter redundant feature information and enhance the perception of objects and their boundaries in remote sensing images. Extensive experiments were conducted on three challenging aerial remote sensing segmentation benchmarks, including Vaihingen, Potsdam, and LoveDA. The results show that RTMamba achieves competitive performance advantages in terms of segmentation accuracy and inference speed compared to state-of-the-art CNN and transformer methods. To further validate the deployment potential of the model on embedded devices with limited resources, such as UAVs, we conducted tests on the Jetson AGX Orin edge device. The experimental results demonstrate that RTMamba achieves impressive real-time segmentation performance.",remote sensing,real-time semantic segmentation,Mamba,unmanned aerial vehicle (UAV),,"Zhang, Jinglin","Wang, Xing","Xu, Sen",,REMOTE SENSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_55,"Cheng, Jian","Deng, Changjian","Su, Yanzhou","An, Zeyu",Methods and datasets on semantic segmentation for Unmanned Aerial Vehicle remote sensing images: A review,,MAY 2024,10,"Unmanned Aerial Vehicle (UAV) has seen a dramatic rise in popularity for remote-sensing image acquisition and analysis in recent years. It has brought promising results in low-altitude monitoring tasks that require detailed visual inspections. Semantic segmentation is one of the hot topics in UAV remote sensing image analysis, as its capability to mine contextual semantic information from UAV images is crucial for achieving a fine-grained understanding of scenes. However, in the remote sensing field, recent reviews have not focused on combining ""UAV remote sensing""and ""semantic segmentation""to summarize the advanced works and future trends. In this study, we focus primarily on describing various recent semantic segmentation methods applied in UAV remote sensing images and summarizing their advantages and limitations. According to the distinction in modeling contextual semantic information, we have categorized and outlined the methods based on graph-based contextual models and deep-learning-based models. Publicly available UAV-based image datasets are also gathered to encourage systematic research on advanced semantic segmentation methods. We provide quantitative results of representative methods on two high-resolution UAV-based image datasets for fair comparisons and discussions in terms of semantic segmentation accuracy and model inference efficiency. Besides, this paper concludes some remaining challenges and future directions in semantic segmentation for UAV remote sensing images and points out that methods based on deep learning will become the future research trend.",Semantic segmentation,Unmanned aerial vehicle,Remote sensing images,Deep learning,,"Wang, Qi",,,,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_56,"Rui, Xue","Li, Ziqiang","Cao, Yang","Li, Ziyang",DILRS: Domain-Incremental Learning for Semantic Segmentation in Multi-Source Remote Sensing Data,,MAY 12 2023,5,"With the exponential growth in the speed and volume of remote sensing data, deep learning models are expected to adapt and continually learn over time. Unfortunately, the domain shift between multi-source remote sensing data from various sensors and regions poses a significant challenge. Segmentation models face difficulty in adapting to incremental domains due to catastrophic forgetting, which can be addressed via incremental learning methods. However, current incremental learning methods mainly focus on class-incremental learning, wherein classes belong to the same remote sensing domain, and neglect investigations into incremental domains in remote sensing. To solve this problem, we propose a domain-incremental learning method for semantic segmentation in multi-source remote sensing data. Specifically, our model aims to incrementally learn a new domain while preserving its performance on previous domains without accessing previous domain data. To achieve this, our model has a unique parameter learning structure that reparametrizes domain-agnostic and domain-specific parameters. We use different optimization strategies to adapt to domain shift in incremental domain learning. Additionally, we adopt multi-level knowledge distillation loss to mitigate the impact of label space shift among domains. The experiments demonstrate that our method achieves excellent performance in domain-incremental settings, outperforming existing methods with only a few parameters.",incremental learning,multi-source remote sensing,semantic segmentation,catastrophic forgetting,,"Song, Weiguo",,,,REMOTE SENSING,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_57,"Wang, Zhibao","Chang, Huan","Bai, Lu","Chen, Liangfu",A Creative Weak Supervised Semantic Segmentation for Remote Sensing Images,,2024,0,"In weakly supervised semantic segmentation (WSSS) tasks on remote sensing images, it is a common practice to train a classification network from scratch using a large batch of images with a limited number of classes. Subsequently, class activation maps are extracted from the model based on predefined class indices, and these maps are then optimized to obtain pseudolabels. To make this strategy effective when introducing a new class, a substantial amount of data needs to be provided to the model. In this article, we present an innovative framework, RS-TextWS-Seg, designed to efficiently generate high-quality segmentation results for a wide range of remote sensing objects using concise descriptions. Our proposed framework comprises three sequential stages: initially, we undertake parameter fine-tuning of the contrastive language-image pretraining (CLIP) model to swiftly strengthen its capacity for zero-shot detection of a limited number of remote sensing features. Subsequently, we introduce a text-driven background suppression mechanism aimed at deriving class activation maps from the refined CLIP model based on textual cues, while concurrently mitigating background noises. Finally, we use the segment anything model (SAM) to refine the edges of the extracted class activation map. We widely researched the leading-edge methodologies in WSSS and conducted a range of comparative experiments and ablation studies to prove the efficacy of our proposed framework. The research findings underscore that RS-TextWS-Seg outperforms other state-of-the-art methods on renowned datasets such as DLRSD and Potsdam, as well as on bespoke datasets specifically curated for overground petroleum pipelines and oil well fields.",Remote sensing,Semantic segmentation,Cams,Training,Feature extraction,"Bi, Xiuli",,,,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,,Sensors,Semantics,Petroleum,Location awareness,Decoding,Fine-tuning,remote sensing image,text prompts,weakly supervised semantic segmentation (WSSS),,,,,,,,,,,,,,,,,,,,,
Row_58,"Lin, Baokai","Yang, Guang","Zhang, Qian","Zhang, Guixu",Semantic Segmentation Network Using Local Relationship Upsampling for Remote Sensing Images,,2022,9,"Semantic segmentation is a fundamental task in remote sensing image processing. It provides pixel-level classification, which is important for many applications, such as building extraction and land use mapping. The development of convolutional neural network has considerably improved the performance of semantic segmentation. Most semantic segmentation networks are the encoder-decoder structure. Bilinear interpolation is an ordinary upsampling method in the decoder, but bilinear interpolation only considers its own features and inserts three times its own features. This over-simple and data-independent bilinear upsampling may lead to suboptimal results. In this work, we propose an upsampling method based on local relations to replace bilinear interpolation. Upsampling is performed by correlating the local relationship of feature maps of adjacent stages, which can better integrate local and global information. We also design a fusion module based on local similarity. Our proposed method with ResNet101 as the backbone of the segmentation network can improve the average F-1 score and overall accuracy of the Vaihingen data set by 2.69% and 1.31%, respectively. Our proposed method also has fewer parameters and less inference time.",Decoder,local relationship upsampling,remote sensing,semantic segmentation,,,,,,IEEE GEOSCIENCE AND REMOTE SENSING LETTERS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_59,"Ben Hamida, A.","Benoit, A.","Lambert, P.","Klein, L.",DEEP LEARNING FOR SEMANTIC SEGMENTATION OF REMOTE SENSING IMAGES WITH RICH SPECTRAL CONTENT,2017 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM (IGARSS),2017,14,"With the rapid development of Remote Sensing acquisition techniques, there is a need to scale and improve processing tools to cope with the observed increase of both data volume and richness. Among popular techniques in remote sensing, Deep Learning gains increasing interest but depends on the quality of the training data. Therefore, this paper presents recent Deep Learning approaches for fine or coarse land cover semantic segmentation estimation. Various 2D architectures are tested and a new 3D model is introduced in order to jointly process the spatial and spectral dimensions of the data. Such a set of networks enables the comparison of the different spectral fusion schemes. Besides, we also assess the use of a ""noisy ground truth"" (i.e. outdated and low spatial resolution labels) for training and testing the networks.",Remote Sensing,Multispectral,Deep Learning,Semantic Segmentation,Noisy Training,"Ben Amar, C.","Audebert, N.","Lefevre, S.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_60,"Fan, Lili","Zhou, Yu","Liu, Hongmei","Li, Yunjie",Combining Swin Transformer With UNet for Remote Sensing Image Semantic Segmentation,,2023,13,"Remote sensing semantic segmentation plays a significant role in various applications such as environmental monitoring, land use planning, and disaster response. Convolutional neural networks (CNNs) have been dominating remote sensing semantic segmentation. However, due to the limitations of convolution operations, CNNs cannot effectively model global context. The success of transformers in the natural language processing (NLP) domain provides a new solution for global context modeling. Inspired by the Swin transformer, we propose a novel remote sensing semantic segmentation model called CSTUNet. This model employs a dual-encoder structure consisting of a CNN-based main encoder and a Swin transformer-based auxiliary encoder. We first utilize a detail-structure preservation module (DPM) to mitigate the loss of detail and structure information caused by Swin transformer downsampling. Then we introduce a spatial feature enhancement module (SFE) to collect contextual information from different spatial dimensions. Finally, we construct a position-aware attention fusion module (PAFM) to fuse contextual and local information. Our proposed model obtained 70.75% mean intersection over union (MIoU) on the ISPRS-Vaihingen dataset and 77.27% MIoU on the ISPRS-Potsdam dataset.",Transformers,Remote sensing,Feature extraction,Semantic segmentation,Context modeling,"Cao, Dongpu",,,,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,,Convolutional neural networks,Task analysis,Feature fusion,remote sensing image,semantic segmentation,Swin transformer,,,,,,,,,,,,,,,,,,,,,,,,
Row_61,"Broni-Bediako, Clifford","Xia, Junshi","Yokoya, Naoto",,Real-Time Semantic Segmentation A brief survey and comparative study in remote sensing,,OCT 2023,1,"Real-time semantic segmentation of remote sensing imagery is a challenging task that requires a tradeoff between effectiveness and efficiency. It has many applications, including tracking forest fires, detecting changes in land use and land cover, crop health monitoring, and so on. With the success of efficient deep learning methods [i.e., efficient deep neural networks (DNNs)] for real-time semantic segmentation in computer vision, researchers have adopted these efficient DNNs in remote sensing image analysis. This article begins with a summary of the fundamental compression methods for designing efficient DNNs and provides a brief but comprehensive survey, outlining the recent developments in real-time semantic segmentation of remote sensing imagery. We examine several seminal efficient deep learning methods, placing them in a taxonomy based on the network architecture design approach. Furthermore, we evaluate the quality and efficiency of some existing efficient DNNs on a publicly available remote sensing semantic segmentation benchmark dataset, OpenEarthMap. The experimental results of an extensive comparative study demonstrate that most of the existing efficient DNNs have good segmentation quality, but they suffer low inference speed (i.e., a high latency rate), which may limit their capability of deployment in real-time applications of remote sensing image segmentation. We provide some insights into the current trend and future research directions for real-time semantic segmentation of remote sensing imagery.",Real-time systems,Semantic segmentation,Remote sensing,Computational modeling,Semantics,,,,,IEEE GEOSCIENCE AND REMOTE SENSING MAGAZINE,,Convolution,Deep learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,
