,author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,title,journal/conference/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,author11,author12,author13,author14,author15,author16,author17,author18,author19,author20,author21,author22,author23,author24,author25,author26,author27,author28,author29,author30,author31,author32,author33,author34,author35,author36,author37,author38,author39,author40,author41,keyword11,keyword12,keyword13,keyword14,keyword15,keyword16
Row_129,"Mathew, Aneesh","Arunab, K. S.","Sharma, Atul Kumar",,,,,,,,"Revealing the urban heat Island: Investigating spatiotemporal surface temperature dynamics, modeling, and interactions with controllable and non-controllable factors",REMOTE SENSING APPLICATIONS-SOCIETY AND ENVIRONMENT,AUG 2024,4,"The unchecked growth of urban populations has spurred rapid and unsustainable urban expansion, exacerbating environmental degradation both locally and globally. This research offers a comprehensive analysis of the Urban Heat Island (UHI) phenomenon in Bangalore and Hyderabad, India, focusing on its spatial and temporal distribution and its correlation with air pollutants. Conducted over the course of summer and winter seasons from 2001 to 2021, this study advances our understanding of UHI dynamics in rapidly urbanizing regions, shedding light on the complex interplay between urbanization, climate, and air quality. The primary objective of this study is to assess and compare the predictive performance of baseline Random Forest (RF) and Extreme Gradient Boosting (XGBoost) models for forecasting Land Surface Temperature (LST) in Hyderabad, India, while examining the impact of integrating spatial information into these models. Incorporating an extensive array of input variables, ranging from spectral indices to terrain features, land use/land cover (LULC) data, atmospheric parameters, and spatial data, the analysis reveals significant relationships between LST and various factors. Notably, Aerosol Optical Depth (AOD) and Normalized Difference Built-up Index (NDBI) exhibit strong positive correlations with LST, while Enhanced Vegetation Index (EVI) demonstrates a pronounced negative correlation. Similarly, Modified Normalized Difference Water Index (MNDWI) displays the strongest positive correlation with LST (r = 0.49), whereas EVI exhibits the most notable negative correlation (r = -0.67). Additionally, Modified Bare Soil Index (MBI) demonstrates a noteworthy negative correlation (r = -0.48) with LST for Bangalore. Atmospheric components such as CO, NO2, and O-3 also show significant positive correlations with LST, with NO2 displaying the highest correlation during winter in urban areas. XGBoost emerges as the superior model, achieving high R-2 values of 0.84 for Bangalore and 0.88 for Hyderabad. Integration of spatial information consistently enhances the performance of both RF and XGBoost models, resulting in reduced Mean Squared Error (MSE) and Root Mean Squared Error (RMSE) values. However, predictions over water bodies tend to be underestimated. The study underscores the importance of incorporating spatial data for accurate LST prediction, with implications for environmental monitoring and management. Despite the advancements made, further research is needed to elucidate the specific mechanisms through which spatial information improves model performance, suggesting avenues for future investigation and refinement of modeling methodologies. At the intersection of rapid urban growth and environmental conservation, these findings are poised to inform policymakers, urban planners, and researchers, guiding them towards innovative and sustainable urban development strategies aimed at mitigating the adverse impacts of rapid urban expansion while promoting ecosystem well-being. The study contributes to spatial modeling strategies and refines LST prediction methodologies, offering valuable insights for addressing the challenges posed by urbanization and climate change in rapidly urbanizing regions.",Land surface temperature,Urban heat island effect,Spatial machine learning techniques,XGBoost model,Remote sensing,Environmental monitoring,Random forest model,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_130,"Cai, Zihan","Zhao, Sidong","Huang, Mengshi","Zhang, Congguo",,,,,,,"Evolution Model, Mechanism, and Performance of Urban Park Green Areas in the Grand Canal of China",LAND,JAN 2024,4,"Urban park green areas are part of territorial space planning, shouldering the mission of providing residents with high-quality ecological products and public space. Using a combination of several measurement models such as the BCG (Boston Consulting Group) matrix, ESDA (Exploratory Spatial Data Analysis), MLR (Machine Learning Regression), GWR (Geographically Weighted Regression), and GeoDetector, this paper presents an empirical study on the changes in Urban Park Green Areas (UPGAs) in the Grand Canal of China. By quantitatively measuring the spatio-temporal evolution patterns of UPGAs, this study reveals the driving mechanisms behind them and proposes policy recommendations for planning and management based on performance evaluation. The spatio-temporal evolution of UPGAs and their performance in China's Grand Canal are characterized by significant spatial heterogeneity and correlation, with diversified development patterns such as HH (High-scale-High-growth), HL (High-scale-Low-growth), LH (Low-scale-High-growth), and LL (Low-scale-Low-growth) emerging. The evolution performance is dominated by positive oversupply and positive equilibrium, where undersupply coexists with oversupply. Therefore, this paper recommends the implementation of a zoning strategy in the future spatial planning of ecological green areas, urban parks, and green infrastructure. It is also recommended to design differentiated construction strategies and management policies for each zoning area, while promoting inter-city mutual cooperation in the joint preparation and implementation of integrated symbiosis planning. Furthermore, the spatio-temporal evolution of the UPGAs in the Grand Canal of China is influenced by many factors with very complex dynamic mechanisms, and there are significant differences in the nature, intensity, spatial effects, and interaction effects between different factors. Therefore, in the future management of ecological green areas, urban parks, and green infrastructure, it is necessary to interconnect policies to enhance their synergies in population, aging, industry and economy, and ecological civilization to maximize the policy performance.",urban park,evolution mode,driving mechanism,spatial planning,grand canal,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_131,"Zang, Yawen","Huang, Jing","Wang, Huimin",,,,,,,,Dynamic impact assessment of urban floods on the compound spatial network of buildings-roads-emergency service facilities,SCIENCE OF THE TOTAL ENVIRONMENT,MAY 20 2024,0,"There are complex interactions among urban spatial elements in rainstorm scenarios. Road interruptions may cause isolation between partially submerged buildings and emergency service facilities, thereby affecting the recovery capability of flooded buildings and the accessibility of emergency service facilities. This study constructed a compound spatial network of urban buildings-roads-emergency service facilities, and analyzed the complex dynamic impacts of time-varying dynamic floods on building risk, road risk, and emergency service accessibility. Firstly, a refined flood risk assessment at the building scale was carried out in combination with flood inundation, building vulnerability, population, vulnerable areas, underground buildings, and life facilities. Secondly, betweenness centrality indicator in complex networks was used to calculate road traffic capacity and collapse threshold, and the accessibility of emergency service facilities is calculated based on road traffic capacity. Finally, the interaction and feedback relationships between the compound spatial network were analyzed. The results show that: (1) Flooded building comprehensive risk analysis reveals that floods have a significant impact on residential and commercial land use, and high-risk flood areas are mainly concentrated in the central region of study area. (2) The road network has a collapse threshold, and the fluctuating state of emergency service accessibility is significantly influenced by road traffic capacity. (3) Roads act as ""bridges"" connecting buildings and emergency service facilities, leading to the redistribution of building flood comprehensive risk and emergency service accessibility, presenting complex dynamic changes over time. Additionally, submerged roads also affect the accessibility of emergency service facilities around flooded buildings, reducing the recovery capacity of flooded buildings, and exhibiting significant heterogeneity characteristics. Future research should consider the complex impacts of floods on urban elements in order to better manage dynamic flood risk.",Dynamic assessment,Compound spatial network,Building flood comprehensive risk,Road risk,Emergency service accessibility,Complex impacts,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_132,"Yang, Jun","Chang, Yueya","Wen, Lili",,,,,,,,Mixed localized waves and their interaction structures for a spatial discrete Hirota equation,PHYSICA SCRIPTA,SEP 1 2024,0,"Mixed localized wave solutions and interactions are of great significance in nonlinear physical systems. This paper aims to investigating the generalized (m,N-m)-fold Darboux transformation and the mixed localized wave solutions of a spatial discrete Hirota equation. First, we construct the generalized (m,N-m)-fold Darboux transformation for the spatial discrete Hirota equation, which can produce the interactions between the breathers, degenerate breathers and rogue waves. For the Darboux transformation formula, we discuss the above order-1,2,3 localized wave solutions, as well as their dynamics by choosing the number of m = 1. We plot some specific examples such as the spatial (time)-periodic breather, second-order and third-order degenerate breathers and higher-order rogue waves with novel patterns. Furthermore, when m > 1, we give several kinds of mixed interaction solutions between the first-order rogue waves and first (second)-order (degenerate) breathers, between the first-order breather and second-order degenerate breathers, between second-order rogue waves and first-order breathers. At last, we also sum up the various mathematical features of the degenerate breathers and the mixed localized wave solutions.",spatial discrete Hirota equation,generalized Darboux transformation,mixed localized wave solutions,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_133,"da Costa, Everaldo Batista","Maluly, Vinicius Sodre","Rubio, Rubia de Paula",,,,,,,,"Socio-spatial inequality, subject and mining in Latin America",ATELIE GEOGRAFICO,AUG 2024,0,"There is a close relationship between the dramatic urban- rural existence of indigenous peoples and the inherent conflicts in Latin American mining. Thus, the objective of this article is to deepen the notion of durable spatial situation with the analysis of the social impacts of mining in Latin America. Methodologically, three procedures are adopted: i) explanation on the subjectHterritoryHdesire-to-live interaction process (via Latin American decolonial debate and Sartrean existentialist debate) and ii) mapping of urban-rural social conditions in Latin American countries, which promote a tragic mining situation (data from ECLAC, and critical social theory of modernity/coloniality). The historical and genocidal Latin American extractivist logic is totalized, it annihilates lives, while activating mechanisms of duration of the subject located throughout centuries, presenting the thesis of the double dialectic: subjectHterritoryHwanting-to-live H territory H wanting-to-live and subjectHworldHwanting-to-live. H world H wanting-to-live .",durable spatial situation,natives,afro-descendants,urban-rural,decoloniality,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_134,"Moreira, Ayobami Badiru","Duarte, Cristiana Coutinho","Matzarakis, Andreas",,,,,,,,"A Review of Urban Heat Studies in Recife-PE (Brazil): Urban Heat Scales, Landscape Inequalities and Future Perspectives",ATMOSPHERE,NOV 2023,0,"The objective of this article is to discuss the main studies related to urban heat in the city of Recife, the capital of the state of Pernambuco in Brazil, and contribute to providing theoretical and methodological perspectives for future research and the understanding of the history of these studies. Recife is the core of the largest metropolitan region in the northeastern region of Brazil, characterized by a complex urban landscape marked by inequalities and socio-spatial challenges. Moreover, it is recognized as one of the most vulnerable cities to climate change in the world. Analyzing urban heat in Recife through a descriptive review has the potential to provide a comprehensive analysis of the interactions between physical, social, and environmental elements with urban heat in this city, as well as to identify shortcomings and trends in ongoing initiatives and future perspectives. The discussions encompass the following themes: (a) urban heat scales, ranging from macro to global, in both temporal and spatial aspects; (b) the regional and local contexts of urban growth in Recife; (c) the challenges in urban heat studies in the city, including difficulties in data acquisition and integration of approaches; and (d) current efforts and future perspectives in addressing urban heat in this city. The main challenges for future heat studies include developing means for applicability in urban planning, enhancing observations of the interaction with the urban landscape, overcoming the lack of data sources, and understanding the interaction between scales to develop approaches that integrate the social and physical dimensions of urban climate and its relationship with climate change. Such reflections can also be extended to other geographic areas that share similar patterns of urban growth and socio-spatial complexities, helping to enhance the representation of the Global South in this field.",urban heat,climate change,Recife,Brazil,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_135,"Ding, Zhifan","Wang, Hui",,,,,,,,,"What are the key and catalytic external factors affecting the vitality of urban blue-green space? a case study of Nanjing Main Districts, China",ECOLOGICAL INDICATORS,JAN 2024,4,"In recent years, urban blue-green space has received increasing attention as an important carrier of urban spatial vitality. It has become increasingly clear that urban blue-green spaces both cities and citizens, though these concepts of spatial vitality and the underlying mechanisms influencing spatial vitality have yet to be explored in depth. Using blue-green spaces in the Nanjing Main Districts as an example, this study employs precise Location Based Services (LBS) data as a proxy for spatial vitality to explore the influence of external factors and their interaction(s) on spatial vitality. The results demonstrate that (1) functional mixing and walking accessibility are the dominant external factors affecting blue-green spatial vitality; (2) the interaction of external factors has a significant impact on spatial vitality, and finally (3), that public transportation accessibility and regional economic conditions are the catalytic factors affecting spatial vitality, explaining the contradictory research results discovered by other scholars. This study provides a foundation for the planning and construction of urban bluegreen spaces.",Blue -green space,Geographical detector,Interaction,Spatial vitality indicators,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_136,"Liu, Huimin","He, Bao-jie","Gao, Sihang","Zhan, Qingming","Yang, Chen",,,,,,Influence of non-urban reference delineation on trend estimate of surface urban heat island intensity: A comparison of seven methods,REMOTE SENSING OF ENVIRONMENT,OCT 1 2023,45,"Increasing concern over urban heat mitigation creates an emerging necessity to track the evolution of urban heat island intensity (UHII) to assess the effectiveness of existing plans in combating urban heat. However, complex human-environment interactions make it difficult to accurately isolate urban effects in UHII evolutions due to unstable non-urban references. This study provided the first test on the sensitivity of surface UHII (SUHII) trend estimate to seven methods of non-urban reference delineation across 281 Chinese cities. The corresponding seven non-urban references include administrative non-urban areas, administrative non-urban areas excluding extreme elevations, administrative low plant areas, suburb, outer suburb, outer suburbs progressively excluding unstable areas interfered by evident greening/desertification trends and the SUHI footprint of neighboring cities, respectively. Results revealed that the selection of different non-urban references significantly altered SUHII and the nature of observed surface thermal island (heat or cold) in 74% and 8% of cities, respectively. Besides, due to diverse and inconsistent land use and land cover changes across and nearby non-urban areas, the way of nonurban reference delineation also affected the amplitude and even direction of statistically significant SUHII trends in 41% and 21% of cities, respectively. Among the seven methods, the use of suburb which was collectively interfered by urban and non-urban changing factors, produced a large number of misestimated significant downtrends (2.7-4.5 times more cities than other methods) and was therefore in general not recommended. Administrative non-urban areas were not suitable to cities with evident greening/desertification trends, yet the applicability can be largely enhanced by removing areas with extreme elevations. Low plant areas were in general feasible, except for the cities with suburban low plants additionally warmed up by urban areas. Outer suburb was relatively the optimal, particularly the areas with all concerned interferences excluded. Overall, this study provided empirical evidence supporting the need to use stable non-urban references for reliable trend estimate of urban-induced SUHII variations. The results may benefit more accurate assessments of the causes, progress, and consequences of SUHI evolution, thereby minimizing the chances of policy failure in SUHI mitigation.",Surface urban heat island,Trend estimate,Non -urban reference delineation,Comparative analysis,China,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_137,"Kanning, Martina","Yi, Li","Yang, Chih-Hsiang","Niermann, Christina","Fina, Stefan",,,,,,Mental Health in Urban Environments: Uncovering the Black Box of Person-Place Interactions Requires Interdisciplinary Approaches,JMIR MHEALTH AND UHEALTH,JAN 2023,6,"Living in urban environments affects individuals' mental health through different pathways. For instance, physical activity and social participation are seen as mediators. However, aiming to understand underlying mechanisms, it is necessary to consider that the individual is interacting with its environment. In this regard, this viewpoint discusses how urban health research benefits from integration of socioecological and interdisciplinary perspectives, combined with innovative ambulatory data assessments that enable researchers to integrate different data sources. It is stated that neither focusing on the objective and accurate assessment of the environment (from the perspective of spatial sciences) nor focusing on subjectively measured individual variables (from the public health as well as a psychosocial perspective) alone is suitable to further develop the field. Addressing person-place interactions requires an interdisciplinary view on the level of theory (eg, which variables should be focused on?), assessment methods (eg, combination of time-varying objective and subjective measures), as well as data analysis and interpretation. Firstly, this viewpoint gives an overview on previous findings addressing the relationship of environmental characteristics to physical activity and mental health outcomes. We emphasize the need for approaches that allow us to appropriately assess the real-time interaction between a person and a specific environment and examine within-subject associations. This requires the assessment of environmental features, the spatial-temporal behavior of the individual, and the subjective experiences of the situation together with other individual factors, such as momentary affective states. Therefore, we finally focused on triggered study designs as an innovative ambulatory data assessment approach that allows us to capture real-time data in predefined situations (eg, while walking through a specific urban area).",physical activity,urban health,ambulatory assessment,environment,mental health,real-time data,within-subject association,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_138,"Wang, Nan","Du, Yunyan","Liang, Fuyuan","Yi, Jiawei","Qian, Jiale","Tu, Wenna","Huang, Sheng","Luo, Peixian",,,Protected areas effectively resisted 33.8% of urban development pressures in China during 2000-2018,APPLIED GEOGRAPHY,OCT 2023,4,"Protected areas (PAs) are the primary defense against biodiversity loss. Urban development and expansion have subjected PAs to significant pressure, as they are rapidly approaching. However, our understanding of the interaction between urban development and PAs in China when urbanization accelerated from 2000 to 2018 remains limited. To address this gap, we have realized the dynamic mapping of China's urban expansion and proposed the urban footprint intensity index (UFI) and PAs' UFI (PUFI) to quantify the spatial distribution of urban development and its potential pressure on PAs. Using the Generalized linear mixed-effects models, we also investigated how PAs limit the increase in UFI from multiple perspectives. Our results reveal that while China's urban areas continue to expand annually by 6101.3 km2, the distance between the protected area (PA) and the urban area is shrinking at a rate of 1.39 km per year, maintaining a logarithmic form. The PAs in the eastern China and the southern China always have higher PUFI values from 2000 to 2018. By contrast, those in the northern and western China have lower PUFI values in 2000, which increase dramatically by 2018. Across our study area, PAs have effectively acted as barriers to urban development, resisting a substantial 33.8% increase in UFI within their boundaries. Location and initial urban development conditions surrounding PAs are critical factors impacting their effectiveness in resisting urban development. These findings offer valuable insights for future assessments of the effectiveness of PAs in resisting urbanization on a global scale. Moreover, this study provide crucial guidance for fostering urban development along more sustainable trajectories, thereby ensuring the long-term conservation of PAs worldwide.",Protected areas,Urban expansion,Spatial distance,Urban footprint intensity,Effectiveness,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_139,"Huang, Fei","Lv, Jianrong","Yue, Yang",,,,,,,,Jointly spatial-temporal representation learning for individual trajectories,COMPUTERS ENVIRONMENT AND URBAN SYSTEMS,SEP 2024,0,"Individual trajectories, capturing significant human-environment interactions across space and time, serve as vital inputs for geospatial foundation models (GeoFMs). However, existing attempts at learning trajectory representations often encoded trajectory spatial-temporal relationships implicitly, which poses challenges in learning and representing spatiotemporal patterns accurately. Therefore, this paper proposes a joint spatialtemporal graph representation learning method (ST-GraphRL) to formalize structurally-explicit while learnable spatial-temporal dependencies into trajectory representations. The proposed ST-GraphRL consists of three compositions: (i) a weighted directed spatial-temporal graph to explicitly construct mobility interactions over space and time dimensions; (ii) a two-stage joint encoder (i.e., decoupling and fusion), to learn entangled spatialtemporal dependencies by independently decomposing and jointly aggregating features in space and time; (iii) a decoder guides ST-GraphRL to learn mobility regularities and randomness by simulating the spatial-temporal joint distributions of trajectories. Tested on three real-world human mobility datasets, the proposed STGraphRL outperformed all the baseline models in predicting movements' spatial-temporal distributions and preserving trajectory similarity with high spatial-temporal correlations. Furthermore, analyzing spatial-temporal features in latent space, it affirms that the ST-GraphRL can effectively capture underlying mobility patterns. The results may also provide insights into representation learnings of other geospatial data to achieve generalpurpose data representations, promoting the progress of GeoFMs.",Trajectory representation learning,Spatial-temporal joint distribution,Graph deep learning,Spatial-temporal mobility patterns,Foundation model for geospatial intelligence,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_140,"Axenov, K. E.","Galustov, K. A.",,,,,,,,,Urban regimes and socially significant projects of the urban environment transformation in the Russian Federation,VESTNIK OF SAINT PETERSBURG UNIVERSITY EARTH SCIENCES,2023,0,"The authors of the article aim to identify the principles and patterns of mutual influence of socially significant projects of transformation of the urban environment and urban regimes in the Russian Federation. Clarence Stone's concept of urban regimes is used as a theoretical framework. Based on the author's system of criteria of social significance, 6 projects of urban environment transformation in 4 cities were selected and analyzed: Okhta Center and Tuchkov Buyan in St. Petersburg, Zaryadye Park and the development of fields of the Timiryazev Academy in Moscow, St. Catherine's Church in Yekaterinburg and concreting of the embankments of the river Vologda in Vologda. If the initial phase of all projects took place in the realities of local urban growth regimes, with the predominance of the interests of the established coalitions of business and government, then the subsequent increase in the role of public activism in all projects and the change of goal-setting under its influence led to a change in the local urban regime during their implementation. It is shown that in five studied cases, during the implementation of projects, there was a transition of local urban regimes from ""growth"" to ""progressive"", and in one - from ""growth"" to a greater extent towards the ""status quo"" regime. The general principles and patterns of mutual influence of socially significant transformation projects and urban regimes in the Russian Federation are identified and described: competitive public interaction of all types of actors; change or relocation of the project as a spatial way of conflict resolution; the prevailing shift from the realization of the interests of government and business in favor of society; involvement of paternalistic tools as a way to achieve consensus. Such conditions of mutual influence of socially significant projects and urban regimes can develop in a certain period in any major Russian city, then we can expect in it similar to the described results of space transformation. The results of the study clearly demonstrate the beginning of the process of local transformation of the dominant urban regimes in the Russian Federation.",urban regimes,urban political regimes,transformation of the urban environment,socially significant projects,use of urban space,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_141,"Hong, Wenhai","Ren, Zhibin","Guo, Yujie","Wang, Chengcong","Cao, Feng","Zhang, Peng","Hong, Shengyang","Ma, Zijun",,,Spatiotemporal changes in urban forest carbon sequestration capacity and its potential drivers in an urban agglomeration: Implications for urban CO2 emission mitigation under China's rapid urbanization,ECOLOGICAL INDICATORS,FEB 2024,12,"Urban forests can absorb carbon dioxide for urban CO(2 )emission mitigation. However, the potential capacity of urban forest carbon sequestration (CS) and its drivers remain unclear in urban agglomerations under rapid urbanization. In our study, the net primary productivity (NPP) of built-up areas was reconstructed in the Harbin-Changchun urban agglomeration (HCUA) from 2000 to 2020 to reflect urban forest CS, and the drivers of spatial urban forest CS patterns were further explored using the Geodetector model. Our results showed that the HCUA has experienced rapid urbanization over the past 20 years. Across the urbanization gradient, the CS capacity was higher in new developing built-up areas than in the old developed built-up areas for all years. The CS capacity of urban forests increased gradually from 2000 to 2020, especially in large built-up areas. The urban forest CS was skewed toward low (<100 g & sdot;m (- 2)) and medium value (100-300 g & sdot;m (- 2)) class distributions in all years; however, the proportion of high CS (>300 g & sdot;m (- 2)) show an overall increasing trend from 2000 to 2020, especially in small, low-altitude and old developed built-up areas. The total CS of built-up areas increased from 0.35 Mt & sdot;C & sdot;yr (- 1) in 2000 to 2.06 Mt & sdot;C & sdot;yr (- 1) in 2020, and the urban forests in the HCUA could offset approximately 2.23 % of urban carbon emissions in 2000, increasing to 5.08 % in 2020. Natural factors, such as temperature, mainly determined changes of the spatial urban forest CS distribution. In addition, we found that urban morphology factors, such as urban build-up area, construction height, population density, and gross national product, can significantly influence urban forest CS. We further found there may exist the threshold of urban built-up area and gross national product significantly affecting urban forest CS variation. The interaction between natural and anthropogenic factors had stronger explanatory power for the spatial variation of CS. Our study can help city managers formulate low-carbon development strategies to address the negative impacts of climate change and realize the low-carbon development of cities.",Urban forest,Carbon sequestration,Urbanization,NPP,Urban agglomeration,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_142,"Shi, Xinyu","Wang, Chaoran","Shi, Liyu","Zhou, Haining","Phillips, Tyson Keen","Bi, Kang","Cui, Weijiu","Sun, Chengpeng","Wan, Da",,Research on human-robot interaction for robotic spatial 3D printing based on real-time hand gesture control,ROBOTICS AND COMPUTER-INTEGRATED MANUFACTURING,OCT 2024,0,"With the rapid advancements in three-dimensional (3D) printing, researchers have shifted their focus towards the mechanical systems and methods used in this field. While Fused Deposition Modelling (FDM) remains the dominant method, alternative printing methods such as Spatial 3DP (S-3DP) have emerged. However, the majority of existing research on 3D printing technology has been emphasizing offline control, which lacks the capability to dynamically adjust the printing path in real time. Such an limitation has resulted in a decrease in printing efficiency. Therefore, this paper proposes a human-robot interaction (HRI) method based on real-time gesture control for Robotic Spatial 3DP (RS-3DP). This method incorporates utilization of YOLOv5 and Mediapipe algorithms to recognize gestures and convert the gesture information into real-time robot operations. Results show that this approach offers a feasible solution to address the issue of discontinuous S-3DP nodes because it achieves a gesture-controlled robot movement accuracy of 91 % and an average system response time of approximately 0.54 s. The proposed HRI method represents a pioneering advancement in real-time control for RS-3DP, thereby paving the way for further exploration and development in this field.",Robotic spatial 3D printing,Human-robot interaction,Real-time control,Gesture recognition,Deep learning,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_143,"Han, Ziyan","Wu, Yingdi","Meng, Jijun","Zhu, Likai","Ma, Yuxiang","Xiao, Yuanyang",,,,,Accounting for spatial coupling to assess the interactions between human well-being and environmental performance,JOURNAL OF CLEANER PRODUCTION,APR 5 2024,1,"Understanding the spatio-temporal interactions between ecosystem services (ESs) and the progress of Sustainable Development Goals (SDGs) is crucial in arid regions due to the more intense conflicts between human well-being and environmental performance. However, the interactions over distance and their spatial connectivity network among regions are often neglected, influencing the advancements in policy making especially in arid basin. Here a comprehensive framework that integrated ESs and SDGs was proposed to assess the spatial coupling between human well-being and environmental performance within and across regions in the Heihe River Basin (HRB), the second largest inland river basin in China. Then the Random Forests method was employed to identify the key driving factors of the interactions. The results are as follows: (1) The coupling that accounts for both local and distant effects was higher than that only considers local effects. The interactions of all regions that considered both were more balanced, suggesting that spatial interactions among regions promoted the supplies of ES and the progress of SDGs. (2) The midstream of HRB formed a stronger spatial connectivity network. (3) Land use intensity, population density, and water scarcity showed a strong influence on the interactions. This study provides targeted suggestions to guide sustainable development for better human well-being while maintaining ecosystem health for better environmental performance.",Ecosystem services,Sustainable development goals,Spatial coupling,Local and distant effects,Heihe River Basin,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_144,"van Lanen, Sander",,,,,,,,,,Structural Transformations and Everyday Spatial Consequences in Austerity Ireland: An Embedded Comparative Approach,URBAN PLANNING,2023,0,"Urban research often focuses on aggregate characteristics of macroeconomic performances or in-depth case studies of everyday urban phenomena. However, this dichotomy risks alienating two perspectives that can constructively illuminate spatial developments together. This article extends the ""political economy of everyday life"" approach, borrowed from political economy, to connect the local and everyday to global structures. The aim is to make this perspective sensitive to geographic differences and develop a ""spatial political economy of everyday life."" To operationalise this approach, I discuss the multi-scale analysis employed in a comparative project on austerity and urban youth in Ireland that sought to ground everyday consequences in a structural context. This project combined three methods: (a) a theoretical analysis of the global structures of the 2008 financial crisis, (b) a policy analysis of the impact of Irish austerity policies on youth, and (c) a comparative qualitative analysis of the everyday consequences of crisis and austerity on youth from disadvantaged neighbourhoods in Cork and Dublin. This embedded comparative approach identified how the global financial crisis shaped national policies and how geographic differences shaped everyday spatial and personal consequences. This embedded comparative approach conceptualises cities as places where the structural and everyday constitute each other. It illuminates how this mutual interaction creates spatial particularities and common trends. In doing so, an embedded comparative approach contributes to developing a ""spatial political economy of everyday life.""",austerity,comparative urbanism,deprivation,embedded comparative approach,everyday life,Ireland,neighbourhoods,political economy of everyday life,urban geography,young adults,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_145,"Hu, Jiayi","Liu, Dongya","Zheng, Xinqi",,,,,,,,Research on Multi-Scenario Simulation of Urban Expansion for Beijing-Tianjin-Hebei Region Considering Multilevel Urban Flows,LAND,NOV 2024,0,"With the development of urban agglomerations in China, the study of the interactions between cities has become a popular and difficult issue. Exploring the interactions between cities can help decision-makers optimize regional resource allocation and improve regional spatial patterns. Combining the urban flow model and the patch-generating land use simulation (PLUS) model, this study simulates and analyzes the process of urban expansion in the Beijing-Tianjin-Hebei (BTH) region, and investigates the impact of urban hierarchical structure differences on urban expansion. In this study, the role and influence of inter-city economy flow, transportation flow, population flow, and information flow on the development of urban agglomerations are comprehensively considered, and a multilevel urban interaction model is constructed based on a hierarchical generalized linear model (HGLM). Based on the national BTH cooperation and development strategy, a multi-scenario simulation study of urban expansion is carried out using the HGLM-PLUS model. The results indicate the following: (1) compared to the traditional PLUS model, the coupled HGLM-PLUS model, which considers multilevel urban flows, improved the overall accuracy by 0.047, the Kappa coefficient by 0.207, and the figure of merit (FoM) index by 0.051; (2) under different simulation scenarios, the development trend under the cooperation and development policy in the BTH region is more stable, demonstrating a relatively smooth urbanization expansion trend; and (3) under the BTH cooperation and development background, the total area of construction land in the BTH region is expected to be maintained at around 1,164,500 km2 by 2040. The spatial expansion pattern will present a networked expansion with the core driving development, axes and belts connecting, and clusters breaking through.",urban flow model,PLUS model,hierarchical generalized linear model,Beijing-Tianjin-Hebei region,urban expansion,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_146,"Rui, Jin","Othengrafen, Frank",,,,,,,,,Examining the Role of Innovative Streets in Enhancing Urban Mobility and Livability for Sustainable Urban Transition: A Review,SUSTAINABILITY,APR 2023,22,"As an essential component of urban public spaces, urban streets play a crucial role in shaping cities and promoting urban sustainability. This article focuses on innovative streets as a catalyst for sustainable urban transition. It reviews the theoretical discussions, and empirical evidence on innovative planning approaches for urban streets. For that purpose, measures related to innovative streets are divided into two broad categories: urban mobility and urban livability. The results indicate that integrating smart street facilities with the Internet of Things (IoT), adopting a combination of grid and radial street networks, and fostering a safe street environment are vital in promoting urban mobility. Conversely, a walkable, rideable, and human-oriented street environment enhances social interaction and urban livability. The street's dual function as a commuting and social space highlights the interplay between rising mobility and intensive street usage, leading to competition for street space. To mitigate these conflicts and advance sustainable urban transitions, enhancing street safety, reducing disparities in planning and user behavior, and accommodating the needs of all street users is crucial. Overall, the evidence supports the contribution of streets to sustainable urban transition.",innovative streets,sustainable urban transition,urban mobility,urban livability,street review,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
