,author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,author11,author12,author13,author14,author15,author16,author17,title,journal/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,keyword5,author18,author19,author20,author21,author22,author23,author24,author25,author26,author27,author28,author29,author30,author31,author32,author33,author34,author35,author36,author37,author38,author39,author40,author41,author42,author43,author44,author45,author46,author47,author48,author49,author50,author51,author52,author53,author54,author55,author56,author57,author58,author59,author60,author61,author62,author63,author64,author65,author66,author67,author68,author69,author70,author71,keyword6,conference,keyword7,keyword8,keyword9,keyword10
Row_131,"Pagliacci, Francesco","Salpina, Dana",,,,,,,,,,,,,,,,Territorial hotspots of exposure to climate disaster risk. The case of agri-food geographical indications in the Veneto Region,LAND USE POLICY,DEC 2022,8,"Geographical indications (GIs) represent a quality label attributed to those agri-food products whose quality reputation is grounded on a given 'terroir' (i.e., its area of production). Climate change can alter terroir features. While several studies already addressed the effects of climate change on wine terroirs, little attention has been paid to agri-food GIs so far. Taking Veneto Region (Italy) as a case study and based on the Disaster Risk Reduction framework, this work aims to highlight the territorial hotspots of agri-food GIs exposure to climate disaster risk. The adopted approach combines two strategies: first, a cluster analysis on municipality level data (covering physical, social and production characteristics) is performed; second, the returned clusters are analysed under the light of climate change hazards, adopting nonparametric tests (Kruskal-Wallis and Dunn tests) to pinpoint significant differences. The study elucidates region heterogeneity in terms of GI systems and the ter-ritories where they couple with local-level climate change hazards. Thus, a need for a greater focus on these territorial hotspots is required within climate adaptation policies. Also more-tailored measures, which consider both specific characteristics of the GI systems and the extension of their production areas, are crucial.",Geographical indications (GIs),Climate disaster risk,Agri-food sector,Veneto region,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_132,"Nuruzzaman, Muhammad Taufiq","Ferng, Huei-Wen",,,,,,,,,,,,,,,,Beaconless Geographical Routing Protocol for a Heterogeneous MSN,IEEE TRANSACTIONS ON MOBILE COMPUTING,JUL 1 2022,3,"Traditional beaconless geographical routing (BGR) protocols perform poorly in a heterogeneous environment due to the consideration of location solely with an assumption of homogeneous transmission. Therefore, we propose a novel BGR with consideration of the locations of candidate forwarders and different transmission ranges. Our proposed protocol, namely, the heterogeneity-aware BGR (HA-BGR), is designed for a heterogeneous mobile sensor network (MSN), where the transmission ranges of mobile sensors are different. In HA-BGR, a node takes its distance, transmission range, and progress to the destination into consideration before setting itself to be a candidate next hop and remains active. Examined by analytical and extensive simulation results, HA-BGR not only needs fewer next-hop candidates but also achieves better performance in the end-to-end delivery ratio and latency as compared to the recently proposed convex-lense decision region BGR (CDR-BGR).",Delays,Routing,Mobile nodes,Routing protocols,Mobile computing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Animals,,Wireless sensor networks,Beaconless geographical routing protocol,mobile sensor network,heterogeneous
Row_133,"Chan, LC","Lam, CK","Yeung, TC","Chu, RW","Ng, M","Chow, EYD","Wickham, N","Matutes, E",,,,,,,,,,Geographical heterogeneity of chronic lympho-proliferative disorders.,BLOOD,NOV 15 1997,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_134,"Khalitova, Larisa Rafikovna","Petrov, Nikolay Aleksandrovich",,,,,,,,,,,,,,,,Analysis of the Economic Development of Individual Geographical Areas of the Republic of Bashkortostan,,2018,0,"The economic development of individual geographical areas of the Republic of Bashkortostan (RB) was studied using various methods: correlation analysis, combined ABC and XYZ analysis. Heterogeneity of investments in the fixed capital of organizations and enterprises per employee, gross output per capita, which constitute the gross product was revealed in the sub-zones of the Republic of Bashkortostan. A high correlation was revealed between gross output and sales of manufacturing, production and distribution of electricity, gas and water, and agriculture. A regularity has been established in reducing the gross output depending on the location of manufacturers. In particular, the farther from the center of the region (i.e. its capital) the economic entity is, the less its gross output per capita. The most significant industries in each subzone were identified, their stability was evaluated. Recommendations on the main directions of development of industries of the RB we developed.",geographical area,geographical subzone,branch of the economy,Republic of Bashkortostan,correlation analysis,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,combined ABC and XYZ analysis,VISION 2020: SUSTAINABLE ECONOMIC DEVELOPMENT AND APPLICATION OF INNOVATION MANAGEMENT,,,,
Row_135,"Melesse, Dessalegn Y.","Shafer, Leigh Anne","Emmanuel, Faran","Reza, Tahira","Achakzai, Baseer K.","Furqan, Sofia","Blanchard, James F.",,,,,,,,,,,Heterogeneity in geographical trends of HIV epidemics among key populations in Pakistan: a mathematical modeling study of survey data,JOURNAL OF GLOBAL HEALTH,JUN 2018,11,"Background Assessing patterns and trends in new infections is key to better understanding of HIV epidemics, and is best done through monitoring changes in incidence over time. In this study, we examined disparities in geographical trends of HIV epidemics among people who inject drugs (PWIDs), female sex workers (FSWs) and hijra/transgender/male sex workers (H/MSWs), in Pakistan.Methods The UNAIDS Estimation and Projection Package (EPP) mathematical model was used to explore geographical trends in HIV epidemics. Four rounds of mapping and surveillance data collected among key populations (KPs) across 20 cities in Pakistan between 2005-2011 was used for modeling. Empirical estimates of HIV prevalence of each KP in each city were used to fit the model to estimate prevalence and incidence over time.Results HIV incidence among PWIDs in Pakistan reached its peak in 2011, estimated at 45.3 per 1000 person-years. Incidence was projected to continue to rise from 18.9 in 2015 to 24.3 in 2020 among H/MSWs and from 3.2 in 2015 to 6.3 in 2020 among FSWs. The number of people living with HIV in Pakistan was estimated to steadily increase through at least 2020. HIV incidence peak among PWIDs ranged from 16.2 in 1997 in Quetta to 71.0 in 2010 in Faisalabad (per 1000 person-years). Incidence among H/MSWs may continue to rise through 2020 in all the cities, except in Larkana where it peaked in the early 2000s. In 2015, model estimated incidence among FSWs was 8.1 in Karachi, 6.6 in Larkana, 2.0 in Sukkur and 1.2 in Lahore (per 1000 person-years).Conclusions There exists significant geographical heterogeneity in patterns and trends of HIV sub-epidemics in Pakistan. Focused interventions and service delivery approaches, different by KP and city, are recommended.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_136,"Paul, Pintu",,,,,,,,,,,,,,,,,Geographical variations in postnatal care use and associated factors in India: evidence from a cross-sectional national survey,GEOJOURNAL,FEB 2022,6,"Postnatal care (PNC) period is a critical phase for survival of mothers and newborn babies. Understanding spatial heterogeneity is essential for evidence-based policymaking in high-risk geographical areas. Moreover, there is a paucity of research on the utilization of PNC and its geographical inequalities in India. Therefore, this paper aims to identify the geographical variations in PNC use and associated socio-demographic factors among Indian women. A cross-sectional study was conducted using the 2015-2016 National Family Health Survey (NFHS-4) data. A total of 190,898 women aged 15-49 years who had a live birth in the past five years preceding the survey were utilized in this study. This study assessed the levels of PNC use across geographical regions, states, and districts. Moran's 'I' and spatial autocorrelation were carried out to identify the spatial patterns of PNC use. Bivariate and multivariate logistic regressions were employed to examine the factors associated with PNC utilization. In India, the proportion of PNC usage was 69.1% with marked variations across geographical regions. Lower use of PNC was found in the north, central, east, and northeast regions, while PNC utilization was higher in south, followed by west region of the country. This study found that educational attainment of women and household wealth status was positively correlated with PNC utilization. Women with higher education were more likely to receive PNC (adjusted odds ratio [AOR]: 1.57, 95% CI 1.49-1.65) compared to uneducated women. The odds of PNC use were 2.57 times higher (AOR: 2.57, 95% CI 2.44-2.70) among the women from the richest wealth quintile than those from the poorest wealth quintile. Furthermore, social groups, religion, women's age, age at marriage, birth order, child wantedness, and geographical region had a significant association with PNC healthcare-seeking. The findings of this study indicate evidence-based maternal healthcare programs to mitigate the identified geographical inequalities in PNC usage. Furthermore, this study suggests state- and region-specific healthcare interventions and strengthening of existing policies to improve the utilization of PNC in India.",Postnatal care (PNC),Geographical variations,LISA,India,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_137,"Jiang, Xue-ting","Wang, Qiang","Li, Rongrong",,,,,,,,,,,,,,,Investigating factors affecting carbon emission in China and the USA: A perspective of stratified heterogeneity,JOURNAL OF CLEANER PRODUCTION,OCT 20 2018,49,"As world's top two carbon emitters, driver analysis of China and the USA helped the governments to develop policies to cut or slow down carbon emission. Many studies identified the factors affecting carbon emission in China and the USA (emitting more than 40% of the global CO2 emission), however, few studies considered stratified heterogeneity or the interactions of factors. Here, we adopted the modified Geographical Detector tool to investigate the main drivers of carbon emission from the perspective of stratified heterogeneity. The results of this analysis showed that human economic activities in China were the dominant effect of carbon emission changes, while energy intensity contributed toward controlling the carbon emission in China. Furthermore, population growth was the most significant driving force followed by energy intensity toward controlling the carbon emission of the USA. All these factors are mutually enhancing in changing carbon emissions, while oil share with energy intensity and coal share were more significantly enhanced in China's carbon emission than other interactions. The factors of human activities and energy mix posed a more powerful effect when they mutually enhanced each other to change carbon emission compared to other enhancing interactions. This work represents a pilot scheme for a carbon dioxide emission analysis from the categorical stratified heterogeneity based on statistical methods. (C) 2018 Elsevier Ltd. All rights reserved.",CO2 emission,Geographical,Detector,China,USA,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_138,"Oenning Ribeiro, Barbhara Isabella","Magalhaes Braghin, Louizi de Souza","Lansac-Toha, Fernando Miranda","Bomfim, Francieli Fatima","Almeida, Bia A.","Bonecker, Claudia Costa","Lansac-Toha, Fabio Amodeo",,,,,,,,,,,Environmental heterogeneity increases dissimilarity in zooplankton functional traits along a large Neotropical river,HYDROBIOLOGIA,AUG 2022,10,"Beta diversity is the variability in species composition among sampling units for a given area and can be influenced by several environmental drivers, including environmental heterogeneity. Here, we considered the contribution of seven tributaries flowing into the Upper Parana River channel as the mains drivers of environmental heterogeneity and zooplankton beta diversity. We used Mantel test to examine the relationships between zooplankton functional beta diversity components (total, turnover, and nestedness) and environmental and geographical distance. Generalized dissimilarity modeling (GDM) was run to test which environmental variables were the best predictors of beta diversity components. Mantel's test results revealed that total beta diversity was positively related with environmental heterogeneity in almost all periods. GDM analysis results showed that total beta and turnover were related to temperature, organic suspended matter, dissolved oxygen, NH4, and pH, while nestedness was influenced by depth and geographic distances. Our results support the idea that smaller rivers are a main source of diversity for large rivers, especially the ones with cascading reservoirs. Overall, our study shoes that variation in limnological variables results in higher dissimilarity in zooplankton communities and that environmental change filters and sorts species according to their functional traits.",Beta diversity,Turnover,Zooplankton,Heterogeneity,GDM,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_139,"Luo, Yaowen","Zhang, Tianzhu","Zhang, Zhe","Yan, Jianguo","Zhang, Xinghua",,,,,,,,,,,,,Spatial correlation between multiple geographical properties and the river density over the global martian surface,ICARUS,SEP 15 2024,1,"River valleys are prominent features of the martian surface. Exploring the properties correlated to the spatial pattern of the river density serves an essential role in understanding the water history on Mars. However, there is considerable debate regarding the properties related to the distribution of river density. We propose that these discussions arise from the complex interactions and the spatial heterogeneity of multiple properties. In our study, we employed the geodetector to examine the spatial correlation between the river density and multiple geographical properties including landform conditions, hydrous mineral, sedimentary fans, deltas, and lakes. Our findings reveal that the most correlated properties on river density vary by regions. And the explanatory power of an individual property was often enhanced in a nonlinear way when interacting with other properties. We hypothesize that the impact events were a major process responsible for global-scale fluvial valley formation on Mars. Furthermore, the local mechanisms of fluvial formation vary by region, reflecting regional differences in geomorphic, geological, and environmental conditions. The geodetector method provides new insights into exploring the controlling properties of the geographical processes on martian surface.",Mars,River density,Geodetector,Spatial heterogeneity,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_140,"Quinones-Ruiz, Xiomara F.","Penker, Marianne","Belletti, Giovanni","Marescotti, Andrea","Scaramuzzi, Silvia","Barzini, Elisa","Pircher, Magdalena","Leitgeb, Friedrich","Samper-Gartner, Luis F.",,,,,,,,,Insights into the black box of collective efforts for the registration of Geographical Indications,LAND USE POLICY,NOV 30 2016,57,"Registered Geographical Indications (GIs) communicate to consumers the reputation and quality characteristics of food products linked to the geographical origin. Therefore, farmers and processors consider the protection of GIs as Intellectual Property Rights as a tool for product differentiation and a solution for reducing misuse or free-riding. However GI-registration requires collective action and considerable efforts borne by multiple actors. According to the diverse GI-legal schemes, such as the EU framework, farmers and processors have to agree on the delimitation of the geographical area, production techniques and product quality characteristics contained in the Product Specification. Our paper enters for the first time into the black box of the GI-registration processes by analysing five Protected Geographical Indications in Colombia, Italy and Austria. Cases were selected among products registered according to the EU legislation (EC Regulations 2081/92, 510/2006 and 1151/2012) to represent supply chains of different length (e.g. short and long) and complexity (e.g. number of producers involved). We aim to identify the most critical and (time) demanding phases during the GI-registration processes and the type of private and public actors involved (e.g., farmers, processors, local public authorities, research staff) as well as to quantify their (collective) efforts and degree of involvement (e.g., consultation/co-decision vs. informing about decisions on behalf of others) and to analyse the outcome of the higher or lower involvement of actors. Cross-case comparisons are guided by the Institutional Analysis and Development Framework and the empirical transaction cost analysis. Results show that collective efforts borne by producers and related GI-stakeholders and the resulting collective outcomes are affected by institutional frameworks, group size and heterogeneity as well as ex-ante organisational robustness. Well-established pre-existing producer organisations and the support of local public authorities are critical factors along the GI-registration process. Participatory processes, even if time consuming, may result in a co-learning process as GI-stakeholders can attain better awareness of the product specificities and develop collective strategies and initiatives that should go far beyond the mere GI-registration. This article also adds to the still very small body of the empirical transaction costs analysis. Insights about advantages and efforts of farmers and processors who aim to link terroir and taste of place are not only relevant for the governance of origin food, but also for other rural development processes. (C) 2016 Elsevier Ltd. All rights reserved.",Protected geographical indications,Institutional analysis and development framework,Collective efforts,Cross-case comparisons,EU,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_141,"Zhou, Yihu","Fang, Tingting",,,,,,,,,,,,,,,,How Migration Behavior Affects the Contracted Land Disposal Methods of Rural Migrants in China: An Analysis Based on the Perspective of Geographical Differences,LAND,JUN 2023,1,"Migration leads to the separation of rural people from their contracted land and, thus, affects the human-land relationship, agricultural production, and food security in China's rural areas. Using spatial autocorrelation analysis, GeoDetector analysis, and geographical weighted regression, the mechanism by which the migration behavior of the rural population impacts their contracted land disposal methods was analyzed in this study, and the spatial heterogeneity of this mechanism was further revealed from the perspective of geographical differentiation. The results of this study show that: (1) Chinese rural migrants exhibit pronounced geographical differences in the disposition of contracted land. The spatial distribution patterns of family operation, subleasing, and abandonment are different. (2) Migration behavior contributes to the differences in contracted land disposal methods across regions. Educational attainment, the number of cities migrated to, and the house purchase rate significantly contribute to the geographical differences among all three contracted land disposal methods. (3) The mechanisms by which migration behavior influences rural migrants' land disposal decisions vary. The direction and degree of the influence of each factor on family operation are relatively consistent across regions. However, regarding the subleasing and abandonment of contracted land, the mechanisms by which migration behavior influences land disposal decision-making exhibit significant regional heterogeneity. The results of this study provide a useful reference for many countries to solve the problems of the human-land relationship and rural development.",rural migrants,migration behavior,contracted land disposal methods,geographical differences,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_142,"Min, Alexander W.","Zhang, Xinyu","Choi, Jaehyuk","Shin, Kang G.",,,,,,,,,,,,,,Exploiting Spectrum Heterogeneity in Dynamic Spectrum Market,IEEE TRANSACTIONS ON MOBILE COMPUTING,DEC 2012,21,"The dynamic spectrum market (DSM) is a key economic vehicle for realizing the opportunistic spectrum access that will mitigate the anticipated spectrum-scarcity problem. DSM allows legacy spectrum owners to lease their channels to unlicensed spectrum consumers (or secondary users) in order to increase their revenue and improve spectrum utilization. In DSM, determining the optimal spectrum leasing price is an important yet challenging problem that requires a comprehensive understanding of market participants' interests and interactions. In this paper, we study spectrum pricing competition in a duopoly DSM, where two wireless service providers (WSPs) lease spectrum access rights, and secondary users (SUs) purchase the spectrum use to maximize their utility. We identify two essential, but previously overlooked, properties of DSM: 1) heterogeneous spectrum resources at WSPs and 2) spectrum sharing among SUs. We demonstrate the impact of spectrum heterogeneity via an in-depth measurement study using a software-defined radio (SDR) testbed. We then study the impacts of spectrum heterogeneity on WSPs' optimal pricing and SUs' WSP selection strategies using a systematic three-step approach. First, we study how spectrum sharing among SUs subscribed to the same WSP affects the SUs' achievable utility. Then, we derive the SUs' optimal WSP selection strategy that maximizes their payoff, given the heterogeneous spectrum propagation characteristics and prices. We analyze how individual SU preferences affect market evolution and prove the market convergence to a mean-field limit, even though SUs make local decisions. Finally, given the market evolution, we formulate the WSPs' pricing strategies in a duopoly DSM as a noncooperative game and identify its Nash equilibrium points. We find that the equilibrium price and its uniqueness depend on the SUs' geographical density and spectrum propagation characteristics. Our analytical framework reveals the impact of spectrum heterogeneity in a real-world DSM, and can be used as a guideline for the WSPs' pricing strategies.",Cognitive radios,dynamic spectrum market,game theory,spectrum heterogeneity,spectrum pricing,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_143,"An, Ruopeng","Li, Xinye","Jiang, Ning",,,,,,,,,,,,,,,Geographical Variations in the Environmental Determinants of Physical Inactivity among US Adults,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,NOV 2017,7,"Physical inactivity is a major modifiable risk factor for morbidity, disability and premature mortality worldwide. This study assessed the geographical variations in the impact of environmental quality on physical inactivity among U.S. adults. Data on county-level prevalence of leisure-time physical inactivity came from the Behavioral Risk Factor Surveillance System. County environment was measured by the Environmental Quality Index (EQI), a comprehensive index of environmental conditions that affect human health. The overall EQI consists of five subdomainsair, water, land, social, and built environment. Geographically weighted regressions (GWRs) were performed to estimate and map county-specific impact of overall EQI and its five subdomains on physical inactivity prevalence. The prevalence of leisure-time physical inactivity among U.S. counties was 25% in 2005. On average, one standard deviation decrease in the overall EQI was associated with an increase in county-level prevalence of leisure-time physical inactivity by nearly 1%. However, substantial geographical variations in the estimated environmental determinants of physical inactivity were present. The estimated changes of county-level prevalence of leisure-time physical inactivity resulted from one standard deviation decrease of the overall EQI ranged from an increase of over 3% to a decrease of nearly 2% across U.S. counties. Analogous, the estimated changes of county-level prevalence of leisure-time physical inactivity resulted from one standard deviation decrease of the EQI air, water, land, social, and built environment subdomains ranged from an increase of 2.6%, 1.5%, 2.9%, 3.3%, and 1.7% to a decrease of 2.9%, 1.4%, 2.4%, 2.4%, and 0.8% across U.S. counties, respectively. Given the substantial heterogeneities in the environmental determinants of physical inactivity, locally customized physical activity interventions are warranted to address the most concerning area-specific environmental issue.",physical inactivity,environmental quality,geographical variation,geographically weighted regression,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_144,"Zuniga Macias, Roman","Gutierrez-Pulido, Humberto","Guerrero Arroyo, Edgar Alejandro","Palafox Gonzalez, Abel",,,,,,,,,,,,,,Geographical network model for COVID-19 spread among dynamic epidemic regions,MATHEMATICAL BIOSCIENCES AND ENGINEERING,2022,1,"Pandemic due to SARS-CoV-2 (COVID-19) has affected to world in several aspects: high number of confirmed cases, high number of deaths, low economic growth, among others. Understanding of spatio-temporal dynamics of the virus is helpful and necessary for decision making, for instance to decide where, whether and how, non-pharmaceutical intervention policies are to be applied. This point has not been properly addressed in literature since typical strategies do not consider marked differences on the epidemic spread across country or large territory. Those strategies assume similarities and apply similar interventions instead. This work is focused on posing a methodology where spatio-temporal epidemic dynamics is captured by means of dividing a territory in time-varying epidemic regions, according to geographical closeness and infection level. In addition, a novel Lagrangian-SEIR-based model is posed for describing the dynamic within and between those regions. The capabilities of this methodology for identifying local outbreaks and reproducing the epidemic curve are discussed for the case of COVID-19 epidemic in Jalisco state (Mexico). The contagions from July 31, 2020 to March 31, 2021 are analyzed, with monthly adjustments, and the estimates obtained at the level of the epidemic regions present satisfactory results since Relative Root Mean Squared Error RRMSE is below 15% in most of regions, and at the level of the whole state outstanding with RRMSE below 5%.",spatio-temporal dynamics,SARS-CoV-2,Lagrangian SEIR,regional heterogeneity,geographical network epidemic spread,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_145,"Di Fonzo, Antonella","Russo, Carlo",,,,,,,,,,,,,,,,Designing geographical indication institutions when stakeholders' incentives are not perfectly aligned,BRITISH FOOD JOURNAL,2015,9,"Purpose - Geographical Indications (GI) are complex and multi-purpose institutions. Their objectives include encouraging diversification of agricultural production, improving farmers' income, countering depopulation of rural areas, satisfying consumer demand for high-quality good, and protecting consumers from food fraud. The authors argue that such objectives are not necessarily aligned as divergence may arise among stakeholders (such as farmers, consumers or rural communities) about the optimal design of the GI. The paper aims to discuss these issues.Design/methodology/approach - The authors developed a simple, static game-theory model describing the basic choices that a planner faces in designing a GI.Findings - The authors conclude that the optimal organization requires finding trade-offs among conflicting but equally desirable objectives. Perfect monitoring is not a sufficient condition to resolve such conflicts. Sub-consortia and flexible production agreements may increase the efficiency of a GI.Research limitations/implications - The authors described basic trade-offs in GI design using the simplest possible model. To this purpose the authors introduced limiting assumptions that may be relaxed in future research. The representation of the GI agreement focussed on the quality level only, abstracting from all other consideration. Using a static model prevented us from explicit modeling of (loss of) reputation effects. The simplifying assumptions about consumer behavior and cost functions have reduced the generality of the results. Extensions of the model may consider introducing additional elements in the GI agreement such as production areas or governance models, dynamic games and general functional forms.Practical implications - The authors found that in designing a GI: first, promotion approaches revolving around small groups of local leaders (i.e. efficient, high-quality producers) might overshoot quality, resulting in unsustainable production agreements; second, introducing degrees of flexibility in the production agreement may help achieving a sustainable GI; and finally, sub-consortia/optional labels may help dealing with producers' heterogeneity.Social implications - The authors found that setting a high standard in the production agreement is not sufficient condition for delivering quality food to consumers, as producers might have incentive to commit frauds. A simple command and control approach to quality in GI's is not always the most efficient strategy, because it may reduce participation. In designing the GI, the goals of identity preservation and food quality must be balanced with consideration of producers' incentives. The involvement of producers in the design of the GI is a critical success driver. Yet, this practice can be problematic because of producers' heterogeneity.Originality/value - The paper provides theoretical foundation for best practices in forming a GI, including: multi-stakeholder involvement, management of farmer heterogeneity and monitoring.",Rural development,Design,Endogenous quality,Frauds,Geographical indication,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_146,"Liu, Ziling","Soe, Than Naing","Zhao, Yan","Than, Aye","Cho, Cho","Aung, Pyae Linn","Li, Yuling","Wang, Lin","Yang, Huilin","Li, Xiangnan","Li, Danni","Peng, Zhiping","Wang, Jiangang","Li, Yan","Yang, Zhaoqing","Zhou, Hongning","Wang, Qinghui",Geographical heterogeneity in prevalence of subclinical malaria infections at sentinel endemic sites of Myanmar,PARASITES & VECTORS,FEB 18 2019,19,"Background: The malaria burden of Myanmar still remains high within the Greater Mekong Subregion of Southeast Asia. An important indicator of progress towards malaria elimination is the prevalence of parasite infections in endemic populations. Information about malaria epidemiology is mostly derived from reports of confirmed acute malaria cases through passive case detection, whereas the prevalence of baseline subclinical malaria infections is much less known.Methods: In this study, cross-sectional surveys were conducted during the rainy season of 2017 in four townships (Bilin, Thabeikkyin, Banmauk and Paletwa) of Myanmar with divergent annual malaria incidences. A total of 1991 volunteers were recruited from local villages and Plasmodium subclinical infections were estimated by light microscopy (LM), rapid diagnostic tests (RDTs) and nested PCR. The nested PCR analysis was performed with a modified pooling strategy that was optimized based on an initial estimate the infection prevalence.Results: The overall malaria infection prevalence based on all methods was 13.9% (277/1991) and it differed drastically among the townships, with Paletwa in the western border having the highest infection rate (22.9%) and Thabeikkyin in central Myanmar having the lowest (3.9%). As expected, nested PCR was the most sensitive and identified 226 (11.4%) individuals with parasite infections. Among the parasite species, Plasmodium vivax was the most prevalent in all locations, while Plasmodium falciparum also accounted for 32% of infections in the western township Paletwa. Two RDTs based on the detection of the hrp2 antigen detected a total of 103 P. falciparum infections, and the ultrasensitive RDT detected 20% more P. falciparum infections than the conventional RDT. In contrast, LM missed the majority of the subclinical infections and only identified 14 Plasmodium infections.Conclusions: Cross-sectional surveys identified considerable levels of asymptomatic Plasmodium infections in endemic populations of Myanmar with P. vivax becoming the predominant parasite species. Geographical heterogeneity of subclinical infections calls for active surveillance of parasite infections in endemic areas. The pooling scheme designed for nested PCR analysis offers a more practical strategy for large-scale epidemiological studies of parasite prevalence. Such information is important for decision-makers to put forward a more realistic action plan for malaria elimination.",Myanmar,Malaria,Prevalence,Subclinical,Pooling strategy,"Kyaw, Myat Phone","Cao, Yaming","Cui, Liwang",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_147,"Zhou, Ruomeng","Liu, Gang","Zhang, Yunsheng",,,,,,,,,,,,,,,Sustainability evaluation and spatial heterogeneity of urban agglomerations: a China case study,DISCOVER SUSTAINABILITY,FEB 3 2021,11,"To promote the development of the western region in China, it is necessary to build an indicator system to scientifically measure the level of sustainable development in Western China. Based on the construction of a sustainable development level evaluation indicator system, this study employs the panel data entropy model to evaluate the sustainable development level of four state-level urban agglomerations in Western China from 2009 to 2018. Then, the geographical detector model is used to measure the spatial heterogeneity degree of the sustainability index and detect the factors influencing the spatial heterogeneity. The results show that (1) the innovation environment and economic growth are the core factors influencing the sustainable development level. (2) The sustainable development level of the cities within the urban agglomerations varies considerably. The sustainability level of central cities and provincial capital cities is significantly higher than that of outlying cities. (3) From the perspective of time, the sustainable development level of the ChengduChongqing urban agglomeration and Guanzhong Plain urban agglomeration shows a rising trend; the Lanzhou-Xining urban agglomeration fluctuates greatly; and the Hohhot-Baotou-Ordos-Yulin urban agglomeration is decreasing. (4) The spatial heterogeneity level of sustainable development among cities in the western urban agglomerations is high, economic factors play a leading role in the spatial heterogeneity of sustainable development, and the western region needs to emphasize regional coordinated development.",Sustainable development,Urban agglomerations,Spatial heterogeneity,Western china,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_148,"Liu, Ying","Xiao, Han","Wang, Limin","Han, Jialing",,,,,,,,,,,,,,Ontology-based Knowledge Representation for Resolution of Semantic Heterogeneity in GIS,,2017,0,"Lack of semantic interoperability in geographical information systems has been identified as the main obstacle for data sharing and database integration. The new method should be found to overcome the problems of semantic heterogeneity. Ontologies are considered to be one approach to support geographic information sharing. This paper presents an ontology-driven integration approach to help in detecting and possibly resolving semantic conflicts. Its originality is that each data source participating in the integration process contains an ontology that defines the meaning of its own data. This approach ensures the automation of the integration through regulation of semantic integration algorithm. Finally, land classification in field GIS is described as the example.",ontology,semantic integration,semantic heterogeneity,intelligent reasoning,GIS,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,NINTH INTERNATIONAL CONFERENCE ON DIGITAL IMAGE PROCESSING (ICDIP 2017),,,,
