,author1,author2,author3,author4,author5,author6,author7,author8,author9,author10,author11,title,journal/book,publish time,citation,abstract,keyword1,keyword2,keyword3,conference,keyword4,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,author12,author13,author14,author15,author16,author17,author18,author19,author20,author21,author22,author23,author24,author25,author26,author27,author28,author29,author30
Row_36,"Pan, Yongjie","Li, Xia","Wang, Danyun","Li, Suosuo","Wen, Lijuan",,,,,,,Impacts of Land Use/Land Cover Distributions on Permafrost Simulations on Tibetan Plateau,REMOTE SENSING,DEC 2023,2,"The Tibetan Plateau (TP) is distributed with large areas of permafrost, which have received increasing attention as the climate warms. Accurately modeling the extent of permafrost and permafrost changes is now an important challenge for climate change research and climate modeling in this region. Uncertainty in land use and land cover (LULC), which is important information characterizing surface conditions, directly affects the accuracy of the simulation of permafrost changes in land surface models. In order to investigate the effect of LULC uncertainty on permafrost simulation, we conducted simulation experiments on the TP using the Community Land Model, version 5 (CLM5) with five high-resolution LULC products in this study. Firstly, we evaluated the simulation results using shallow soil temperature data and deep borehole data at several sites. The results show that the model performs well in simulating shallow soil temperatures and deep soil temperature profiles. The effect of different land use products on the shallow soil temperature and deep soil temperature contours is not obvious due to the small differences in land use products at these sites. Although there is little difference in the simulating results of different land use products when compared to the permafrost distribution map, the differences are noticeable for the simulation of the active layer. Land cover had a greater impact on soil temperature simulations in regions with greater land use inconsistency, such as at the junction of bare soil and grassland in the northwestern part of the TP, as well as in the southeast region with complex topography. The main way in which this effect occurs is that land cover affects the net surface radiation, which in turn causes differences in soil temperature simulations. In addition, we discuss other factors affecting permafrost simulation results and point out that increasing the model plant function types as well as carefully selecting LULC products is one of the most important ways to improve the simulation performance of land-surface models in permafrost regions.",land use/land cover products,permafrost simulation,Tibetan Plateau,,land surface model,,,,,,,,,,,,,,,,,,,,,,,,,
Row_37,"Biedemariam, Muluberhan","Birhane, Emiru","Demissie, Biadgilgn","Tadesse, Tewodros","Gebresamuel, Girmay","Habtu, Solomon",,,,,,Ecosystem Service Values as Related to Land Use and Land Cover Changes in Ethiopia: A Review,LAND,DEC 2022,17,"Humans worldwide depend on ecosystems and the services they provide. Land use and land cover change increasingly, influencing ecosystem values to the extent that the rate and direction of change occurred. The objective of this study was to review the link between changes in Land Use and Land Cover (LULC) and Ecosystem Service Value (ESV), with emphasis on mountainous landscapes in Ethiopia. The reviewers used the Preferred Reporting Items for Systematic Review and Meta-Analysis (PRISMA) guideline in the reviewing process. Area-specific and country-level studies showed that the ESV changed as the result of the LULC changes in the country. The change in land use in Ethiopia resulted not only in the loss of ESVs but also in the gain of ESVs depending on the type of man's activity. Negative change in LULC-especially the deterioration of land cover types such as forest land, shrub land and grass land-resulted in the loss of ESVs, whereas positive LULC change increased the value of ESVs. In Ethiopia, there is a loss of about USD 85 billion per year from the loss of ecosystem services. To save, improve and promote ESVs, land restoration and rehabilitation activities are important. The review provides insights into the need for and focus of future studies on LULC changes and the valuing of ESVs to understand the impact of changes in LULC on ESVs, considering existing and forecasted population increase in rapidly urbanizing areas.",ecosystem services,Ethiopia,land use and land cover,,change,linkage,,,,,,,,,,,,,,,,,,,,,,,,
Row_38,"Addisie, Meseret B. B.","Molla, Gashaw","Teshome, Menberu","Ayele, Gebiaw T. T.",,,,,,,,Evaluating Biophysical Conservation Practices with Dynamic Land Use and Land Cover in the Highlands of Ethiopia,LAND,DEC 2022,4,"Ethiopia is one of the sub-Saharan countries affected by land degradation, notably by soil erosion. The government of Ethiopia has launched an extensive biophysical soil and water conservation (SWC) effort each year to address the problem. These practices were installed on varying land use and land cover (LULC) systems. Despite the fact that the interventions covered the majority of the landmasses, there were no quantitative data on the scale of biophysical measures with the change in land use and land cover. Therefore, the objective of this study was to evaluate biophysical conservation practices with dynamic land use and land cover in the highlands of Ethiopia. The study focused on districts of the Amhara regional state's South Gondar zone. A mixed research methodology was employed to gather pertinent data for the study. The dynamics of LULC were analyzed using satellite images acquired between 1990 and 2020. Biophysical conservation measures' data and qualitative information were collected from the zonal office of agriculture. Twelve years' worth of biophysical SWC measures data were used for the study. The results indicate that cultivated land makes up the majority of land use and land cover. Bunds built on cultivated land account for 93% of conservation practices. During the study period, there was a significant decline of biophysical conservation practices implementation in each district. Although plantation was used on a wider scale, it was unable to sustain physical SWC practices or expand forest cover in the region. In addition, lack of integrated maintenance for early installed structures decreases the effectiveness of SWC measures. In conclusion, the dynamics of LULC have a significant impact on the magnitude of biophysical conservation measures. Therefore, watershed managers shall consider the spatio-temporal variation of LULC while planning conservation practices.",land degradation,land use land cover,biophysical measures,,maintenance,sustainability,,,,,,,,,,,,,,,,,,,,,,,,
Row_39,"Rangel-Peraza, Jesus Gabriel","Sanhouse-Garcia, Antonio J.","Flores-Gonzalez, Lizbeth M.","Monjardin-Armenta, Sergio A.","Mora-Felix, Zuriel Dathan","Renteria-Guevara, Sergio Arturo","Bustos-Terrones, Yaneth A.",,,,,Effect of land use and land cover changes on land surface warming in an intensive agricultural region,JOURNAL OF ENVIRONMENTAL MANAGEMENT,DEC 2024,0,"Deforestation and alterations in land use are key factors contributing to rises in both local and global temperatures. However, the effect of these alterations on land surface temperature (LST) remains understudied in many areas that have experienced significant changes in land use. To address this gap, a spatial and temporal evaluation of land use and land cover (LULC) was performed to identify potential changes in LST using satellite imagery and statistical analysis. This study focused on the central and northern zones of Sinaloa, Mexico, an agriculturally important region where cultivated land has expanded in recent years, covering the period from 1993 to 2017. The results demonstrated that the study area exhibited an increase in LST over time, which was strongly linked to the expansion of agricultural land. The least-squares method also demonstrated warming trends in both the winter and summer seasons. An increasing rate of 0.1672 degrees C/year was found in winter, while a LST value of 0.1176 degrees C/year was found in summer. Warming areas were identified in the foothill regions and an increase in LST in mountain ranges was observed, where a loss of low deciduous forest cover was detected.",Land surface temperature,Land use and land cover,Land surface warming,,LST increase rate,LST trend analysis,Agricultural land use effects,,,,,,,,,,,,,,,,,,,,,,,
Row_40,"Chakraborty, K.","Joshi, P. K.","Sarma, K. K.",,,,,,,,,Land Use/Land Cover Dynamics in Umngot Watershed of Meghalaya using Geospatial Tools,JOURNAL OF THE INDIAN SOCIETY OF REMOTE SENSING,MAR 2009,3,"Meghalaya is a landlocked state where the progress of industrialization is very slow. Majority of the population (rural) depends on agriculture. Agriculture in the state is carried on in primitive ways with Jhumming prevailing in many parts. This practice is considered destructive as vast forest areas are cleared and burnt. Such areas are used for cultivation and left out. After a gap of few years (2-3 years as of now and 15-20 years in past) the area is revisited for cultivation without allowing to rejuvenate. The present work provides a status and trend of Land use land cover dynamics in parts (at watershed level) of Meghalaya. The geospatial tools have been used to assess (a) the changes in land use land cover since 1970s to 2005; (b) patch dynamics for understanding the degree of fragmentation; (c) changes along the terrain topography. Umngot watershed of Meghalaya is taken as experimental area, which is a representative of mid-altitudinal watershed particularly in the Jaintia hills district of Meghalaya.",Land use,Land cover,Dynamics,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_41,"Gondwe, Monica Fides","Cho, Moses Azong","Chirwa, Paxie Wanangwa","Geldenhuys, Coert Johannes",,,,,,,,Land use land cover change and the comparative impact of co-management and government-management on the forest cover in Malawi (1999-2018),JOURNAL OF LAND USE SCIENCE,NOV 2 2019,37,"Miombo Woodland is the major Land use/land cover with important ecological functions in Africa. In Malawi, government-management was designed to manage Woodlands. However, when illegal activities continued, Participatory Forest Management (co-management) in forest reserves was institutionalised for woodland sustainability. Currently, information on co-management mitigating deforestation and degradation is scant. This study assessed woodland/forest through Land use/land cover (LULC) classification across the country (Malawi); compared forest cover within and between strategies using 11 co-management and 12 government-management forest reserves across the country between 1999 and 2018. Overall accuracies were >90%. Woodland net loses 8.4% (4.39-3.39 million ha) were to Plantation, Grassland and Agriculture transition intensities. Agriculture net gains 9.6% (1.87-3.00 million ha) were from Grassland, Settlement and Woodland transitions for the whole Malawi. Forest cover within co-management and government-management indicated loses. Sustainable management of degraded woodlands, integrated Agriculture and monitoring is encouraged. Further interpretation of transitions is recommended.",Malawi,Land use,land cover,,forest cover,co-management,government management,Miombo Woodlands,,,,,,,,,,,,,,,,,,,,,,
Row_42,"Du, Yun","Bagan, Hasi","Takeuchi, Wataru",,,,,,,,,"LAND-USE/LAND-COVER CHANGE AND DRIVERS OF LAND DEGRADATION IN THE HORQIN SANDY LAND, CHINA",,2019,3,"In this study, we used the multi-temporal Landsat images of 1985, 2000 and 2017 to evaluate the land use/cover change of Horqin sandy land in the past 33 years by using the classification method of Support Vector Machine (SVM). The study shows that grassland, cropland, woodland, water area and sandy land changed significantly during this period. The analysis of Land cover/use in the Horqin sandy land reveals two separate specific trends between the first 16 years (1985-2000) and the subsequent 17 years (20012017). Generally, grassland and woodland decreased gradually, replaced by a significant increase in cropland area and a gradual expansion of sandy land prior to 2000. This could be related to the household responsibility system. While after 2000 the grassland increased. This could be due to the policy of returning grazing to grassland. From 1985 to 2017, however, the water area has continued to decrease.",Horqin Sandy Land,Landsat,Classification,2019 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM (IGARSS 2019),Land-use/Land-cover change,,,,,,,,,,,,,,,,,,,,,,,,,
Row_43,"Pai, Jagadeesha B.","Shenoy, Narayana K.",,,,,,,,,,"Land Use Land Cover Pattern in the Vicinity of Mannapalla Lake, Manipal",,2015,1,"In the present study, an attempt has been made to ascertain the storage capacity of Mannapalla lake, Manipal, Udupi District, India, by conventional method, and to understand the change in the land use pattern. The work involved is of twofold. The actual field survey has been carried out by total station and the storage capacity is found. In the second step, Survey of India toposheet and Satellite data of 2002, 2009 and 2011 is used to generate the land use land cover map and the study has been carried out to identify the changes in land use land cover pattern in the vicinity of the lake. The volume of Mannapalla lake is obtained to be 690650.3m3 using prismoidal method. There is significant change in Land use pattern has been observed from 2002 to 2011, i.e. the area under vegetation has considerably decreased and more buildings and structures have sprung. (C) 2015 The Authors. Published by Elsevier B.V.",land Use Land cover,storage capacity,remote sensing,"INTERNATIONAL CONFERENCE ON WATER RESOURCES, COASTAL AND OCEAN ENGINEERING (ICWRCOE'15)",total station,,,,,,,,,,,,,,,,,,,,,,,,,
Row_44,"Li, Wei","Ciais, Philippe","MacBean, Natasha","Peng, Shushi","Defourny, Pierre","Bontemps, Sophie",,,,,,Major forest changes and land cover transitions based on plant functional types derived from the ESA CCI Land Cover product,INTERNATIONAL JOURNAL OF APPLIED EARTH OBSERVATION AND GEOINFORMATION,MAY 2016,63,"Land use and land cover change are of prime concern due to their impacts on CO2 emissions, climate change and ecological services. New global land cover products at 300 m resolution from the European Space Agency (ESA) Climate Change Initiative Land Cover (CCI LC) project for epochs centered around 2000, 2005 and 2010 were analyzed to investigate forest area change and land cover transitions. Plant functional types (PFTs) fractions were derived from these land cover products according to a conversion table. The gross global forest loss between 2000 and 2010 is 172,171 km(2), accounting for 0.6% of the global forest area in year 2000. The forest changes are mainly distributed in tropical areas such as Brazil and Indonesia. Forest gains were only observed between 2005 and 2010 with a global area of 9844 km(2), mostly from crops in Southeast Asia and South America. The predominant PFT transition is deforestation from forest to crop, accounting for four-fifths of the total increase of cropland area between 2000 and 2010. The transitions from forest to bare soil, shrub, and grass also contributed strongly to the total areal change in PFTs. Different PFT transition matrices and composition patterns were found in different regions. The highest fractions of forest to bare soil transitions were found in the United States and Canada, reflecting forest management practices. Most of the degradation from grassland and shrubland to bare soil occurred in boreal regions. The areal percentage of forest loss and land cover transitions generally decreased from 2000-2005 to 2005-2010. Different data sources and uncertainty in the conversion factors (converting from original LC classes to PFTs) contribute to the discrepancy in the values of change in absolute forest area. (C) 2015 Elsevier B.V. All rights reserved.",Forest change,Land cover transition,ESA land cover map,,PFT map,,,,,,,,,,,,,,,,,,,,,,,,,
Row_45,"Ayazli, Ismail Ercument",,,,,,,,,,,Investigating the interactions between spatiotemporal land use/land cover dynamics and private land ownership,LAND USE POLICY,JUN 2024,1,"Increasing population caused by migration from rural to urban leads the cities, whose ownership is primarily public, to spread over forest areas and agricultural lands in their periphery. Today, simulation models created by geospatial data mining (GDM) techniques are frequently used to model the effects of uncontrolled urban sprawl on land use/land cover (LULC) changes. However, most of these models have yet to consider the impact of ownership diversities. The study's main purpose is to investigate the interactions and interdependencies between Spatiotemporal LULC changes and private land ownership and monitor the precipitous urban sprawl through simulation models created by GDM techniques. In this context, the Sancaktepe district of Istanbul, where the population growth is rapid and the LULC change is very excessive, was chosen as the study area. CORINE LULC data for 1990, 2000, and 2018 were used in the study. Two hybrid prediction models were produced for 2040 by integrating multi-layer perception (MLP) and support vector machine (SVM) algorithms with Markov Chains (MC) method. A base model was prepared with the intersection of these two to take protection precautions in the short and medium term. According to the results, it was determined by MLP that private land ownership significantly affects LULC. In addition, the pressure of urbanization on forests and agricultural lands, most of which are publicly owned, increases, and urban sprawl causes informal settlement.",Land use/land cover change,Informal settlement,Geospatial data mining,,Urban geosimulation,Urban sprawl,,,,,,,,,,,,,,,,,,,,,,,,
Row_46,"Jin, Min","Feng, Ruyi","Wang, Lizhe","Yan, Jining",,,,,,,,A Study of Diffusion Equation-Based Land-Use/Land-Cover Change Simulation,ISPRS INTERNATIONAL JOURNAL OF GEO-INFORMATION,JUN 2021,3,"Simulating and predicting the development and changes in urban land change can provide valuable references for the sustainable development of cities. However, the change process of urban land-use/land-cover is a complex process involving multiple factors and multiple relationships. This dilemma makes it very challenging to accurately simulate the results and to make predictions. In response to this problem, we started with the physical characteristics of the land-use/land-cover change process and constructed a diffusion equation to simulate and predict urban land-use/land-cover changes. The diffusion equation is used to describe the diffusion characteristics of the land-use/land-cover change process, which helps to understand the urban land-use/land-cover change process. The experimental results show that (1) the diffusion equation we constructed can simulate urban land-use/land-cover changes, (2) the simulation process of the model is not limited by the time interval of the time series data itself, and (3) the model only requires one parameter without other constraints.",remote sensing,land-use,land-cover,,diffusion equation,,,,,,,,,,,,,,,,,,,,,,,,,
Row_47,"Rachman, Faizal","Huang, Jinliang","Xue, Xiongzhi","Marfai, Muh Aris",,,,,,,,"Insights from 30 Years of Land Use/Land Cover Transitions in Jakarta, Indonesia, via Intensity Analysis",LAND,APR 2024,2,"Here, we assess land use/land cover (LULC) transitions over the last 30 years in Jakarta, Indonesia. Land cover maps were prepared for 1990, 1995, 2000, 2005, 2010, 2015, and 2020 using seven categories of Landsat satellite image: bare land, built-up, cropland, green area, mangrove, water body, and pond. LULC changes were assessed through intensity analyses at the interval and transition levels. LULC changes were initially rapid (1990-1995) and then more gradual (1995-2000, 2000-2005, and 2005-2010). Unlike in previous intervals, annual changes were uniformly distributed over time in 2010-2015 and 2015-2020. Driven by high population and economic growth, built-up land was identified as an active gainer in all intervals except 2010-2015. Alongside built-up areas, cropland was the main supplier of other categories, including bare land, pond, built-up, and green areas. The largest transition area occurred in pond and green areas during 2005-2010 and in built-up land during 2015-2020. High demand for built-up land was observed in land changes driven by high population growth triggered by economic necessity. Economic and population growth exhibited a positive correlation (R2 = 0.78, t = 9.996). This study elucidates spatiotemporal LULC transition patterns over 30 years in a rapidly growing city.",land use,land cover,intensity analysis,,transition,Jakarta,,,,,,,,,,,,,,,,,,,,,,,,
Row_48,"Dinc, Gizem","Gul, Atila",,,,,,,,,,Estimation of the future land cover using Corine Land Cover data Estimation of the future land cover,TEMA-JOURNAL OF LAND USE MOBILITY AND ENVIRONMENT,AUG 2021,10,"In this study, linear and polynomial regression functions were applied to the Corine Land Cover (CLC) data to quantitatively estimate the future land cover for three different cities of Turkey, Ankara, Istanbul and Izmir. For the related cities, the CLC data sets recorded for every 6 years between the years 2000-2018 were individually obtained from satellite images for monitoring changes in land cover for Turkey. These data allow us to have information about artificial surfaces, agricultural areas, natural and semi-natural areas, wetland and water bodies which have been changed accordingly urbanization process in Turkey. Based on CLC data of 2000, 2006, 2012 and 2018 the areas and widths of artificial surfaces spread in these three cities were determined. Mathematical calculations were made by using the linear and polynomial regression models to understand what the future scenarios would be in order to understand what would happen if these changes continued in the same way. To conclude, revealing the possible scenarios in the future will provide important outputs for land cover and will contribute to the development of urban planning and the creation of sustainable cities.",Quantitative estimation,Effect of urbanization,Land cover change,,Linear and polynomial functions,Corine land cover data,,,,,,,,,,,,,,,,,,,,,,,,
Row_49,"Bounouh, Oumayma","Essid, Houcine","Farah, Imed Riadh",,,,,,,,,Prediction of Land Use/Land Cover Change methods: A Study,,2017,1,"Prediction of Land use and cover change using remotely sensed imagery has attracted huge attention. From several decades, multiple researchers have investigated different approaches. The complex nature of the land use change process, due to human-nature interactions and the singularities of satellite images, demands a well-studied approach. Yet, a synthesis document is needed to provide a synthetic director paper combining the proposed and/or used models, their advantages and drawbacks. Hence, such studies are required to face the huge demands of land cover changes prediction needs. Therefore, this paper presents a review of prediction models used for land cover change variability purposes. A classification scheme is proposed to enable better specification of current forecasting models.",Prediction,Land use,land cover change,2017 3RD INTERNATIONAL CONFERENCE ON ADVANCED TECHNOLOGIES FOR SIGNAL AND IMAGE PROCESSING (ATSIP),remotely sensing imagery,,,,,,,,,,,,,,,,,,,,,,,,,
Row_50,"Vadrevu, Krishna Prasad","Ohara, Toshimasa",,,,,,,,,,Focus on land use cover changes and environmental impacts in South/Southeast Asia,ENVIRONMENTAL RESEARCH LETTERS,OCT 2020,13,"Understanding the impacts of land use cover changes (LUCC) on the environment is one of the most important scientific challenges in global change research. LUCC is one of the critical drivers of environmental change in South/Southeast Asia. Several studies suggest that LUCC in these countries is driven by population growth and economic development. In the region, LUCC is manifested in a variety of phenomena such as urban expansion, agricultural land loss, land abandonment, deforestation, logging, reforestation, etc. Documenting the LUCC and associated impacts gain significance as the results can aid improved land management. This editorial provides a summary and discussion of the nine different articles of the Focus issue, focusing on ground-based measurements, remote sensing, and modeling to quantify LUCC impacts. The results will be useful to academics, practitioners, government, and policymakers to quantify and address sustainable LUCC issues in South/Southeast Asian countries. The published papers add significant new science to the existing literature.",land use cover changes,population growth,urban expansion,,agricultural land loss,deforestation,land abandonment,remote sensing,,,,,,,,,,,,,,,,,,,,,,
Row_51,"Bessah, Enoch","Bala, Abdullahi","Agodzo, Sampson Kweku","Okhimamhe, Appollonia Aimiosino","Boakye, Emmanuel Amoah","Ibrahim, Saratu Usman",,,,,,"The impact of crop farmers' decisions on future land use, land cover changes in Kintampo North Municipality of Ghana",INTERNATIONAL JOURNAL OF CLIMATE CHANGE STRATEGIES AND MANAGEMENT,JAN 14 2019,16,"Purpose This paper aims to assess the rate and land category contributing to the changes in seven land-uses in the Kintampo North Municipality of Ghana and the effect of the decisions of land users on future landscapes. Design/methodology/approach LANDSAT images were classified to generate land use/cover maps to detect changes that had occurred between 1986 and 2014. In total, 120 farmers were also interviewed to determine their perceptions on land use changes. Interval, category and transition levels of changes were determined. Savanna woodland, settlement and forest were mostly converted to farmland in both intervals (1986-2001 and 2001-2014). Findings Results showed that rock outcrop, plantation, cropland and savanna woodland increased at an annual rate of 13.86, 1.57, 0.82 and 0.33 per cent, respectively, whilst forest, settlement and water body decreased at 4.90, 1.84 and 1.17 per cent annual rate of change, respectively. Approximately, 74 per cent of farmers will not change land use in the future, while 84.2 per cent plan to increase farm sizes. Research limitations/implications The study shows that more land cover will be targeted for conversion as farmers expand their farmlands. There is the need for strict implementation of appropriate land use/cover policies to sustain food production in the region in this era of changing climate and population increase. Originality/value This research assessed the land use changes in the Kintampo North Municipality and its impacts on agriculture and carbon stocks release via land use changes. It identified how the decisions of the local farmers on land management will affect future landscape.",Farmers' land use decisions,Intensity analysis,Land use and land cover change,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_52,"Meneses, Bruno M.",,,,,,,,,,,LAND USE AND LAND COVER CHANGES IN ZEZERE WATERSHED ( PORTUGAL): HYDRODYNAMICS IMPLICATIONS,REVISTA BRASILEIRA DE GEOMORFOLOGIA,OCT-DEC 2020,0,"This research presents the evaluation of the influence of the land use and land cover changes on hydrological dynamics of the Zezere Watershed, located in the Centre of Portugal. The methodology adopted to obtain the wetness index, stream power index and sediment transport index, and your modifi cation by the integration of the land use land cover data is explained. The results of these modified indexes, highlighting the spatial changes derived of land use and land cover changes. In analyzing of index results also was analyzed complementary data (electrical conductivity of water of a dam) to validate the variation of sediment production. The results demonstrate the influence of the land use and land cover changes on fluvial dynamics of the Zezere watershed, in particularly, changes in sediments production.",Water,Land use and land cover,Hydrologic dynamics,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_53,"Bessardon, Geoffrey","Rieutord, Thomas","Gleeson, Emily","Palmason, Bolli","Oswald, Sandro",,,,,,,High-Resolution Land Use Land Cover Dataset for Meteorological Modelling-Part 1: ECOCLIMAP-SG+ an Agreement-Based Dataset,LAND,NOV 2024,1,"ECOCLIMAP-SG+ is a new 60 m land use land cover dataset, which covers a continental domain and represents the 33 labels of the original ECOCLIMAP-SG dataset. ECOCLIMAP-SG is used in HARMONIE-AROME, the numerical weather prediction model used operationally by Met & Eacute;ireann and other national meteorological services. ECOCLIMAP-SG+ was created using an agreement-based method to combine information from many maps to overcome variations in semantic and geographical coverage, resolutions, formats, accuracy, and representative periods. In addition to ECOCLIMAP-SG+, the process generates an agreement score map, which estimates the uncertainty of the land cover labels in ECOCLIMAP-SG+ at each location in the domain. This work presents the first evaluation of ECOCLIMAP-SG and ECOCLIMAP-SG+ against the following trusted land cover maps: LUCAS 2022, the Irish National Land Cover 2018 dataset, and an Icelandic version of ECOCLIMAP-SG. Using a set of primary labels, ECOCLIMAP-SG+ outperforms ECOCLIMAP-SG regarding the F1-score against LUCAS 2022 over Europe and the Irish national land cover 2018 dataset. Similarly, it outperforms ECOCLIMAP-SG against the Icelandic version of ECOCLIMAP-SG for most of the represented secondary labels. The score map shows that the quality ECOCLIMAP-SG+ is hetereogeneous. It could be improved once new maps become available, but we do not control when they will be available. Therefore, the second part of this publication series aims at improving the map using machine learning.",land cover land use,meteorology,uncertainty quantification,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_54,"Sourn, Taingaun","Pok, Sophak","Chou, Phanith","Nut, Nareth","Theng, Dyna","Rath, Phanna","Reyes, Manuel R.","Prasad, P. V. Vara",,,,"Evaluation of Land Use and Land Cover Change and Its Drivers in Battambang Province, Cambodia from 1998 to 2018",SUSTAINABILITY,OCT 2021,14,"The main objective of this research was to evaluate land use and land cover (LULC) change in Battambang province of Cambodia over the last two decades. The LULC maps for 1998, 2003, 2008, 2013 and 2018 were produced from Landsat satellite imagery using the supervised classification technique with the maximum likelihood algorithm. Each map consisted of seven LULC classes: built-up area, water feature, grassland, shrubland, agricultural land, barren land and forest cover. The overall accuracies of the LULC maps were 93%, 82%, 94%, 93% and 83% for 1998, 2003, 2008, 2013 and 2018, respectively. The LULC change results showed a significant increase in agricultural land, and a large decrease in forest cover. Most of the changes in both LULC types occurred during 2003-2008. Overall, agricultural land, shrubland, water features, built-up areas and barren land increased by 287,600 hectares, 58,600 hectares, 8300 hectares, 4600 hectares and 1300 hectares, respectively, while forest cover and grassland decreased by 284,500 hectares and 76,000 hectares respectively. The rate of LULC changes in the upland areas were higher than those in the lowland areas of the province. The main drivers of LULC change identified over the period of study were policy, legal framework and projects to improve economy, population growth, infrastructure development, economic growth, rising land prices, and climate and environmental change. Landmine clearance projects and land concessions resulted in a transition from forest cover and shrubland to agricultural land. Population and economic growth not only resulted in an increase of built-up area, but also led to increasing demand for agricultural land and rising land prices, which triggered the changes of other LULC types. This research provides a long-term and detailed analysis of LULC change together with its drivers, which is useful for decision-makers to make and implement better policies for sustainable land management.",land use and land cover change,drivers,Cambodia,,LULC,multi-temporal,,,,,,,,,,,,,,,,,,,,,,,,
Row_55,"Alemu, Woubet G.","Neigh, Christopher S. R.","Caraballo-Vega, Jordan A.","Wooten, Margaret R.","Muluken, Ejigu","Maru, Gebre-Michael","Mulu, Chalie",,,,,LAND COVER MAPPING IN THE AMHARA REGION OF NORTHWEST ETHIOPIA USING CONVOLUTIONAL NEURAL NETWORKS AND DOMAIN ADAPTATION TECHNIQUES,,2023,0,"The Amhara region, in northwest Ethiopia, has a complex topography and highly fragmented croplands (averaging half a hectare). Mapping such fragmented LCLU areas requires very high-resolution satellite imagery and robust classification methodologies. To this end, we have used multi-temporal very-high-resolution (VHR) WorldView imagery (2 meters) in combination with Convolutional Neural Networks (CNNs), to map land cover classes across the entire Amhara region. This paper presents results from domain adaptation experiments using training data from Senegal to accurately map land cover classes at 2 m resolution in the Amhara region, Ethiopia. The Attention UNet CNNs provided promising results for predicting land cover in Ethiopia imagery using domain adaptation techniques and without the addition of local training labels, with an overall accuracy of 74%. We conclude that promising future research directions exist for transfer learning implementation to finetune our land cover classes with additional model refinement to the Amhara region.",Amhara region,Smallholder land cover land use,Convolutional Neural Networks (CNNs),IGARSS 2023 - 2023 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM,Domain Adaptation,World View VHR imageries,,,,,,,,,,,,,,,,,,,,,,,,
Row_56,"Gibbes, Cerian","Havlick, David G.","Robb, Joseph R.",,,,,,,,,Land use and land cover in a transitioning militarized landscape,JOURNAL OF LAND USE SCIENCE,2017,6,"The repurposing of military lands is common in many parts of the world and presents a variety of conservation opportunities. This study examines land cover at Big Oaks National Wildlife Refuge, Indiana (U.S.A.) as it transitioned from military proving ground to wildlife refuge from 1985 to 2013. We use remote sensing, semi-structured interviews, and a review of planning and management documents to examine this transition. Limited change in land cover composition and distribution are detected, despite changes in use and management. This landscape similarity relates to similarities in land management practices, and the impact of landscape history on current management practices. The findings suggest that military use and conservation objectives at this site yield similar land covers and are not necessarily in contrast to each other. As military base closures continue, the potential to maintain and expand conservation opportunities on these lands will likely grow in importance.",Land use,land transitions,conservation,,militarized landscapes,Big Oaks National Wildlife Refuge,,,,,,,,,,,,,,,,,,,,,,,,
Row_57,"Ma, Jun","Wang, Jinliang","Zhang, Jianpeng","He, Suling","Liu, Lanfang","Zhong, Xuzheng",,,,,,The Impact of Land Use and Land Cover Changes on Ecosystem Services Value in Laos between 2000 and 2020,LAND,OCT 2024,0,"Land use and land cover changes significantly affect the function and value of ecosystem services (ES). Exploring the spatial correspondence between changes in land cover and ES is conducive to optimizing the land use structure and increasing regional coordinated development. Thus, this study aimed to examine changes in land use and land cover (30 x 30 m) in Laos between 2000 and 2020 and their effects on ecosystem services value (ESV) using the Global Surface Cover Database land use data for 2000 to 2020, ArcGIS technology, and the table of Costanza's value coefficients. The study results indicated that forest (79.5%), cultivated land (10.6%), and grassland (8.3%) were the dominant land use types in Laos over the past two decades. The forest area decreased significantly, while there were increases in other land types, and the forest was transformed into cultivated land and grassland. ES in Laos was valued at about USD 140-150 billion, with forest contributing the most, followed by cultivated land and grassland. ESV over the last two decades in Laos has increased by USD 3.94 million. Large values were assigned to regulating services (40%) and supporting services (14%). The ESV of food production, soil formation, and water supply increased, and the ESV of climate regulation, genetic resources, and erosion control decreased. In addition, the elasticity value of artificial surfaces was more prominent, with a more evident impact on ESV. For future development, Laos should rationally plan land resources, develop sustainable industries, maintain the dynamic balance of second-category ESV, and achieve sustainable economic and ecological development. This study provides a scientific basis for revealing changes in ESV in Laos over the past two decades, maintaining the stability and sustainable development of the environment in Laos, and realizing the sustainable use and efficient management of the local environmental resources.",ecosystem services value,land use and land cover,Costanza's value coefficients,,hotspot analysis,Laos,,,,,,,,,,,,,,,,,,,,,,,,
