,author1,author2,title,journal/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,keyword5,author3,author4,author5,author6,author7,author8,keyword6,author9,author10,keyword7,conference,keyword8,keyword9,author11,keyword10,keyword11,keyword12,keyword13,author12,keyword14,keyword15,keyword16,keyword17,keyword18,author13,author14,author15
Row_327,"Cao, Zheng","Liu, Tao",Individual and Interactive Effects of Socio-Ecological Factors on Dengue Fever at Fine Spatial Scale: A Geographical Detector-Based Analysis,INTERNATIONAL JOURNAL OF ENVIRONMENTAL RESEARCH AND PUBLIC HEALTH,JUL 2017,29,"Background: Large spatial heterogeneity was observed in the dengue fever outbreak in Guangzhou in 2014, however, the underlying reasons remain unknown. We examined whether socio-ecological factors affected the spatial distribution and their interactive effects. Methods: Moran's I was applied to first examine the spatial cluster of dengue fever in Guangzhou. Nine socio-ecological factors were chosen to represent the urbanization level, economy, accessibility, environment, and the weather of the 167 townships/streets in Guangzhou, and then the geographical detector was applied to analyze the individual and interactive effects of these factors on the dengue outbreak. Results: Four clusters of dengue fever were identified in Guangzhou in 2014, including one hot spot in the central area of Guangzhou and three cold spots in the suburban districts. For individual effects, the temperature (q = 0.33) was the dominant factor of dengue fever, followed by precipitation (q = 0.24), road density (q = 0.24), and water body area (q = 0.23). For the interactive effects, the combination of high precipitation, high temperature, and high road density might result in increased dengue fever incidence. Moreover, urban villages might be the dengue fever hot spots. Conclusions: Our study suggests that some socio-ecological factors might either separately or jointly influence the spatial distribution of dengue fever in Guangzhou.",dengue fever,socio-ecological factors,geographical detectors,GIS and RS,,"Li, Xing","Wang, Jin","Lin, Hualiang","Chen, Lingling","Wu, Zhifeng","Ma, Wenjun",,,,,,,,,,,,,,,,,,,,,
Row_328,"Alderighi, Marco","Piga, Claudio A.","SELECTION, HETEROGENEITY, AND ENTRY IN PROFESSIONAL MARKETS",JOURNAL OF ECONOMICS & MANAGEMENT STRATEGY,WIN 2014,6,"We analyze two different cases of entry regulation in professional markets: first, when licensing is a requirement for becoming a professional (lawyers); second, when entry and price restrictions are applied on a geographical basis (pharmacists). Both cases are investigated within a circular model of localized competition and heterogeneous players. The analysis reveals that licensing introduces a selection mechanism which is effective in preventing entry of inefficient players in markets with large ex ante heterogeneity. Furthermore, because in the second case excessive entry is reduced as the degree of heterogeneity increases, our analysis lends support to a policy that simultaneously relaxes entry and price restrictions.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_329,"Cheng, Shifen","Zhang, Wenhui",An explainable spatial interpolation method considering spatial stratified heterogeneity,INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,NOV 2024,0,"Spatial interpolation is essential for handling sparsity and missing spatial data. Current machine learning-based spatial interpolation methods are subject to the statistical constraints of spatial stratified heterogeneity (SSH), normally involving separate modeling of each stratum and simple weighted averaging to integrate intra-stratum and inter-strata features. However, these models overlook the different contributions of inter-strata features to different locations within a stratum (heterogeneous inter-strata associations, HIA) and the explanation of spatial effects on the interpolation process, leading to suboptimal and unreliable interpolation outcomes. This article proposes a novel explainable spatial interpolation method considering SSH (X-SSHM). Spatial and environmental features are utilized to describe intra-stratum and inter-strata information, which are fed into random forest-based learners to achieve high-level semantic feature mapping. Geographically weighted regression is employed to integrate intra-stratum and inter-strata features to achieve a unified expression of SSH and HIA, obtaining the final interpolation result. Geographically weighted Shapley (GSHAP) is proposed to decompose the marginal contributions of intra-stratum and inter-strata features. Model performance is evaluated on simulated and soil organic matter datasets. X-SSHM outperformed five baselines regarding interpolation accuracy. Moreover, statistical methods validated X-SSHM's ability to elucidate the mechanisms by which SSH, spatial autocorrelation and HIA affect the model interpolation process.",Spatial interpolation,spatial association,spatial heterogeneity,explainability,,"Luo, Peng","Wang, Lizeng","Lu, Feng",,,,,,,,,,,,,,,,,,,,,,,,
Row_330,"Hu, Cheng","Zhu, Xuezhong",The impact of external technology acquisition on enterprise innovation performance: the moderating effect of geographical distance,TECHNOLOGY ANALYSIS & STRATEGIC MANAGEMENT,OCT 2 2024,4,"Enterprises often acquire technologies from external sources which are geographically dispersed. Although previous literatures have discussed the role of external technology acquisition (ETA) in enterprises' innovation performance, how innovation is affected by the breadth and depth of ETA is less investigated, and little is known about how geographical distance (GD) is involved. Therefore, this paper first analyses the relationship between the breadth, depth of ETA and enterprises' innovation performance with patent transaction data of listed manufacturing enterprises in China. Then we further investigate how GD moderates the relationship. Results show that both the breadth and depth of ETA positively affect enterprises' innovation performance. GD has no moderating effect on the relationship between the breadth of ETA and enterprises' innovation performance, but negatively moderates the relationship between the depth of ETA and enterprises' innovation performance. Our results have implications for enterprises' ETA strategy.",External technology acquisition,innovation performance,geographical distance,patent transaction,,"Liu, Rui","Teng, Ziyou",,,,,,,,,,,,,,,,,,,,,,,,,
Row_331,"Hu, Xuqian","He, Canfei","FIRM HETEROGENEITY, MARKET RELATEDNESS AND GEOGRAPHICAL DIVERSIFICATION OF EXPORT FROM CHINA",ERDKUNDE,JUL-SEP 2020,1,"Based on traditional international theories, exporters always expand their export markets in an incremental way. However, there are many exporters who do not obey the traditional path and enter foreign markets at the beginning of their internationalization, so called 'born globals (BGs)'. It seems that the BGs are more path-breaking, but the relative influence of local export network on both types of exporters remains an open question. Using firm-market level database of Chinese custom statistics during 2002-2011, we confirm that local export network of markets facilitates firms including BGs to enter the markets that are more related to the network. And the BGs even benefit more from the local export network of markets than traditional exporters (TEs).",Economic geography,traditional exporters,born globals,market diversification,relatedness of export market,,,,,,,China,,,,,,,,,,,,,,,,,,,,
Row_332,"Wang, Teng","Zhao, Xiaoyang","Geographical influences, media attention and enterprise digital transformation",TECHNOLOGICAL FORECASTING AND SOCIAL CHANGE,JAN 2025,0,"We investigate how geographic factors influence enterprise digital transformation (EDT) by applying resource dependence theory and the attention-based view. Analyzing spatial and attribute data from Chinese firms between 2011 and 2020, our study reveals three key findings: (1) proximity to major cities positively affects EDT; (2) local enterprise digitalization density (LEDD) mediates the relationship between city proximity and EDT; and (3) media attention has an inverted U-shaped moderating effect on both the relationship between LEDD and EDT, and on LEDD's mediation effect. Our heterogeneity analysis shows that compared to non-provincial dual-core cities, proximity to major cities has stronger influence on enterprise digital transformation in provincial capitals and first-tier cities. Additionally, the impact of proximity to major cities on EDT is significantly stronger for non- state-owned enterprises and technology-intensive enterprises. Our research broadens the understanding of the spatial dimensions of digital transformation, offering a nuanced theoretical framework that highlights the interplays between geographic and cognitive factors in shaping corporate digital strategy. These insights have valuable implications for policymakers and business leaders seeking to promote enterprise digital transformation.",Enterprise digital transformation,Geographical location,Proximity to major cities,Local density,Media attention,"Li, Xiaotong",,,,,,,,,,,,,,,,,,,,,,,,,,
Row_333,"Thai, K. T. D.","Nagelkerke, N.",Geographical heterogeneity of dengue transmission in two villages in Southern Vietnam,TROPICAL MEDICINE & INTERNATIONAL HEALTH,SEP 2009,0,,,,,,,"Phuong, H. L.","Nga, T. T. T.","Giao, P. T.","Hung, L. Q.","Binh, T. Q.","Nam, N. V.",,"de Vries, P. J.",,,,,,,,,,,,,,,,,,,
Row_334,"Pan, Zhenzhen","Wang, Jianwei",Spatially heterogeneity response of ecosystem services supply and demand to urbanization in China,ECOLOGICAL ENGINEERING,NOV 1 2021,53,"A deep understanding of the impact of urbanization on ecosystem service (ES) supply and demand is crucial to regional ecological management and sustainable development. The existing studies mainly focused on the various impacts of urbanization on ES supply, however, there is still a lack of comprehensive research on the spatial heterogeneity response of ES supply, demand and supply-demand ratio (i.e., surplus or deficit) to urbanization, especially at the national scale. To fill this gap, we measured the spatiotemporal changes of ES supply, demand and supply-demand ratios in China utilizing the ecological footprint model at the county scale of resolution. Additionally, the Geographical Weighted Regression (GWR) model was used to explore the spatial heterogeneity response of ES supply, demand and supply-demand ratios to different types of urbanization (i.e., population, economic and land). The results showed that areas with larger total ES demand was mainly concentrated in the Northeast Plain, Liaodong Peninsula, North China Plain, Pearl River Delta, Southeast coastal areas, and Sichuan Basin, while the northwest, northeast and north of China had the greater total ES supply. The counties with strong ES deficit were found in southeastern China, while, most counties in northwestern China were in ES surplus. Additionally, there was significant spatial heterogeneity influence of different types of urbanization on ES in China. Population urbanization in the southeast and south of China had a strong positive impact on the supply-demand ratio in 2000 and 2015, while economic urbanization in the northwest and south regions exerted a more remarkable positive influence. The greater positive impact of land urbanization on the supply-demand ratios was mostly concentrated in northwest China in 2000, and this effect also appeared in southeast China in 2015. Moreover, land urbanization presented a more direct and dominant impact on the ES supply, demand and supply-demand ratios than population and economic urbanization. The findings highlighted that we should focus on the impact of urban expansion on the ecosystem, formulating rational land use planning and optimizing urban spatial configurations, can be used to offset the ES deficit and realize regional sustainable development.",Spatially heterogeneity response,Urbanization,Ecosystem services supply and demand,Supply-demand ratio,China,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_335,"Juan, Wang","Kexin, Wang",Fishery knowledge spillover effects on tourism economic growth in China - Spatiotemporal effects and regional heterogeneity,MARINE POLICY,MAY 2022,7,"Fishery has accumulated a rich industrial foundation and professional knowledge, leading to knowledge spillover that has informed industrial extension and transformation. This paper takes 29 provinces, autonomous regions, and municipalities in China from 2011 to 2020 as provincial panel data and adopts the spatial Dubin panel model to explore the spatiotemporal effects and regional heterogeneity of fishery knowledge spillover on tourism economic growth. Several findings emerge: (1) fishery's coded knowledge spillover and tacit knowledge can each positively promote tourism economic growth, and the total effect of fishery tacit knowledge spillover is stronger; (2) in terms of fishery knowledge's spatial spillover effects, fishery patents can transcend geographical distance to areas outside fishery practitioners' usual places of residence; (3) fishery knowledge spillover effects on tourism economic growth are spatiotemporally heterogeneous, and the effects gradually decline from eastern to western China. Specific policies should thus be introduced to strengthen regional cooperation and development to increase fishery efficiency and fishers' income. Technological innovation should also be encouraged in fishery along with the interactive exchange of advanced production experience.",Fishery knowledge spillover effects,Tourism economic growth,Spatiotemporal effects,Regional heterogeneity,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_336,"Mattea, Stefanie",,Exploring Spatial Sources of Preference Heterogeneity for Landslide Protection,LAND ECONOMICS,AUG 2019,2,"This paper explores the sources of preference heterogeneity for landslide protection, with a special focus on spatial determinants. The data were collected using a stated preference survey of landslide hazards in an Italian mountain valley, using a best-worst ranking approach, in-person interviews, and site-specific choice sets. Preference heterogeneity is analyzed using individual and spatial variables with a focus on the importance of geographical characteristics, spatial error components, and landslide locational effects. Results from spatial choice models reveal the importance of accounting for spatial heterogeneity at different levels, given that taste variations were present at both individual and municipality levels.",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_337,"Liu, Mengyang","Liu, Yuxuan",Nonlinear effects of built environment features on metro ridership: An integrated exploration with machine learning considering spatial heterogeneity,SUSTAINABLE CITIES AND SOCIETY,AUG 2023,14,"This study explored the nonlinear effects of built environment features on metro ridership and proposes an analytical framework that integrates a gradient boosting decision tree with spatial calibration and validation. Station-level boarding and alighting ridership at different times of the day was obtained from smart card records and used as the dependent variable. Nineteen independent variables, including land use, were calculated based on the directional and size-various catchment area defined by shared bike's origin-destination data. This framework, which accounts for spatial heterogeneity demonstrated strong goodness-of-fit and prediction capa-bility, which has been ignored in previous studies. Furthermore, the proposed framework contributed to modeling based on geographical weighted regression and global machine learning models. Local relative importance mapping of built environment variables revealed varying impacts across Shanghai, diverging from the common practice of averaging into a single value in global machine learning models. Additionally, the nonlinear relationship between influencing variables, such as leisure and shopping, demonstrated a positive trend with boarding and alighting ridership in different periods, and spatio-temporal heterogeneity with the effective range and threshold effect. Rather than focusing on increasing development density to boost metro ridership, this study assesses the saturation of station-level built environment to enable more accurate decision -making based on location, station design, station-area planning, and investment priorities in urban areas.",metro ridership,built environment,spatial validation,nonlinear effects,spatial heterogeneity,"Ye, Yu",,,,,,,,,,,,,,,,,,,,,,,,,,
Row_338,Phuc Trong Ho,"Burton, Michael","Quantifying heterogeneity, heteroscedasticity and publication bias effects on technical efficiency estimates of rice farming: A meta-regression analysis",JOURNAL OF AGRICULTURAL ECONOMICS,JUN 2022,4,"In recent decades, numerous studies have focused on technical efficiency in rice farming, finding considerable variation in mean technical efficiency (MTE) estimates. We conducted a meta-regression analysis (MRA), using a random-effects meta-regression model, to understand the variation in MTE estimates due to study heterogeneity, heteroscedasticity and publication bias. We used 443 observations extracted from 175 primary studies published in English in the last three decades. The results show that MTE estimates are affected by study heterogeneity. Variable returns to scale specification yielded higher MTE scores than constant returns to scale ones. Panel data, secondary data and value data had lower MTE estimates than cross-sectional data, primary data and physical (quantity) data, respectively. Compared to Southeast Asia, countries in East and South Asia had higher MTE estimates, whereas African countries had lower MTE estimates. We suggest that practitioners and policy-makers should consider carefully estimation specifications, data types and geographical regions of empirical studies when comparing and interpreting empirical results. The average genuine (predicted) MTE score was 0.76 (range 0.54-0.89), indicating the potential to improve technical efficiency in global rice farming and the need for further research to bridge managerial ability gaps among farmers.",heterogeneity,meta-regression,publication bias,quantitative review,rice production,"Ma, Chunbo","Hailu, Atakelty",,,,,technical efficiency,,,,,,,,,,,,,,,,,,,,
Row_339,"Li, Shengkun","Li, Xiaobing","Quantitative Analysis of Natural and Anthropogenic Factors Influencing Vegetation NDVI Changes in Temperate Drylands from a Spatial Stratified Heterogeneity Perspective: A Case Study of Inner Mongolia Grasslands, China",REMOTE SENSING,JUL 2022,25,"The detection and attribution of vegetation dynamics in drylands is an important step for the development of effective adaptation and mitigation strategies to combat the challenges posed by human activities and climate change. However, due to the spatial heterogeneity and interactive influences of various factors, quantifying the contributions of driving forces on vegetation change remains challenging. In this study, using the normalized difference vegetation index (NDVI) as a proxy of vegetation growth status and coverage, we analyzed the temporal and spatial characteristics of the NDVI in China's Inner Mongolian grasslands using Theil-Sen slope statistics and Mann-Kendall trend test methods. In addition, using the GeoDetector method, a spatially-based statistical technique, we assessed the individual and interactive influences of natural factors and human activities on vegetation-NDVI change. The results show that the growing season average NDVI exhibited a fluctuating upward trend of 0.003 per year from 2000 to 2018. The areas with significant increases in NDVI (p < 0.05) accounted for 45.63% of the entire region, and they were mainly distributed in the eastern part of the Mu Us sandy land and the eastern areas of the Greater Khingan Range. The regions with a decline in the NDVI were mainly distributed in the central and western regions of the study area. The GeoDetector results revealed that both natural and human factors had significant impacts on changes in the NDVI (p < 0.001). Precipitation, livestock density, wind speed, and population density were the dominant factors affecting NDVI changes in the Inner Mongolian grasslands, explaining more than 15% of the variability, while the contributions of the two topography factors (terrain slope and slope aspect) were relatively low (less than 2%). Furthermore, NDVI changes responded to the changes in the level of specific influencing factors in a nonlinear way, and the interaction of two factors enhanced the effect of each singular factor. The interaction between precipitation and temperature was the highest among all factors, accounting for 39.3% of NDVI variations. Findings from our study may aid policymakers in better understanding the relative importance of various factors and the impacts of the interactions between factors on vegetation change, which has important implications for preventing and mitigating land degradation and achieving sustainable pasture use in dryland ecosystems.",NDVI,vegetation dynamics,influencing factors,spatial stratified heterogeneity,geographical detector method,"Gong, Jirui","Dang, Dongliang","Dou, Huashun","Lyu, Xin",,,,,,,,,,,,,,,,,,,,,,,
Row_340,"Van Reckem, Emiel","Charmpi, Christina",Exploring the Link Between the Geographical Origin of European Fermented Foods and the Diversity of Their Bacterial Communities: The Case of Fermented Meats,FRONTIERS IN MICROBIOLOGY,OCT 9 2019,43,"European fermented meat products are prepared according to a wide variety of different recipes and processing conditions, which can influence their fermentative microbiota. However, due to the diverse processing conditions applied across Europe, it remained unclear to which degree bacterial heterogeneity can be encountered in commercially available fermented meat products and whether this is linked to their geographical origin. Therefore, the bacterial species diversity of 80 fermented meat products available in the Belgian retail, coming from five different countries, was investigated. It was also assessed how this related to the country of origin and the key processing parameters pH and salt concentration. The samples originated from Belgium, France, Germany, Italy, and Spain. In general, Southern European fermented meat products commonly had a higher pH, with their lactic acid bacteria (LAB) communities being represented by Lactobacillus sakei and with mostly Staphylococcus xylosus and Staphylococcus equorum governing over the coagulase-negative staphylococci (CNS) communities. Among these products, the Spanish variants showed a higher prevalence of S. equorum, whereas S. xylosus was the prevailing CNS species in most French and Italian fermented meat products. In contrast, Northern European fermented meat products were generally more acidified and showed a higher prevalence of Pediococcus pentosaceus in their LAB communities, whereas Staphylococcus carnosus represented the CNS communities. Non-parametric statistical tests indicated the impact of the geographical origin on the prevalence of the LAB and CNS species. The latter was likely due to the combination of differences in process technology as well as starter culture use.",meat fermentation,meat microbiota,European fermented meat products,geographical origin,starter cultures,"Van der Veken, David","Geeraerts, Wim","De Vuyst, Luc","Leroy, Frederic",,,,,,,,,,,,,,,,,,,,,,,
Row_341,"Zhou, Suhong","Lin, Rongping",Spatial-temporal heterogeneity of air pollution: The relationship between built environment and on-road PM2.5 at micro scale,TRANSPORTATION RESEARCH PART D-TRANSPORT AND ENVIRONMENT,NOV 2019,84,"Research on the relationship between built environment and PM2.5 has attracted notable attention during the past decades. However, previous studies were less to test the spatial-temporal heterogeneity of on-road PM2.5 and its related factors at micro scale. To this end, collecting high resolution PM2.5 data by mobile monitoring along different roads in Guangzhou, China, this paper explored the spatial-temporal heterogeneity of the relationship between built environment and on-road PM2.5 during the morning (7-9 am) and evening (7-9 pm) rush hours. Semi-variogram method and geographically weighted regression (GWR) model were utilized to reveal the non-stationarity associations among the large spatial dataset. In terms of temporal heterogeneity, the results showed that the spatial independent radii of on-road PM2.5 were 17 m and 21 m for morning and evening rush hours respectively. The aggregated median value of PM2.5 in the morning rush hours was 34.95 mu g/m(3), while the evening was up to 55.49 mu g/m(3). There were more significant factors of street conditions impact on on-road PM2.5 in the morning while more significant factors of land use and centrality that reflecting the cumulative effect of daily human activities with smaller buffer thresholds in the evening. In terms of spatial heterogeneity, GWR models achieved much better performance than the global ones of multivariate regression models with lower AICc, RMSE and higher adjusted R-2, explaining 10-69% of variance across different roads and rush hours. There was a high degree of spatial heterogeneity that the leading factors were different along various roads on rush hours. The results indicated that the policies and interventions should be more targeted to improve the on-road air environment and reduce personal exposure according to the spatial-temporal geographical context. It can be adopted to provide more realistic and practical guides for urban planning and environmental pollution control.",Mobile monitoring,Geographically weighted regression (GWR),"PM2.5, Spatia-temporal heterogeneity",,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_342,"Kestens, Yan","Theriault, Marius",Heterogeneity in hedonic modelling of house prices:: looking at buyers' household profiles,JOURNAL OF GEOGRAPHICAL SYSTEMS,MAR 2006,86,"This paper introduces household-level data into hedonic models in order to measure the heterogeneity of implicit prices regarding household type, age, educational attainment, income, and the previous tenure status of the buyers. Two methods are used for this purpose: a first series of models uses expansion terms, whereas a second series applies Geographically Weighted Regressions. Both methods yield conclusive results, showing that the marginal value given to certain property specifics and location attributes do vary regarding the characteristics of the buyer's household. Particularly, major findings concern the significant effect of income on the location rent as well as the premium paid by highly-educated households in order to fulfil social homogeneity.",hedonic modelling,implicit prices,heterogeneity,GWR,household profiles,"Des Rosiers, Francois",,,,,,,,,,,,,,,,,,,,,,,,,,
Row_343,"Lankhuizen, Maureen B. M.","de Graaff, Thomas","Product Heterogeneity, Intangible Barriers and Distance Decay: The Effect of Multiple Dimensions of Distance on Trade across Different Product Categories",SPATIAL ECONOMIC ANALYSIS,APR 3 2015,13,"A < sc > bstract We empirically examine the heterogeneity in the effects of multiple dimensions of distance on trade across detailed product groups. Using finite mixture modelling on bilateral trade data at the three-digit Standard International Trade Classification level, we endogenously group product categories into an a priori unknown number of segments based on estimated coefficients of multiple dimensions of distance in the gravity equation. We find that institutional distance, belonging to the same trade bloc and especially geographical distance are crucial and distinct factors for classifying commodities into homogeneous product groups.",Bilateral trade,finite mixture modelling,product heterogeneity,institutional quality,transaction costs,"de Groot, Henri L. F.",,,,,,distance,,,gravity models,,,,,,,,,,,,,,,,,
Row_344,"Priego-Santander, AG","Palacio-Prieto, JL","Landscape heterogeneity and plant richness:: Their relation in the Camaguey Archipielago, Cuba",INTERCIENCIA,MAR 2004,7,"The Camaguey Archipielago, on the north coast of the central-eastern part of Cuba, stands out by elevated biological values in well preserved landscapes. This paper explores the relation between heterogeneity of the physical-geographical landscapes and vascular plant richness in that territory. Richness and landscape diversity turned out to be variables that explain the plant species richness. The statistical model obtained explains over 82% of the relation. The results suggest that the plant richness can be predicted by the geoecological heterogeneity values. In this sense, it is suggested to explore the probable existence of zones' of elevated biodiversity in areas of difficult access or poorly known, through the analysis of physical-geographical landscape heterogeneity.",,,,,,"Moreno-Casasola, P","López-Portillo, J","Kientz, DG",,,,,,,,,,,,,,,,,,,,,,,,
Row_345,"Iwamori, Hikaru","Nakamura, Hitomi","Isotopic heterogeneity of oceanic, arc and continental basalts and its implications for mantle dynamics",GONDWANA RESEARCH,APR 2015,74,"In order to discuss material recycling within the mantle, isotopic variability of the young basalts, which reflect the composition of the mantle, has been investigated based on a large compiled data set of Sr, Nd and Pb isotopic ratios. In addition to mid-ocean ridge basalts (MORB, 2773 data), oceanic island basalts (OIB, 1515 data) and arc basalts (AB, 1049 data) that have been used in the previous studies, the new data set includes continental basalts (CB, 1517 data) to densely cover the globe and examine the geographical distribution of the mantle heterogeneity. It is found that CB are heavily concentrated in the eastern hemisphere, while MORB, OIB and AB are broadly distributed in the eastern and western hemispheres evenly. Then the independent features hidden in the data have been extracted using the multivariate analysis ""Independent Component Analysis (ICA)"", which provide information concerning the overall structure of the data and its origin. As a result, three independent components (ICs), which are similar to those deduced in the previous studies on the oceanic and arc basalts, are identified and account for 99% of the sample variance. Of these, the two independent components (IC1 and IC2) span a compositional plane that concentrates most of the data (95%), and the third minor component (IC3) accounts for 4%. Therefore, the oceanic, arc and continental basalts mostly plot on the same plane. The geochemical nature and the statistical properties (mean, standard deviation and skewness) of the ICs suggest that IC1 is related to variability of a long-term 'melt component' inherited in the mantle, whereas IC2 corresponds to a long-term 'aqueous fluid component' in the mantle. Numerical models for a differentiation-recycling system explain most of the statistical features of IC1 and IC2, which have likely been produced by melting and aqueous fluid-rock interactions in ridge, plume and subduction zone. Material recycling and multiple processing in these tectonic settings allow IC1 and IC2 to overlap and create a joint distribution (i.e., the major compositional plane). On the other hand, IC3 exhibits unique features (e.g., a large positive skewness), suggesting that it represents minor and incomplete mixing of continental components from outside the mantle recycling system. In addition, IC2 shows global geographical discrimination, irrespective of the type of basalts, indicating the presence of east-west geochemical hemispheres in the mantle. We have also found a striking geometrical similarity between the IC2 hemispheres and the inner core hemispheric structure: the eastern hemisphere shows positive IC2 in the mantle and high seismic velocities in the inner core. Combining these constraints, we propose top-down hemispherical dynamics involving both the mantle and the core: focused subduction towards the supercontinents has formed a fluid component-rich hemispheric domain that seems to have been anchored to the asthenosphere during the continental dispersal in the past several hundred million years, and may affect the temperature and growth rate of the inner core, resulting in the synchronized hemispherical structures in the mantle and the core. (C) 2014 The Authors. Published by Elsevier B.V. on behalf of International Association for Gondwana Research.",Mantle,Isotope,Basalt,Heterogeneity,Dynamics,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_346,"Hauser, PM","Blanc, DS",III.: Typing methods to approach Pneumocystis carinii genetic heterogeneity,FEMS IMMUNOLOGY AND MEDICAL MICROBIOLOGY,SEP 1998,26,"The study of the genetic heterogeneity of P. carinii is complicated by the lack of an in vitro culture system, as well as by the likely occurrence of co-infections with several special forms or types in a single host. Karyotyping and multilocus enzyme electrophoresis are useful for studies at the evolutionary level. However, these methods require a large number of cells, which prevents their use for the special form infecting humans. DNA sequence analysis of genomic regions is useful to study P. carinii diversity, both at the evolutionary and epidemiological levels. To type the special form specific to humans, several methods are currently used to detect polymorphism in PCR products of polymorphic regions of the genome: DNA sequencing, type-specific hybridisations, and single-strand conformation polymorphism. All these methods still need evaluation. The frequency of potential co-infections in humans determined by these various methods is different. The differences could be due to methodological problems or to real variations between patient populations, geographical locations and/or prophylaxis regimens. In the future, elucidating the population structure of P. carinii and the frequency of potential co-infections is going to be crucial for a better understanding of its epidemiology, and thus for a better prevention of P. carinii pneumonia in humans. (C) 1998 Federation of European Microbiological Societies. Published by Elsevier Science B.V. All rights reserved.",karyotyping,DNA sequence analysis,type-specific oligonucleotide,single-strand conformation polymorphism,polymerase chain reaction,"Bille, J","Francioli, P",,,,,molecular typing,,,Pneumocystis carinii,,genetic heterogeneity,,,,,,,,,,,,,,,
Row_347,"Yang, Simin","Quan, Quan","Characteristics of Agricultural Droughts and Spatial Stratified Heterogeneity and Dependence of Dominant Factors in Inner Mongolia Autonomous Region, China",ATMOSPHERE,OCT 2021,3,"Droughts have significantly damaged the environment of the Inner Mongolia Autonomous Region, China. In this study, the region was divided into two subregions. Soil moisture was used as the basic parameter to analyze the characteristics of agricultural droughts. Based on a geographical detector, the spatial stratified heterogeneity in different seasons was discussed. Moreover, the copula joint functions of characteristics and dominant factors of agricultural droughts were constructed. Based on the Soil Moisture Anomaly Percentage Index (SMAPI), the results demonstrate that the climate tendency rate of droughts in the summer and in spring in Subregion I shows an increasing trend, while it decreases in the autumn and winter. In Subregion II, the climate tendency rate of droughts in different seasons has no significant change. Through geographical detection, the single factor detection illustrates that temperature and Precipitation Conversion Efficiency (PCE) show the highest explanatory power in different subregions. The interactive detection also demonstrates the explanatory powers of the combination of the PCE and temperature, respectively. The t-copula function describes the correlation coefficients of the SMAPI with the PCE and temperature, with the optimal tail dependence. In short, agricultural droughts are most significantly affected by temperature and the PCE, and their balance has a significant impact on agricultural droughts.",Inner Mongolia Autonomous Region,soil moisture anomaly percentage index,geographical detector,copula,precipitation conversion efficiency,"Liang, Weijia","Liu, Tiejun",,,,,,,,,,,,,,,,,,,,,,,,,
Row_348,"Zhao, Zhiqi","Li, Yunyan",Mountains block and seas move: The impact of geographical environment on the China's Carbon Emissions Trading Scheme in reducing urban PM2.5 concentrations,SUSTAINABLE CITIES AND SOCIETY,OCT 1 2024,6,"The dispersion of PM2.5-related pollutants in the atmosphere is intricately connected to the natural geographical environment. Nevertheless, previous evaluations of environmental policies regarding urban PM2.5 concentrations have rarely taken into account the influence of the natural geographical environment. Utilizing panel data and DID models for 266 prefecture-level cities in China from 2006 to 2019, this study thoroughly examines the impact of geographical environment on the China's Carbon Emissions Trading Scheme (ETS) in reducing urban PM2.5 concentrations. The results suggest that (1) Neglecting the impact of natural geographical environment, although the ETS effectively reduces the PM2.5 concentration in the pilot cities from an overall perspective, there are anomalies in the robustness test and the heterogeneity analysis, which are mainly reflected in the decrease in the significance of the PSM-DID results, and the positive haze-enhancement effect of the ETSs of Fujian, Beijing, Shanghai, etc. (2) Considering the influence of geographic environment, combined with the spatial correlation between China's topographic distribution and PM2.5 concentration, four control groups of Basin, Coastal, etc. are screened for group regression, and the results show that geographic environment factors significantly affect the emission reduction effect of each ETS on PM2.5 concentration. (3) The regression results of the three types of spatial econometric models all indicate that there is a significant spatial spillover effect of ETS to reduce PM2.5 concentration. Considering the influence of geographic environment on the spatial spillover effect and the fact that China's provincial division is mostly based on geographic environment factors, in order to more reasonably assess the effect of the policy on the PM2.5 concentration, the researcher should select sample cities with no spatial correlation of PM2.5 and clustering robust standard errors to the provincial level.",China 's carbon emissions trading scheme,Urban PM2.5 concentrations,Geographical environment,Cluster robust standard errors,,"Su, Xianhong",,,,,,,,,,,,,,,,,,,,,,,,,,
