,author1,author2,author3,title,journal/book,publish time,citation,abstract,keyword1,keyword2,keyword3,author4,author5,author6,keyword4,keyword5,author7,author8,author9,keyword6,keyword7,keyword8,author10,author11,keyword9,keyword10,keyword11,keyword12,author12,author13
Row_22,"Guo, Jiangang","Wang, Jinfeng","Xu, Chengdong",Modeling of spatial stratified heterogeneity,GISCIENCE & REMOTE SENSING,DEC 31 2022,24,"Spatial stratified heterogeneity (SSH) refers to the geographical phenomena in which the geographical attributes within-strata are more similar than the between-strata, which is ubiquitous in the real world and offers information implying the causation of nature. Stratification, a primary approach to SSH, generates strata using a priori knowledge or thousands of supervised and unsupervised learning methods. Selecting reasonable stratification methods for spatial analysis in specific domains without prior knowledge is challenging because no method is optimal in a general sense. However, a systematic review of a large number of stratification methods is still lacking. In this article, we review the methods for stratification, categorize the existing typical stratification methods into four classes - univariate stratification, cluster-based stratification, multicriteria stratification, and supervised stratification - and construct their taxonomy. Finally, we present a summary of the software and tools used to compare and perform stratification methods. Given that different stratification methods reflect distinct human understandings of spatial distributions and associations, we suggest that further studies are needed to reveal the nature of geographical attributes by integrating SSH, advanced algorithms, and interdisciplinary methods.",Spatial stratified heterogeneity,stratification,cluster analysis,"Song, Yongze",,,spatial statistics,geographical detector,,,,,,,,,,,,,,
Row_23,"Wei, XX","Wang, XQ","Hong, DY",Marked intragenomic heterogeneity and geographical differentiation of nrDNA ITS in Larix potaninii (Pinaceae),JOURNAL OF MOLECULAR EVOLUTION,DEC 2003,33,"Nuclear ribosomal DNA (nrDNA) of gymnosperms, especially Pinaceae, is characterized by slow concerted evolution and exhibits substantial ITS-region length variation (975-3663 bp), in sharp contrast to the narrow range (565-700 bp) in angiosperms. Here we examined intra- and intergenomic heterogeneity of the nrDNA internal transcribed spacer (ITS) region in four varieties of Larix potaninii, a species from the mountainous areas of western China. Two clones with more than a 100-bp deletion in ITS were detected in L. potaninii var. chinensis and L. potaninii var. australis, respectively. The deletion resulted in the loss of most part, including the motif sequence, of subrepeat 1 (SR1). Sequence divergence and phylogenetic analyses showed that some clones would be pseudogenes given their low GC content, high substitution rates, unique positions in the phylogenetic trees, or significant length variation. These clones might represent orphons or paralogues at minor loci resulting from large-scale gene or chromosome reorganization. Some recombinants characterized by chimeric structure and discordant phylogenetic positions in partitioned sequence analyses indicate that unequal crossing-over plays an important role in the process of nrDNA concerted evolution. In addition, some varieties of L. potaninii might have experienced an nrDNA founder effect parallel to their geographical isolation.",nrDNA ITS,pseudogene,recombination,,,,concerted evolution,geographical differentiation,,,,Larix,,,,,,,,,,
Row_24,"Gao, Jiangbo","Li, Shuangcheng","Zhao, Zhiqiang",Validating the demarcation of eco-geographical regions: a geostatistical application,ENVIRONMENTAL EARTH SCIENCES,JAN 2010,6,"Eco-geographical regional system is important for the study of global environmental changes and sustainable development, and it serves as a scientific basis for rationally managing and sustainably utilizing ecosystems and natural resources, such as constructing healthy eco-environments and making policies of environmental management. This paper explained the necessity of validation in the demarcation of eco-geographical regions, which is difficult and may be achieved with some assumptions and presumptions because of the existence of transition zones. Also in this paper, we explored the use of geostatistics in validating regions and boundaries using a case study in Qinghai-Tibet Plateau on the basis of normalized difference vegetation index (NDVI) data. The results show that: (1) eco-geographical regions have different spatial complexity and spatial heterogeneity [i.e. different characteristic values (nugget/sill, fractal) of NDVI], and regions with similar patterns of temperature and moisture have similar mean NDVI values and spatial characteristics [i.e. similar spatial characteristic values (nugget/sill, fractal) of NDVI]. Thus, based on the similarity of spatial heterogeneity or spatial patterns of distribution, demarcations of eco-geographical regions with similar conditions of temperature and moisture, such as IID1 (Ngari montane desert-steppe and desert zone), IID2 (Qaidam montane desert zone), and IID3 (Northern slopes of Kunlun montane desert zone), meet the regional validation requirement. (2) Based on the comparison of spatial heterogeneity or spatial patterns of distribution, the boundary between IIA/B1 (Western Sichuan-eastern Xizang montane coniferous forest zone) and IB1 (GologNagqu high-cold shrub-meadow zone) meets the boundary validation requirement. This boundary guarantees high similarities in an intra-region and high differences in inter-regions, because the value of fractal dimension is the minimum in buffer 1. Furthermore, this paper discussed the application of geostatistics in the choice of index system for boundaries of eco-geographical regions and the determination of region size. The results indicate that the application of geostatistics in eco-geographical regional system is broad, and such researches can serve for obtaining more reasonable and applicable eco-geographical regionalization schemes.",Eco-geographical regions,Regional validation,Boundary validation,,,,Geostatistics,Spatial heterogeneity,,,,Qinghai-Tibet Plateau,,,,,,,,,,
Row_25,"Santeramo, Fabio Gaetano","Lamonaca, Emilia",,Evaluation of geographical label in consumers' decision-making process: A systematic review and meta-analysis,FOOD RESEARCH INTERNATIONAL,MAY 2020,35,"The Geographical origin of agri-food products has become astrategic tool of differentiation: it is a unique attribute which makes products difficult to reproduce, and presumed to be a quality cue for agri-food products. Consumer studies on the relevance of geographical labelling provide heterogeneous evidence on the relevance of this extrinsic attribute as compared to the relevance of other product characteristics.A systematic review of consumer studies on the relevance of geographical labelling has been conducted, and collected data have been quantitatively analysed through a meta-regression approach, in order to assess drivers of differences in relevance of geographical labelling across studies. An ad hoc index has been built to measure the relevance of geographical labelling as compared to other attributes of a product. Several chosen control factors allowed to explain differences in the relevance of geographical label across studies in terms of characteristics of studies (structural heterogeneity), methodological issues (methodological heterogeneity), and publication processes.Results show that the relevance of geographical label, although not biased by publication selection, is influenced by the structural characteristics of studies and, to a lower extent, by issues related to the publication process. In particular, the attitude of consumers towards geographical labels tend to be product- and originspecific: geographical labelling is the main differentiation tool for expensive products (e.g., wine), but is of low relevance for several countries depending on country-specific factors (e.g., nationality, culture, image and reputation). Managerial and policy implications are provided.",Geographical label,Consumer,Agri-food,,,,Heterogeneity,Systematic review,,,,Meta-analysis,,,,,,,,,,
Row_26,"Grobler, JP","Mokgalong, NM",,Patterns of genetic heterogeneity in Neutraclinostomum intermedialis (Digenea: Clinostomatidae):: geographical and temporal considerations,AFRICAN ZOOLOGY,APR 2002,1,"Approximately 300 individuals of Neutraclinostomum intermedialis from three localities in the Northern Province of South Africa were screened using allozyme electrophoresis. The aim was to determine genetic diversity and divergence within and between populations.;The within population heterozygosity values (H = 0.5-3.0 %) were generally higher than the value of 0.7 % previously estimated for this species from a single population. The mean F-ST value of 0.69 indicated marked structuring among the populations studied. Genetic distances (Nei 1972) between populations ranged from 0-0.09 and the clustering of populations closely reflected their geographical distribution and linkage to specific river systems. One locus of malate dehydrogenase, E.C.1.1.1.37 (MDH-2), provided a fixed allelic difference between populations from two river systems (the Limpopo and Olifants river systems). We discuss patterns of geographical genetic diversity in N. intermedialis, with reference to the constraints of habitat and host specificity.",Platyhelminthes,parasite,allozyme electrophoresis,,,,geographical genetic variability,,,,,,,,,,,,,,,
Row_27,"Liu, Yaolin","Chen, Yiyun","Wu, Zihao",Geographical detector-based stratified regression kriging strategy for mapping soil organic carbon with high spatial heterogeneity,CATENA,JAN 2021,30,"Spatial variability of soil organic carbon (SOC) content is crucial in precision fertilization and climate change prediction. Stratified ordinary kriging (SOK), which considers the sharp spatial variability of SOC due to natural factors and human activities, is a feasible way to map SOC with high spatial heterogeneity. However, conventional stratified methods are arbitrary and may therefore result in unnecessary and ineffective stratification. In addition, SOK performs poorly when soil properties of some strata present a local trend. In this study, we propose a geographical detector-based stratified regression kriging (GD-SRK) strategy, which aims to guide the stratification, gain strata-dependent knowledges, and improve the performance of stratified kriging. The study area locates in Jianghan Plain, China. The soil and land use types are used as categorical variables, while land use percentages are used as continuous variables. Ordinary kriging (OK), regression kriging (RK), and geographical detector-based stratified ordinary kriging are used as references of GD-SRK. Results indicated that the spatial heterogeneity of SOC was attributed to the differences in soil types and land use types and suggested that the study area should be stratified into four. The spillover effect of land use on the SOC content depended on the strata. Specifically, the SOC in strata II (paddy fields n Fluvisols) and IV (irrigated lands n Fluvisols) was unaffected by land use percentages and was estimated via OK. The SOC in strata I (paddy fields n Anthrosols and Luvisols) and III (irrigated lands n Anthrosols and Luvisols) was negatively correlated with the percentage of irrigated lands. Thus, their estimation of SOC via RK was possible. Using these knowledges, the GD-SRK outperformed the other methods by obtaining highest prediction accuracy and R-2. We conclude that GD-SRK strategy effectively guides the stratification and maps SOC with high spatial heterogeneity.",Soil organic carbon,Geographical detector-based stratified regression kriging,Spillover effect of land use,"Wang, Bozhi","Wang, Shaochen",,Strata dependency,,,,,,,,,,,,,,,
Row_28,"Astorga, Anna","Death, Russell","Death, Fiona",Habitat heterogeneity drives the geographical distribution of beta diversity: the case of New Zealand stream invertebrates,ECOLOGY AND EVOLUTION,JUL 2014,119,"To define whether the beta diversity of stream invertebrate communities in New Zealand exhibits geographical variation unexplained by variation in gamma diversity and, if so, what mechanisms (productivity, habitat heterogeneity, dispersal limitation, disturbance) best explain the observed broad-scale beta diversity patterns. We sampled 120 streams across eight regions (stream catchments), spanning a north-south gradient of 12 of latitude, and calculated beta diversity (with both species richness and abundance data) for each region. We explored through a null model if beta diversity deviates from the expectation of stochastic assembly processes and whether the magnitude of the deviation varies geographically. We then performed multimodel inference analysis on the key environmental drivers of beta diversity, using Akaike's information criterion and model and predictor weights to select the best model(s) explaining beta diversity. Beta diversity was, unexpectedly, highest in the South Island. The null model analysis revealed that beta diversity was greater than expected by chance in all eight regions, but the magnitude of beta deviation was higher in the South Island, suggesting differences in environmental filtering and/or dispersal limitation between North and South Island. Habitat heterogeneity was the predominant driver of beta diversity of stream macroinvertebrates, with productivity having a secondary, and negative, contribution. This is one of the first studies accounting for stochastic effects while examining the ecological drivers of beta diversity. Our results suggest that local environmental heterogeneity may be the strongest determinant of beta diversity of stream invertebrates, more so than regional-or landscape-scale variables.",Beta diversity,habitat heterogeneity,macroinvertebrates,"Paavola, Riku","Chakraborty, Manas","Muotka, Timo",null models,productivity,,,,streams,,,,,,,,,,
Row_29,"Torrey, EF","Mortensen, PB","Pedersen, CB",Risk factors and confounders in the geographical clustering of schizophrenia,SCHIZOPHRENIA RESEARCH,APR 30 2001,15,"In response to previous reports of geographical clustering of individuals with psychosis, a study was carried out in Denmark utilizing the national case register. Two-thousand one-hundred and ninety-nine (2199) individuals with schizophrenia were divided by place of birth into 217 geographical areas and analyzed by age, gender, month of birth, genetic relatedness, and degree of urbanization of birthplace. Heterogeneity was ascertained using log-linear Poisson regression. The greatest amount of heterogeneity was associated with degree of urbanization of place of birth. Heterogeneity was also associated with age-gender interaction and calendar period. When adjusted for these factors, there was no remaining heterogeneity, suggesting that all geographical clustering in our study was explained by the above factors. (C) 2001 Elsevier Science B.V. All rights reserved.",epidemiology,geographical clusters,schizophrenia,"Wohlfahrt, J","Melbye, M",,urbanicity,,,,,,,,,,,,,,,
Row_30,"Pivot, Diane","Debouverie, Marc","Grzebyk, Michel",Geographical Heterogeneity of Multiple Sclerosis Prevalence in France,PLOS ONE,DEC 9 2016,13,"IntroductionGeographical variation in the prevalence of multiple sclerosis (MS) is controversial. Heterogeneity is important to acknowledge to adapt the provision of care within the healthcare system. We aimed to investigate differences in prevalence of MS in departments in the French territory.MethodsWe estimated MS prevalence on October 31, 2004 in 21 administrative departments in France (22% of the metropolitan departments) by using multiple data sources: the main French health insurance systems, neurologist networks devoted to MS and the Technical Information Agency of Hospitalization. We used a spatial Bayesian approach based on estimating the number of MS cases from 2005 and 2008 capture-recapture studies to analyze differences in prevalence.ResultsThe age-and sex-standardized prevalence of MS per 100,000 inhabitants ranged from 68.1 (95% credible interval 54.6, 84.4) in Hautes-Pyrenees (southwest France) to 296.5 (258.8, 338.9) in Moselle (northeast France). The greatest prevalence was in the northeast departments, and the other departments showed great variability.DiscussionBy combining multiple data sources into a spatial Bayesian model, we found heterogeneity in MS prevalence among the 21 departments of France, some with higher prevalence than anticipated from previous publications. No clear explanation related to health insurance coverage and hospital facilities can be advanced. Population migration, socioeconomic status of the population studied and environmental effects are suspected.",,,,"Brassat, David","Clanet, Michel","Clavelou, Pierre",,,"Confavreux, Christian","Edan, Gilles","Leray, Emmanuelle",,,,"Moreau, Thibault","Vukusic, Sandra",,,,,"Hedelin, Guy","Guillemin, Francis"
Row_31,"Biswas, Monirujjaman",,,Identifying Geographical Heterogeneity in Associations between Under-Five Child Nutritional Status and Its Correlates Across Indian Districts,SPATIAL DEMOGRAPHY,APR 2022,4,"India has substantially reduced the burden of under-five child malnutrition over the last two decades. Despite this, it is still gigantic and differs remarkably across districts, while the demographic and socio-economic groups are most affected by it. This paper aimed to decrypt the place-specific spatial dependence and heterogeneity in associations between district-level nutritional status (stunting, wasting and underweight) and its considered correlates using a geocoded database for all 640 Indian districts from the latest fourth wave of the National Family Health Survey, 2015-16. Univariate Moran's I and LISA statistics were used to confirm the spatial clustering and dependence in under-five nutritional status. The Ordinary Least Square (OLS), Geographically Weighted Regression (GWR), Spatial (lag/error) models were employed to examine the effects of correlates on the district-level nutritional status. The mean (Moran's I) district-level stunting, wasting and underweight were 38% (0.634), 21% (0.488) and 36% (0.721), respectively. The GWR results disclosed that the spatial heterogeneity in relationships between district-level nutritional status and its driving forces were strongly location-based, altering their direction, magnitude and strength across districts. Overall, the localized model performed better, and best fit the data than the OLS and spatial (lag/error) models. This nationwide study confirmed that the spatial dependencies and heterogeneities in the district-level nutritional status indicators were strongly explained by a multitude of factors and thus can help policymakers in formulating effective nutrition-specific programmatic interventions to speed up the coverage of under-five malnutrition status in most priority districts and geographical hot spots across India.",Under-five,Nutritional status,Spatial heterogeneity,,,,Geographically weighted regression,Indian districts,,,,,,,,,,,,,,
Row_32,"Koenigstein, Karsten","Gatterer, Katharina","Weber, Kathrin","Geographical heterogeneity of doping-related knowledge, beliefs and attitude among 533 Youth Olympics participants",JOURNAL OF SCIENCE AND MEDICINE IN SPORT,NOV 2021,2,"Objectives: Doping-related knowledge, beliefs and attitude influence adolescent athletes' susceptibility to prohibited performance-enhancing substances. They might be modified by different cultural backgrounds. This study's aim was to analyse the geographical heterogeneity of doping-related knowledge, beliefs and attitude among adolescent elite athletes. Design: Cross-sectional study. Methods: A questionnaire was distributed to athletes participating in the Winter Youth Olympic Games 2020 in Switzerland. Main outcomes ('subjective and actual knowledge', 'beliefs' and 'attitude') were stratified for athletes' region of origin. Geographical heterogeneity was tested with a two-way analysis of variance, and two multiple regression analyses were conducted to assess independent associations of knowledge, age and athletes' geographical region with doping-related beliefs and attitude. Results: 533 athletes (54% females, mean age: 16.0 +/- 1.0 years), completed the questionnaire (response rate: 33%). Actual knowledge was moderate-to-good (9.2 +/- 2.9 correct answers out of 13), and scores of attitude and beliefs showed favourable patterns. Considerable geographical heterogeneity was found for knowledge (p < 0.001), beliefs (p = 0.004) and attitude (p < 0.001). Higher subjective knowledge and actual knowledge were favourably associated with attitude (3 = -0.096, p = 0.049; 3 = -0.316, p < 0.001) and beliefs (3 = 0.120, p = 0.016; 3 = 0.212, p < 0.001), independent of age and geographical region. Conclusions: This study demonstrates considerable geographical heterogeneity of doping-related knowledge, beliefs and attitude, which are three essential target factors of doping prevention in adolescent elite athletes. This evidence should encourage medical doctors and other professionals to change their educative anti-doping approach from teaching knowledge about negative consequences into investigating and forming a young athlete's mind-set. (c) 2021 The Author(s). Published by Elsevier Ltd on behalf of Sports Medicine Australia. This is an open access article under the CC BY-NC-ND license (http://creativecommons.org/licenses/by-nc-nd/4.0/).",Doping prevention,Olympic Games,Youth,"Schmidt-Trucksaess, Arno","Tercier, Stephane","Blank, Cornelia",Elite athletes,Anti-doping,,,,,,,,,,,,,,
Row_33,"Satorre, I.","Fanara, J. J.","Lavagnino, N. J.",Micro-geographical scale variation in Drosophila melanogaster larval olfactory behaviour is associated with host fruit heterogeneity,ENTOMOLOGIA EXPERIMENTALIS ET APPLICATA,JUL 2014,2,"Organisms utilize environmental cues to deal with heterogeneous environments. In this sense, behaviours that mediate interactions between organisms and their environment are complex traits, especially sensitive to environmental conditions. In animals, olfaction is a critical sensory system that allows them to acquire chemical information from the environment. The genetic basis and physiological mechanisms of the olfactory system of Drosophila melanogaster Meigen (Diptera: Drosophilidae) are well known, but the effects of ecological factors on the olfactory system have received less attention. In this study, we analysed the effect of environmental heterogeneity (different host fruits) on variation in larval olfactory behaviour in a natural population of D.melanogaster. We generated half-sib lines of D.melanogaster derived from two nearby fruit plantations, Vitis vinifera L. (Vitaceae) (grape') and Prunus persica L. (Rosaceae) (peach'), and measured, using a simple behavioural assay, larval olfactory response to natural olfactory stimuli. Results indicate that patterns of variation for this trait depend on host fruit plantation where lines were collected. In fact, only lines derived from grape' showed phenotypic plasticity for larval olfaction, whereas a genotype*environment interaction was detected solely in lines derived from peach'. Therefore, our results demonstrate the existence of genetic differences in D.melanogaster larval olfactory behaviour at a micro-geographical scale and also reveal that the trait studied presents a dynamic genetic architecture which is strongly influenced by the environment.",natural variation,phenotypic plasticity,micro-geographical distances,,,,genotype by environment interaction,Diptera,,,,Drosophilidae,,,,,,,,,,
Row_34,"Zheng, Yi","Wang, Yang","He, Haitian",Transcriptome Data Reveal Geographic Heterogeneity in Gene Expression in Patients with Prostate Cancer,REPORTS OF BIOCHEMISTRY AND MOLECULAR BIOLOGY,APR 2023,1,"Background: The incidence of prostate cancer (PC) exhibits geographical heterogeneity. However, the metabolic mechanisms underlying this geographic heterogeneity remain unclear. This study aimed to reveal the metabolic mechanism of the geographic heterogeneity in the incidence of PC. This study aimed to investigate the anti-cancer effects of different gum extracts on metabolic changes and their impact on gene expression in HT-29 cell.Methods: Transcriptomic data from public databases were obtained and analyzed to screen geographic-differentially expressed genes and metabolic pathways. Associations between these differentially expressed genes and the incidence of PC were determined to identify genes that were highly associated with PC incidence. A co-expression network analysis was performed to identify geographic-specific regulatory pathways.Results: A total of 175 differentially expressed genes were identified in four countries and were associated with the regulation of DNA replication and the metabolism of pyrimidine, nucleotides, purines, and galactose. Additionally, the expression of the genes CLVS2, SCGB1A1, KCNK3, HHIPL2, MMP26, KCNJ15, and PNMT was highly correlated with the incidence of PC. Geographicspecific differentially expressed genes in low-incidence areas were highly correlated with KCNJ15, MMP26, KCNK3, and SCCB1A1, which play a major role in ion channel-related functions.Conclusions: This study suggests that geographic heterogeneity in PC incidence is associated with the expression levels of genes associated with amino acid metabolism, lipid metabolism, and ion channels.",Differentially expressed genes,Geographical heterogeneity,Metabolic pathway,"Zou, Zhuping","Lu, Huiling","Li, Jinlong",Prostate cancer,,"Cai, Jun","Wang, Kebing",,,,,,,,,,,,
Row_35,"Shu, Hua","Pei, Tao","Song, Ci",Quantifying the spatial heterogeneity of points,INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,JUL 3 2019,9,"Variation in the spatial heterogeneity of points reflects the evolutionary process or mechanism of geographical events. The key to depicting this variation is quantifying spatial heterogeneity. In this paper, the spatial heterogeneity of a point pattern is defined as the degree of aggregation-type deviation from complete spatial randomness. In such a case, a goodness-of-fit-type statistic based on the distribution of nearest-neighbor distances called the level of heterogeneity (LH*) is regarded as a standard measurement, and a normalized version called the normalized level of heterogeneity (NLH*) is proposed for datasets with different point numbers and study region areas. Considering the complex integration calculation of LH* and NLH*, simulation experiments are implemented to test the capability of some classic nearest-neighbor statistics in quantifying spatial heterogeneity. The results showed that except for the standard LH* statistic, only Clark and Evans' statistic (A-w) and Byth and Ripley's statistic (H-xw) are robust. Statistics NLH*, (A-w) and (H-xw) are validated by quantifying the spatial heterogeneity of two-dimensional crime events, three-dimensional earthquake events and four-dimensional origin-destination (OD) events. The results indicate that these statistics all have a reasonable explanation in quantifying spatial heterogeneity for real-world geographical events of different types and with different dimensions. Compared with NLH*, Clark and Evans' (A-w) statistic and Byth and Ripley's (H-xw) statistic are recommended from the perspective of accessibility.",Point pattern,spatial heterogeneity,spatial statistics,"Ma, Ting","Du, Yunyan","Fan, Zide",nearest-neighbor statistics,,"Guo, Sihui",,,,,,,,,,,,,
Row_36,"Luo, Peng","Song, Yongze","Zhu, Di",A generalized heterogeneity model for spatial interpolation,INTERNATIONAL JOURNAL OF GEOGRAPHICAL INFORMATION SCIENCE,MAR 4 2023,23,"Spatial heterogeneity refers to uneven distributions of geographical variables. Spatial interpolation methods that utilize spatial heterogeneity are sensitive to the way in which spatial heterogeneity is characterized. This study developed a Generalized Heterogeneity Model (GHM) for characterizing local and stratified heterogeneity within variables and to improve interpolation accuracy. GHM first divides a study area into multiple spatial strata according to the sample values and locations of a variable. Then, GHM estimates simultaneously the spatial variations of the variable within and between the spatial strata. Finally, GHM interpolates unbiased estimates and uncertainty at unsampled locations. We demonstrated the GHM by predicting the spatial distributions of marine chlorophyll in Townsville, Queensland, Australia. Results show that GHM improved both the overall interpolation accuracy across the study area and along strata boundaries compared with previous interpolation models. GHM also avoided bull's eye patterns and abrupt changes along strata boundaries. In future studies, GHM has the potential to be integrated with machine learning and advanced algorithms to improve spatial prediction accuracy for studies in broader fields.",Spatial interpolation,spatial heterogeneity,area-to-area kriging,"Cheng, Junyi","Meng, Liqiu",,stratified heterogeneity,spatial statistics,,,,,,,,,,,,,,
Row_37,"Guo, Yingfeng","Wu, Zhifeng","Zheng, Zihao",An optimal multivariate-stratification geographical detector model for revealing the impact of multi-factor combinations on the dependent variable,GISCIENCE & REMOTE SENSING,DEC 31 2024,0,"Spatial heterogeneity (SH), known as the second law of geography, has been a topic of extensive research. One common approach to analyzing SH involves comparing variances between and within strata to assess the impact of independent variables on the dependent variable. This method, known as spatial stratified heterogeneity (SSH) analysis, is often performed using the geographical detector model. Over time, several optimized versions of geographical detectors have emerged, focusing on discretizing single or dual variables. However, methods for discretizing three or more variables are still limited to the interaction detector, with research on spatial scale effects mainly focused on single factors. To overcome these limitations, an optimal multivariate-stratification geographical detector (OMGD) model has been developed. This model includes two additional modules: factor discretization optimization and scale detector. Fine-tuning factor discretization involves using five univariate and five cluster-based stratification methods to automatically explore the optimal discretization scheme for single factors or multi-factor combinations based on the Geodetector $q$q statistics. The scale detector can then iterate through various spatial scales to identify the optimal spatial scale for SSH analysis. Furthermore, the developed OMGD model has been tested with multiple case datasets to validate its applicability and robustness. The findings demonstrate that the OMGD model can effectively extract the main attributes of single factors and multi-factor combinations, providing a better explanation for geographical phenomena. It can also automatically determine the best spatial scale for SSH analysis, thereby enhancing the overall capability of conducting SSH analysis with the geographical detector.",Spatial stratified heterogeneity,geographical detector,cluster-based stratification methods,"Li, Xiaohang",,,optimal multivariate-stratification geographical detector,optimization of factor discretization,,,,scale detector,,,,,,,,,,
Row_38,"Merlo, Juan","Wagner, Philippe","Leckie, George",A simple multilevel approach for analysing geographical inequalities in public health reports: The case of municipality differences in obesity,HEALTH & PLACE,JUL 2019,47,"The epidemiological analysis of geographical inequalities in individual outcomes is a fundamental theme in public health research. However, many traditional studies focus on analysing area differences in averages outcomes, disregarding individual variation around such averages. In doing so, these studies may produce misleading information and lead researchers to draw incorrect conclusions. Analysing individual and municipality differences in body mass index (BMI) and overweight/obesity status, we apply an analytical approach based on the multilevel analysis of individual heterogeneity and discriminatory accuracy (MAIHDA). This analytical approach may be viewed as a reorganization of existing multilevel modelling concepts in order to provide a systematic approach to simultaneously considering both differences between area averages and individual heterogeneity around those averages. In doing so, MAIHDA provides an improved approach to the quantification and understanding of geographical inequalities as compared with traditional approaches.",Public health,Geographical differences,Multilevel analysis,,,,Discriminatory accuracy,Obesity,,,,,,,,,,,,,,
Row_39,"Yuan, Yuan","Wang, Ruoyu","Niu, Tong",Using street view images and a geographical detector to understand how street-level built environment is associated with urban poverty: A case study in Guangzhou,APPLIED GEOGRAPHY,JUL 2023,14,"Understanding and ending poverty has become one of the most important SDG (Sustainable Development Goals) all over the world. The street-level built environment is an important indicator to reflect urban poverty. However, traditional data such as satellite imagery may not provide fine-grained information of built environment at the street level. In recent years, street view image has become promising data for assessing an urban micro environment. This study aimed to use street view data and deep learning technique to examine the association between street-level built environment and urban poverty in Guangzhou, China, from a geographical heterogeneity perspective. First, we measured urban poverty in Guangzhou based on the Index of Multiple Deprivation. Second, we used the Pyramid Scene Parsing Network model for image segmentation and then performed principal component analysis to extract five major street view factors (i.e., vegetation enclosure sense, color complexity sense, road openness sense, sky openness sense, and building enclosure sense) from the street view data. Third, we conducted the geographical detector analysis to examine how street view factors is associated with urban poverty. Results suggested that vegetation enclosure sense, color complexity sense, and road openness sense are significantly related to the spatial heterogeneity of urban poverty. Among all factors, vegetation enclosure sense played a leading role. The results also confirmed the coexistence of different street view factors have association with the spatial heterogeneity of urban poverty. In conclusion, street-level built environment is generally associated with urban poverty, and therefore our proposed method can be considered as an efficiently method for identifying urban poor communities.",Urban poverty,Street view image,Street-level built environment,"Liu, Ying",,,Geographical heterogeneity,Geographical detector,,,,,,,,,,,,,,
Row_40,"Evankow, Ann","Christie, Hartvig","Hancke, Kasper",Genetic heterogeneity of two bioeconomically important kelp species along the Norwegian coast,CONSERVATION GENETICS,JUN 2019,16,"Knowledge of genetic diversity among wild populations is becoming increasingly important as more species are recognized for their bioeconomic value. Industrialization of natural resources, such as kelp in the marine shallow sublittoral zone through cultivation and wild-harvesting, may lead to extensive translocation and local population decimation. Without adequate resilience in the form of genetic diversity within and across populations and given the potential introduction of deleterious alleles from translocations, such anthropogenically pressured populations may not be able to sufficiently respond to future climate and other stressors. Here we provide an assessment of the genetic heterogeneity of two bioeconomically important kelp species, Laminaria hyperborea and Saccharina latissima, across the Norwegian coastal region from South (57 degrees N) to North (78 degrees N), by applying microsatellite genotyping. Isolation by distance was found for both kelp species when comparing genetic distance to geographic distance. L. hyperborea clustered into four distinct genetic groups corresponding to distinct geographical ecoregions, whereas S. latissima did not show equally strong geographical structuring but separated into three geographical clusters along the Norwegian coast. No genetic differentiation was found within the Norwegian Skagerrak region, corroborating previous findings. The identified genetic clustering of both kelp species supports the retention of established management regions along the Norwegian coast and argues for the continuation of a regional focused management plan for kelp resources. Further, the results demonstrate that care should be taken to prevent translocation of kelp between ecoregions in the ongoing industrialization of kelp cultivation, to maintain a healthy coastal ecosystem and sound natural population genetic diversity.",Genetic differentiation,Norway,Geographical heterogeneity,"Brysting, Anne K.","Junge, Claudia","Fredriksen, Stein",Laminariales,Laminaria hyperborea,"Thaulow, Jens",,,Saccharina latissima,,,,,,,,,,
Row_41,"La Torre, Davide","Liuzzi, Danilo","Marsiglio, Simone",Geographical heterogeneities and externalities in an epidemiological-macroeconomic framework,JOURNAL OF PUBLIC ECONOMIC THEORY,OCT 2022,10,"We analyze the implications of geographical heterogeneities and externalities on health and macroeconomic outcomes by extending a basic epidemiological-macroeconomic model to a spatial dimension. Because of people's migration and commuting across different regions, a disease may spread also in areas far from those in which the outbreak originally occurs and thus the health status (i.e., disease prevalence) in specific regions may depend on the health status in other regions as well. We show that neglecting the existence of cross-regional effects may lead to misleading conclusions about the long run outcome not only in single regions but also in the entire economy, suggesting that single regions need to coordinate their efforts to achieve disease eradication. We analyze such a coordination by focusing on a control problem in which the social planner determines globally the level of intervention showing that to achieve eradication it is essential to accompany traditional disease control policies (i.e., prevention and treatment) with regulations limiting people's movements. Focusing on COVID-19 we present a calibration based on Italian data showing that, because of the infections generated by cross-regional commuting, even vaccination may not be enough to achieve disease eradication, and limitations on people's movements need to accompany vaccination to preclude COVID-19 from reaching an endemic state.",,,,,,,,,,,,,,,,,,,,,,
