,author1,author2,author3,title,journal/book,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,author4,author5,author6,author7,keyword5,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,author8,conference,author9,author10,author11,keyword13,keyword14,keyword15,keyword16,keyword17,keyword18,keyword19,keyword20,keyword21,keyword22,keyword23,author12
Row_630,"Wang, Bing","Wang, Zhirui","Sun, Xian",DMML-Net: Deep Metametric Learning for Few-Shot Geographic Object Segmentation in Remote Sensing Imagery,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2022,25,"Geographic object segmentation is a fundamental yet challenging problem for remote sensing image interpretation. The prevalent paradigm to solve this problem is to train deep neural networks on massive labeled samples. Although remarkable achievements have been attained, these methods suffer from the severe dependence on the large-scale dataset and require a long training process with high computation burden. To address these issues, a deep metametric learning framework, named DMML-Net, consisting of the metametric learner and the base-metric learner, is proposed for few-shot geographic object segmentation. First, DMML-Net formulates the segmentation as the metric-based pixel classification and develops a deep feature pyramid comparison network as the architecture of the metric learner for multiscale metric learning. Benefiting from this design, the segmentation can be efficiently solved, as well as being robust to deal with the scale variations of geographic objects. Second, an affinity-based fusion mechanism is introduced to adaptively reweight and fuse the semantic information across samples, effectively calibrating the deviation of prototypes induced by the intraclass variations. Third, considering the impact of the large interclass distribution divergences, DMML-Net presents a metametric training paradigm to provide the metric model with flexible scalability for fast adaptation to novel tasks. After metatraining, DMML-Net can be applied for the few-shot segmentation tasks of novel geographic objects with only a few gradient steps on the small training set. Experimental results on two benchmark remote sensing datasets demonstrate the validity and the superiority of our method in low-shot conditions where there are only one to ten labeled samples.",Task analysis,Measurement,Remote sensing,Training,"Wang, Hongqi","Fu, Kun",,,Semantics,Object segmentation,Image segmentation,Few-shot learning,few-shot segmentation,metalearning,metric learning,semantic segmentation,,,,,,,,,,,,,,,,,
Row_631,"Deng, Guohui","Wu, Zhaocong","Wang, Chengjun",CCANet: Class-Constraint Coarse-to-Fine Attentional Deep Network for Subdecimeter Aerial Image Semantic Segmentation,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2022,46,"Semantic segmentation is important for the understanding of subdecimeter aerial images. In recent years, deep convolutional neural networks (DCNNs) have been used widely for semantic segmentation in the field of remote sensing. However, because of the highly complex subdecimeter resolution of aerial images, inseparability often occurs among some geographic entities of interest in the spectral domain. In addition, the semantic segmentation methods based on DCNNs mostly obtain context information using extra information within the added receptive field. However, the context information obtained this way is not explicit. We propose a novel class-constraint coarse-to-fine attentional (CCA) deep network, which enables the formation of class information constraints to obtain explicit long-range context information. Further, the performance of subdecimeter aerial image semantic segmentation can be improved, particularly for fine-structured geographic entities. Based on coarse-to-fine technology, we obtained a coarse segmentation result and constructed an image class feature library. We propose the use of the attention mechanism to obtain strong class-constrained features. Consequently, pixels of different geographic entities can adaptively match the corresponding categories in the class feature library. Additionally, we employed a novel loss function, CCA-loss to realize end-to-end training. The experimental results obtained using two popular open benchmarks, International Society for Photogrammetry and Remote Sensing (ISPRS) 2-D semantic labeling Vaihingen data set and Institute of Electrical and Electronics Engineers (IEEE) Geoscience and Remote Sensing Society (GRSS) Data Fusion Contest Zeebrugge data set, validated the effectiveness and superiority of our proposed model. The proposed method achieved state-of-the-art performance on the IEEE GRSS Data Fusion Contest Zeebrugge data set.",Image segmentation,Semantics,Remote sensing,Libraries,"Xu, Miaozhong","Zhong, Yanfei",,,Feature extraction,Automobiles,Training,Aerial imagery,context information,deep convolutional neural network (DCNN),remote sensing,semantic segmentation,,,,,,,,,,,,,,,,,
Row_632,"Yu, Dawen","Ji, Shunping",,Long-Range Correlation Supervision for Land-Cover Classification From Remote Sensing Images,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2023,0,"Long-range dependency modeling has been widely considered in modern deep learning-based semantic segmentation methods, especially those designed for large-size remote sensing images, to compensate the intrinsic locality of standard convolutions. However, in previous studies, the long-range dependency, modeled with an attention mechanism or transformer model, has been based on unsupervised learning, instead of explicit supervision from the objective ground truth (GT). In this article, we propose a novel supervised long-range correlation method for land-cover classification, called the supervised long-range correlation network (SLCNet), which is shown to be superior to the currently used unsupervised strategies. In SLCNet, pixels sharing the same category are considered highly correlated and those having different categories are less relevant, which can be easily supervised by the category consistency information available in the GT semantic segmentation map. Under such supervision, the recalibrated features are more consistent for pixels of the same category and more discriminative for pixels of other categories, regardless of their proximity. To complement the detailed information lacking in the global long-range correlation, we introduce an auxiliary adaptive receptive field feature extraction (ARFE) module, parallel to the long-range correlation module in the encoder, to capture finely detailed feature representations for multisize objects in multiscale remote sensing images. In addition, we apply multiscale side-output supervision and a hybrid loss function as local and global constraints to further boost the segmentation accuracy. Experiments were conducted on three public remote sensing datasets (the ISPRS Vaihingen dataset, the ISPRS Potsdam dataset, and the DeepGlobe dataset). Compared with the advanced segmentation methods from the computer vision, medicine, and remote sensing communities, the proposed SLCNet method achieved state-of-the-art performance on all the datasets. The code will be made available at gpcv.whu.edu.cn/data.",Correlation,Transformers,Remote sensing,Feature extraction,,,,,Semantics,Semantic segmentation,Computational modeling,Convolutional neural network (CNN),land-cover classification,long-range correlation supervision,remote sensing images,semantic segmentation,,,,,,,,,,,,,,,,,
Row_633,"Yang, Yunsong","Yuan, Genji","Li, Jinjiang",Correlated Mapping Attention Cooperative Network for Urban Remote Sensing Image Segmentation,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,2024,0,"In current remote sensing segmentation tasks, the difficulty of segmenting spectrally similar objects is a significant issue. Solving this problem is crucial for improving segmentation accuracy. Traditional image-domain segmentation methods rely on color and texture features, but spectrally similar objects have negligible color differences, leading to suboptimal segmentation results. To address this, we propose a network framework called Correlated Mapping Attention Cooperative Network (CMACNet) by extending the problem from the image domain to the feature domain. Image-domain methods depend on color and texture features, whereas feature-domain methods process higher-level abstract features, avoiding issues caused by color similarity. Specifically, CMACNet first employs an autoencoder structure. The autoencoder compresses the input data and attempts to reconstruct the original data, ensuring that the latent space representations capture essential and representative features of the input data, thereby extracting highly generalized and versatile features. Next, we introduce the correlated mapping attention mechanism, which adaptively adjusts the attention to different features based on their correlations, effectively addressing the challenge of segmenting spectrally similar objects. Furthermore, to efficiently establish global relationships among features, we design a cross global interaction layer for global feature remapping. Comprehensive experiments on the Vaihingen and Potsdam datasets demonstrate that CMACNet outperforms existing state-of-the-art methods, achieving mean intersection over union scores of 84.77% and 87.69%, respectively.",Attention mechanism,global modeling,remote sensing (RS),semantic segmentation,,,,,transformer,Attention mechanism,global modeling,remote sensing (RS),semantic segmentation,transformer,,,,,,,,,,,,,,,,,,,
Row_634,"Ajibola, Segun","Cabral, Pedro",,A Systematic Literature Review and Bibliometric Analysis of Semantic Segmentation Models in Land Cover Mapping,REMOTE SENSING,JUN 2024,2,"Recent advancements in deep learning have spurred the development of numerous novel semantic segmentation models for land cover mapping, showcasing exceptional performance in delineating precise boundaries and producing highly accurate land cover maps. However, to date, no systematic literature review has comprehensively examined semantic segmentation models in the context of land cover mapping. This paper addresses this gap by synthesizing recent advancements in semantic segmentation models for land cover mapping from 2017 to 2023, drawing insights on trends, data sources, model structures, and performance metrics based on a review of 106 articles. Our analysis identifies top journals in the field, including MDPI Remote Sensing, IEEE Journal of Selected Topics in Earth Science, and IEEE Transactions on Geoscience and Remote Sensing, IEEE Geoscience and Remote Sensing Letters, and ISPRS Journal Of Photogrammetry And Remote Sensing. We find that research predominantly focuses on land cover, urban areas, precision agriculture, environment, coastal areas, and forests. Geographically, 35.29% of the study areas are located in China, followed by the USA (11.76%), France (5.88%), Spain (4%), and others. Sentinel-2, Sentinel-1, and Landsat satellites emerge as the most used data sources. Benchmark datasets such as ISPRS Vaihingen and Potsdam, LandCover.ai, DeepGlobe, and GID datasets are frequently employed. Model architectures predominantly utilize encoder-decoder and hybrid convolutional neural network-based structures because of their impressive performances, with limited adoption of transformer-based architectures due to its computational complexity issue and slow convergence speed. Lastly, this paper highlights existing key research gaps in the field to guide future research directions.",remote sensing,semantic segmentation,land cover mapping,deep learning,,,,,land cover classification,,,,,,,,,,,,,,,,,,,,,,,,
Row_635,"Pastorino, Martina","Moser, Gabriele","Serpico, Sebastiano B.",Semantic Segmentation of Remote-Sensing Images Through Fully Convolutional Neural Networks and Hierarchical Probabilistic Graphical Models,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2022,20,"Deep learning (DL) is currently the dominant approach to image classification and segmentation, but the performances of DL methods are remarkably influenced by the quantity and quality of the ground truth (GT) used for training. In this article, a DL method is presented to deal with the semantic segmentation of very-high-resolution (VHR) remote-sensing data in the case of scarce GT. The main idea is to combine a specific type of deep convolutional neural networks (CNNs), namely fully convolutional networks (FCNs), with probabilistic graphical models (PGMs). Our method takes advantage of the intrinsic multiscale behavior of FCNs to deal with multiscale data representations and to connect them to a hierarchical Markov model (e.g., making use of a quadtree). As a consequence, the spatial information present in the data is better exploited, allowing a reduced sensitivity to GT incompleteness to be obtained. The marginal posterior mode (MPM) criterion is used for inference in the proposed framework. To assess the capabilities of the proposed method, the experimental validation is conducted with the ISPRS 2D Semantic Labeling Challenge datasets on the cities of Vaihingen and Potsdam, with some modifications to simulate the spatially sparse GTs that are common in real remote-sensing applications. The results are quite significant, as the proposed approach exhibits a higher producer accuracy than the standard FCNs considered and especially mitigates the impact of scarce GTs on minority classes and small spatial details.",Semantics,Markov processes,Spatial resolution,Remote sensing,"Zerubia, Josiane",,,,Image segmentation,Training,Deep learning,Convolutional neural network (CNN),fully convolutional network (FCN),hierarchical Markov model,multiscale analysis,probabilistic graphical model (PGM),,,,,,remote sensing,semantic segmentation,,,,,,,,,,
Row_636,"Zhang, Bo","Chen, Tao","Wang, Bin",Curriculum-Style Local-to-Global Adaptation for Cross-Domain Remote Sensing Image Segmentation,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2022,36,"Although domain adaptation has been extensively studied in natural image-based segmentation tasks, the research on cross-domain segmentation for very-high-resolution (VHR) remote sensing images (RSIs) still remains underexplored. The VHR RSI-based cross-domain segmentation mainly faces two critical challenges: 1) large area land covers with many diverse object categories bring severe local patch-level data distribution deviations, thus yielding different adaptation difficulties for different local patches and 2) different VHR sensor types or dynamically changing modes cause the VHR images to go through intensive data distribution differences even for the same geographical location, resulting in different global feature-level domain gaps. To address these challenges, we propose a curriculum-style local-to-global cross-domain adaptation framework for the segmentation of VHR RSIs. The proposed curriculum-style adaptation performs the adaptation process in an easy-to-hard way according to the adaptation difficulties that can be obtained using an entropy-based score for each patch of the target domain and, thus, well aligns the local patches in a domain image. The proposed local-to-global adaptation performs the feature alignment process from the locally semantic to globally structural feature discrepancies and consists of a semantic-level domain classifier and an entropy-level domain classifier that can reduce the above cross-domain feature discrepancies. Extensive experiments have been conducted in various cross-domain scenarios, including geographic location variations and imaging mode variations, and the experimental results demonstrate that the proposed method can significantly boost the domain adaptability of segmentation networks for VHR RSIs.",Image segmentation,Semantics,Imaging,Adaptation models,,,,,Task analysis,Feature extraction,Remote sensing,Curriculum-style cross-domain adaptation (CCDA),local-to-global cross-domain adaptation,remote sensing images (RSIs),semantic segmentation,,,,,,,,,,,,,,,,,,
Row_637,"Xu, Yufen","Zhou, Shangbo","Huang, Yuhui",Transformer-Based Model with Dynamic Attention Pyramid Head for Semantic Segmentation of VHR Remote Sensing Imagery,ENTROPY,NOV 2022,4,"Convolutional neural networks have long dominated semantic segmentation of very-high-resolution (VHR) remote sensing (RS) images. However, restricted by the fixed receptive field of convolution operation, convolution-based models cannot directly obtain contextual information. Meanwhile, Swin Transformer possesses great potential in modeling long-range dependencies. Nevertheless, Swin Transformer breaks images into patches that are single-dimension sequences without considering the position loss problem inside patches. Therefore, Inspired by Swin Transformer and Unet, we propose SUD-Net (Swin transformer-based Unet-like with Dynamic attention pyramid head Network), a new U-shaped architecture composed of Swin Transformer blocks and convolution layers simultaneously through a dual encoder and an upsampling decoder with a Dynamic Attention Pyramid Head (DAPH) attached to the backbone. First, we propose a dual encoder structure combining Swin Transformer blocks and reslayers in reverse order to complement global semantics with detailed representations. Second, aiming at the spatial loss problem inside each patch, we design a Multi-Path Fusion Model (MPFM) with specially devised Patch Attention (PA) to encode position information of patches and adaptively fuse features of different scales through attention mechanisms. Third, a Dynamic Attention Pyramid Head is constructed with deformable convolution to dynamically aggregate effective and important semantic information. SUD-Net achieves exceptional results on ISPRS Potsdam and Vaihingen datasets with 92.51%mF1, 86.4%mIoU, 92.98%OA, 89.49%mF1, 81.26%mIoU, and 90.95%OA, respectively.",swin transformer,remote sensing,semantic segmentation,dynamic attention pyramid head,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_638,Cai Mi,Cui Yaqi,Lv Yafei,A New Network Structure for Semantic Segmentation of Ship Targets in Remote Sensing,,2019,0,"Accurate detection of ship targets is a research hotspot in computer vision. Most of the researches have achieved instance-level detection in the way of bounding box. But we intend to achieve more accurate detection of ship targets in pixel-level through semantic segmentation. However, there are still two main challenges: the first one is the difficulty to segment small targets caused by the difference among ship targets' scales, and the other one is the lack of localization information caused by insufficient recovery ability of the decoder part. In this paper, we propose an effective solution. First, a multi-scale pooling fusion module is proposed to fuse multi-scale feature maps and acquire more multi-scale context information, then we improve the capability of precise decoding by taking the place of convolution operation with deconvolution in the decoder part to gather more localization information. At last, we integrate above two schemes into an encoder-decoder symmetry training network with less training parameters and less training time. Furthermore, we construct a dataset for ship semantic segmentation called HRSC2016-SS by labeling HRSC2016 dataset to evaluate our solution. Experiments show that comparing with the existing methods, our proposed solution has a better performance.",HRSC2016-SS,multi-scale,deconvolution,remote sensing,Zhang Jing,Xiong Wei,Pei Jiazheng,,semantic segmentation,,,,,,,,,2019 22ND INTERNATIONAL CONFERENCE ON INFORMATION FUSION (FUSION 2019),,,,,,,,,,,,,,,
Row_639,"Gaetano, Raffaele","Scarpa, Giuseppe","Poggi, Giovanni",ADVANCES IN TEXTURE-BASED SEGMENTATION OF HIGH RESOLUTION REMOTE SENSING IMAGERY,,2009,0,"The Texture Fragmentation and Reconstruction (TFR) algorithm, recently proposed for the segmentation of textured images, has been applied with promising results to high-resolution remote-sensing images The algorithm provides a sequence of nested segmentation maps which allow the analysis at various scales of observation. Although for most test images TFR has proven able to recognize major semantic areas, some failures have also been observed due to the presence of large background regions that span the whole image and prevent the formation of distinct local texturesIn this paper we introduce a new step in the TFR processing flow which detects background regions and divides them in multiple homogeneous fragments based on their geometric level properties To this end, connected regions are first reduced to atomic components through a watershed-like transform, and then clustered again based on the features of the associated region-adjacency graph.Early experimental results prove the effectiveness of the new processing step, and its beneficial effect on the whole algorithm.",Remote-sensing images,segmentation,texture,region-adjacency-graph,,,,,,,,,,,,,,"2009 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM, VOLS 1-5",,,,,,,,,,,,,,,
Row_640,"Ahlswede, Steve","Madam, Nimisha Thekke","Schulz, Christian",WEAKLY SUPERVISED SEMANTIC SEGMENTATION OF REMOTE SENSING IMAGES FOR TREE SPECIES CLASSIFICATION BASED ON EXPLANATION METHODS,,2022,1,"The collection of a high number of pixel-based labeled training samples for tree species identification is time consuming and costly in operational forestry applications. To address this problem, in this paper we investigate the effectiveness of explanation methods for deep neural networks in performing weakly supervised semantic segmentation using only image-level labels. Specifically, we consider four methods: i) class activation maps (CAM); ii) gradient-based CAM; iii) pixel correlation module; and iv) self-enhancing maps (SEM). We compare these methods with each other using both quantitative and qualitative measures of their segmentation accuracy, as well as their computational requirements. Experimental results obtained on an aerial image archive show that: i) considered explanation techniques are highly relevant for the identification of tree species with weak supervision; and ii) the SEM outperforms the other considered methods. The code for this paper is publicly available at https://git.tu-berlin.de/rsim/rs_wsss.",Tree species mapping,weakly supervised learning,semantic segmentation,explanation methods,"Kleinschmit, Birgit","Demir, Begum",,,remote sensing,,,,,,,,,2022 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM (IGARSS 2022),,,,,,,,,,,,,,,
Row_641,"Jia, Peiyan","Chen, Chen","Zhang, Delong",Semantic segmentation of deep learning remote sensing images based on band combination principle: Application in urban planning and land use,COMPUTER COMMUNICATIONS,MAR 1 2024,7,"This study investigates the relevance of semantic segmentation of remote sensing images in urban planning and land use. We introduce a novel deep learning model that leverages the principle of band combination in remote sensing images to enhance the efficiency and accuracy of semantic segmentation. Our research focuses not only on advancing the segmentation capabilities of remote sensing images but also on applying this technology in urban planning and land use to foster sustainable development in smart cities. By integrating the band combination principle into the convolution operation, our approach improves feature extraction, thereby enhancing the quality of semantic segmentation in remote sensing images. This method outperforms traditional remote sensing image analysis techniques by combining automatic feature learning and the generalization capabilities of deep learning, thereby improving the segmentation model's performance. A unique aspect of this study is the direct application of remote sensing image segmentation in urban planning and land use. Our model accurately identifies various land uses such as residential, commercial, and industrial areas, and tracks land-use change trends, aiding urban planners in future development planning. Compared to conventional methods, our model significantly reduces training time and increases computational efficiency under identical training conditions. Experimental comparisons and analyses reveal that, within the same training duration, our model's accuracy surpasses that of similar models by 10%-15%. On the ISPRS dataset, our model achieved a segmentation accuracy of 82.43% for building surfaces, and 76.54% for trees. In scenarios with relatively uniform reflective surfaces, our model outperforms similar models by approximately 10%.",Semantic segmentation,Band combination,CNN,,"Sang, Yulong","Zhang, Lei",,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_642,"Zhang, Chenchen","Wang, Rongfang","Chen, Jia-Wei",A MULTI-BRANCH U-NET FOR WATER AREA SEGMENTATION WITH MULTI-MODALITY REMOTE SENSING IMAGES,,2023,1,"Water area segmentation in remote sensing images is of great importance for flood monitoring. Convolutional neural networks have been successfully applied to various computer vision tasks. Among them, a U-shaped CNN known as U-Net achieves state-of-the-art performance on various types of image segmentation, including remote sensing images. However, there are still some difficulties in the water area segmentation of remote sensing images, such as complex backgrounds, cloud shading, and rough edges. In this work, we propose a multi-branch fusion U-Net (MFU-Net) method for water area segmentation with multi-modality remote sensing images. The experimental results showed that our MFU-Net can effectively and efficiently segment water area from Sentinel-1 and Sentinel-2 images, which F1, IoU and PA on the Sen1Floods11 dataset are 91.462%, 84.598% and 98.123%, respectively.",water area semantic segmentation,multi-modality fusion,multi-branch encoder,channel attention,"Li, Weibin","Huo, Chunlei","Niu, Yi",,remote sensing,,,,,,,,,IGARSS 2023 - 2023 IEEE INTERNATIONAL GEOSCIENCE AND REMOTE SENSING SYMPOSIUM,,,,,,,,,,,,,,,
Row_643,"Cai, Yuanzhi","Fan, Lei","Fang, Yuan",SBSS: Stacking-Based Semantic Segmentation Framework for Very High-Resolution Remote Sensing Image,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,2023,12,"Semantic segmentation of very high-resolution (VHR) remote sensing images is a fundamental task for many applications. However, large variations in the scales of objects in those VHR images pose a challenge for performing accurate semantic segmentation. Existing semantic segmentation networks are able to analyze an input image at up to four resizing scales, but this may be insufficient given the diversity of object scales. Therefore, multiscale (MS) test-time data augmentation is often used in practice to obtain more accurate segmentation results, which makes equal use of the segmentation results obtained at the different resizing scales. However, it was found in this study that different classes of objects had their preferred resizing scale for more accurate semantic segmentation. Based on this behavior, a stacking-based semantic segmentation (SBSS) framework is proposed to improve the segmentation results by learning this behavior, which contains a learnable error correction module (ECM) for segmentation result fusion and an error correction scheme (ECS) for computational complexity control. Two ECS, i.e., ECS-MS and ECS-single-scale (SS), are proposed and investigated in this study. The floating-point operations (Flops) required for ECS-MS and ECS-SS are similar to the commonly used MS test and the SS test, respectively. Extensive experiments on four datasets (i.e., Cityscapes, UAVid, LoveDA, and Potsdam) show that SBSS is an effective and flexible framework. It achieved higher accuracy than MS when using ECS-MS, and similar accuracy as SS with a quarter of the memory footprint when using ECS-SS.",Error correction,Feature extraction,Semantic segmentation,Spatial resolution,,,,,Decoding,Bagging,Task analysis,Convolutional neural network,deep learning,ensemble learning,semantic segmentation,stacking,,,,,,,,,,,,,,,,,
Row_644,"Cheng, Dongcai","Meng, Gaofeng","Xiang, Shiming",FusionNet: Edge Aware Deep Convolutional Networks for Semantic Segmentation of Remote Sensing Harbor Images,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,DEC 2017,96,"Sea-land segmentation and ship detection are two prevalent research domains for optical remote sensing harbor images and can find many applications in harbor supervision and management. As the spatial resolution of imaging technology improves, traditional methods struggle to perform well due to the complicated appearance and background distributions. In this paper, we unify the above two tasks into a single framework and apply the deep convolutional neural networks to predict pixelwise label for an input. Specifically, an edge aware convolutional network is proposed to parse a remote sensing harbor image into three typical objects, e. g., sea, land, and ship. Two innovations are made on top of the deep structure. First, we design a multitask model by simultaneously training the segmentation and edge detection networks. Hierarchical semantic features fromthe segmentation network are extracted to learn the edge network. Second, the outputs of edge pipeline are further employed to refine entire model by adding an edge aware regularization, which helps our method to yield very desirable results that are spatially consistent and well boundary located. It also benefits the segmentation of docked ships that are quite challenging for many previous methods. Experimental results on two datasets collected fromGoogleEarth have demonstrated the effectiveness of our approach both in quantitative and qualitative performance compared with state-of-the-art methods.",Edge aware regularization,harbor images,multitask learning,semantic segmentation,"Pan, Chunhong",,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_645,"Yang, Zhujun","Yan, Zhiyuan","Diao, Wenhui",Active Bidirectional Self-Training Network for Cross-Domain Segmentation in Remote-Sensing Images,REMOTE SENSING,JUL 2024,1,"Semantic segmentation with cross-domain adaptation in remote-sensing images (RSIs) is crucial and mitigates the expense of manually labeling target data. However, the performance of existing unsupervised domain adaptation (UDA) methods is still significantly impacted by domain bias, leading to a considerable gap compared to supervised trained models. To address this, our work focuses on semi-supervised domain adaptation, selecting a small subset of target annotations through active learning (AL) that maximize information to improve domain adaptation. Overall, we propose a novel active bidirectional self-training network (ABSNet) for cross-domain semantic segmentation in RSIs. ABSNet consists of two sub-stages: a multi-prototype active region selection (MARS) stage and a source-weighted class-balanced self-training (SCBS) stage. The MARS approach captures the diversity in labeled source data by introducing multi-prototype density estimation based on Gaussian mixture models. We then measure inter-domain similarity to select complementary and representative target samples. Through fine-tuning with the selected active samples, we propose an enhanced self-training strategy SCBS, designed for weighted training on source data, aiming to avoid the negative effects of interfering samples. We conduct extensive experiments on the LoveDA and ISPRS datasets to validate the superiority of our method over existing state-of-the-art domain-adaptive semantic segmentation methods.",semantic segmentation,domain adaptation,active learning,self-training network,"Ma, Yihang","Li, Xinming","Sun, Xian",,remote-sensing images,,,,,,,,,,,,,,,,,,,,,,,,
Row_646,Jian Yongsheng,Zhu Daming,Fu Zhitao,Remote Sensing Image Segmentation Network Based on Multi-Level Feature Refinement and Fusion,LASER & OPTOELECTRONICS PROGRESS,FEB 2023,1,"To accurately segment ground objects from a high-resolution remote sensing image, we propose a remote sensing image segmentation network based on multi-level feature optimization fusion that focuses on the fusion of feature maps at different levels in the feature extraction skeleton network, performs reasonable and effective extractions, and analyzes output feature map information by fusing different types of information in the network feature map. Simultaneously, layer-by-layer multi-scale coding and decoding modules are used to refine the shallow feature map that merges with the high-level feature map, and the different types of information are optimized to the high-level feature map. The hollow convolution pyramid is then used to extract the information of different receptive fields on the high-level feature map, and the output feature map of semantic segmentation is optimized. When conducting experiments on the ISPRS Vaihingen dataset, the overall accuracy of the proposed network reaches 90.34%, which effectively improves the accuracy of remote sensing image target detection when compared with the classical semantic segmentation network. Moreover, to prove the generalization of the proposed algorithm, a generalization experiment on the ISPRS Potsdam dataset is conducted; the overall accuracy of this algorithm reaches 91.47%, proving its effectiveness.",remote sensing,semantic segmentation,multi-scale encoding and decoding,feature fusion,Wen Shiya,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_647,"Geiss, Christian","Zhu, Yue","Qiu, Chunping",Deep Relearning in the Geospatial Domain for Semantic Remote Sensing Image Segmentation,IEEE GEOSCIENCE AND REMOTE SENSING LETTERS,2022,8,"We present a classification postprocessing (CPP) technique based on fully convolutional neural networks (CNNs) for semantic remote sensing image segmentation. Conventional CPP techniques aim to enhance the classification accuracy by imposing smoothness priors in the image domain. Contrary to that, here, a relearning strategy is proposed where the initial classification outcome of a CNN model is provided to a subsequent CNN model via an extended input space to guide the learning of discriminative feature representations in an end-to-end fashion. This deep relearning CNN (DRCNN) explicitly accounts for the geospatial domain by taking the spatial alignment of preliminary class labels into account. Hereby, we evaluate to learn the DRCNN in a cumulative and noncumulative way, i.e., extending the input space based on all previous or solely preceding model outputs, respectively, during an iterative procedure. Besides, the DRCNN can also be conveniently coupled with alternative CPP techniques such as object-based voting (OBV). The experimental results obtained from two test sites of WorldView-II imagery underline the beneficial performance properties of the DRCNN models. They can increase the accuracies of the initial CNN models on average from 72.64x0025; to 76.01x0025; and from 92.43x0025; to 94.52x0025; in terms of statistic. An additional increase of 1.65 and 2.84 percentage points can be achieved when combining the DRCNN models with an OBV strategy. From an epistemological point of view, our results underline that CNNs can benefit from the consideration of preliminary model outcomes and that conventional CPP techniques can profit from an upstream relearning strategy.",Image segmentation,Remote sensing,Training,Geospatial analysis,"Mou, Lichao","Zhu, Xiao Xiang","Taubenboeck, Hannes",,Computational modeling,Training data,Partitioning algorithms,Classification postprocessing (CPP),convolutional neural networks (CNNs),deep learning,relearning,,,,,,,,,,,,,,,,,,
Row_648,"Wang, Ende","Jiang, Yanmei","Li, Yong",MFCSNet: Multi-Scale Deep Features Fusion and Cost-Sensitive Loss Function Based Segmentation Network for Remote Sensing Images,APPLIED SCIENCES-BASEL,OCT 2019,12,"Semantic segmentation of remote sensing images is an important technique for spatial analysis and geocomputation. It has important applications in the fields of military reconnaissance, urban planning, resource utilization and environmental monitoring. In order to accurately perform semantic segmentation of remote sensing images, we proposed a novel multi-scale deep features fusion and cost-sensitive loss function based segmentation network, named MFCSNet. To acquire the information of different levels in remote sensing images, we design a multi-scale feature encoding and decoding structure, which can fuse the low-level and high-level semantic information. Then a max-pooling indices up-sampling structure is designed to improve the recognition rate of the object edge and location information in the remote sensing image. In addition, the cost-sensitive loss function is designed to improve the classification accuracy of objects with fewer samples. The penalty coefficient of misclassification is designed to improve the robustness of the network model, and the batch normalization layer is also added to make the network converge faster. The experimental results show that the classification performance of MFCSNet outperforms U-Net and SegNet in classification accuracy, object details and prediction consistency.",Semantic segmentation,remote sensing images,feature fusion,cost-sensitive,"Yang, Jingchao","Ren, Mengcheng","Zhang, Qingchun",,,,,,,,,,,,,,,,,,,,,,,,,,
Row_649,"Huang, Siyuan","Dong, Kaihui","Chen, Haobing",Semantic Segmentation of Ultra-high-resolution Remote Sensing Images Based on Global-local Branch Asynchronous Feature Interaction Structure,,2024,0,"In recent years, semantic segmentation of ultra-high-resolution remote sensing images (UHRRSI) has made certain progress. UHRRSI are characterized by large spatial resolution. Using the entire UHRRSI for model training will make the computational cost almost unaffordable. Common processing methods are to downsample or crop UHRRSI. However, both methods have their own shortcomings. The downsampling operation may destroy the details of the image, and the cropping operation may damage important contextual information. Therefore, this paper proposes a structure based on global-local branch asynchronous feature interaction. The global branch is used to process the downsampled images, while the local branch focuses on processing the cropped images. During the decoding stage, the decoding features of the two branches are asynchronously interacted. In comparative experiments conducted using the Potsdam and Vaihingen datasets, our model exhibits excellent results in semantic segmentation performance.",convolutional neural network,Ultra-high resolution remote sensing images (UHRRSI),semantic segmentation,Asynchronous feature interaction,"Yao, Wei","Li, Bo","Cheng, Li",,,,,,,,,,,"39TH YOUTH ACADEMIC ANNUAL CONFERENCE OF CHINESE ASSOCIATION OF AUTOMATION, YAC 2024",,,,,,,,,,,,,,,
