,author1,author2,author3,author4,title,conference,publish time,citation,abstract,keyword1,keyword2,keyword3,keyword4,keyword5,author5,author6,author7,author8,journal/book,author9,keyword6,keyword7,keyword8,keyword9,keyword10,keyword11,keyword12,keyword13,keyword14,author10,author11,author12,author13,author14,author15,author16,author17,author18,author19,author20,author21,keyword15
Row_70,"Wang, Zhen","Zhang, Shanwen","Zhang, Chuanlei","Wang, Buhong",Hidden Feature-Guided Semantic Segmentation Network for Remote Sensing Images,,2023,19,"For semantic segmentation of remote sensing images, convolutional neural networks (CNNs) have proven to be powerful tools. However, the existing CNN-based methods have the problems of feature information loss, serious interference by clutter information, and ignoring the correlation between different scale features. To solve these problems, this article proposes a novel hidden feature-guided semantic segmentation network (HFGNet) for remote sensing images, which achieves accurate semantic segmentation by hierarchically extracting and fusing valuable feature information. Specifically, the hidden feature extraction module (HFE-M) is introduced to suppress the salient feature representation to mine more valuable hidden features. Meanwhile, the multifeature interactive fusion module (MIF-M) establishes the correlation between different features to achieve hierarchical feature fusion. The multiscale feature calibration module (MSFC) is constructed to enhance the diversity and refinement representation of hierarchical fusion features. Besides, the local-channel attention mechanism (LCA-M) is designed to improve the feature perception capability of the object region and suppress background information interference. We conducted extensive experiments on the widely used ISPRS 2-D Semantic Labeling dataset and the 15-Class Gaofen Image dataset. Experimental results demonstrate that the proposed HFGNet has advantages over several state-of-the-art methods. The source code and models are available at https://github.com/darkseid-arch/RS-HFGNet.",Attention mechanism,convolution neural networks (CNNs),hidden feature extraction,remote sensing image,semantic segmentation,,,,,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,,,,,,,,,,,,,,,,,,,,,,,
Row_71,"Aburaed, N.","Al-Saad, M.","Alkhatib, M. Q.","Zitouni, M. S.",SEMANTIC SEGMENTATION OF REMOTE SENSING IMAGERY USING AN ENHANCED ENCODER-DECODER ARCHITECTURE,"GEOSPATIAL WEEK 2023, VOL. 10-1",2023,0,"Semantic segmentation is one of most the important computer vision tasks for the analysis of aerial imagery in many remote sensing applications, such as resource surveys, disaster detection, and urban planning. This area of research still faces unsolved challenges, especially in cluttered environments and complex sceneries. This study presents a repurposed Robust UNet (RUNet) architecture for semantic segmentation, and embeds the architecture with attention mechanism in order to enhance feature extraction and construction of segmentation maps. The attention mechanism is achieved using Squeeze-and-Excitation (SE) block. The resulting network is referred to as SE-RUNet. SE is also tested with the classical UNet, termed SE-UNet, to verify the efficiency of introducing SE. The proposed approach is trained and tested using ""Semantic Segmentation of Aerial Imagery"" dataset. The results are evaluated using Accuracy, Precision, Recall, F-score and mean Intersection over Union (mIoU) metrics. Comparative evaluation and experimental results show that using SE to embed attention mechanism into UNet and RUNet significantly improves the overall performance.",Deep Learning,Semantic Segmentation,RUNET,UNET,Remote Sensing,"Almansoori, S.","Al-Ahmad, H.",,,,,Squeeze and Excitation,,,,,,,,,,,,,,,,,,,,,
Row_72,"Alam, Muhammad","Wang, Jian-Feng","Guangpei, Cong","Yunrong, L., V",Convolutional Neural Network for the Semantic Segmentation of Remote Sensing Images,,FEB 2021,51,"In recent years, the success of deep learning in natural scene image processing boosted its application in the analysis of remote sensing images. In this paper, we applied Convolutional Neural Networks (CNN) on the semantic segmentation of remote sensing images. We improve the Encoder- Decoder CNN structure SegNet with index pooling and U-net to make them suitable for multi-targets semantic segmentation of remote sensing images. The results show that these two models have their own advantages and disadvantages on the segmentation of different objects. In addition, we propose an integrated algorithm that integrates these two models. Experimental results show that the presented integrated algorithm can exploite the advantages of both the models for multi-target segmentation and achieve a better segmentation compared to these two models.",Convolutional Neural Networks (CNN),Deep learning,Remote sensing images,Semantic segmentation,,"Chen, Yuanfang",,,,MOBILE NETWORKS & APPLICATIONS,,,,,,,,,,,,,,,,,,,,,,,
Row_73,"Chen, Xin","Li, Dongfen","Liu, Mingzhe","Jia, Jiaru",CNN and Transformer Fusion for Remote Sensing Image Semantic Segmentation,,SEP 2023,11,"Semantic segmentation of remote sensing images has been widely used in environmental protection, geological disaster discovery, and natural resource assessment. With the rapid development of deep learning, convolutional neural networks (CNNs) have dominated semantic segmentation, relying on their powerful local information extraction capabilities. Due to the locality of convolution operation, it can be challenging to obtain global context information directly. However, Transformer has excellent potential in global information modeling. This paper proposes a new hybrid convolutional and Transformer semantic segmentation model called CTFuse, which uses a multi-scale convolutional attention module in the convolutional part. CTFuse is a serial structure composed of a CNN and a Transformer. It first uses convolution to extract small-size target information and then uses Transformer to embed large-size ground target information. Subsequently, we propose a spatial and channel attention module in convolution to enhance the representation ability for global information and local features. In addition, we also propose a spatial and channel attention module in Transformer to improve the ability to capture detailed information. Finally, compared to other models used in the experiments, our CTFuse achieves state-of-the-art results on the International Society of Photogrammetry and Remote Sensing (ISPRS) Vaihingen and ISPRS Potsdam datasets.",segmentation,remote sensing,CNN,transformer,attention,,,,,REMOTE SENSING,,,,,,,,,,,,,,,,,,,,,,,
Row_74,"Li, Wenyuan","Chen, Hao","Shi, Zhenwei",,Semantic Segmentation of Remote Sensing Images With Self-Supervised Multitask Representation Learning,,2021,39,"Existing deep learning-based remote sensing images semantic segmentation methods require large-scale labeled datasets. However, the annotation of segmentation datasets is often too time-consuming and expensive. To ease the burden of data annotation, self-supervised representation learning methods have emerged recently. However, the semantic segmentation methods need to learn both high-level and low-level features, but most of the existing self-supervised representation learning methods usually focus on one level, which affects the performance of semantic segmentation for remote sensing images. In order to solve this problem, we propose a self-supervised multitask representation learning method to capture effective visual representations of remote sensing images. We design three different pretext tasks and a triplet Siamese network to learn the high-level and low-level image features at the same time. The network can be trained without any labeled data, and the trained model can be fine-tuned with the annotated segmentation dataset. We conduct experiments on Potsdam, Vaihingen dataset, and cloud/snow detection dataset Levir_CS to verify the effectiveness of our methods. Experimental results show that our proposed method can effectively reduce the demand of labeled datasets and improve the performance of remote sensing semantic segmentation. Compared with the recent state-of-the-art self-supervised representation learning methods and the mostly used initialization methods (such as random initialization and ImageNet pretraining), our proposed method has achieved the best results in most experiments, especially in the case of few training data. With only 10% to 50% labeled data, our method can achieve the comparable performance compared with random initialization. Codes are available at https://github.com/flyakon/SSLRemoteSensing.",Task analysis,Remote sensing,Semantics,Image segmentation,Training,,,,,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,,Sensors,Snow,Cloud detection,remote sensing images,self-supervised representation learning,semantic segmentation,,,,,,,,,,,,,,,,
Row_75,"Tian, Tian","Chu, Zhengquan","Hu, Qian","Ma, Li",Class-Wise Fully Convolutional Network for Semantic Segmentation of Remote Sensing Images,,AUG 2021,20,"Semantic segmentation is a fundamental task in remote sensing image interpretation, which aims to assign a semantic label for every pixel in the given image. Accurate semantic segmentation is still challenging due to the complex distributions of various ground objects. With the development of deep learning, a series of segmentation networks represented by fully convolutional network (FCN) has made remarkable progress on this problem, but the segmentation accuracy is still far from expectations. This paper focuses on the importance of class-specific features of different land cover objects, and presents a novel end-to-end class-wise processing framework for segmentation. The proposed class-wise FCN (C-FCN) is shaped in the form of an encoder-decoder structure with skip-connections, in which the encoder is shared to produce general features for all categories and the decoder is class-wise to process class-specific features. To be detailed, class-wise transition (CT), class-wise up-sampling (CU), class-wise supervision (CS), and class-wise classification (CC) modules are designed to achieve the class-wise transfer, recover the resolution of class-wise feature maps, bridge the encoder and modified decoder, and implement class-wise classifications, respectively. Class-wise and group convolutions are adopted in the architecture with regard to the control of parameter numbers. The method is tested on the public ISPRS 2D semantic labeling benchmark datasets. Experimental results show that the proposed C-FCN significantly improves the segmentation performances compared with many state-of-the-art FCN-based networks, revealing its potentials on accurate segmentation of complex remote sensing images.",semantic segmentation,fully convolutional network (FCN),remote sensing,class- wise features,,,,,,REMOTE SENSING,,,,,,,,,,,,,,,,,,,,,,,
Row_76,"Miao, Wang","Xu, Zhe","Geng, Jie","Jiang, Wen",ECAE: Edge-Aware Class Activation Enhancement for Semisupervised Remote Sensing Image Semantic Segmentation,,2023,6,"Remote sensing image semantic segmentation (RSISS) remains challenging due to the scarcity of labeled data. Semisupervised learning can leverage pseudolabels to enhance the model ' s ability to learn from unlabeled data. However, accurately generating pseudolabels for RSISS remains a significant challenge that severely affects the model ' s performance, especially for the edges of different classes. To overcome these issues, we propose a semisupervised semantic segmentation framework for remote sensing images (RSIs) based on edge-aware class activation enhancement (ECAE). First, the baseline network is constructed based on the average teacher model, which separates the training of labeled and unlabeled data using student and teacher networks. Second, considering local continuity and global discreteness of object distribution in RSIs, the class activation mapping enhancement (CAME) network is designed to predict local areas more remarkably. Finally, the edge-aware network (EAN) is proposed to improve the performance of edge segmentation in RSIs. The combination of the CAME with the EAN further heightens the generation of high-confidence pseudolabels. Experiments were performed on two publicly available remote sensing semantic segmentation datasets, Potsdam and ISPRS Vaihingen, which verify the superiorities of the proposed ECAE model.",Class activation mapping,remote sensing images (RSIs),semantic segmentation,semisupervised learning.,,,,,,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,,,,,,,,,,,,,,,,,,,,,,,
Row_77,"Zhao, Qi","Liu, Jiahui","Li, Yuewen","Zhang, Hong",Semantic Segmentation With Attention Mechanism for Remote Sensing Images,,2022,72,"Semantic segmentation for high-resolution remote sensing images is one of the most significant tasks in the field of remote sensing applications. Remote sensing images contain substantial detailed information of ground objects, such as shape, location, and texture. Therefore, these objects make the images exhibit large intraclass variance and small interclass variance, which makes it very difficult to be recognized. In this study, an end-to-end attention-based semantic segmentation network (SSAtNet) is proposed. A pyramid attention pooling module is proposed to introduce the attention mechanism into the multiscale module for adaptive features refinement. To correct the detailed information, the pooling index correction module integrates pooling index maps from the encoder with high-level feature maps, which can help recover the fine-grained features. In the encoder phase, a more effective ResNet-101 backbone is designed to capture detailed features. What is more, a series of data augmentation methods are proposed to enhance the model's robustness. The proposed model is compared with several previous advanced networks and achieves the state of the art on the ISPRS Vaihingen dataset. The experiment results prove the effectiveness of the SSAtNet.",Image segmentation,Task analysis,Semantics,Remote sensing,Convolution,,,,,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,,Indexes,Feature extraction,Attention mechanism,convolutional neural networks (CNNs),multiscale module,remote sensing,semantic segmentation,,,,,,,,,,,,,,,
Row_78,"Su, Yanzhou","Cheng, Jian","Wang, Wen","Bai, Haiwei",Semantic Segmentation for High-Resolution Remote-Sensing Images via Dynamic Graph Context Reasoning,,2022,4,"Semantic segmentation for high-resolution remote-sensing (HRRS) images is one of the most challenging tasks in remote-sensing images understanding. Capturing long-range dependencies in feature representations is crucial for semantic segmentation. Recent graph-based global reasoning networks (GloRe) focus on modeling the global contextual relationship between latent nodes based on fully connected graph in interaction space. However, such a dense operation is susceptible to redundant features. Most importantly, it treats each node equally, ignoring the contextual relationship between nodes in graphs. In this work, we propose to explore more effective contextual representations in semantic segmentation by introducing dynamic graph contextual reasoning module over GloRe, dubbed DGCR. It incorporates local semantic information that represents the relationships between nodes to perform long-range contextual reasoning. More specifically, to provide effectively and flexible reasoning in graph-based reasoning approaches, we construct k-nearest neighbor (KNN) graphs rather than fully connected graphs using only the k closest nodes depends on pairwise semantic distance. Extensive experiments on the International Society for Photogrammetry and Remote Sensing (ISPRS) Vaihingen and Potsdam datasets demonstrate the effectiveness and superiority of our proposed DGCR module over other state-of-the-art methods.",Context,graph reasoning,high-resolution remote-sensing (HRRS) images,semantic segmentation,,"Liu, Haijun",,,,IEEE GEOSCIENCE AND REMOTE SENSING LETTERS,,,,,,,,,,,,,,,,,,,,,,,
Row_79,"Nie, Jie","Wang, Chenglong","Yu, Shusong","Shi, Jinjin",MIGN: Multiscale Image Generation Network for Remote Sensing Image Semantic Segmentation,,2023,7,"With the development of computer vision, the semantic segmentation of remote sensing images, which has become an important topic, has been utilized in various applications for image content analysis and understanding, such as urban planning, natural disaster monitoring, and land resource management. Many approaches have been proposed to address these problems. However, due to obvious differences in resolution, spatial structure, and semantics between remote sensing images and ordinary images, the semantic segmentation of remote sensing images is still challenging. In this paper, we propose a novel multiscale image generation network (MIGN) that can efficiently generate high-resolution segmentation results by considering both details and boundary information. In particular, a multi-attention mechanism method for semantic segmentation of remote sensing images is designed. The attention weight is calculated by capturing the interaction of cross dimensions in a two-branch structure, which can learn the underlying feature information and guarantee the performance of each pixel feature for final classification. We also propose an edge supervised module to ensure that the segmentation boundary has a more accurate performance. A multiscale image fusion algorithm based on the Bayes model is proposed to improve the accuracy of the segmentation module. The performance of our model is evaluated on the ISPRS Vaihingen and Potsdam datasets. The results show that our method is superior to the most advanced image segmentation methods in terms of MIoU and pixel accuracy.",Semantic segmentation,remote sensing,multiscale,multi-attention,edge supervised,"Lv, Xiaowei","Wei, Zhiqiang",,,IEEE TRANSACTIONS ON MULTIMEDIA,,image fusion,,,,,,,,,,,,,,,,,,,,,
Row_80,"Zhang, Jing","Lin, Shaofu","Ding, Lei","Bruzzone, Lorenzo",Multi-Scale Context Aggregation for Semantic Segmentation of Remote Sensing Images,,FEB 2020,124,"The semantic segmentation of remote sensing images (RSIs) is important in a variety of applications. Conventional encoder-decoder-based convolutional neural networks (CNNs) use cascade pooling operations to aggregate the semantic information, which results in a loss of localization accuracy and in the preservation of spatial details. To overcome these limitations, we introduce the use of the high-resolution network (HRNet) to produce high-resolution features without the decoding stage. Moreover, we enhance the low-to-high features extracted from different branches separately to strengthen the embedding of scale-related contextual information. The low-resolution features contain more semantic information and have a small spatial size; thus, they are utilized to model the long-term spatial correlations. The high-resolution branches are enhanced by introducing an adaptive spatial pooling (ASP) module to aggregate more local contexts. By combining these context aggregation designs across different levels, the resulting architecture is capable of exploiting spatial context at both global and local levels. The experimental results obtained on two RSI datasets show that our approach significantly improves the accuracy with respect to the commonly used CNNs and achieves state-of-the-art performance.",semantic segmentation,convolutional neural network,deep learning,image analysis,remote sensing,,,,,REMOTE SENSING,,,,,,,,,,,,,,,,,,,,,,,
Row_81,"Hua, Yuansheng","Marcos, Diego","Mou, Lichao","Zhu, Xiao Xiang",Semantic Segmentation of Remote Sensing Images With Sparse Annotations,,2022,59,"Training convolutional neural networks (CNNs) for very high-resolution images requires a large quantity of high-quality pixel-level annotations, which is extremely labor-intensive and time-consuming to produce. Moreover, professional photograph interpreters might have to be involved in guaranteeing the correctness of annotations. To alleviate such a burden, we propose a framework for semantic segmentation of aerial images based on incomplete annotations, where annotators are asked to label a few pixels with easy-to-draw scribbles. To exploit these sparse scribbled annotations, we propose the FEature and Spatial relaTional regulArization (FESTA) method to complement the supervised task with an unsupervised learning signal that accounts for neighborhood structures both in spatial and feature terms. For the evaluation of our framework, we perform experiments on two remote sensing image segmentation data sets involving aerial and satellite imagery, respectively. Experimental results demonstrate that the exploitation of sparse annotations can significantly reduce labeling costs, while the proposed method can help improve the performance of semantic segmentation when training on such annotations. The sparse labels and codes are publicly available for reproducibility purposes.1",Annotations,Image segmentation,Semantics,Remote sensing,Training,"Tuia, Devis",,,,IEEE GEOSCIENCE AND REMOTE SENSING LETTERS,,Kernel,Image color analysis,Aerial image,convolutional neural networks (CNNs),semantic segmentation,semisupervised learning,sparse scribbled annotation,,,,,,,,,,,,,,,
Row_82,"Huang, Cong","Yang, Yao","Wang, Huajun","Ma, Yu",Semantic segmentation of remote sensing images based on deep learning methods,,2021,0,"Remote sensing image segmentation has always been an important research direction in the field of remote sensing image processing, and it is a key step in the further understanding and analysis of remote sensing images. Image semantic segmentation is the process of classifying each pixel to form several sub-regions with respective characteristics, and extracting the objects of interest among them. However, due to the complex boundary and scale difference of the remote sensing image, the traditional algorithm can not meet the actual needs well, resulting in low segmentation accuracy. In order to further improve the accuracy of remote sensing image segmentation, this paper combines deep convolutional neural network with remote sensing image, based on the U-Net, firstly compares the model's segmentation accuracy under different learning strategies, and introduces a new learning strategy to improve the learning effect of the model; secondly, in the loss function part of the model, a new compound loss function is proposed to speed up the convergence of the network and improve the segmentation accuracy. Based on full experimental research on the WHDLD remote sensing image dataset, the results show that the improved method has 1.5% accuracy improvement compare to the U-Net.",remote sensing images,semantic segmentation,composite loss function,learning strategies,,"Zhao, Jinquan","Wan, Jun",,,"MEDICAL IMAGE COMPUTING AND COMPUTER-ASSISTED INTERVENTION, PT III",,,,,,,,,,,,,,,,,,,,,,,
Row_83,"Guo, Yongjie","Wang, Feng","Xiang, Yuming","You, Hongjian",Semisupervised Semantic Segmentation With Certainty-Aware Consistency Training for Remote Sensing Imagery,,2023,1,"Semisupervised learning is a forcible method to lessen the cost of annotation for remote sensing semantic segmentation tasks. Recent related research works indicate that consistency training is one of the most effective strategies in semisupervised learning. The core of consistency training is maintaining model outputs consistent under various perturbations. However, the current consistency training-based semisupervised semantic segmentation frameworks lack the analysis of model uncertainty, which increases the generation of semantic ambiguity on remote sensing images. Therefore, we propose the certainty-aware consistency training (CACT) strategy to mitigate the influence of semantic ambiguity caused by model uncertainty. The CACT strategy consists of two novel parts: certainty-aware consistency correction (CACC) and class-balanced-adaptive threshold (CBAT) strategy. The CACC starts with generating a high-quality prediction target, then models the importance of the consistent output target and corrects the output predictions according to the certainty map, increasing the focus on reliable predictions. The CBAT strategy uses a dynamic class-balanced adaptive threshold to filter out unreliable predictions, further reducing the impact of semantic ambiguity. Finally, considerable experimental results on the DLRSD, WHDLD, and Potsdam demonstrate that our framework has an excellent performance on semisupervised remote sensing semantic segmentation scenarios.",Training,Remote sensing,Semantic segmentation,Semantics,Adaptation models,,,,,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,,Predictive models,Uncertainty,Consistency training,remote sensing image,semantic segmentation,semisupervised learning,,,,,,,,,,,,,,,,
Row_84,"Huang, Liwei","Jiang, Bitao","Lv, Shouye","Liu, Yanbo",Deep-Learning-Based Semantic Segmentation of Remote Sensing Images: A Survey,,2024,14,"Semantic segmentation of remote sensing images (SSRSIs), which aims to assign a category to each pixel in remote sensing images, plays a vital role in a broad range of applications, such as environmental monitoring, urban planning, and land resource utilization. Recently, with the successful application of deep learning in remote sensing, a substantial amount of work has been aimed at developing SSRSI methods using deep learning models. In this survey, we provide a comprehensive review of SSRSI. First, we review the current mainstream semantic segmentation models based on deep learning. Next, we analyze the main challenges faced by SSRSI and comprehensively summarize the current research status of deep-learning-based SSRSI, especially some new directions in SSRSI are outlined, including semisupervised and weakly-supervised SSRSI, unsupervised domain adaption in SSRSI, multimodal data-fusion-based SSRSI, and pretrained models for SSRSI. Then, we examine the most widely used datasets and metrics and review the quantitative results and experimental performance of some representative methods of SSRSI. Finally, we discuss promising future research directions in this area.",Deep learning,multimodal fusion,pretrained models,remote sensing images,semantic segmentation,"Fu, Ying",,,,IEEE JOURNAL OF SELECTED TOPICS IN APPLIED EARTH OBSERVATIONS AND REMOTE SENSING,,semi-supervised,unsupervised domain adaptation,weakly-supervised,,,,,,,,,,,,,,,,,,,
Row_85,"Wang, Hao","Tao, Chao","Qi, Ji","Xiao, Rong",Avoiding Negative Transfer for Semantic Segmentation of Remote Sensing Images,,2022,17,"Reducing the feature distribution shift caused by the factor of visual-environment changes, named visual-environment changes (VE-changes), is a hot issue in domain adaptation learning. However, in the semantic segmentation task of remote sensing imageries, besides VE-changes, the change of semantic-scene changes (SS-changes) is another factor raising the domain gap, which brings the label distribution shift. For example, although urban and rural share the same landcover label, there is still a gap in label distribution. If there is little relation that can be found in neither feature nor label space, forcibly adapting to a new domain could have a high risk of negative transfer. Hence, we propose a new Transitive Domain Adaptation method for Remote Sensing (TDARS) images. First, we introduce an intermediate domain to enlarge the relation between the given source and target domains. Second, we learn from primary and nonprimary confident classes to increase the likelihood of transferring valuable information. As a result, TDARS enables the given source and target domains to be connected through the selected intermediate domain and performs effective knowledge transfer among all domains. The proposed method is evaluated on three domain adaptation datasets of remote sensing images. Extensive experiments show that the approach can effectively handle the domain shift problem from remote sensing images compared to other state-of-the-art domain adaptation methods.",Remote sensing,Semantics,Image segmentation,Visualization,Knowledge transfer,"Li, Haifeng",,,,IEEE TRANSACTIONS ON GEOSCIENCE AND REMOTE SENSING,,Urban areas,Sensors,Domain adaptation,remote sensing,semantic segmentation,,,,,,,,,,,,,,,,,
Row_86,"Liu, Bo","Hu, Jinwu","Bi, Xiuli","Li, Weisheng",PGNet: Positioning Guidance Network for Semantic Segmentation of Very-High-Resolution Remote Sensing Images,,SEP 2022,12,"Semantic segmentation of very-high-resolution (VHR) remote sensing images plays an important role in the intelligent interpretation of remote sensing since it predicts pixel-level labels to the images. Although many semantic segmentation methods of VHR remote sensing images have emerged recently and achieved good results, it is still a challenging task because the objects of VHR remote sensing images show large intra-class and small inter-class variations, and their size varies in a large range. Therefore, we proposed a novel semantic segmentation framework for VHR remote sensing images, called Positioning Guidance Network (PGNet), which consists of the feature extractor, a positioning guiding module (PGM), and a self-multiscale collection module (SMCM). First, the PGM can extract long-range dependence and global context information with the help of the transformer architecture and effectively transfer them to each pyramid-level feature, thus effectively improving the segmentation effectiveness between different semantic objects. Secondly, the SMCM we designed can effectively extract multi-scale information and generate high-resolution feature maps with high-level semantic information, thus helping to segment objects in small and varying sizes. Without bells and whistles, the mIoU scores of the proposed PGNet on the iSAID dataset and ISPRS Vaihingn dataset are 1.49% and 2.40% higher than FactSeg, respectively.",remote sensing images,semantic segmentation,positioning guiding module,self-multiscale collection module,transformer,"Gao, Xinbo",,,,REMOTE SENSING,,,,,,,,,,,,,,,,,,,,,,,
Row_87,"Jiang, Jionghui","Feng, Xi'an","Ye, QiLei","Hu, Zhongyi",Semantic segmentation of remote sensing images combined with attention mechanism and feature enhancement U-Net,,OCT 2 2023,4,"Target segmentation of remote sensing images has always been a hotspot in image processing. This paper proposes a new semantic segmentation technology for remote sensing images, which uses Unet as the backbone and combines attention mechanism and feature enhancement module. The feature enhancement module can enlarge the information of the region of interest (ROI) to improve the contrast of the image; the attention mechanism includes spatial and channel attention modules, which can obtain more detailed information of the desired target while suppressing other useless information. This paper improves the loss function of the traditional Unet. On the basis of the sparse categorical cross-entropy function, the mean squared logarithmic error function is added, which can effectively improve the accuracy of semantic segmentation. The experimental results show that the algorithm has higher computational accuracy than Unet, DeepLabV3, SegNet, PSPNet, CBAM and DAnet while having the computational speed of FCN and Unet in model testing and validation.",Semantic Segmentation,Remote Sensing Images,Attention Mechanism,,,"Gu, Zhiyang","Huang, Hui",,,INTERNATIONAL JOURNAL OF REMOTE SENSING,,,,,,,,,,,,,,,,,,,,,,,
Row_88,Ni Xianyang,Cheng Yinbao,Wang Zhongyu,,Remote sensing semantic segmentation with convolution neural network using attention mechanism,PROCEEDINGS OF 2019 14TH IEEE INTERNATIONAL CONFERENCE ON ELECTRONIC MEASUREMENT & INSTRUMENTS (ICEMI),2019,4,"Semantic image segmentation is an essential part of remote sensing image processing because accurate understanding of the ground information is the first step in obtaining useful knowledge of surface coverage. The popular semantic segmentation convolutional neural network model (DeepLab v3+) cannot electively use attention information, resulting in coarse segmentation boundaries. In this work, a new type of bottleneck using attention information which can extract semantic information and more abundant features from images is proposed. Compared with original network, the model using new bottleneck finely segments the target regions, solves the problem of segmentation boundary roughness better, leading to higher mloU and accuracy. Experimental results based on the dataset in the ISPRS benchmark on urban object classification show bringing attention model into semantic segmentation neural network improves performance.",Remote sensing,semantic segmentation,convolution neural network,attention mechanism,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Row_89,"Sun, Yan","Zheng, Wenxi",,,HRNet- and PSPNet-based multiband semantic segmentation of remote sensing images,,APR 2023,24,"High-resolution remote sensing images have become mainstream remote sensing data, but there is an obvious ""salt and pepper phenomenon"" in the existing semantic segmentation methods of high-resolution remote sensing images. The purpose of this paper is to propose an improved deep convolutional neural network based on HRNet and PSPNet to segment and realize deep scene analysis and improve the pixel-level semantic segmentation representation of high-resolution remote sensing images. Based on hierarchical multiscale segmentation technology research, the main method is multiband segmentation; the vegetation, buildings, roads, waters and bare land rule sets in the experimental area are established, the classification is extracted, and the category is labeled at each pixel in the image. Using the image classification network structure, different levels of feature vectors can be used to meet the judgment requirements. The HRNet and PSPNet algorithms are used to analyze the scene and obtain the category labels of all pixels in an image. Experiments have shown that artificial intelligence uses the pyramid pooling module in the classification and recognition of CCF satellite images. In the context of integrating different regions, PSPNet affects the region segmentation accuracy. FCN, DeepLab and PSPNet are now the best methods and achieve 98% accuracy. However, the PSPNet object recognition algorithm has better advantages in specific areas. Experiments show that this method has high segmentation accuracy and good generalization ability and can be used in practical engineering.",Remote sensing image,Semantic segmentation,Ensemble learning,Convolutional neural network,,,,,,NEURAL COMPUTING & APPLICATIONS,,,,,,,,,,,,,,,,,,,,,,,
Row_90,"Huang, Wei","Shi, Yilei","Xiong, Zhitong","Zhu, Xiao Xiang",Decouple and weight semi-supervised semantic segmentation of remote sensing images,,JUN 2024,2,"Semantic understanding of high-resolution remote sensing (RS) images is of great value in Earth observation, however, it heavily depends on numerous pixel-wise manually-labeled data, which is laborious and thereby limits its practical application. Semi-supervised semantic segmentation (SSS) of RS images would be a promising solution, which uses both limited labeled data and dominant unlabeled data to train segmentation models, significantly mitigating the annotation burden. The current mainstream methods of remote sensing semi-supervised semantic segmentation (RS-SSS) utilize the hard or soft pseudo-labels of unlabeled data for model training and achieve excellent performance. Nevertheless, their performance is bottlenecked because of two inherent problems: irreversible wrong pseudo-labels and long-tailed distribution among classes. Aiming at them, we propose a decoupled weighting learning (DWL) framework for RS-SSS in this study, which consists of two novel modules, decoupled learning and ranking weighting, corresponding to the above two problems, respectively. During training, the decoupled learning module separates the predictions of the labeled and unlabeled data to decrease the negative impact of the self-training of the wrongly pseudo-labeled unlabeled data on the supervised training of the labeled data. Furthermore, the ranking weighting module tries to adaptively weight each pseudo-label of the unlabeled data according to its relative confidence ranking in its pseudo-class to alleviate model bias to majority classes as a result of the long-tailed distribution. To verify the effectiveness of the proposed DWL framework, extensive experiments are conducted on three widely- used RS semantic segmentation datasets in the semi-supervised setting. The experimental results demonstrate the superiority of our method to some state-of-the-art SSS methods. Our code will be available at https: //github.com/zhu-xlab/RS-DWL.",Remote sensing,Semi-supervised semantic segmentation,Decoupled learning,Weighting learning,,,,,,ISPRS JOURNAL OF PHOTOGRAMMETRY AND REMOTE SENSING,,,,,,,,,,,,,,,,,,,,,,,
Row_91,"Wang, Junxiao","Feng, Zhixi","Jiang, Yao","Yang, Shuyuan",Orientation Attention Network for semantic segmentation of remote sensing images?,,MAY 12 2023,14,"With the increasing resolution of remote sensing images, semantic segmentation has become a challenging task for the extremely abundant textures and edges that existed in images. In this paper, an Orientation Attention Network (OANet) is proposed to learn both orientation features and global semantic features of ground objects for accurate segmentation. Firstly, an Asymmetrical Convolution (AC) is constructed to explore the directional anisotropy of objects. Then an Orientation Attention Module (OAM) is advanced to enhance the intrinsic geometric features of objects, by defining two branches with stacked asymmetrical convolutions along the coordinate axis and adaptively selecting features which are beneficial for segmentation. Finally, the OANet, which combines OAM with a Global Feature Module (GFM), is proposed for both structural and semantic sensitive representations of images. Extensive experiments on four well-known public datasets show the effectiveness of the OANet.",Semantic segmentation,Remote sensing images,Asymmetrical convolution,Orientation attention,,"Meng, Huixiao",,,,KNOWLEDGE-BASED SYSTEMS,,,,,,,,,,,,,,,,,,,,,,,
